country,region,year,vehicle_segment,powertrain_type,ev_sales,petrol_car_sales,diesel_car_sales,total_vehicle_sales,ev_market_share,charging_stations,fast_chargers_share,avg_ev_range_km,fuel_price_usd_per_liter,electricity_price_usd_per_kwh,gdp_per_capita,urban_population_percent,co2_emissions_transport_mt,ev_subsidy_usd,emission_regulation_score,ev_growth_rate_yoy,is_ev_dominant
Australia,Oceania,2010,commercial,ICE,5,92877,61921,154803,0.0,0,0.0,124,1.09,0.149,51977,88.8,88.7,0,30.4,0.0,0
Australia,Oceania,2010,mass_market,ICE,57,535933,73089,609079,0.01,0,0.0,124,1.09,0.149,51977,88.8,88.7,0,30.4,0.0,0
Australia,Oceania,2010,premium,ICE,37,235282,20462,255781,0.01,0,0.0,124,1.09,0.149,51977,88.8,88.7,0,30.4,0.0,0
Australia,Oceania,2011,commercial,ICE,11,98092,65395,163498,0.01,105,1.5,133,1.09,0.163,52807,88.9,88.3,0,30.8,120.0,0
Australia,Oceania,2011,mass_market,ICE,129,569679,77684,647492,0.02,105,1.5,133,1.09,0.163,52807,88.9,88.3,0,30.8,126.32,0
Australia,Oceania,2011,premium,ICE,80,252643,21969,274692,0.03,105,1.5,133,1.09,0.163,52807,88.9,88.3,0,30.8,116.22,0
Australia,Oceania,2012,commercial,ICE,17,96466,64310,160793,0.01,191,3.3,135,1.067,0.177,54075,88.5,89.5,0,31.6,84.39,0
Australia,Oceania,2012,mass_market,ICE,195,571555,77939,649689,0.03,191,3.3,135,1.067,0.177,54075,88.5,89.5,0,31.6,51.16,0
Australia,Oceania,2012,premium,ICE,117,246448,21430,267995,0.04,191,3.3,135,1.067,0.177,54075,88.5,89.5,0,31.6,77.82,0
Australia,Oceania,2013,commercial,ICE,36,101461,67640,169137,0.02,306,5.0,143,1.033,0.192,55582,89.6,90.0,0,33.2,93.1,0
Australia,Oceania,2013,mass_market,ICE,400,586920,80035,667355,0.06,306,5.0,143,1.033,0.192,55582,89.6,90.0,0,33.2,105.13,0
Australia,Oceania,2013,premium,ICE,242,256088,22269,278599,0.09,306,5.0,143,1.033,0.192,55582,89.6,90.0,0,33.2,106.84,0
Australia,Oceania,2014,commercial,ICE,53,100760,67173,167986,0.03,408,6.5,151,0.993,0.207,54940,89.5,92.3,0,33.2,68.9,0
Australia,Oceania,2014,mass_market,ICE,615,601126,81972,683713,0.09,408,6.5,151,0.993,0.207,54940,89.5,92.3,0,33.2,53.75,0
Australia,Oceania,2014,premium,ICE,367,258559,22483,281409,0.13,408,6.5,151,0.993,0.207,54940,89.5,92.3,0,33.2,51.65,0
Australia,Oceania,2015,commercial,ICE,77,101833,67888,169798,0.05,562,8.2,180,0.983,0.216,57259,89.3,93.3,0,36.2,65.46,0
Australia,Oceania,2015,mass_market,ICE,894,604172,82387,687453,0.13,562,8.2,180,0.983,0.216,57259,89.3,93.3,0,36.2,45.37,0
Australia,Oceania,2015,premium,ICE,542,263800,22939,287281,0.19,562,8.2,180,0.983,0.216,57259,89.3,93.3,0,36.2,47.68,0
Australia,Oceania,2016,commercial,ICE,105,106179,70786,177070,0.06,1017,10.2,193,1.003,0.218,55712,88.9,95.3,0,36.6,42.88,0
Australia,Oceania,2016,mass_market,ICE,1201,620584,84625,706410,0.17,1017,10.2,193,1.003,0.218,55712,88.9,95.3,0,36.6,34.34,0
Australia,Oceania,2016,premium,ICE,716,266718,23193,290627,0.25,1017,10.2,193,1.003,0.218,55712,88.9,95.3,0,36.6,32.1,0
Australia,Oceania,2017,commercial,ICE,198,109622,73081,182901,0.11,1540,10.9,220,1.05,0.218,56382,88.0,96.2,0,38.5,88.57,0
Australia,Oceania,2017,mass_market,ICE,2220,628305,85678,716203,0.31,1540,10.9,220,1.05,0.218,56382,88.0,96.2,0,38.5,84.85,0
Australia,Oceania,2017,premium,ICE,1337,272461,23692,297490,0.45,1540,10.9,220,1.05,0.218,56382,88.0,96.2,0,38.5,86.73,0
Australia,Oceania,2018,commercial,ICE,257,97669,65113,163039,0.16,2046,13.6,264,1.11,0.218,55117,87.7,97.9,0,41.0,29.8,0
Australia,Oceania,2018,mass_market,ICE,2940,572260,78035,653235,0.45,2046,13.6,264,1.11,0.218,55117,87.7,97.9,0,41.0,32.43,0
Australia,Oceania,2018,premium,ICE,1810,253500,22043,277353,0.65,2046,13.6,264,1.11,0.218,55117,87.7,97.9,0,41.0,35.38,0
