refund_id,transaction_id,merchant_id,refund_ts,refund_amount,refund_reason,is_partial_refund
r_0000001,t_0000031,m_00002,2025-06-24 17:59:00,43.56,return,True
r_0000002,t_0000048,m_00005,2025-07-18 09:43:00,141.98,customer_request,False
r_0000003,t_0000078,m_00008,2025-05-23 19:08:00,47.14,customer_request,True
r_0000004,t_0000084,m_00008,2025-06-28 15:38:00,260.79,service_issue,False
r_0000005,t_0000112,m_00009,2025-11-04 12:41:00,138.99,service_issue,False
r_0000006,t_0000192,m_00014,2026-02-08 04:47:00,284.44,customer_request,True
r_0000007,t_0000248,m_00018,2025-09-21 15:52:00,205.42,return,False
r_0000008,t_0000280,m_00018,2025-11-11 20:54:00,138.86,customer_request,True
r_0000009,t_0000291,m_00018,2025-12-25 01:55:00,621.99,customer_request,False
r_0000010,t_0000313,m_00019,2025-06-07 19:31:00,1159.6,other,False
r_0000011,t_0000331,m_00020,2025-06-07 11:10:00,469.12,customer_request,False
r_0000012,t_0000399,m_00022,2026-04-04 01:01:00,227.39,customer_request,False
r_0000013,t_0000460,m_00026,2025-09-19 21:25:00,112.98,service_issue,True
r_0000014,t_0000479,m_00027,2025-11-24 13:26:00,467.33,return,False
r_0000015,t_0000525,m_00030,2025-10-05 05:25:00,83.64,customer_request,True
r_0000016,t_0000579,m_00032,2026-01-07 17:03:00,146.89,service_issue,False
r_0000017,t_0000589,m_00032,2026-03-12 07:53:00,143.42,return,False
r_0000018,t_0000639,m_00034,2025-10-01 11:13:00,57.58,customer_request,False
r_0000019,t_0000656,m_00036,2025-06-27 23:12:00,232.88,other,False
r_0000020,t_0000678,m_00038,2025-05-06 10:16:00,405.11,customer_request,False
r_0000021,t_0000705,m_00039,2025-03-28 01:50:00,285.58,customer_request,False
r_0000022,t_0000735,m_00039,2025-06-02 04:52:00,108.13,customer_request,True
r_0000023,t_0000790,m_00040,2025-07-10 11:27:00,186.64,customer_request,False
r_0000024,t_0000823,m_00043,2025-03-24 20:27:00,2077.03,customer_request,True
r_0000025,t_0000827,m_00043,2025-03-25 09:56:00,1638.4,other,False
r_0000026,t_0000852,m_00044,2025-07-20 17:45:00,91.39,customer_request,True
r_0000027,t_0000937,m_00047,2026-03-07 22:06:00,155.47,return,False
r_0000028,t_0000944,m_00051,2026-02-11 18:49:00,602.06,other,True
r_0000029,t_0001072,m_00059,2025-12-26 01:12:00,1358.89,customer_request,False
r_0000030,t_0001076,m_00060,2025-06-13 19:46:00,66.36,customer_request,False
r_0000031,t_0001136,m_00064,2025-12-20 00:24:00,427.17,return,False
r_0000032,t_0001161,m_00064,2026-01-11 02:46:00,532.42,customer_request,False
r_0000033,t_0001163,m_00064,2026-01-23 19:29:00,863.44,customer_request,False
