transaction_id,merchant_id,user_id,txn_ts,amount,currency,payment_method,is_approved,decision_type,shipping_country,billing_country,device_type,is_fraud_txn
t_0000001,m_00001,u_150260,2025-11-08 23:01:00,460.15,USD,card,True,auto,US,US,mobile,False
t_0000002,m_00001,u_127632,2025-11-17 21:26:00,115.26,USD,card,True,auto,US,US,mobile,False
t_0000003,m_00001,u_229425,2025-11-26 04:54:00,653.97,USD,card,True,auto,US,US,mobile,False
t_0000004,m_00001,u_171789,2025-12-03 19:24:00,459.11,USD,card,True,auto,US,US,mobile,False
t_0000005,m_00001,u_096313,2025-12-09 23:32:00,1099.29,USD,card,True,auto,US,US,mobile,False
t_0000006,m_00001,u_126453,2025-12-16 21:00:00,305.19,USD,card,True,auto,US,US,desktop,False
t_0000007,m_00001,u_399804,2025-12-29 10:25:00,488.5,USD,card,True,auto,US,US,tablet,False
t_0000008,m_00001,u_020740,2025-12-29 11:56:00,449.27,USD,ach,True,auto,US,US,mobile,False
t_0000009,m_00001,u_335828,2025-12-30 20:01:00,512.36,USD,card,True,auto,US,US,mobile,False
t_0000010,m_00001,u_006790,2026-01-02 17:45:00,246.32,USD,ach,True,auto,US,US,desktop,False
t_0000011,m_00001,u_335930,2026-01-07 17:26:00,750.87,USD,card,True,auto,CA,US,desktop,False
t_0000012,m_00001,u_052681,2026-01-26 12:42:00,257.33,USD,card,True,auto,US,US,mobile,False
t_0000013,m_00001,u_068417,2026-01-30 22:47:00,201.81,USD,card,True,auto,US,US,mobile,False
t_0000014,m_00001,u_398685,2026-01-31 00:20:00,325.08,USD,wallet,True,auto,US,US,mobile,False
t_0000015,m_00002,u_220420,2025-03-18 10:12:00,115.69,USD,card,True,manual,US,US,tablet,False
t_0000016,m_00002,u_386561,2025-03-22 12:56:00,232.58,USD,wallet,False,manual,US,US,mobile,False
t_0000017,m_00002,u_118674,2025-03-23 09:29:00,137.38,USD,card,True,manual,US,US,mobile,False
t_0000018,m_00002,u_274008,2025-04-04 23:33:00,216.98,USD,wallet,True,auto,US,US,desktop,False
t_0000019,m_00002,u_020691,2025-04-06 01:39:00,109.28,USD,ach,True,auto,US,US,mobile,False
t_0000020,m_00002,u_174593,2025-04-13 22:11:00,223.7,USD,card,True,auto,US,US,mobile,False
t_0000021,m_00002,u_099394,2025-05-03 05:30:00,248.81,USD,wallet,True,manual,US,US,tablet,False
t_0000022,m_00002,u_205263,2025-05-05 22:01:00,206.22,USD,card,True,auto,US,US,mobile,False
t_0000023,m_00002,u_184614,2025-05-22 09:10:00,98.13,USD,card,True,auto,US,US,desktop,False
t_0000024,m_00002,u_379747,2025-05-28 10:13:00,170.23,USD,card,True,auto,US,US,desktop,False
t_0000025,m_00002,u_284509,2025-05-30 12:47:00,118.61,USD,card,True,manual,US,US,desktop,False
t_0000026,m_00002,u_279374,2025-05-31 01:08:00,200.16,USD,wallet,True,auto,US,US,mobile,False
t_0000027,m_00002,u_223943,2025-06-03 04:41:00,106.56,USD,card,True,auto,US,US,desktop,False
t_0000028,m_00002,u_333778,2025-06-06 09:51:00,145.92,USD,card,True,auto,US,US,desktop,False
t_0000029,m_00002,u_325861,2025-06-11 18:12:00,103.86,USD,card,True,auto,US,US,desktop,False
t_0000030,m_00002,u_122111,2025-06-14 02:26:00,121.55,USD,card,True,auto,US,US,mobile,False
t_0000031,m_00002,u_126242,2025-06-16 17:59:00,95.25,USD,card,True,auto,US,US,mobile,False
t_0000032,m_00004,u_238634,2025-08-31 03:08:00,66.06,USD,card,True,auto,US,US,desktop,False
t_0000033,m_00004,u_130830,2025-09-01 09:00:00,45.12,USD,wallet,True,auto,US,US,mobile,False
t_0000034,m_00004,u_306002,2025-09-06 00:07:00,81.22,USD,card,True,auto,US,US,desktop,False
t_0000035,m_00004,u_126359,2025-09-11 05:32:00,87.36,USD,ach,True,auto,US,US,desktop,False
t_0000036,m_00004,u_180672,2025-10-24 15:09:00,40.13,USD,card,True,manual,US,US,desktop,False
t_0000037,m_00004,u_391420,2025-10-26 16:36:00,174.83,USD,ach,True,auto,US,US,mobile,False
t_0000038,m_00004,u_379791,2025-11-04 06:19:00,84.39,USD,ach,True,auto,US,US,desktop,False
