country_code,country_name,year,cybercrime_regulation_score,region,income_level
AFG,Afghanistan,2020,0.0,Asia,Low Income
AFG,Afghanistan,2024,0.1047142857142856,Asia,Low Income
ALB,Albania,2020,0.9327505387931035,Europe,Upper Middle Income
ALB,Albania,2024,1.0,Europe,Upper Middle Income
DZA,Algeria,2020,0.6215382543103448,Africa,Upper Middle Income
DZA,Algeria,2024,0.9225714285714286,Africa,Upper Middle Income
AND,Andorra,2020,0.3489789870689655,Other,Not Classified
AND,Andorra,2024,0.8151428571428572,Other,Not Classified
AGO,Angola,2020,0.3477464978448276,Africa,Lower Middle Income
AGO,Angola,2024,0.702,Africa,Lower Middle Income
ATG,Antigua and Barbuda,2020,0.3489789870689655,Other,Not Classified
ATG,Antigua and Barbuda,2024,0.3674285714285714,Other,Not Classified
ARG,Argentina,2020,0.4397898706896551,South America,Upper Middle Income
ARG,Argentina,2024,0.794,South America,Upper Middle Income
ARM,Armenia,2020,0.5233661099137931,Asia,Upper Middle Income
ARM,Armenia,2024,0.7374285714285714,Asia,Upper Middle Income
AUS,Australia,2020,1.0,Oceania,High Income
AUS,Australia,2024,1.0,Oceania,High Income
AUT,Austria,2020,1.0,Europe,High Income
AUT,Austria,2024,0.851,Europe,High Income
AZE,Azerbaijan,2020,1.0,Asia,Upper Middle Income
AZE,Azerbaijan,2024,1.0,Asia,Upper Middle Income
BHS,"Bahamas, The",2020,0.5044773706896551,North America,High Income
BHS,"Bahamas, The",2024,0.4748571428571428,North America,High Income
BHR,Bahrain,2020,1.0,Middle East,High Income
BHR,Bahrain,2024,1.0,Middle East,High Income
BGD,Bangladesh,2020,0.5246928879310346,Asia,Lower Middle Income
BGD,Bangladesh,2024,0.7587142857142857,Asia,Lower Middle Income
BRB,Barbados,2020,0.5542887931034483,North America,High Income
BRB,Barbados,2024,0.6577142857142857,North America,High Income
BLR,Belarus,2020,0.7274407327586208,Europe,Upper Middle Income
BLR,Belarus,2024,0.8688571428571429,Europe,Upper Middle Income
BEL,Belgium,2020,1.0,Europe,High Income
BEL,Belgium,2024,1.0,Europe,High Income
BLZ,Belize,2020,0.0789816810344827,North America,Upper Middle Income
BLZ,Belize,2024,0.5834285714285713,North America,Upper Middle Income
BEN,Benin,2020,0.7610681573275861,Africa,Lower Middle Income
BEN,Benin,2024,1.0,Africa,Lower Middle Income
BTN,Bhutan,2020,0.3489789870689655,Asia,Lower Middle Income
BTN,Bhutan,2024,0.4502857142857143,Asia,Lower Middle Income
BOL,Bolivia,2020,0.2842914870689655,South America,Lower Middle Income
BOL,Bolivia,2024,0.4781428571428571,South America,Lower Middle Income
BIH,Bosnia and Herzegovina,2020,0.3489789870689655,Europe,Upper Middle Income
BIH,Bosnia and Herzegovina,2024,0.5522857142857143,Europe,Upper Middle Income
BWA,Botswana,2020,0.7770366379310345,Africa,Upper Middle Income
BWA,Botswana,2024,0.9545714285714286,Africa,Upper Middle Income
BRA,Brazil,2020,1.0,South America,Upper Middle Income
BRA,Brazil,2024,1.0,South America,Upper Middle Income
BRN,Brunei Darussalam,2020,0.6334967672413793,Asia,High Income
BRN,Brunei Darussalam,2024,0.7355714285714285,Asia,High Income
BGR,Bulgaria,2020,1.0,Europe,Upper Middle Income
BGR,Bulgaria,2024,1.0,Europe,Upper Middle Income
BFA,Burkina Faso,2020,0.416228448275862,Africa,Low Income
BFA,Burkina Faso,2024,0.4502857142857143,Africa,Low Income
BDI,Burundi,2020,0.0,Africa,Low Income
BDI,Burundi,2024,0.1311428571428571,Africa,Low Income
CPV,Cabo Verde,2020,0.0,Africa,Lower Middle Income
CPV,Cabo Verde,2024,0.8317142857142857,Africa,Lower Middle Income
KHM,Cambodia,2020,0.0789816810344827,Asia,Lower Middle Income
KHM,Cambodia,2024,0.3652857142857142,Asia,Lower Middle Income
CMR,Cameroon,2020,0.4897413793103448,Africa,Lower Middle Income
CMR,Cameroon,2024,0.8034285714285713,Africa,Lower Middle Income
CAN,Canada,2020,1.0,North America,High Income
CAN,Canada,2024,0.8964285714285714,North America,High Income
CAF,Central African Republic,2020,0.0,Africa,Low Income
CAF,Central African Republic,2024,0.1842857142857142,Africa,Low Income
TCD,Chad,2020,0.7623006465517241,Africa,Low Income
TCD,Chad,2024,0.7605714285714286,Africa,Low Income
CHL,Chile,2020,0.8592376077586208,Other,Not Classified
CHL,Chile,2024,0.7174285714285713,Other,Not Classified
CHN,China,2020,1.0,Asia,Upper Middle Income
CHN,China,2024,1.0,Asia,Upper Middle Income
COL,Colombia,2020,0.4311799568965517,South America,Upper Middle Income
COL,Colombia,2024,0.6742857142857143,South America,Upper Middle Income
COM,Comoros,2020,0.0,Africa,Lower Middle Income
COM,Comoros,2024,0.814,Africa,Lower Middle Income
COD,"Congo, Dem. Rep.",2020,0.4897413793103448,Africa,Low Income
COD,"Congo, Dem. Rep.",2024,0.7428571428571428,Africa,Low Income
COG,"Congo, Rep.",2020,0.6160695043103448,Africa,Lower Middle Income
COG,"Congo, Rep.",2024,0.7095714285714284,Africa,Lower Middle Income
CRI,Costa Rica,2020,0.8445016163793104,North America,Upper Middle Income
CRI,Costa Rica,2024,0.8758571428571428,North America,Upper Middle Income
CIV,Cote d'Ivoire,2020,0.8107691271551725,Africa,Lower Middle Income
CIV,Cote d'Ivoire,2024,0.9462857142857144,Africa,Lower Middle Income
HRV,Croatia,2020,1.0,Europe,High Income
HRV,Croatia,2024,1.0,Europe,High Income
CUB,Cuba,2020,1.0,North America,Upper Middle Income
CUB,Cuba,2024,1.0,North America,Upper Middle Income
CYP,Cyprus,2020,1.0,Europe,High Income
CYP,Cyprus,2024,1.0,Europe,High Income
CZE,Czechia,2020,0.9327505387931035,Europe,High Income
CZE,Czechia,2024,1.0,Europe,High Income
DNK,Denmark,2020,1.0,Europe,High Income
DNK,Denmark,2024,1.0,Europe,High Income
DJI,Djibouti,2020,0.0,Africa,Lower Middle Income
DJI,Djibouti,2024,0.5537142857142856,Africa,Lower Middle Income
DMA,Dominica,2020,0.0789816810344827,Other,Not Classified
DMA,Dominica,2024,0.2094285714285713,Other,Not Classified
DOM,Dominican Republic,2020,0.7946901939655173,North America,Upper Middle Income
DOM,Dominican Republic,2024,0.9257142857142856,North America,Upper Middle Income
ECU,Ecuador,2020,0.4281169181034482,South America,Upper Middle Income
ECU,Ecuador,2024,0.9257142857142856,South America,Upper Middle Income
EGY,"Egypt, Arab Rep.",2020,1.0,Africa,Lower Middle Income
EGY,"Egypt, Arab Rep.",2024,1.0,Africa,Lower Middle Income
SLV,El Salvador,2020,0.3489789870689655,North America,Lower Middle Income
SLV,El Salvador,2024,0.4768571428571427,North America,Lower Middle Income
GNQ,Equatorial Guinea,2020,0.1349986530172413,Other,Not Classified
GNQ,Equatorial Guinea,2024,0.4985714285714285,Other,Not Classified
ERI,Eritrea,2020,0.0,Africa,Low Income
ERI,Eritrea,2024,0.0,Africa,Low Income
EST,Estonia,2020,1.0,Europe,High Income
EST,Estonia,2024,1.0,Europe,High Income
SWZ,Eswatini,2020,0.0336247306034482,Africa,Lower Middle Income
SWZ,Eswatini,2024,0.8304285714285714,Africa,Lower Middle Income
ETH,Ethiopia,2020,0.219744073275862,Africa,Low Income
ETH,Ethiopia,2024,0.8898571428571428,Africa,Low Income
FJI,Fiji,2020,0.0789816810344827,Oceania,Upper Middle Income
FJI,Fiji,2024,0.4211428571428571,Oceania,Upper Middle Income
FIN,Finland,2020,1.0,Europe,High Income
FIN,Finland,2024,1.0,Europe,High Income
FRA,France,2020,1.0,Europe,High Income
FRA,France,2024,1.0,Europe,High Income
GAB,Gabon,2020,0.2699973060344827,Africa,Upper Middle Income
GAB,Gabon,2024,1.0,Africa,Upper Middle Income
