date,OT,光伏数据,季节标签数据,特殊气象标签数据,节假日标签数据
2023/11/1 0:30,2648.87466,0 ,3 ,0 ,0 
2023/11/1 1:00,2614.53407,0 ,3 ,0 ,0 
2023/11/1 1:30,2628.69173,0 ,3 ,0 ,0 
2023/11/1 2:00,2602.07094,0 ,3 ,0 ,0 
2023/11/1 2:30,2560.22105,0 ,3 ,0 ,0 
2023/11/1 3:00,2543.21931,0 ,3 ,0 ,0 
2023/11/1 3:30,2495.40817,0 ,3 ,0 ,0 
2023/11/1 4:00,2489.37585,0 ,3 ,0 ,0 
2023/11/1 4:30,2449.21341,0 ,3 ,0 ,0 
2023/11/1 5:00,2428.20929,0 ,3 ,0 ,0 
2023/11/1 5:30,2449.49011,0 ,3 ,0 ,0 
2023/11/1 6:00,2474.63289,0 ,3 ,0 ,0 
2023/11/1 6:30,2477.08811,0 ,3 ,0 ,0 
2023/11/1 7:00,2502.36256,0 ,3 ,0 ,0 
2023/11/1 7:30,2535.15754,0 ,3 ,0 ,0 
2023/11/1 8:00,2628.70249,0 ,3 ,0 ,0 
2023/11/1 8:30,2611.09443,0 ,3 ,0 ,0 
2023/11/1 9:00,2589.7388,0 ,3 ,0 ,0 
2023/11/1 9:30,2573.19966,0 ,3 ,0 ,0 
2023/11/1 10:00,2569.89989,0 ,3 ,0 ,0 
2023/11/1 10:30,2548.54796,0 ,3 ,0 ,0 
2023/11/1 11:00,2469.13635,0 ,3 ,0 ,0 
2023/11/1 11:30,2420.74834,0 ,3 ,0 ,0 
2023/11/1 12:00,2358.24205,0 ,3 ,0 ,0 
2023/11/1 12:30,2415.59448,0 ,3 ,0 ,0 
2023/11/1 13:00,2534.97189,0 ,3 ,0 ,0 
2023/11/1 13:30,2551.26537,0 ,3 ,0 ,0 
2023/11/1 14:00,2589.47974,0 ,3 ,0 ,0 
2023/11/1 14:30,2616.69017,0 ,3 ,0 ,0 
2023/11/1 15:00,2656.64473,0 ,3 ,0 ,0 
2023/11/1 15:30,2717.87156,0 ,3 ,0 ,0 
2023/11/1 16:00,2812.08672,0 ,3 ,0 ,0 
2023/11/1 16:30,2860.51689,0 ,3 ,0 ,0 
2023/11/1 17:00,2830.07576,0 ,3 ,0 ,0 
2023/11/1 17:30,2745.27066,0 ,3 ,0 ,0 
