Building_block_id,tRESP_GSP_area,Pathway,Year,Value,Unit,DNO_licence_area
Dem_BB005_1,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2025,5.250734,GWh,SSEN South
Dem_BB005_1,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2026,5.44248,GWh,SSEN South
Dem_BB005_1,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2027,8.474525,GWh,SSEN South
Dem_BB005_1,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2028,11.565837,GWh,SSEN South
Dem_BB005_1,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2029,14.749805,GWh,SSEN South
Dem_BB005_1,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2030,17.746168,GWh,SSEN South
Dem_BB005_1,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2031,21.02027,GWh,SSEN South
Dem_BB005_1,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2032,25.599323,GWh,SSEN South
Dem_BB005_1,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2033,30.221841,GWh,SSEN South
Dem_BB005_1,BASI_in_H@BRLE_1|FLEE_1,tRESP - HT,2034,34.795705,GWh,SSEN South
Dem_BB005_1,BEDDT_HURS_LPN,tRESP - HT,2025,6.863042,GWh,UKPN London
Dem_BB005_1,BEDDT_HURS_LPN,tRESP - HT,2026,7.423835,GWh,UKPN London
Dem_BB005_1,BEDDT_HURS_LPN,tRESP - HT,2027,8.100145,GWh,UKPN London
Dem_BB005_1,BEDDT_HURS_LPN,tRESP - HT,2028,8.954244,GWh,UKPN London
Dem_BB005_1,BEDDT_HURS_LPN,tRESP - HT,2029,9.883878,GWh,UKPN London
Dem_BB005_1,BEDDT_HURS_LPN,tRESP - HT,2030,10.883726,GWh,UKPN London
Dem_BB005_1,BEDDT_HURS_LPN,tRESP - HT,2031,11.910431,GWh,UKPN London
Dem_BB005_1,BEDDT_HURS_LPN,tRESP - HT,2032,12.839562,GWh,UKPN London
Dem_BB005_1,BEDDT_HURS_LPN,tRESP - HT,2033,13.712457,GWh,UKPN London
Dem_BB005_1,BEDDT_HURS_LPN,tRESP - HT,2034,14.521163,GWh,UKPN London
Dem_BB005_1,BRAI_RAYL_EPN,tRESP - HT,2025,14.901698,GWh,UKPN Eastern
Dem_BB005_1,BRAI_RAYL_EPN,tRESP - HT,2026,15.019494,GWh,UKPN Eastern
Dem_BB005_1,BRAI_RAYL_EPN,tRESP - HT,2027,15.221753,GWh,UKPN Eastern
Dem_BB005_1,BRAI_RAYL_EPN,tRESP - HT,2028,15.608346,GWh,UKPN Eastern
Dem_BB005_1,BRAI_RAYL_EPN,tRESP - HT,2029,16.05021,GWh,UKPN Eastern
Dem_BB005_1,BRAI_RAYL_EPN,tRESP - HT,2030,16.541757,GWh,UKPN Eastern
Dem_BB005_1,BRAI_RAYL_EPN,tRESP - HT,2031,17.046226,GWh,UKPN Eastern
Dem_BB005_1,BRAI_RAYL_EPN,tRESP - HT,2032,17.556208,GWh,UKPN Eastern
Dem_BB005_1,BRAI_RAYL_EPN,tRESP - HT,2033,18.021951,GWh,UKPN Eastern
Dem_BB005_1,BRAI_RAYL_EPN,tRESP - HT,2034,18.468554,GWh,UKPN Eastern
Dem_BB005_1,Bold_in_G@RAIN_1,tRESP - HT,2025,2.425361,GWh,SP ENW
Dem_BB005_1,Bold_in_G@RAIN_1,tRESP - HT,2026,2.868245,GWh,SP ENW
Dem_BB005_1,Bold_in_G@RAIN_1,tRESP - HT,2027,3.34157,GWh,SP ENW
Dem_BB005_1,Bold_in_G@RAIN_1,tRESP - HT,2028,3.969614,GWh,SP ENW
Dem_BB005_1,Bold_in_G@RAIN_1,tRESP - HT,2029,4.629268,GWh,SP ENW
Dem_BB005_1,Bold_in_G@RAIN_1,tRESP - HT,2030,5.194164,GWh,SP ENW
Dem_BB005_1,Bold_in_G@RAIN_1,tRESP - HT,2031,5.661242,GWh,SP ENW
Dem_BB005_1,Bold_in_G@RAIN_1,tRESP - HT,2032,6.157708,GWh,SP ENW
Dem_BB005_1,Bold_in_G@RAIN_1,tRESP - HT,2033,6.49925,GWh,SP ENW
Dem_BB005_1,Bold_in_G@RAIN_1,tRESP - HT,2034,6.717807,GWh,SP ENW
Dem_BB005_1,CARE_ABTH_NGED,tRESP - HT,2025,10.091555,GWh,NGED South Wales
Dem_BB005_1,CARE_ABTH_NGED,tRESP - HT,2026,16.897302,GWh,NGED South Wales
Dem_BB005_1,CARE_ABTH_NGED,tRESP - HT,2027,22.327502,GWh,NGED South Wales
Dem_BB005_1,CARE_ABTH_NGED,tRESP - HT,2028,31.878056,GWh,NGED South Wales
Dem_BB005_1,CARE_ABTH_NGED,tRESP - HT,2029,38.839428,GWh,NGED South Wales
Dem_BB005_1,CARE_ABTH_NGED,tRESP - HT,2030,46.304071,GWh,NGED South Wales
Dem_BB005_1,CARE_ABTH_NGED,tRESP - HT,2031,55.333198,GWh,NGED South Wales
Dem_BB005_1,CARE_ABTH_NGED,tRESP - HT,2032,63.568018,GWh,NGED South Wales
Dem_BB005_1,CARE_ABTH_NGED,tRESP - HT,2033,71.592399,GWh,NGED South Wales
Dem_BB005_1,CARE_ABTH_NGED,tRESP - HT,2034,79.464182,GWh,NGED South Wales
Dem_BB005_1,CHESSINGTON_UKPN_LPN,tRESP - HT,2025,4.286979,GWh,UKPN London
Dem_BB005_1,CHESSINGTON_UKPN_LPN,tRESP - HT,2026,4.362644,GWh,UKPN London
Dem_BB005_1,CHESSINGTON_UKPN_LPN,tRESP - HT,2027,4.487465,GWh,UKPN London
Dem_BB005_1,CHESSINGTON_UKPN_LPN,tRESP - HT,2028,4.673652,GWh,UKPN London
Dem_BB005_1,CHESSINGTON_UKPN_LPN,tRESP - HT,2029,4.8885,GWh,UKPN London
Dem_BB005_1,CHESSINGTON_UKPN_LPN,tRESP - HT,2030,5.139081,GWh,UKPN London
Dem_BB005_1,CHESSINGTON_UKPN_LPN,tRESP - HT,2031,5.396062,GWh,UKPN London
Dem_BB005_1,CHESSINGTON_UKPN_LPN,tRESP - HT,2032,5.642079,GWh,UKPN London
Dem_BB005_1,CHESSINGTON_UKPN_LPN,tRESP - HT,2033,5.849484,GWh,UKPN London
Dem_BB005_1,CHESSINGTON_UKPN_LPN,tRESP - HT,2034,6.045075,GWh,UKPN London
Dem_BB005_1,CONQA_SASA_PENT_SPM,tRESP - HT,2025,8.818389,GWh,SPEN Manweb
Dem_BB005_1,CONQA_SASA_PENT_SPM,tRESP - HT,2026,9.233872,GWh,SPEN Manweb
Dem_BB005_1,CONQA_SASA_PENT_SPM,tRESP - HT,2027,10.183619,GWh,SPEN Manweb
Dem_BB005_1,CONQA_SASA_PENT_SPM,tRESP - HT,2028,11.13335,GWh,SPEN Manweb
Dem_BB005_1,CONQA_SASA_PENT_SPM,tRESP - HT,2029,13.448546,GWh,SPEN Manweb
Dem_BB005_1,CONQA_SASA_PENT_SPM,tRESP - HT,2030,15.763748,GWh,SPEN Manweb
Dem_BB005_1,CONQA_SASA_PENT_SPM,tRESP - HT,2031,18.078977,GWh,SPEN Manweb
Dem_BB005_1,CONQA_SASA_PENT_SPM,tRESP - HT,2032,20.364515,GWh,SPEN Manweb
Dem_BB005_1,CONQA_SASA_PENT_SPM,tRESP - HT,2033,23.273399,GWh,SPEN Manweb
Dem_BB005_1,CONQA_SASA_PENT_SPM,tRESP - HT,2034,26.686879,GWh,SPEN Manweb
Dem_BB005_1,ELST_WATFS_EPN,tRESP - HT,2025,11.266205,GWh,UKPN Eastern
Dem_BB005_1,ELST_WATFS_EPN,tRESP - HT,2026,11.560137,GWh,UKPN Eastern
Dem_BB005_1,ELST_WATFS_EPN,tRESP - HT,2027,12.063316,GWh,UKPN Eastern
Dem_BB005_1,ELST_WATFS_EPN,tRESP - HT,2028,12.954808,GWh,UKPN Eastern
Dem_BB005_1,ELST_WATFS_EPN,tRESP - HT,2029,13.972282,GWh,UKPN Eastern
Dem_BB005_1,ELST_WATFS_EPN,tRESP - HT,2030,15.177114,GWh,UKPN Eastern
Dem_BB005_1,ELST_WATFS_EPN,tRESP - HT,2031,16.445087,GWh,UKPN Eastern
Dem_BB005_1,ELST_WATFS_EPN,tRESP - HT,2032,17.729221,GWh,UKPN Eastern
Dem_BB005_1,ELST_WATFS_EPN,tRESP - HT,2033,18.841527,GWh,UKPN Eastern
Dem_BB005_1,ELST_WATFS_EPN,tRESP - HT,2034,19.914023,GWh,UKPN Eastern
Dem_BB005_1,FLEE_in_H@BRLE_1|FLEE_1,tRESP - HT,2025,15.214533,GWh,SSEN South
Dem_BB005_1,FLEE_in_H@BRLE_1|FLEE_1,tRESP - HT,2026,16.002525,GWh,SSEN South
Dem_BB005_1,FLEE_in_H@BRLE_1|FLEE_1,tRESP - HT,2027,23.184076,GWh,SSEN South
Dem_BB005_1,FLEE_in_H@BRLE_1|FLEE_1,tRESP - HT,2028,30.782864,GWh,SSEN South
Dem_BB005_1,FLEE_in_H@BRLE_1|FLEE_1,tRESP - HT,2029,38.850035,GWh,SSEN South
Dem_BB005_1,FLEE_in_H@BRLE_1|FLEE_1,tRESP - HT,2030,47.107574,GWh,SSEN South
Dem_BB005_1,FLEE_in_H@BRLE_1|FLEE_1,tRESP - HT,2031,54.594939,GWh,SSEN South
Dem_BB005_1,FLEE_in_H@BRLE_1|FLEE_1,tRESP - HT,2032,66.718049,GWh,SSEN South
Dem_BB005_1,FLEE_in_H@BRLE_1|FLEE_1,tRESP - HT,2033,77.430167,GWh,SSEN South
Dem_BB005_1,FLEE_in_H@BRLE_1|FLEE_1,tRESP - HT,2034,87.590021,GWh,SSEN South
Dem_BB005_1,HARKER_HUTTON_ENWL,tRESP - HT,2025,10.636067,GWh,SP ENW
Dem_BB005_1,HARKER_HUTTON_ENWL,tRESP - HT,2026,16.885328,GWh,SP ENW
Dem_BB005_1,HARKER_HUTTON_ENWL,tRESP - HT,2027,23.578154,GWh,SP ENW
Dem_BB005_1,HARKER_HUTTON_ENWL,tRESP - HT,2028,32.471365,GWh,SP ENW
Dem_BB005_1,HARKER_HUTTON_ENWL,tRESP - HT,2029,41.831004,GWh,SP ENW
Dem_BB005_1,HARKER_HUTTON_ENWL,tRESP - HT,2030,49.877926,GWh,SP ENW
Dem_BB005_1,HARKER_HUTTON_ENWL,tRESP - HT,2031,56.583788,GWh,SP ENW
Dem_BB005_1,HARKER_HUTTON_ENWL,tRESP - HT,2032,63.685865,GWh,SP ENW
Dem_BB005_1,HARKER_HUTTON_ENWL,tRESP - HT,2033,68.603966,GWh,SP ENW
Dem_BB005_1,HARKER_HUTTON_ENWL,tRESP - HT,2034,71.782851,GWh,SP ENW
Dem_BB005_1,IVER_132KV_in_H@IVER_1|IVER_6,tRESP - HT,2025,5.837977,GWh,SSEN South
Dem_BB005_1,IVER_132KV_in_H@IVER_1|IVER_6,tRESP - HT,2026,5.972892,GWh,SSEN South
