date,CoVaR,MES,房价收入比,指标名称,Risk.2F,Factor1,Factor2,Risk.PC,Risk.Entropy,Risk.Equal,CoVaR,House,Debt,收益率,波动率,OECD,IVA,PMI,M2,期限利差,信用利差,Risk.3F,SFR.Index,指标名称,Risk.2F,转移概率,状态,Risk.3F,SFR.Index
2005-01-28,"0,01346637925","0,02586009146","0,4298872713",2005年1月,"-0,0007236694147","0,001344882601","-0,00279222143","-1,381884339","-1,225495217","-1,321804384","-1,26046574","-1,657960719","-1,046986693","-0,0556557961","0,0693829787","99,9","20,9","54,7","14,5","2,23","1,01","-1,281897941","50,37642446",2005年1月,"-0,0007236694147",,0,"-1,281897941","50,37642446"
2005-02-25,"0,01306405444","0,02597570721","0,4291848411",2005年2月,"-0,003551349157","-0,0008476936592","-0,006255004656","-1,394395759","-1,231990184","-1,333612785","-1,294070646","-1,661569257","-1,04519845","0,09124890635","0,1076911765","99,8","7,6","54,5","14,23","1,98","0,964","-1,279473389","49,93260256",2005年2月,"-0,003551349157","0,006066902066",0,"-1,279473389","49,93260256"
2005-03-25,"0,01376934286","0,02635577781","0,4312921316",2005年3月,"0,002914495218","0,002536237175","0,00329275326","-1,359458981","-1,210928326","-1,300510236","-1,208096285","-1,650743637","-1,042690787","-0,1004681072","0,133898409","99,8","15,1","57,9","14,22","1,78","0,906","-1,259447491","51,15302216",2005年3月,"0,002914495218","0,006822871475",0,"-1,259447491","51,15302216"
2005-04-29,"0,01396746412","0,02722312889","0,4182971733",2005年4月,"0,0006766375133","-0,003249545615","0,004602820641","-1,38322925","-1,224816901","-1,322759281","-1,21058995","-1,71750162","-1,040186274","-0,02942593183","0,1126744826","99,8",16,"56,7","14,28","1,45","0,812","-1,269371531","50,57070259",2005年4月,"0,0006766375133","0,006861680374",0,"-1,269371531","50,57070259"
2005-05-27,"0,01488025069","0,02876297077","0,4221605393",2005年5月,"0,01033434549","0,003114579321","0,01755411166","-1,332536249","-1,194233541","-1,27474436","-1,08987528","-1,697654653","-1,036703146","-0,06559977279","0,08712609834","99,8","16,6","52,9","14,64","1,36","0,772","-1,256949822","52,32394889",2005年5月,"0,01033434549","0,006573482208",0,"-1,256949822","52,32394889"
2005-06-24,"0,015437115","0,03043314939","0,4295360562",2005年6月,"0,01301411912","0,007750462533","0,01827777571","-1,31163438","-1,179617722","-1,254982881","-1,073549055","-1,659764988","-1,031634601","0,01202729543","0,1264568022","99,9","16,8","51,7","15,67","1,43","0,73","-1,241814888","52,91081129",2005年6月,"0,01301411912","0,005789518254",0,"-1,241814888","52,91081129"
2005-07-29,"0,01548731547","0,03109483644","0,4358579278",2005年7月,"0,01536878767","0,01184405083","0,01889352451","-1,292931731","-1,165826893","-1,23726237","-1,059310688","-1,627288131","-1,025188291","-0,01756612632","0,08189488341","99,9","16,1","51,1","16,3","1,58","0,678","-1,226603428","53,43810221",2005年7月,"0,01536878767","0,004740696419",0,"-1,226603428","53,43810221"
2005-08-26,"0,01632887318","0,03244256589","0,4309409166",2005年8月,"0,02141749318","0,01446180655","0,02837317981","-1,270129698","-1,150682485","-1,215456485","-0,9755457182","-1,652547906","-1,018275832","0,07792155425","0,1030031493","99,9",16,"52,6","17,34","1,73","0,664","-1,189735091","54,3633899",2005年8月,"0,02141749318","0,003709645409",0,"-1,189735091","54,3633899"
2005-09-30,"0,01742193603","0,03435213819","0,4344530675",2005年9月,"0,02949850895","0,02048448564","0,03851253226","-1,227118384","-1,12294807","-1,174641957","-0,8786397616","-1,634505213","-1,010780896","0,004492628216","0,07944659451","99,8","16,5","55,1","17,92","1,92","0,668","-1,170690964","55,83627739",2005年9月,"0,02949850895","0,00287630268",0,"-1,170690964","55,83627739"
2005-10-28,"0,01670449533","0,03583260203","0,4337506373",2005年10月,"0,02527060128","0,01879790677","0,03174329579","-1,246678469","-1,131043504","-1,193018689","-0,9381579618","-1,638113752","-1,002784355","-0,04683045496","0,07956509564","99,7","16,1","54,1","17,99","1,56","0,596","-1,182406036","55,12276346",2005年10月,"0,02527060128","0,002339737687",0,"-1,182406036","55,12276346"
2005-11-25,"0,0141666278","0,03731422821","0,4358579278",2005年11月,"0,006660862273","0,009837135341","0,003484589204","-1,328833784","-1,174196978","-1,270727711","-1,190766044","-1,627288131","-0,994128957","-0,0009924066254","0,04327715612","99,7","16,6","54,1","18,3","1,63","0,652","-1,226505286","52,06561282",2005年11月,"0,006660862273","0,002154315082",0,"-1,226505286","52,06561282"
2005-12-23,"0,01339718627","0,03759989614","0,4400725089",2005年12月,"0,0004837689376","0,005631493738","-0,004663955863","-1,34589158","-1,18090859","-1,286843588","-1,267352906","-1,605636895","-0,9875409624","0,03973681062","0,08142157343","99,7","16,5","54,3","17,57","1,39","0,646","-1,23059346","51,33695164",2005年12月,"0,0004837689376","0,002374909773",0,"-1,23059346","51,33695164"
2006-01-25,"0,01389221263","0,03759989614","0,3838922815",2006年1月,"-0,004422431287","-0,01620685966","0,007361997086","-1,42985187","-1,232965494","-1,365340881","-1,218080102","-1,894247167","-0,9836953743","0,08577692095","0,08288545379","99,8","12,6","52,1","19,21","1,38","0,604","-1,30298248","49,51891358",2006年1月,"-0,004422431287","0,003205509922",0,"-1,30298248","49,51891358"
2006-02-24,"0,01416594193","0,03726968809","0,3863750125",2006年2月,"-0,00268934634","-0,01672412132","0,01134542864","-1,414126581","-1,223582558","-1,350479195","-1,186719923","-1,881492827","-0,9832248348","0,02454901787","0,04143934189",100,"20,1","52,1","18,82","1,24","0,586","-1,288698667","50,035526",2006年2月,"-0,00268934634","0,005553292766",0,"-1,288698667","50,035526"
2006-03-31,"0,01370912726","0,03641010439","0,3963059365",2006年3月,"-0,004382212672","-0,01310536093","0,00434093559","-1,413068953","-1,221523687","-1,34962913","-1,236303675","-1,830475471","-0,9821082445","0,01534534653","0,07262642167","100,2","17,8","55,3","18,76","1,21","0,582","-1,278545036","49,85110789",2006年3月,"-0,004382212672","0,01315898101",0,"-1,278545036","49,85110789"
2006-04-28,"0,01341687612","0,03644408027","0,4121333467",2006年4月,"-0,003054199831","-0,004583000432","-0,00152539923","-1,39333412","-1,207419892","-1,331151504","-1,26539305","-1,749166559","-0,978894904","0,09653125998","0,09211607396","100,4","16,6","58,1","18,92","1,28","0,596","-1,25218441","50,21158707",2006年4月,"-0,003054199831","0,04501673077",0,"-1,25218441","50,21158707"
2006-05-26,"0,01346628416","0,03558982204","0,4198918811",2006年5月,"0,00218036433","0,004188382388","0,0001723462729","-1,366007437","-1,189545912","-1,305330193","-1,231732005","-1,709309251","-0,9749493215","0,1721328335","0,1666560567","100,5","17,9","54,8","19,05","1,28","0,602","-1,234933379","51,02629102",2006年5月,"0,00218036433","0,2167970076",0,"-1,234933379","51,02629102"
2006-06-30,"0,01805340026","0,03440609477","0,4304434878",2006年6月,"0,0379950238","0,03118306403","0,04480698357","-1,194854489","-1,089551924","-1,143311875","-0,8038939105","-1,655103309","-0,9709384052","0,04126415551","0,1114911612","100,7","19,5","54,1","18,43","1,17","0,618","-1,130774115","57,01725691",2006年6月,"0,0379950238","0,7716453779",1,"-1,130774115","57,01725691"
2006-07-28,"0,02204702263","0,0351394969","0,4534087496",2006年7月,"0,07317005301","0,06150640306","0,08483370296","-1,011512168","-0,9811167792","-0,9699507008","-0,4063862997","-1,53712567","-0,9663401323","-0,05280955943","0,09398852418","100,7","16,7","52,4","18,4","1,15","0,642","-1,014594254","63,17519881",2006年7月,"0,07317005301","0,9862281283",1,"-1,014594254","63,17519881"
2006-08-25,"0,02447725587","0,03515159801","0,4583742116",2006年8月,"0,09399305471","0,07834475195","0,1096413575","-0,9156642389","-0,9241528091","-0,879154","-0,1644916308","-1,511616992","-0,9613533771","0,03980574886","0,1042424223","100,8","15,7","53,1","17,94","1,12","0,65","-0,9427472505","66,54545686",2006年8月,"0,09399305471","0,9979652441",1,"-0,9427472505","66,54545686"
2006-09-29,"0,02447386387","0,03332464305","0,4608569426",2006年9月,"0,09515836493","0,08291282814","0,1074039017","-0,912377755","-0,9201270766","-0,8759978184","-0,1726755463","-1,498862653","-0,9564552558","0,04740780018","0,06674638442",101,"16,1",57,"16,83","1,11","0,626","-0,9350648573","66,59977631",2006年9月,"0,09515836493","0,9979548082",1,"-0,9350648573","66,59977631"
2006-10-27,"0,02448054161","0,03179217384","0,4689258184",2006年10月,"0,09831613055","0,0901777185","0,1064545426","-0,892974393","-0,9063089285","-0,8576685736","-0,1641645568","-1,457411055","-0,9514301092","0,024212777","0,03656823846","101,2","14,7","54,7","17,08","0,94","0,592","-0,9104914252","67,11674831",2006年10月,"0,09831613055","0,9975304947",1,"-0,9104914252","67,11674831"
