"R分","F分","M分","会员人数","占比_百分比","平均金额","最小金额","最大金额","平均最近交易天数","平均交易频次","客户分层"
5,5,5,289943,5.15,83368.08,3900.00,9424283.18,1.6,111.7,重要价值客户
1,2,1,243612,4.32,100.00,99.00,100.00,45.8,1.0,流失客户
1,1,1,241973,4.29,100.00,99.00,100.00,45.5,1.0,流失客户
1,3,2,172420,3.06,245.49,199.00,400.00,45.0,2.0,一般维持客户
2,5,5,158886,2.82,44788.32,3900.00,5559998.57,21.4,48.1,流失风险客户
2,1,1,156645,2.78,99.99,99.01,100.00,22.4,1.0,流失客户
2,2,1,152327,2.70,99.99,99.00,100.00,22.3,1.0,流失客户
1,2,2,137909,2.45,228.71,100.00,400.00,45.6,1.0,流失客户
3,5,5,133565,2.37,44550.73,3900.00,5922596.86,10.7,51.4,一般维持客户
2,3,2,133101,2.36,246.08,110.00,400.00,22.3,2.0,一般维持客户
4,5,5,128751,2.29,46199.41,3900.00,15494599.78,5.3,57.4,重要价值客户
1,1,2,122676,2.18,210.45,100.00,400.00,45.5,1.0,流失客户
2,4,4,122199,2.17,2039.79,1000.00,3900.00,21.9,4.7,流失风险客户
1,4,4,120088,2.13,2063.17,1000.00,3900.00,43.5,4.5,流失风险客户
1,1,3,119538,2.12,648.95,400.00,1000.00,45.9,1.0,一般维持客户
1,3,4,119118,2.11,1825.40,1000.00,3900.00,45.2,2.0,流失风险客户
1,4,3,115047,2.04,650.76,400.00,1000.00,43.4,4.2,流失风险客户
2,4,3,114267,2.03,653.45,400.00,1000.00,21.9,4.3,流失风险客户
1,5,5,105654,1.88,37860.10,3900.00,3525800.00,42.0,37.9,流失风险客户
1,3,3,105499,1.87,609.25,400.00,1000.00,44.9,2.0,流失风险客户
1,2,3,102544,1.82,670.24,400.00,1000.00,46.1,1.0,一般维持客户
2,2,2,86034,1.53,223.49,100.00,400.00,22.1,1.0,流失客户
2,1,2,81508,1.45,206.87,100.00,400.00,22.1,1.0,流失客户
2,3,4,81245,1.44,1786.13,1000.00,3900.00,22.5,2.1,流失风险客户
2,3,3,79970,1.42,611.13,400.00,1000.00,22.5,2.1,流失风险客户
5,5,4,71993,1.28,2376.89,1000.00,3900.00,1.8,14.3,重要价值客户
1,4,5,71775,1.27,10406.49,3900.00,325800.00,44.5,4.9,流失风险客户
3,4,4,70662,1.25,2034.32,1000.00,3900.00,10.9,4.9,一般维持客户
2,5,4,69654,1.24,2259.72,1000.00,3900.00,21.4,12.7,流失风险客户
3,3,2,68430,1.21,245.65,110.00,400.00,11.0,2.0,一般维持客户
2,1,3,67284,1.19,631.36,400.00,1000.00,22.5,1.0,一般维持客户
3,2,1,65991,1.17,99.99,99.00,100.00,11.1,1.0,一般维持客户
3,4,3,65116,1.16,653.99,400.00,1000.00,10.9,4.4,一般维持客户
2,4,5,64287,1.14,10912.02,3900.00,292000.00,22.1,5.1,流失风险客户
3,1,1,62528,1.11,99.99,99.00,100.00,11.2,1.0,一般维持客户
2,2,3,57491,1.02,646.89,400.00,1000.00,22.6,1.0,一般维持客户
5,4,4,55598,0.99,2017.73,1000.00,3900.00,1.8,5.1,重要价值客户
3,5,4,54578,0.97,2289.71,1000.00,3900.00,10.8,13.1,一般维持客户
5,4,3,50639,0.90,657.36,400.00,1000.00,1.8,4.5,潜力客户
1,5,4,48936,0.87,2237.83,1000.00,3900.00,41.8,12.1,流失风险客户
4,5,4,48625,0.86,2316.06,1000.00,3900.00,5.4,13.6,重要价值客户
4,4,4,48146,0.85,2020.10,1000.00,3900.00,5.4,5.0,重要价值客户
4,4,3,45259,0.80,655.53,400.00,1000.00,5.4,4.5,潜力客户
3,3,3,40245,0.71,610.93,400.00,1000.00,11.0,2.1,一般维持客户
4,3,2,39594,0.70,247.89,110.00,400.00,5.5,2.0,一般维持客户
1,2,4,38964,0.69,1769.75,1000.00,3900.00,47.9,1.0,一般维持客户
3,3,4,38919,0.69,1774.13,1000.00,3900.00,11.0,2.1,一般维持客户
5,3,2,37761,0.67,247.00,101.00,400.00,1.9,2.1,一般维持客户
4,1,1,37513,0.67,99.99,99.01,100.00,5.5,1.0,新客户
4,2,1,37334,0.66,99.99,99.01,100.00,5.5,1.0,新客户
3,2,2,36140,0.64,222.35,100.00,400.00,11.1,1.0,一般维持客户
3,4,5,36017,0.64,10850.16,3900.00,290000.00,10.9,5.2,一般维持客户
1,1,4,35747,0.63,1836.26,1000.00,3900.00,47.5,1.0,一般维持客户
1,4,2,32805,0.58,322.22,300.00,400.00,44.0,3.1,一般维持客户
5,2,1,32664,0.58,99.99,99.01,100.00,1.9,1.0,新客户
5,1,1,32350,0.57,99.99,99.01,100.00,2.0,1.0,新客户
3,1,2,31360,0.56,210.22,100.00,400.00,11.1,1.0,一般维持客户
2,4,2,29986,0.53,323.39,297.29,400.00,22.0,3.1,一般维持客户
1,3,1,29678,0.53,100.00,100.00,100.00,49.3,1.0,一般维持客户
1,3,5,26759,0.47,8746.47,3999.00,150000.00,46.1,2.1,流失风险客户
5,4,5,25567,0.45,10187.10,3900.00,221826.00,1.9,5.4,重要价值客户
3,1,3,24720,0.44,627.20,400.00,1000.00,11.1,1.0,一般维持客户
4,3,3,23488,0.42,612.14,400.00,1000.00,5.5,2.1,潜力客户
4,4,5,22800,0.40,10679.97,3900.00,257500.00,5.4,5.3,重要价值客户
3,2,3,22503,0.40,633.88,400.00,1000.00,11.1,1.0,一般维持客户
5,3,3,22192,0.39,609.03,400.00,1000.00,1.9,2.2,潜力客户
4,3,4,21734,0.39,1778.93,1000.00,3900.00,5.4,2.1,潜力客户
4,2,2,20994,0.37,222.98,100.00,400.00,5.4,1.0,新客户
4,1,2,20439,0.36,205.60,100.00,400.00,5.4,1.0,新客户
5,3,4,19962,0.35,1799.20,1000.00,3900.00,1.9,2.1,潜力客户
5,2,2,19705,0.35,216.43,100.00,400.00,2.0,1.0,新客户
5,1,2,19397,0.34,199.74,100.00,399.82,1.9,1.0,新客户
2,2,4,17800,0.32,1739.00,1000.00,3900.00,23.1,1.0,一般维持客户
2,3,5,17064,0.30,8855.54,3901.00,143000.00,22.7,2.2,流失风险客户
2,3,1,16595,0.29,99.99,99.01,100.00,25.4,1.0,一般维持客户
3,4,2,15901,0.28,325.13,297.37,400.00,11.0,3.1,一般维持客户
2,1,4,15753,0.28,1824.70,1000.00,3900.00,22.6,1.0,一般维持客户
4,1,3,15575,0.28,624.57,400.00,1000.00,5.4,1.0,一般维持客户
5,1,3,13952,0.25,634.36,400.00,1000.00,1.9,1.0,一般维持客户
3,3,1,13445,0.24,99.99,99.01,100.00,10.9,1.0,一般维持客户
4,2,3,13017,0.23,643.09,400.00,1000.00,5.4,1.0,一般维持客户
5,2,3,12239,0.22,653.12,400.00,1000.00,1.9,1.0,一般维持客户
5,4,2,10584,0.19,325.62,297.35,400.00,1.9,3.1,一般维持客户
4,4,2,10088,0.18,327.11,297.47,400.00,5.4,3.1,一般维持客户
1,2,5,8574,0.15,7697.34,4000.00,50000.00,47.8,1.0,一般维持客户
1,1,5,8426,0.15,7777.77,4000.00,50000.00,47.7,1.0,一般维持客户
3,3,5,7624,0.14,8467.73,3903.00,93600.00,11.0,2.2,一般维持客户
3,2,4,6990,0.12,1694.84,1000.00,3900.00,11.0,1.0,一般维持客户
3,1,4,5970,0.11,1802.00,1000.00,3900.00,11.0,1.0,一般维持客户
2,5,3,4271,0.08,861.45,794.78,999.97,21.5,8.4,流失风险客户
4,3,5,4161,0.07,8495.05,3910.00,73000.00,5.4,2.2,潜力客户
2,2,5,3985,0.07,7909.26,3919.00,50000.00,22.9,1.0,一般维持客户
2,1,5,3891,0.07,7504.39,3915.00,50000.00,22.7,1.0,一般维持客户
4,2,4,3864,0.07,1718.31,1000.00,3900.00,5.5,1.0,一般维持客户
4,1,4,3730,0.07,1769.20,1000.00,3900.00,5.5,1.0,一般维持客户
5,3,5,3650,0.06,8277.32,3904.00,96600.00,1.9,2.2,潜力客户
1,5,3,3494,0.06,858.39,800.00,900.00,41.6,8.4,流失风险客户
5,2,4,3425,0.06,1725.16,1000.00,3900.00,2.0,1.0,一般维持客户
5,1,4,3131,0.06,1797.52,1000.00,3900.00,1.9,1.0,一般维持客户
3,5,3,3080,0.05,863.38,796.19,999.83,10.9,8.4,一般维持客户
4,3,1,2962,0.05,99.99,99.01,100.00,6.0,1.0,一般维持客户
5,5,3,2945,0.05,867.61,795.53,999.65,1.8,8.4,潜力客户
4,5,3,2456,0.04,864.57,796.09,999.84,5.4,8.4,潜力客户
3,2,5,1363,0.02,7576.44,3902.00,50000.00,11.1,1.0,一般维持客户
3,1,5,1306,0.02,7409.92,3903.00,50000.00,11.0,1.0,一般维持客户
5,3,1,1215,0.02,100.00,99.16,100.00,1.8,1.0,一般维持客户
4,2,5,755,0.01,7750.20,3999.00,50000.00,5.4,1.0,一般维持客户
4,1,5,735,0.01,7511.06,3967.00,50000.00,5.5,1.0,一般维持客户
5,1,5,685,0.01,7460.78,3917.00,50000.00,2.0,1.0,一般维持客户
5,2,5,608,0.01,7146.37,3957.00,50000.00,1.9,1.0,一般维持客户
