Flight_Number,Flight_Date,Origin,Destination,Route,Aircraft_Type,Aircraft_Capacity,Passengers,Load_Factor,Flight_Hours,Season,Route_Category,Demand_Level,Ticket_Revenue,Ancillary_Revenue,Total_Revenue,Fuel_Cost,Maintenance_Cost,Crew_Cost,Depreciation_Cost,Insurance_Cost,Airport_Fees,Catering_Cost,Handling_Cost,Navigation_Fees,Sales_Distribution_Cost,Passenger_Service_Cost,Overhead_Cost,Marketing_Cost,IT_Systems_Cost,Total_Cost,Profit,Profit_Margin
EK8960,2024-12-20,DXB,ORD,DXB-ORD,Boeing 777-300ER,396,308,0.7791,14.5,Peak,Long Haul,Medium,410785.49,53431.94,464217.43,131033.88,50750.0,21750.0,65250.0,11600.0,4262.3,5185.86,4460.11,10636.9,78193.6,5100.09,88545.73,25883.92,3769.37,506421.77,-42204.34,-9.09
EK3960,2024-05-13,DXB,HYD,DXB-HYD,Boeing 787-9,296,234,0.791,4.2,Normal,Medium Haul,Medium,145890.17,17695.27,163585.44,21338.76,9240.0,5040.0,13440.0,2520.0,2016.63,5851.01,5425.84,3027.25,21586.21,6022.2,17057.61,8820.56,1937.81,123323.88,40261.57,24.61
EK7529,2024-10-12,DXB,CDG,DXB-CDG,Boeing 787-9,296,251,0.8502,7.5,Shoulder,Long Haul,High,602841.03,78724.16,681565.19,41011.77,16500.0,9000.0,24000.0,4500.0,10764.79,4134.08,3761.85,3431.7,100188.97,6514.22,31347.38,23695.34,3415.99,282266.09,399299.1,58.59
EK4543,2024-06-25,DXB,DEL,DXB-DEL,Boeing 787-9,296,229,0.7748,3.5,Low,Medium Haul,High,126485.16,17543.26,144028.42,17333.86,7700.0,4200.0,11200.0,2100.0,6508.04,6508.73,4440.93,2079.79,22686.82,4791.21,15328.62,6795.49,2245.61,113919.11,30109.31,20.91
EK3114,2024-04-20,DXB,RUH,DXB-RUH,Airbus A320,180,142,0.7901,2.2,Shoulder,Short Haul,Medium,32651.15,3871.66,36522.81,5576.8,2530.0,1716.0,3740.0,616.0,4718.58,3360.52,3414.18,1662.49,5133.62,3094.65,8252.23,1492.53,1273.27,46580.86,-10058.06,-27.54
EK1737,2024-02-06,DXB,KWI,DXB-KWI,Airbus A320,180,171,0.95,2.0,Peak,Short Haul,High,55561.35,7131.73,62693.08,5169.42,2300.0,1560.0,3400.0,560.0,2723.68,3164.3,5238.84,1290.88,10373.46,4279.57,7369.82,3383.54,2002.31,52815.81,9877.27,15.75
EK2566,2024-03-27,DXB,IST,DXB-IST,Boeing 787-9,296,281,0.95,5.0,Shoulder,Medium Haul,High,197209.86,25550.13,222759.99,29311.03,11000.0,6000.0,16000.0,3000.0,4846.68,9290.85,5971.44,2336.43,32220.74,5359.55,25593.4,8024.47,3211.83,162166.43,60593.56,27.2
EK3653,2024-05-15,DXB,DOH,DXB-DOH,Boeing 737-800,189,148,0.7833,1.5,Normal,Short Haul,High,34738.82,4966.19,39705.01,3632.48,1800.0,1200.0,2700.0,450.0,3514.8,4628.11,2816.06,993.41,6653.68,3184.82,5579.27,1500.8,1325.46,39978.91,-273.9,-0.69
EK8367,2024-12-25,DXB,KWI,DXB-KWI,Airbus A320,180,171,0.95,2.0,Peak,Short Haul,High,57630.63,6379.85,64010.49,4521.15,2300.0,1560.0,3400.0,560.0,2852.17,4760.32,5166.24,886.93,11226.18,2883.92,6750.96,3388.79,1531.66,51788.33,12222.16,19.09
EK8561,2024-12-20,DXB,IST,DXB-IST,Boeing 787-9,296,281,0.95,5.0,Peak,Medium Haul,High,244854.25,25076.13,269930.38,26145.38,11000.0,6000.0,16000.0,3000.0,4839.69,9500.53,3049.7,3245.47,40752.59,6312.4,24894.97,14930.65,3240.82,172912.21,97018.17,35.94
EK1538,2024-01-09,DXB,BKK,DXB-BKK,Boeing 777-300ER,396,295,0.7452,6.5,Peak,Long Haul,Medium,613190.73,67407.23,680597.96,59403.3,22750.0,9750.0,29250.0,5200.0,4852.5,9355.81,4997.78,3142.22,81802.34,4722.63,44508.23,24054.68,3223.5,307012.99,373584.97,54.89
EK8216,2024-11-27,DXB,CDG,DXB-CDG,Boeing 777-300ER,396,338,0.8556,7.5,Shoulder,Long Haul,High,465540.37,65905.93,531446.29,62018.62,26250.0,11250.0,33750.0,6000.0,6912.65,8852.24,4314.49,4098.19,91854.32,7523.02,48274.72,18405.34,2966.84,332470.43,198975.86,37.44
EK4541,2024-06-05,DXB,DEL,DXB-DEL,Boeing 787-9,296,224,0.7601,3.5,Low,Medium Haul,High,111978.94,13531.61,125510.55,18766.55,7700.0,4200.0,11200.0,2100.0,5425.19,7529.4,2259.34,1931.71,19902.26,3708.49,18473.74,6710.34,2153.68,112060.72,13449.83,10.72
EK1748,2024-02-20,DXB,KWI,DXB-KWI,Boeing 737-800,189,176,0.9337,2.0,Peak,Short Haul,High,32310.04,3272.75,35582.79,4649.78,2400.0,1600.0,3600.0,600.0,3060.01,3646.37,2460.63,1008.64,6221.85,4344.4,7161.03,1158.26,2409.33,44320.3,-8737.51,-24.56
EK5478,2024-07-05,DXB,HKG,DXB-HKG,Boeing 777-300ER,396,298,0.755,8.5,Low,Long Haul,High,599820.02,67653.68,667473.69,71054.71,29750.0,12750.0,38250.0,6800.0,4959.16,,3517.97,6270.08,113852.44,8189.55,46102.42,39145.07,2574.56,388671.45,278802.24,41.77
EK6953,2024-09-08,DXB,SFO,DXB-SFO,Boeing 777-300ER,396,310,0.7852,16.5,Normal,Long Haul,Medium,438671.93,46427.87,485099.81,134029.21,57750.0,24750.0,74250.0,13200.0,3914.11,9123.25,3117.36,11028.06,69399.26,8847.95,95643.68,26522.43,4528.6,536103.9,-51004.1,-10.51
EK5087,2024-07-23,DXB,BAH,DXB-BAH,Boeing 737-800,189,138,0.7337,1.3,Low,Short Haul,High,34245.9,3804.67,38050.56,3301.5,1560.0,1040.0,2340.0,390.0,3282.44,2043.72,3764.48,757.82,5592.79,2144.93,4610.91,1445.78,1299.55,33573.92,4476.64,11.76
EK5157,2024-07-27,DXB,AMM,DXB-AMM,Airbus A350-900,325,211,0.65,3.2,Low,Short Haul,Medium,57231.62,5796.1,63027.72,20698.47,7680.0,4160.0,11200.0,2080.0,4343.61,4179.38,2287.52,1903.13,10253.38,4861.37,18198.26,3508.39,2575.0,97928.52,-34900.8,-55.37
EK2075,2024-02-08,DXB,JFK,DXB-JFK,Airbus A380,517,473,0.9167,14.0,Peak,Long Haul,High,1116693.77,112577.71,1229271.48,159367.2,70000.0,28000.0,84000.0,14000.0,8400.65,13309.65,5361.6,10495.96,213809.26,10974.43,100155.31,57897.05,7088.63,782859.75,446411.74,36.32
EK6891,2024-09-21,DXB,FRA,DXB-FRA,Airbus A380,517,458,0.8863,6.5,Normal,Long Haul,High,1001779.0,137051.89,1138830.89,74385.09,32500.0,13000.0,39000.0,6500.0,10490.27,7440.11,3415.28,4174.37,170038.26,8463.73,47921.6,68111.65,5014.56,490454.92,648375.98,56.93
EK1239,2024-01-11,DXB,DEL,DXB-DEL,Boeing 787-9,296,271,0.9163,3.5,Peak,Medium Haul,High,125024.71,15554.8,140579.51,20786.24,7700.0,4200.0,11200.0,2100.0,6811.39,8360.04,2381.46,1934.16,22286.81,4216.92,21020.91,7507.46,3916.79,124422.18,16157.33,11.49
EK4782,2024-06-30,DXB,MEL,DXB-MEL,Boeing 777-300ER,396,245,0.6196,13.5,Low,Long Haul,Medium,205682.39,21827.74,227510.13,120632.62,47250.0,20250.0,60750.0,10800.0,3210.52,2966.89,4484.67,5531.8,35400.24,4277.56,70814.53,8860.53,2458.2,397687.55,-170177.42,-74.8
EK2373,2024-03-15,DXB,MCT,DXB-MCT,Boeing 737-800,189,156,0.8269,1.2,Shoulder,Short Haul,High,38328.72,5412.25,43740.97,3134.4,1440.0,960.0,2160.0,360.0,4950.55,2274.79,4675.06,699.89,7518.55,3386.98,6250.39,1773.75,1556.73,41141.08,2599.89,5.94
EK3288,2024-04-16,DXB,BLR,DXB-BLR,Airbus A350-900,325,238,0.7337,4.5,Shoulder,Medium Haul,Medium,109197.19,14888.92,124086.11,28613.61,10800.0,5850.0,15750.0,2925.0,4953.4,4981.17,3229.72,2105.76,17074.98,4667.0,22306.5,6707.92,1941.69,131906.75,-7820.64,-6.3
EK2886,2024-03-30,DXB,CDG,DXB-CDG,Boeing 787-9,296,279,0.9435,7.5,Shoulder,Long Haul,High,554145.14,61489.55,615634.69,39602.88,16500.0,9000.0,24000.0,4500.0,8665.28,5122.31,4296.3,5682.49,109856.32,5016.28,33277.21,21200.56,3781.15,290500.78,325133.91,52.81
EK7517,2024-10-31,DXB,KUL,DXB-KUL,Boeing 777-300ER,396,306,0.7736,7.5,Shoulder,Long Haul,Medium,550213.58,56691.78,606905.36,67035.58,26250.0,11250.0,33750.0,6000.0,4256.33,10506.36,3997.16,5182.35,91151.01,4988.73,56913.09,20861.93,4391.98,346534.51,260370.85,42.9
EK2922,2024-03-31,DXB,FRA,DXB-FRA,Boeing 787-9,296,246,0.8331,6.5,Shoulder,Long Haul,High,455170.85,55039.25,510210.1,34850.31,14300.0,7800.0,20800.0,3900.0,11883.72,4165.21,4209.38,5025.42,84576.51,5745.89,33726.9,17046.79,2040.28,250070.42,260139.68,50.99
EK5625,2024-07-24,DXB,SFO,DXB-SFO,Boeing 777-300ER,396,235,0.5936,16.5,Low,Long Haul,Medium,287717.53,31219.76,318937.29,137867.29,57750.0,24750.0,74250.0,13200.0,4021.52,4888.6,4709.41,6650.21,46747.93,3666.67,111465.03,12429.47,3032.9,505429.04,-186491.75,-58.47
EK8219,2024-11-07,DXB,CDG,DXB-CDG,Boeing 777-300ER,396,334,0.8448,7.5,Shoulder,Long Haul,High,607658.32,61528.15,669186.47,67378.43,26250.0,11250.0,33750.0,6000.0,7951.77,11397.92,5196.7,3391.13,101442.08,7930.11,58379.53,26013.84,3200.64,369532.17,299654.31,44.78
EK6682,2024-09-21,DXB,LHE,DXB-LHE,Airbus A350-900,325,227,0.699,3.5,Normal,Medium Haul,Medium,167497.82,17838.8,185336.62,21010.5,8400.0,4550.0,12250.0,2275.0,3474.32,6500.15,2287.95,1448.82,24938.03,5860.38,19411.89,8846.13,3237.21,124490.38,60846.24,32.83
