observation_date,NGDPRXDCJPA
1994-01-01,464267400
1995-01-01,475140900
1996-01-01,489753700
1997-01-01,496428800
1998-01-01,487629000
1999-01-01,485934000
2000-01-01,500406600
2001-01-01,501830700
2002-01-01,502257300
2003-01-01,509189000
2004-01-01,519947900
2005-01-01,529558100
2006-01-01,537746700
2007-01-01,547040800
2008-01-01,540659000
2009-01-01,508565800
2010-01-01,529602400
2011-01-01,528541300
2012-01-01,537256600
2013-01-01,547987000
2014-01-01,552951400
2015-01-01,562904500
2016-01-01,566872700
2017-01-01,576075700
2018-01-01,580881000
2019-01-01,579089000
2020-01-01,554285000
2021-01-01,574040800
2022-01-01,581685100
2023-01-01,585877800
2024-01-01,584471100
