循环号,起始绝对时间,结束绝对时间,充电容量(Ah),放电容量(Ah),充电能量(Wh),放电能量(Wh),恒流充入比率(%),恒流充入容量(Ah),中值电压(V),容量保持率(%),净放电容量(Ah),净放电能量(Wh),T1 辅助通道起始温度(℃),T1 辅助通道结束温度(℃),T1 充电最高温度(℃),T1 充电最低温度(℃),T1 放电最高温度(℃),T1 放电最低温度(℃)
1,2022-10-01 11:01:44,2022-10-01 15:18:13,0.0000,1.0588,0.0000,3.1467,0.00,0.0000,3.0161,26.44,1.0588,3.1467,25.4,25.5,0.0,0.0,25.9,25.4
2,2022-10-01 15:18:13,2022-10-01 22:20:56,4.0057,4.0043,15.3965,13.9427,94.77,3.7960,3.4786,100.00,-0.0014,-1.4538,25.5,25.5,25.9,25.3,25.9,25.3
3,2022-10-01 22:20:56,2022-10-02 05:23:14,4.0074,4.0047,15.3666,13.9544,95.05,3.8089,3.4793,100.01,-0.0027,-1.4122,25.5,25.3,25.8,25.3,25.8,25.3
4,2022-10-02 05:23:14,2022-10-02 12:27:11,4.0076,4.0069,15.3497,13.9704,95.22,3.8160,3.4807,100.07,-0.0007,-1.3793,25.3,25.6,25.8,25.3,25.9,25.3
5,2022-10-02 12:27:11,2022-10-02 18:38:16,4.0094,0.8242,15.3408,3.2698,95.42,3.8256,3.9636,20.58,-3.1852,-12.0710,25.6,25.5,26.7,25.4,25.9,25.4
6,2022-10-02 18:38:16,2022-10-02 23:31:32,0.0228,1.2249,0.0950,4.5283,100.00,0.0228,3.7028,30.59,1.2021,4.4333,25.5,25.4,25.7,25.5,25.9,25.4
7,2022-10-02 23:31:33,2022-10-03 04:24:48,0.0228,1.2249,0.0852,4.0518,100.00,0.0228,3.3080,30.59,1.2021,3.9666,25.4,25.4,25.8,25.4,25.9,25.3
8,2022-10-03 04:24:48,2022-10-03 07:06:33,0.0228,0.6421,0.0791,1.8338,100.00,0.0228,2.8852,16.03,0.6193,1.7547,25.4,25.4,25.8,25.3,26.6,25.5
9,2022-10-03 07:06:33,2022-10-03 11:10:41,3.8497,3.8410,14.9171,13.0334,90.13,3.4699,3.3986,95.92,-0.0087,-1.8837,25.4,25.5,25.9,25.4,26.8,25.4
10,2022-10-03 11:10:42,2022-10-03 15:13:48,3.8439,3.8409,14.8779,13.0391,90.69,3.4860,3.3987,95.92,-0.0030,-1.8388,25.7,25.7,26.2,25.4,26.9,25.5
11,2022-10-03 15:13:48,2022-10-03 19:16:27,3.8432,3.8404,14.8675,13.0401,90.97,3.4962,3.3989,95.91,-0.0028,-1.8274,25.7,25.5,26.0,25.5,26.9,25.5
12,2022-10-03 19:16:27,2022-10-03 23:18:51,3.8426,3.8412,14.8589,13.0472,91.16,3.5030,3.3999,95.93,-0.0013,-1.8117,25.5,25.5,26.0,25.5,26.9,25.3
13,2022-10-03 23:18:51,2022-10-04 03:20:57,3.8430,3.8406,14.8541,13.0490,91.33,3.5099,3.4007,95.91,-0.0023,-1.8051,25.7,25.4,26.0,25.5,26.9,25.4
14,2022-10-04 03:20:58,2022-10-04 07:22:52,3.8422,3.8399,14.8466,13.0499,91.47,3.5144,3.4015,95.90,-0.0023,-1.7967,25.4,25.5,26.0,25.3,26.8,25.5
15,2022-10-04 07:22:53,2022-10-04 11:24:37,3.8417,3.8403,14.8403,13.0549,91.58,3.5183,3.4026,95.91,-0.0013,-1.7854,25.5,25.4,25.9,25.3,26.8,25.4
16,2022-10-04 11:24:38,2022-10-04 15:26:12,3.8419,3.8396,14.8365,13.0561,91.70,3.5229,3.4036,95.89,-0.0022,-1.7804,25.4,25.3,25.9,25.4,26.8,25.4
17,2022-10-04 15:26:12,2022-10-04 19:27:42,3.8414,3.8389,14.8312,13.0546,91.78,3.5257,3.4046,95.87,-0.0025,-1.7766,25.3,25.4,25.9,25.3,26.7,25.3
18,2022-10-04 19:27:42,2022-10-04 23:29:05,3.8404,3.8382,14.8241,13.0571,91.85,3.5273,3.4057,95.85,-0.0022,-1.7670,25.4,25.4,25.9,25.3,26.7,25.1
19,2022-10-04 23:29:05,2022-10-05 03:30:19,3.8396,3.8383,14.8179,13.0612,91.93,3.5296,3.4070,95.86,-0.0013,-1.7568,25.4,25.2,25.8,25.2,26.7,25.3
20,2022-10-05 03:30:19,2022-10-05 07:31:24,3.8394,3.8382,14.8127,13.0652,92.05,3.5342,3.4084,95.85,-0.0012,-1.7475,25.2,25.2,25.9,25.2,26.6,25.4
21,2022-10-05 07:31:24,2022-10-05 11:32:12,3.8392,3.8395,14.8086,13.0777,92.21,3.5400,3.4115,95.88,0.0003,-1.7309,25.2,25.5,26.1,25.2,26.8,25.4
22,2022-10-05 11:32:12,2022-10-05 15:33:01,3.8405,3.8395,14.8095,13.0813,92.25,3.5429,3.4126,95.89,-0.0010,-1.7282,25.5,25.4,26.1,25.4,26.8,25.5
23,2022-10-05 15:33:01,2022-10-05 19:33:46,3.8408,3.8390,14.8078,13.0824,92.30,3.5451,3.4136,95.87,-0.0018,-1.7254,25.4,25.5,26.0,25.3,26.8,25.5
24,2022-10-05 19:33:46,2022-10-05 23:34:28,3.8403,3.8388,14.8035,13.0836,92.34,3.5463,3.4144,95.87,-0.0015,-1.7199,25.5,25.5,25.9,25.3,26.7,25.4
25,2022-10-05 23:34:28,2022-10-06 03:35:01,3.8397,3.8379,14.7987,13.0836,92.39,3.5474,3.4155,95.85,-0.0017,-1.7151,25.5,25.4,26.0,25.4,26.7,25.3
26,2022-10-06 03:35:02,2022-10-06 07:35:35,3.8395,3.8378,14.7958,13.0859,92.44,3.5491,3.4165,95.84,-0.0017,-1.7100,25.6,25.4,25.9,25.4,26.7,25.4
27,2022-10-06 07:35:35,2022-10-06 11:36:04,3.8391,3.8380,14.7918,13.0893,92.48,3.5502,3.4176,95.85,-0.0011,-1.7026,25.4,25.4,25.9,25.4,26.8,25.4
28,2022-10-06 11:36:05,2022-10-06 15:36:27,3.8393,3.8381,14.7898,13.0926,92.55,3.5531,3.4188,95.85,-0.0012,-1.6972,25.4,25.5,26.0,25.4,26.9,25.4
29,2022-10-06 15:36:27,2022-10-06 19:36:54,3.8395,3.8374,14.7887,13.0926,92.57,3.5542,3.4199,95.83,-0.0022,-1.6961,25.5,25.5,26.0,25.3,26.7,25.4
30,2022-10-06 19:36:54,2022-10-06 23:37:11,3.8384,3.8372,14.7829,13.0939,92.61,3.5548,3.4210,95.83,-0.0013,-1.6890,25.5,25.5,25.9,25.3,26.8,25.5
31,2022-10-06 23:37:12,2022-10-07 03:37:23,3.8385,3.8382,14.7809,13.1017,92.67,3.5571,3.4225,95.85,-0.0003,-1.6793,25.5,25.7,26.1,25.5,26.9,25.6
32,2022-10-07 03:37:23,2022-10-07 07:37:37,3.8397,3.8365,14.7829,13.0952,92.70,3.5594,3.4228,95.81,-0.0032,-1.6877,25.7,25.6,26.0,25.3,26.9,25.5
33,2022-10-07 07:37:38,2022-10-07 11:37:45,3.8374,3.8355,14.7732,13.0957,92.71,3.5577,3.4239,95.78,-0.0019,-1.6775,25.6,25.6,26.1,25.4,26.8,25.6
34,2022-10-07 11:37:45,2022-10-07 15:37:49,3.8369,3.8348,14.7697,13.0948,92.74,3.5582,3.4246,95.77,-0.0021,-1.6750,25.6,25.4,26.1,25.4,26.7,25.8
35,2022-10-07 15:37:50,2022-10-07 19:37:53,3.8362,3.8347,14.7663,13.0937,92.74,3.5577,3.4250,95.77,-0.0015,-1.6726,25.4,25.4,25.9,25.4,26.7,25.4
36,2022-10-07 19:37:53,2022-10-07 23:37:51,3.8363,3.8346,14.7646,13.0984,92.81,3.5605,3.4270,95.76,-0.0017,-1.6662,25.4,25.4,26.1,25.4,26.8,25.4
37,2022-10-07 23:37:51,2022-10-08 03:37:45,3.8355,3.8341,14.7597,13.0974,92.85,3.5611,3.4275,95.75,-0.0014,-1.6623,25.4,25.4,26.1,25.4,26.8,25.4
38,2022-10-08 03:37:45,2022-10-08 07:37:36,3.8355,3.8337,14.7584,13.0989,92.88,3.5623,3.4286,95.74,-0.0018,-1.6595,25.4,25.4,26.0,25.4,26.7,25.6
39,2022-10-08 07:37:37,2022-10-08 11:37:25,3.8340,3.8320,14.7514,13.0910,92.87,3.5606,3.4286,95.70,-0.0021,-1.6604,25.4,25.3,26.1,25.4,26.7,25.2
40,2022-10-08 11:37:25,2022-10-08 15:37:19,3.8333,3.8317,14.7490,13.0907,92.84,3.5588,3.4286,95.69,-0.0016,-1.6583,25.3,25.4,25.9,25.3,26.7,25.3
41,2022-10-08 15:37:19,2022-10-08 19:37:07,3.8325,3.8300,14.7456,13.0838,92.83,3.5576,3.4286,95.65,-0.0025,-1.6618,25.4,25.3,25.8,25.0,26.7,25.3
42,2022-10-09 14:50:51,2022-10-09 18:51:16,3.8277,3.8430,14.7475,13.1267,92.63,3.5455,3.4278,95.97,0.0154,-1.6208,25.8,25.7,26.4,25.5,26.7,25.6
43,2022-10-09 18:51:17,2022-10-09 22:51:49,3.8466,3.8392,14.7909,13.1160,92.85,3.5716,3.4288,95.88,-0.0074,-1.6749,25.7,25.5,26.0,25.4,26.6,25.3
44,2022-10-09 22:51:50,2022-10-10 02:52:04,3.8410,3.8364,14.7703,13.1080,92.85,3.5665,3.4296,95.81,-0.0046,-1.6623,25.5,25.3,26.0,25.1,26.8,25.5
45,2022-10-10 02:52:04,2022-10-10 06:52:07,3.8376,3.8343,14.7574,13.1031,92.91,3.5655,3.4307,95.76,-0.0033,-1.6543,25.3,25.3,25.9,25.3,26.7,25.5
46,2022-10-10 06:52:08,2022-10-10 10:52:00,3.8355,3.8333,14.7492,13.1030,92.93,3.5644,3.4318,95.73,-0.0022,-1.6461,25.3,25.5,26.0,25.3,26.8,25.5
47,2022-10-10 10:52:00,2022-10-10 14:51:47,3.8343,3.8316,14.7434,13.0987,92.95,3.5639,3.4328,95.69,-0.0027,-1.6446,25.5,25.5,25.9,25.4,26.8,25.4
48,2022-10-10 14:51:47,2022-10-10 18:51:27,3.8330,3.8312,14.7376,13.1005,93.00,3.5645,3.4341,95.68,-0.0017,-1.6371,25.5,25.5,26.0,25.4,26.7,25.4
49,2022-10-10 18:51:27,2022-10-10 22:51:07,3.8326,3.8298,14.7353,13.0972,93.02,3.5650,3.4352,95.64,-0.0029,-1.6381,25.5,25.5,26.0,25.4,26.6,25.4
50,2022-10-10 22:51:07,2022-10-11 02:50:35,3.8305,3.8291,14.7266,13.0971,93.06,3.5645,3.4360,95.62,-0.0014,-1.6295,25.5,25.6,26.2,25.5,26.9,25.6
51,2022-10-11 02:50:35,2022-10-11 06:50:00,3.8303,3.8285,14.7242,13.0983,93.09,3.5658,3.4373,95.61,-0.0018,-1.6258,25.6,25.6,26.2,25.6,26.9,25.5
52,2022-10-11 06:50:00,2022-10-11 10:49:23,3.8292,3.8242,14.7193,13.0788,93.04,3.5629,3.4363,95.50,-0.0051,-1.6405,25.6,25.3,26.1,25.2,26.6,25.3
53,2022-10-11 10:49:23,2022-10-11 14:48:50,3.8250,3.8223,14.7070,13.0697,92.95,3.5553,3.4352,95.46,-0.0027,-1.6373,25.3,25.2,25.7,25.2,26.4,25.1
54,2022-10-11 14:48:51,2022-10-11 18:48:09,3.8230,3.8209,14.6990,13.0642,92.97,3.5542,3.4352,95.42,-0.0021,-1.6348,25.2,25.2,25.7,25.0,26.4,25.1
55,2022-10-11 18:48:09,2022-10-11 22:47:24,3.8220,3.8206,14.6948,13.0650,92.98,3.5535,3.4357,95.41,-0.0014,-1.6298,25.2,25.2,25.7,25.0,26.5,25.2
56,2022-10-11 22:47:25,2022-10-12 02:46:36,3.8217,3.8214,14.6923,13.0711,93.03,3.5553,3.4375,95.43,-0.0004,-1.6212,25.2,25.5,25.9,25.2,26.7,25.4
57,2022-10-12 02:46:36,2022-10-12 06:45:49,3.8227,3.8203,14.6941,13.0665,93.02,3.5560,3.4373,95.41,-0.0024,-1.6276,25.5,25.4,26.0,25.2,26.6,25.3
58,2022-10-12 06:45:50,2022-10-12 10:44:56,3.8214,3.8183,14.6885,13.0600,93.07,3.5564,3.4378,95.36,-0.0031,-1.6286,25.4,25.0,25.8,25.1,26.4,25.1
59,2022-10-12 10:44:56,2022-10-12 14:44:00,3.8193,3.8177,14.6811,13.0583,93.04,3.5536,3.4380,95.34,-0.0016,-1.6228,25.0,25.2,25.7,25.0,26.4,25.2
60,2022-10-12 14:44:00,2022-10-12 18:42:58,3.8190,3.8186,14.6786,13.0641,93.10,3.5553,3.4393,95.36,-0.0004,-1.6145,25.2,25.3,25.8,25.1,26.6,25.3
61,2022-10-12 19:42:21,2022-10-12 23:41:31,3.8190,3.8220,14.6844,13.0763,93.06,3.5541,3.4393,95.45,0.0030,-1.6081,25.2,25.5,25.9,25.2,26.7,25.4
62,2022-10-12 23:41:31,2022-10-13 03:40:36,3.8237,3.8198,14.6920,13.0727,93.16,3.5621,3.4407,95.39,-0.0039,-1.6193,25.5,25.4,25.9,25.3,26.6,25.5
63,2022-10-13 03:40:36,2022-10-13 07:39:29,3.8202,3.8175,14.6781,13.0651,93.23,3.5617,3.4418,95.34,-0.0028,-1.6130,25.4,25.4,26.1,25.3,26.7,25.3
64,2022-10-13 07:39:30,2022-10-13 11:38:27,3.8186,3.8160,14.6730,13.0589,93.14,3.5564,3.4412,95.30,-0.0026,-1.6140,25.4,25.4,25.9,25.1,26.6,25.2
65,2022-10-13 11:38:27,2022-10-13 15:37:15,3.8169,3.8152,14.6661,13.0581,93.18,3.5564,3.4420,95.28,-0.0016,-1.6080,25.4,25.4,25.8,25.3,26.6,25.3
66,2022-10-13 15:37:15,2022-10-13 19:36:02,3.8163,3.8143,14.6636,13.0551,93.19,3.5564,3.4426,95.26,-0.0021,-1.6086,25.4,25.3,25.8,25.2,26.7,25.3
67,2022-10-13 19:36:02,2022-10-13 23:34:46,3.8155,3.8133,14.6601,13.0516,93.18,3.5553,3.4425,95.23,-0.0021,-1.6085,25.3,25.3,25.8,25.2,26.5,25.3
68,2022-10-13 23:34:46,2022-10-14 03:33:29,3.8142,3.8118,14.6548,13.0455,93.18,3.5541,3.4425,95.19,-0.0024,-1.6093,25.3,25.4,25.8,25.1,26.5,25.3
69,2022-10-14 03:33:29,2022-10-14 07:32:03,3.8127,3.8127,14.6485,13.0519,93.23,3.5547,3.4436,95.22,-0.0001,-1.5966,25.6,25.2,25.9,25.2,26.7,25.3
70,2022-10-14 07:32:03,2022-10-14 11:30:43,3.8139,3.8118,14.6525,13.0487,93.22,3.5552,3.4439,95.19,-0.0022,-1.6038,25.3,25.4,25.9,25.2,26.6,25.1
71,2022-10-14 11:30:43,2022-10-14 15:29:16,3.8125,3.8114,14.6464,13.0491,93.25,3.5553,3.4446,95.18,-0.0010,-1.5973,25.4,25.3,25.9,25.3,27.0,25.2
72,2022-10-14 15:29:16,2022-10-14 19:27:45,3.8125,3.8098,14.6457,13.0435,93.27,3.5558,3.4452,95.14,-0.0027,-1.6022,25.3,25.2,25.9,25.3,26.6,25.3
73,2022-10-14 19:27:46,2022-10-14 23:26:13,3.8110,3.8089,14.6399,13.0407,93.27,3.5546,3.4452,95.12,-0.0021,-1.5992,25.2,25.3,25.8,25.2,26.6,25.1
74,2022-10-14 23:26:13,2022-10-15 03:24:37,3.8098,3.8078,14.6351,13.0375,93.27,3.5535,3.4454,95.09,-0.0020,-1.5976,25.3,25.2,25.8,25.2,26.6,25.3
75,2022-10-15 03:24:37,2022-10-15 07:23:01,3.8090,3.8069,14.6316,13.0347,93.26,3.5523,3.4459,95.07,-0.0020,-1.5969,25.4,25.3,25.8,25.1,26.6,25.3
76,2022-10-15 07:23:01,2022-10-15 11:21:18,3.8080,3.8067,14.6275,13.0355,93.30,3.5529,3.4467,95.07,-0.0013,-1.5920,25.3,25.5,25.8,25.2,26.6,25.2
77,2022-10-15 11:21:19,2022-10-15 15:19:38,3.8082,3.8060,14.6276,13.0343,93.30,3.5530,3.4470,95.05,-0.0023,-1.5933,25.5,25.5,25.9,25.3,26.6,25.3
78,2022-10-15 15:19:38,2022-10-15 19:17:51,3.8070,3.8054,14.6226,13.0323,93.31,3.5524,3.4472,95.03,-0.0016,-1.5903,25.3,25.3,25.9,25.3,26.8,25.2
79,2022-10-15 19:17:51,2022-10-15 23:16:04,3.8065,3.8039,14.6202,13.0272,93.31,3.5518,3.4475,95.00,-0.0026,-1.5930,25.3,25.4,25.8,25.2,26.4,25.3
80,2022-10-15 23:16:04,2022-10-16 03:14:13,3.8048,3.8028,14.6142,13.0235,93.30,3.5501,3.4478,94.97,-0.0020,-1.5907,25.3,25.2,25.8,25.2,26.6,25.3
81,2022-10-16 03:14:13,2022-10-16 07:12:19,3.8039,3.8022,14.6105,13.0219,93.31,3.5495,3.4480,94.95,-0.0017,-1.5886,25.4,25.5,25.8,25.2,26.5,25.2
82,2022-10-16 07:12:19,2022-10-16 11:10:23,3.8035,3.8017,14.6085,13.0217,93.32,3.5495,3.4485,94.94,-0.0018,-1.5868,25.3,25.2,25.8,25.2,26.6,25.3
83,2022-10-16 11:10:23,2022-10-16 15:08:24,3.8030,3.8013,14.6057,13.0217,93.34,3.5496,3.4491,94.93,-0.0016,-1.5840,25.2,25.5,25.8,25.2,26.7,25.4
84,2022-10-16 15:08:24,2022-10-16 19:06:20,3.8024,3.7997,14.6026,13.0166,93.37,3.5502,3.4497,94.89,-0.0027,-1.5860,25.5,25.3,25.9,25.2,26.6,25.2
85,2022-10-16 19:06:20,2022-10-16 23:04:15,3.8006,3.7990,14.5962,13.0140,93.36,3.5484,3.4496,94.87,-0.0016,-1.5822,25.3,25.3,25.8,25.2,26.6,25.3
86,2022-10-16 23:04:15,2022-10-17 03:02:05,3.7999,3.7978,14.5934,13.0096,93.35,3.5472,3.4497,94.84,-0.0021,-1.5837,25.3,25.4,25.8,25.2,26.5,25.2
87,2022-10-17 03:02:05,2022-10-17 06:59:54,3.7990,3.7965,14.5899,13.0056,93.36,3.5466,3.4499,94.81,-0.0025,-1.5843,25.4,25.3,25.8,25.2,26.5,25.3
88,2022-10-17 06:59:54,2022-10-17 10:57:35,3.7977,3.7967,14.5841,13.0085,93.42,3.5478,3.4512,94.82,-0.0010,-1.5756,25.3,25.4,25.9,25.3,26.7,25.3
89,2022-10-17 10:57:36,2022-10-17 14:55:22,3.7974,3.7953,14.5834,13.0030,93.37,3.5456,3.4510,94.78,-0.0022,-1.5805,25.4,25.3,25.8,25.1,26.7,25.3
90,2022-10-17 14:55:22,2022-10-17 16:16:17,2.7648,0.0000,10.2558,0.0000,100.00,2.7648,0.0000,0.00,-2.7648,-10.2558,25.3,25.6,25.8,25.3,0.0,0.0
