company,industry,country,continent,layoff_date,layoff_count,workforce_percentage,funding_stage,total_funding_million_usd,stock_price_change_7d,hiring_status,reason,revenue_growth_percent,market_cap_billion_usd,company_size,layoff_severity_score,ai_automation_flag,economic_cycle_flag
Company_0,Finance,USA,North America,2023-01-31,86,8.15,Series A,1560.48,-3.99,Hiring,M&A Activity,-8.75,298.47,Startup,700.9,0,Tech Correction
Company_1,Finance,Singapore,Asia,2020-12-22,26,14.01,IPO,290.02,-4.28,Hiring,Cost Cutting,6.2,325.48,Mid-size,364.26,0,Pandemic Impact
Company_2,Finance,Germany,Europe,2022-08-10,213,8.09,IPO,370.89,4.6,Hiring,Restructuring,-34.19,152.19,Enterprise,1723.17,0,Tech Correction
Company_3,Retail,Singapore,Asia,2024-09-14,350,21.47,Series A,802.72,-9.14,Slowdown,Market Downturn,8.33,23.43,Mid-size,7514.5,0,AI Restructuring
Company_4,Tech,UK,Europe,2024-09-27,410,21.06,Series B,1186.87,0.01,Hiring,AI Automation,-12.26,23.32,Mid-size,8634.6,1,AI Restructuring
Company_5,Manufacturing,India,Asia,2021-01-14,4,1.52,Series C,1884.69,-3.27,Freeze,Market Downturn,2.9,281.69,Startup,6.08,0,Pandemic Impact
Company_6,AI,USA,North America,2025-02-24,262,27.69,IPO,883.1,-3.04,Freeze,Cost Cutting,-3.0,61.11,Startup,7254.780000000001,0,AI Restructuring
Company_7,FinTech,Canada,North America,2026-12-08,41,16.25,Series B,368.56,-5.82,Hiring,M&A Activity,-15.67,377.71,Enterprise,666.25,0,AI Restructuring
Company_8,Finance,USA,North America,2022-07-22,659,38.81,Series B,1551.39,4.05,Hiring,Cost Cutting,8.28,469.76,Startup,25575.79,0,Tech Correction
Company_9,Energy,Canada,North America,2025-01-31,118,13.74,Series B,1143.04,10.13,Freeze,Market Downturn,8.95,260.47,Startup,1621.32,0,AI Restructuring
Company_10,Retail,Canada,North America,2020-10-19,132,14.91,IPO,565.46,-6.08,Hiring,Restructuring,9.86,271.39,Enterprise,1968.1200000000001,0,Pandemic Impact
Company_11,Retail,UK,Europe,2025-03-08,1,1.61,Series C,849.69,-10.25,Slowdown,M&A Activity,14.54,197.5,Mid-size,1.61,0,AI Restructuring
Company_12,FinTech,Germany,Europe,2023-08-21,192,31.08,Seed,152.72,5.8,Hiring,Market Downturn,-17.62,179.3,Startup,5967.36,0,Tech Correction
Company_13,Energy,Canada,North America,2020-09-28,181,15.46,Series A,1339.34,2.1,Slowdown,Market Downturn,-18.61,332.99,Enterprise,2798.26,0,Pandemic Impact
Company_14,Retail,Japan,Asia,2024-06-08,314,19.42,Series C,243.59,9.3,Freeze,AI Automation,10.42,356.65,Startup,6097.88,1,AI Restructuring
Company_15,Retail,Singapore,Asia,2026-01-16,89,10.99,Series B,85.67,-10.72,Slowdown,Overexpansion,2.74,355.36,Enterprise,978.11,0,AI Restructuring
Company_16,Energy,Brazil,South America,2022-06-17,274,25.82,Series A,632.14,-0.14,Freeze,Cost Cutting,1.7,254.33,Enterprise,7074.68,0,Tech Correction
Company_17,Tech,India,Asia,2021-09-18,186,22.05,Series A,410.11,3.59,Freeze,Restructuring,29.34,471.43,Enterprise,4101.3,0,Pandemic Impact
Company_18,Finance,Australia,Oceania,2024-04-12,696,37.26,IPO,1617.2,-0.48,Slowdown,Market Downturn,8.86,316.74,Mid-size,25932.96,0,AI Restructuring
Company_19,FinTech,USA,North America,2021-04-14,523,35.81,IPO,1080.99,2.39,Slowdown,Market Downturn,0.36,403.74,Mid-size,18728.63,0,Pandemic Impact
Company_20,Finance,Canada,North America,2024-11-15,150,11.61,Series A,1297.14,-11.15,Hiring,M&A Activity,-15.24,0.36,Mid-size,1741.5,0,AI Restructuring
Company_21,AI,Singapore,Asia,2022-01-01,190,20.92,IPO,837.73,-9.42,Slowdown,Market Downturn,-0.14,111.13,Startup,3974.8,0,Tech Correction
Company_22,FinTech,Germany,Europe,2021-09-18,142,9.53,Series B,1118.41,-3.22,Slowdown,Restructuring,4.77,201.98,Startup,1353.26,0,Pandemic Impact
Company_23,Tech,Brazil,South America,2025-06-24,145,10.82,Seed,997.01,16.71,Freeze,Market Downturn,5.9,150.51,Startup,1568.9,0,AI Restructuring
Company_24,Retail,USA,North America,2022-09-13,40,2.29,IPO,693.42,12.8,Hiring,M&A Activity,10.07,317.21,Startup,91.6,0,Tech Correction
Company_25,EdTech,India,Asia,2025-12-21,307,39.44,Series A,487.9,3.19,Slowdown,Overexpansion,-6.63,336.1,Startup,12108.08,0,AI Restructuring
Company_26,FinTech,UK,Europe,2022-12-21,312,32.32,IPO,943.25,-6.12,Freeze,AI Automation,23.27,491.71,Enterprise,10083.84,1,Tech Correction
Company_27,FinTech,Germany,Europe,2023-06-30,802,33.58,Series C,644.96,-7.03,Slowdown,Market Downturn,6.49,93.34,Enterprise,26931.16,0,Tech Correction
Company_28,EdTech,Singapore,Asia,2025-01-23,96,9.59,Seed,1423.74,-5.16,Hiring,Cost Cutting,-5.8,404.77,Startup,920.64,0,AI Restructuring
Company_29,Manufacturing,USA,North America,2026-08-06,150,27.95,IPO,776.54,-10.08,Slowdown,AI Automation,-0.82,468.37,Startup,4192.5,1,AI Restructuring
Company_30,Tech,India,Asia,2020-08-29,52,9.15,Series A,1085.19,-7.18,Hiring,Market Downturn,-4.38,347.92,Startup,475.8,0,Pandemic Impact
Company_31,Finance,Singapore,Asia,2022-09-01,186,22.65,Series B,1061.65,3.25,Freeze,AI Automation,8.9,121.0,Enterprise,4212.9,1,Tech Correction
Company_32,FinTech,UK,Europe,2026-05-27,6,11.88,IPO,1402.21,5.52,Hiring,Overexpansion,0.72,423.35,Mid-size,71.28,0,AI Restructuring
Company_33,Energy,Germany,Europe,2021-01-21,31,4.28,Seed,327.45,-8.71,Freeze,Market Downturn,9.4,449.29,Enterprise,132.68,0,Pandemic Impact
Company_34,Energy,Australia,Oceania,2025-03-27,233,12.07,Seed,614.2,-3.13,Slowdown,M&A Activity,7.26,242.86,Enterprise,2812.31,0,AI Restructuring
Company_35,Finance,USA,North America,2024-07-07,3,1.7,Series B,990.32,-8.88,Hiring,AI Automation,25.15,89.49,Startup,5.1,1,AI Restructuring
Company_36,Retail,Singapore,Asia,2025-01-11,337,26.65,Series A,1138.78,-9.17,Hiring,Market Downturn,-15.55,46.93,Mid-size,8981.05,0,AI Restructuring
Company_37,EdTech,Germany,Europe,2020-11-04,203,24.0,Series C,1957.89,3.98,Hiring,Cost Cutting,2.89,243.42,Enterprise,4872.0,0,Pandemic Impact
Company_38,FinTech,USA,North America,2021-01-17,288,20.6,Series A,1155.92,-9.86,Freeze,Overexpansion,14.39,246.31,Startup,5932.8,0,Pandemic Impact
Company_39,EdTech,Germany,Europe,2024-06-30,165,23.31,Seed,1538.27,-1.48,Freeze,Cost Cutting,4.83,21.9,Startup,3846.1499999999996,0,AI Restructuring
Company_40,Energy,Canada,North America,2025-02-06,410,36.68,Series B,743.47,2.92,Slowdown,M&A Activity,3.14,7.83,Mid-size,15038.8,0,AI Restructuring
Company_41,FinTech,Japan,Asia,2021-09-26,65,23.32,Series A,1960.76,-7.78,Hiring,Cost Cutting,-9.24,37.77,Mid-size,1515.8,0,Pandemic Impact
Company_42,FinTech,USA,North America,2023-07-08,184,13.36,Seed,343.14,0.08,Slowdown,Overexpansion,7.6,278.44,Startup,2458.24,0,Tech Correction
