Sample,YZ3_AB_1,YZ3_AB_2,YZ3_AB_3,YZ1_AB_1,YZ1_AB_2,YZ1_AB_3,YZ4_AB_1,YZ4_AB_2,YZ4_AB_3,YZ6_AB_1,YZ6_AB_2,YZ6_AB_3,YZ8_A_1,YZ8_A_2,YZ8_A_3,YZ10_AB_1,YZ10_AB_2,YZ10_AB_3,YZ13_AB_1,YZ13_AB_2,YZ13_AB_3,YZ14_AB_1,YZ14_AB_2,YZ14_AB_3,YZ15_AB_1,YZ15_AB_2,YZ15_AB_3,YZ17_AB_1,YZ17_AB_2,YZ17_AB_3,YZ18_AB_1,YZ18_AB_2,YZ18_AB_3,YZ19_AB_1,YZ19_AB_2,YZ19_AB_3,YZ20_AB_1,YZ20_AB_2,YZ20_AB_3,YZ22_AB_1,YZ22_AB_2,YZ22_AB_3,YZ23_AB_1,YZ23_AB_2,YZ23_AB_3,YZ24_AB_1,YZ24_AB_2,YZ24_AB_3,YZ25_A_1,YZ25_A_2,YZ25_A_3
400.00,1.4449,1.4445,1.4444,1.4464,1.4465,1.446,1.3223,1.3213,1.3229,1.4485,1.449,1.449,1.4421,1.4418,1.4427,1.4024,1.4019,1.4022,1.3121,1.3122,1.3121,1.4491,1.4509,1.45,1.2748,1.2754,1.2742,1.2723,1.272,1.273,1.3985,1.3989,1.3986,1.4155,1.4156,1.4163,1.4354,1.4347,1.4353,1.4172,1.4184,1.4179,1.3873,1.3883,1.3879,1.3815,1.3812,1.3823,1.4325,1.4332,1.4336
400.50,1.4469,1.4465,1.4465,1.449,1.4491,1.4486,1.3276,1.3268,1.3281,1.4494,1.4498,1.4498,1.4447,1.4444,1.4452,1.4039,1.4033,1.4037,1.3123,1.3123,1.3122,1.4516,1.4533,1.4524,1.28,1.2806,1.2795,1.2766,1.2764,1.2772,1.4,1.4003,1.4001,1.4159,1.416,1.4167,1.4371,1.4366,1.4371,1.419,1.4201,1.4197,1.3876,1.3885,1.3881,1.3832,1.3829,1.3839,1.4328,1.4335,1.4338
401.00,1.4488,1.4485,1.4485,1.4516,1.4517,1.4512,1.3329,1.3322,1.3333,1.4502,1.4506,1.4506,1.4472,1.447,1.4476,1.4053,1.4048,1.4052,1.3124,1.3124,1.3123,1.4541,1.4556,1.4549,1.2852,1.2858,1.2847,1.2809,1.2808,1.2815,1.4014,1.4017,1.4015,1.4163,1.4165,1.4171,1.4388,1.4384,1.4389,1.4207,1.4218,1.4215,1.3879,1.3887,1.3883,1.3849,1.3845,1.3856,1.4331,1.4338,1.434
401.50,1.4507,1.4505,1.4504,1.4542,1.4542,1.4538,1.338,1.3375,1.3384,1.451,1.4514,1.4514,1.4496,1.4495,1.45,1.4068,1.4062,1.4067,1.3125,1.3126,1.3125,1.4566,1.4579,1.4573,1.2903,1.2909,1.2898,1.2851,1.285,1.2856,1.4028,1.4031,1.4029,1.4166,1.4169,1.4174,1.4405,1.4402,1.4406,1.4225,1.4234,1.4233,1.3881,1.3889,1.3884,1.3865,1.3862,1.3872,1.4333,1.4341,1.4342
402.00,1.4526,1.4523,1.4524,1.4566,1.4566,1.4563,1.343,1.3426,1.3433,1.4518,1.4521,1.4521,1.452,1.452,1.4524,1.4081,1.4075,1.4082,1.3126,1.3127,1.3126,1.459,1.4602,1.4597,1.2953,1.2959,1.2948,1.2892,1.2892,1.2896,1.4041,1.4044,1.4042,1.417,1.4172,1.4178,1.4422,1.4419,1.4422,1.4241,1.425,1.425,1.3883,1.3891,1.3886,1.388,1.3878,1.3888,1.4336,1.4343,1.4344
402.50,1.4544,1.4542,1.4542,1.459,1.4589,1.4588,1.3479,1.3476,1.3482,1.4525,1.4528,1.4528,1.4543,1.4543,1.4547,1.4095,1.4089,1.4096,1.3127,1.3128,1.3127,1.4613,1.4624,1.4619,1.3002,1.3008,1.2997,1.2931,1.2932,1.2935,1.4054,1.4056,1.4055,1.4173,1.4176,1.4181,1.4437,1.4435,1.4438,1.4257,1.4265,1.4267,1.3885,1.3893,1.3888,1.3895,1.3893,1.3903,1.4338,1.4345,1.4346
403.00,1.4561,1.4559,1.456,1.4613,1.4612,1.4611,1.3526,1.3524,1.3528,1.4531,1.4535,1.4535,1.4565,1.4566,1.4569,1.4107,1.4102,1.4109,1.3127,1.3129,1.3127,1.4635,1.4645,1.4641,1.3049,1.3055,1.3045,1.2969,1.297,1.2973,1.4066,1.4069,1.4068,1.4175,1.4179,1.4184,1.4452,1.4451,1.4453,1.4273,1.428,1.4282,1.3887,1.3894,1.3889,1.391,1.3908,1.3917,1.434,1.4347,1.4347
403.50,1.4577,1.4576,1.4577,1.4635,1.4633,1.4633,1.3571,1.357,1.3573,1.4538,1.4541,1.4541,1.4587,1.4588,1.459,1.412,1.4114,1.4122,1.3128,1.3129,1.3128,1.4656,1.4665,1.4662,1.3094,1.31,1.309,1.3006,1.3007,1.3009,1.4078,1.408,1.4079,1.4178,1.4182,1.4186,1.4466,1.4466,1.4468,1.4288,1.4294,1.4297,1.3889,1.3896,1.389,1.3923,1.3922,1.3931,1.4342,1.4349,1.4349
404.00,1.4593,1.4592,1.4593,1.4656,1.4654,1.4655,1.3614,1.3614,1.3617,1.4544,1.4547,1.4547,1.4607,1.4609,1.461,1.4131,1.4126,1.4134,1.3128,1.313,1.3129,1.4676,1.4685,1.4681,1.3137,1.3144,1.3134,1.3041,1.3042,1.3043,1.4089,1.4091,1.4091,1.418,1.4184,1.4189,1.448,1.448,1.4481,1.4302,1.4307,1.4311,1.389,1.3897,1.3891,1.3936,1.3935,1.3944,1.4343,1.4351,1.435
404.50,1.4607,1.4608,1.4609,1.4675,1.4673,1.4675,1.3655,1.3656,1.3658,1.4549,1.4552,1.4552,1.4626,1.4629,1.4629,1.4142,1.4137,1.4146,1.3128,1.313,1.3129,1.4695,1.4703,1.47,1.3178,1.3186,1.3177,1.3074,1.3075,1.3076,1.41,1.4102,1.4101,1.4182,1.4186,1.4191,1.4492,1.4493,1.4494,1.4316,1.432,1.4324,1.3891,1.3898,1.3892,1.3948,1.3947,1.3956,1.4345,1.4352,1.4351
