Row ID,Project_Manager_Name,Project_ID,Project,Project Type,Project_Value_Classification,Country,Region,City/Town,Assigned_Engineer_Name,Customer_ID,Customer_Name,Industry,Sector,Sub-sector,Greenfield/Brownfield,Onshore/Offshore,Duration (Days),Today_Date,Award_Data,Site_Handover_Date,Project_Start_Date,Project_end_Date,Completion_Date,Actual_Progress (%),Planned_Progress (%),Progress_Variance,Progress_Efficiency,project_status,Schedule_status,Project Health Calculation,Contract Value (EGP),Actual Revenue (EGP),Expected Revenue (EGP),Revenue Variance (EGP),Revenue Achievement Ratio,Budget Key,Planned Value (PV) (EGP),Earned Value (EV) (EGP),Actual Cost (AC) (EGP),Budget at Completion (BAC) (EGP),Risk_Assessment,Risk_Explanation,Risk_Mitigation,Comments
1,Eng. Mohamed Mousa,10273663001,Firefighting Works Contract No. (10/2022),Standalone Projects,Large,Egypt,Nile Delta,Port Said,Eng. Islam Karaweih,1027,BURULLUS GAS CO.,Gas,Midstream / Storage,Gas Tank,Brownfield,Onshore,779,1/24/2025,11/13/2022,1/3/2024,11/13/2022,12/31/2024,,0.18,0.98,-0.8,0.1837,In progress,Overdue,PROGRESS HALTED,96408000,11548206,17353440,-5805234,0.665,OVER,95420048.51,17353440,11548206,96408000,High Risk,Project is both behind schedule and nearing its end date.,"Increase resources, expedite critical tasks, negotiate deadline extension, perform risk reassessment.","Only the first phase has been received, and its paints have been supplied. It will be completed by 31/12/2024 to deliver the project to the client and to suffice with what has been executed according to the agreement with the client."
2,Eng. Mohamed Mousa,10274103001,Works for Changing Control Devices of Central Air Conditioning Systems at the Fields of Burullus Company (2024/010),Standalone Projects,Small,Egypt,Nile Delta,Port Said,Eng. Islam Karaweih,1027,BURULLUS GAS CO.,Gas,Downstream,Gas Processing Plant,Brownfield,Onshore,365,1/24/2025,9/30/2024,3/9/2024,9/30/2024,9/30/2025,,0,0,0,0,Not started,On time,HEALTHY,6300000,0,0,0,0,ON,0,0,0,6300000,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.","Duration of the operation: One Gregorian year. The works have been assigned to the contractor 'Aircom'. We are awaiting the receipt of the unprepared site from the client, and it has been informed by the General Projects Manager that the site is expected to be received next week."
3,Eng. Mohamed Mousa,20254064001,Sandblasting and Painting Works (2024-2027) (Work Order - 2300113),Standalone Projects,Large,Egypt,Nile Delta,Port Said,Eng. Ibrahim Abdel-Shafy,2025,Egyptian Propylene & Polypropylene Co.,Chemical,Production,Petrochemical Plant,Brownfield,Onshore,1039,1/24/2025,7/16/2024,9/9/2024,9/9/2024,7/15/2027,,0.04,0.07,-0.03,0.5714,In progress,Behind,PROGRESS HALTED,29025000,0,1161000,-1161000,0,OVER,1478594.38,1161000,0,29025000,Medium Risk,Project is either behind schedule or time is running out.,"Monitor closely, allocate additional resources if needed, reassess task priorities.","Contract Status: 3 years from the date of receipt of the assignment order dated 16/07/2024. The site was received on 09/09/2024. 
The total area required from the client has been divided as follows; - Year 2024: An area of 5000 mÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â² is required, and 2550 mÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â² has been completed. 
Year 2025: 27500 mÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â² is required. 
Year 2026: 27500 mÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â² is required. 
Year 2027: The area has not been specified to date by the client."
4,Eng. Mohamed Mousa,10373729002,Provision of the necessary workforce for Abu Qir Company's sites,Standalone Projects,Small,Egypt,Nile Delta,Alexandria,Eng. Islam Karaweih,1037,Abu Qir Petroleum Co,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,502,1/24/2025,3/15/2023,4/16/2023,3/15/2023,8/30/2024,4/16/2023,1,1,0,1,Complete,On time,HEALTHY,1109813,1109813,1109813,0,1,ON,1109813,1109813,1109813,1109813,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.",The work is carried out according to the client's request.
5,Eng. Mohamed Mousa,10373729003,Scaffolding Works Required at Abu Qir Company's Sites 2023,Standalone Projects,Small,Egypt,Nile Delta,Alexandria,Eng. Islam Karaweih,1037,Abu Qir Petroleum Co,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,678,1/24/2025,5/17/2023,5/21/2023,5/17/2023,3/29/2025,5/21/2023,0.86,0.86,0,1,Complete,On time,AT RISK,3524282,2866866,3030882.52,-164016.52,0.946,OVER,3524282,3030882.52,2866866,3524282,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.","Duration of work execution: 7 months. Work status: 
The work is carried out according to the client's request."
6,Eng. Mohamed Mousa,10373744002,Necessary painting works for the drying unit and heating oil tank and others,Standalone Projects,Medium,Egypt,Nile Delta,Alexandria,Eng. Mohamed Kamal,1037,Abu Qir Petroleum Co,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,365,1/24/2025,5/17/2023,7/18/2023,5/17/2023,5/17/2024,,0.8,0.99,-0.19,0.8081,In progress,Behind,AT RISK,8975540,6167355,7180432,-1013077,0.859,OVER,8975540,7180432,6167355,8975540,Medium Risk,Project is either behind schedule or time is running out.,"Monitor closely, allocate additional resources if needed, reassess task priorities.","Execution duration: One year from the date of assignment
Status of works: The site was received on 18-07-2023 - completed works (executed area 5111 m2):
1- The necessary painting works for the drying unit have been completed over an area of 1399 m2 out of a total of 1800 m2 for work order 1/2023.
2- The necessary painting works for the drying unit have been completed over an area of 2275 m2 out of a total of 1700 m2 for work order 2/2023.
3- An area of 1435 m2 has been completed out of a total of 2010 m2 for work order 3/2023, and work is ongoing to complete an area of approximately 1000 square meters.
4- Work is ongoing in an area of approximately 1000 square meters for work order 1/2024 out of a total of 4000 m2."
7,Eng. Mohamed Mousa,10373744003,Necessary painting works for onshore and offshore facilities (Platform P-II),Parent projects,Medium,Egypt,Nile Delta,Alexandria,Eng. Mohamed Kamal,1037,Abu Qir Petroleum Co,Oil,Upstream,Oil Extraction,Brownfield,Offshore,237,1/24/2025,6/8/2024,6/8/2024,6/8/2024,3/31/2025,,0.6,0.6,0,1,In progress,On time,AT RISK,6260424,3649199,3756254.4,-107055.4,0.971,OVER,6260424,3756254.4,3649199,6260424,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.","Works commenced in offshore 1, and the paints were supplied by Sigma Company.
Approximately 2100 m2 out of a total of 4300 m2 have been completed for work orders 3/2024 and 2/2024."
8,Eng. Mohamed Mousa,30043508001,Supply and installation of an automatic fire alarm and extinguishing system to secure the Port Said warehouse,Parent projects,Mega,Egypt,Nile Delta,Port Said,Eng. Salamah Shams,3004,Misr Petroleum Co.,Chemical,Production,Other,Brownfield,Onshore,1186,1/24/2025,3/17/2022,7/24/2022,3/17/2022,1/3/2025,,0.72,0.71,0.01,1.0141,In progress,On time,AT RISK,95836495,63800989,68998706.4,-5197717.4,0.925,OVER,95836495,68998706.4,63800989,95836495,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.","A 75% increase in the value of the works has been approved, bringing the total value of the works to 95,836,495 EGP, and the execution period has been extended by 8 months, in addition to 4 months of work stoppages caused by the client. Work was resumed on 12-2-2024."
9,Eng. Mohamed Mousa,30043410068,Development works for the service and supply station of Saad Zaghloul - Port Said,Sub projects,Medium,Egypt,Nile Delta,Port Said,Eng. Salamah Shams,3004,Misr Petroleum Co.,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,0,1/24/2025,9/10/2022,8/10/2022,9/10/2022,10/1/2022,,0,0,0,0,Not started,On time,PROGRESS HALTED,8494678,0,0,0,0,ON,0,0,0,8494678,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.","Duration of the operation: 120 days from the date of the assignment order or from the date the site is cleared of obstacles, whichever is later. The contractor (Al-Batoul) has withdrawn from the works, and SR No. (0788/22) was prepared on 08-11-2022
for tendering the works
(Tender 27/2022) dated 29-11-2022, and we are awaiting the award to a contractor.
The client has not approved the 50% increase due to price hikes (in addition to the previously approved 25%), and a meeting report has been prepared regarding this, and the award has not been made to a contractor to date due to the increase in prices. Due to the client's disapproval of the requested increase, it has been agreed to issue a new work order for the operation
in accordance with the new agreement, which will be issued as soon as the agreement is approved by the authority."
10,Eng. Mohamed Mousa,30043908002,Partial development of the main Tanta depot,Sub projects,Medium,Egypt,Nile Delta,Tanta,Eng. Samih Sadeq,3004,Misr Petroleum Co.,Oil,Midstream / Storage,Oil Tank,Brownfield,Onshore,244,1/24/2025,10/19/2023,10/22/2023,10/19/2023,6/22/2024,10/22/2023,1,1,0,1,Complete,On time,HEALTHY,7501324,7210674,7501324,-290650,0.961,ON,7501324,7501324,7210674,7501324,Low Risk,Project is on track or not started yet.,"Continue regular monitoring, ensure resources are allocated efficiently.","Status of the works: Completed works
All works have been completed
(The additional works have been approved, and a preliminary meeting report has been prepared with the client (according to the report from the technical authority."
