"txid","ordertxid","pair","aclass","subclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","costusd","trades"
"THTIC2-WYW64-JDSJQH","OGKZG4-KNILH-OQ452M","BTC/USD","forex","crypto","2025-08-15 19:26:26.391","buy","limit",117200.00000,99.99973,0.25000,0.00085324,0.00000,"","LID5OI-DHNQC-ZZDZKJ,LIOWGX-ZN47X-3ZNILT","TKH2SE-M7IF5-CFI7LT","","","","","","","",99.99973,""
"TCEUD6-7UCRG-GG5XQA","O3XQ2Z-DX7F7-HLCLI2","BTC/USD","forex","crypto","2025-08-25 00:46:13.2091","buy","limit",112245.30000,1999.99910,5.00000,0.01781811,0.00000,"","LGQZVK-MQR5T-JNFU5H,LLX4BE-3LVVJ-M7NEGP","TKH2SE-M7IF5-CFI7LT","","","","","","","",1999.99910,""
"TPG5WO-MD5NR-2QUNWU","OGFURZ-3R44E-H33W7E","BTC/USD","forex","crypto","2025-09-12 20:02:14.6201","buy","limit",116462.60000,1017.40679,2.54352,0.00873591,0.00000,"","LL3K67-L7ADR-CUBIOL,LB7LI7-CTTDD-UGN5IV","TKH2SE-M7IF5-CFI7LT","","","","","","","",1017.40679,""
"TB3Q7X-SKJ3R-O5INWZ","OGFURZ-3R44E-H33W7E","BTC/USD","forex","crypto","2025-09-12 20:02:16.8296","buy","limit",116462.60000,982.59263,2.45648,0.00843698,0.00000,"","LMAZ66-44CKA-ALISEO,LDEDCL-TJ5GY-MPQDY5","TKH2SE-M7IF5-CFI7LT","","","","","","","",982.59263,""
"T2PK6W-UXGUA-D7H2CK","ODTC5S-42FA2-VHKBDO","BTC/USD","forex","crypto","2025-09-26 01:09:38.9076","buy","limit",109393.00026,1999.56074,7.99825,0.01827869,0.00000,"initiated","LHGYJV-LA45V-JZXP6A,LCDY5G-SZMLH-4G7RXS","TKH2SE-M7IF5-CFI7LT","","","","","","","",1999.56074,""
"T5J64B-WFGQ7-BMJTVV","OKHLAG-DNHTY-WJN6H5","BTC/USD","forex","crypto","2025-09-26 10:58:52.6071","buy","limit",108997.60000,2001.41066,5.00353,0.01836197,0.00000,"","LLQHEZ-KAFVK-3SGXXE,LQKWBE-WDDWV-Y2BIIZ","TKH2SE-M7IF5-CFI7LT","","","","","","","",2001.41066,""
"TXQOBU-3J2UH-P2WMD7","ORBIOE-CRYGZ-4L4UFT","BTC/USD","forex","crypto","2025-09-26 11:27:57.7644","buy","limit",108787.60000,2999.34267,11.99737,0.02757063,0.00000,"initiated","LV7VSJ-2PWQ2-K424QJ,LN5FNZ-IZXPU-BQNHGA","TKH2SE-M7IF5-CFI7LT","","","","","","","",2999.34267,""
"TOTIVY-EZVX2-F4YXUQ","OHIETM-NV7LR-ED7MOF","BTC/USD","forex","crypto","2025-10-01 15:32:13.4391","buy","limit",117399.80000,1061.77318,2.65443,0.00904408,0.00000,"","L3QLPO-2ZQ4L-RVA7N2,LJUPSL-Q4MFL-MQYI72","TKH2SE-M7IF5-CFI7LT","","","","","","","",1061.77318,""
"TEQRAQ-CK2OJ-IZL7D2","OHIETM-NV7LR-ED7MOF","BTC/USD","forex","crypto","2025-10-01 15:32:22.1408","buy","limit",117399.80000,14.32278,0.02865,0.00012200,0.00000,"","LXSPWV-L6K3E-NMIVIV,LAV3FV-TGEFF-JB2PQ5","TKH2SE-M7IF5-CFI7LT","","","","","","","",14.32278,""
"T6FFNB-HM77M-KCEJZ7","OHIETM-NV7LR-ED7MOF","BTC/USD","forex","crypto","2025-10-01 17:14:48.6888","buy","limit",117399.80000,1923.50415,3.84701,0.01638422,0.00000,"","LMSRTO-BUMLQ-OWG7C7,LE3VZW-UMM2W-CIKI3T","TKH2SE-M7IF5-CFI7LT","","","","","","","",1923.50415,""
"TRT3OA-47QW3-TJW66N","OYQCXL-KMZJJ-LUNJHE","BTC/USD","forex","crypto","2025-10-11 00:25:22.2625","buy","limit",112247.50000,108.63874,0.21728,0.00096785,0.00000,"","L6NFQP-SLWZQ-DBWBGV,LGPBNA-BF475-RAGX2C","TKH2SE-M7IF5-CFI7LT","","","","","","","",108.63874,""
"T5YIU3-2CW2Q-PHTZKQ","OYQCXL-KMZJJ-LUNJHE","BTC/USD","forex","crypto","2025-10-11 00:25:22.2638","buy","limit",112247.50000,69.02099,0.13804,0.00061490,0.00000,"","LIX4C5-7EDPN-WWXBXK,LGFNKB-UBSM2-F27ZZ5","TKH2SE-M7IF5-CFI7LT","","","","","","","",69.02099,""
"TRAJQC-4Q3PY-UQLHVP","OYQCXL-KMZJJ-LUNJHE","BTC/USD","forex","crypto","2025-10-11 00:25:22.4212","buy","limit",112247.50000,116.63076,0.23326,0.00103905,0.00000,"","LBS2OE-XH5NS-A4HVXJ,L4MC4X-M2HLO-WG666M","TKH2SE-M7IF5-CFI7LT","","","","","","","",116.63076,""
"TQRPRR-RETDW-TKSAWC","OYQCXL-KMZJJ-LUNJHE","BTC/USD","forex","crypto","2025-10-11 00:25:22.422","buy","limit",112247.50000,142.46677,0.28493,0.00126922,0.00000,"","LQKMET-TK437-F23XVX,LBIS7T-5ENBF-X6YQHT","TKH2SE-M7IF5-CFI7LT","","","","","","","",142.46677,""
"TSSAAA-VOUCX-HYIKLH","OYQCXL-KMZJJ-LUNJHE","BTC/USD","forex","crypto","2025-10-11 00:25:22.4223","buy","limit",112247.50000,422.86888,0.84574,0.00376729,0.00000,"","LFHKZ6-XBULI-GH4JIS,LPK4HZ-FIZ7L-PC2RLI","TKH2SE-M7IF5-CFI7LT","","","","","","","",422.86888,""
"T5RTXX-Y7B4C-PNGEVI","OYQCXL-KMZJJ-LUNJHE","BTC/USD","forex","crypto","2025-10-11 00:25:22.4233","buy","limit",112247.50000,422.86888,0.84574,0.00376729,0.00000,"","LLIMBC-4OZO3-FJT25J,L4ZNPI-KI74O-34IS3X","TKH2SE-M7IF5-CFI7LT","","","","","","","",422.86888,""
"TFSNQJ-EJDHF-FEEFOD","OYQCXL-KMZJJ-LUNJHE","BTC/USD","forex","crypto","2025-10-11 00:25:22.4236","buy","limit",112247.50000,146.48523,0.29297,0.00130502,0.00000,"","LIIL53-ZNGIP-PT32T3,LVCJQB-ASEYC-ZBZGZS","TKH2SE-M7IF5-CFI7LT","","","","","","","",146.48523,""
"TNC44Z-TNKOD-7KBOYY","OYQCXL-KMZJJ-LUNJHE","BTC/USD","forex","crypto","2025-10-11 01:11:16.9415","buy","limit",112247.50000,226.66587,0.45333,0.00201934,0.00000,"","LWYVN7-6HC6U-PQCJ62,L5XSLH-YDLHK-SPGRLY","TKH2SE-M7IF5-CFI7LT","","","","","","","",226.66587,""
"TI4I6Q-3ZUYL-CASO2D","OYQCXL-KMZJJ-LUNJHE","BTC/USD","forex","crypto","2025-10-11 01:11:36.6774","buy","limit",112247.50000,750.48679,1.50097,0.00668600,0.00000,"","L3MA2A-VJGIB-QJPNJO,LI5FU3-3QJAI-ZOVDUZ","TKH2SE-M7IF5-CFI7LT","","","","","","","",750.48679,""
"TEEB45-EXLSJ-2NPJLD","OYQCXL-KMZJJ-LUNJHE","BTC/USD","forex","crypto","2025-10-11 01:11:36.6777","buy","limit",112247.50000,2251.57260,4.50315,0.02005900,0.00000,"","LKCYLP-ZMXWS-ZI3LJA,LCGE63-IXMCH-BOVQRE","TKH2SE-M7IF5-CFI7LT","","","","","","","",2251.57260,""
