Date,Reference Code,Transaction Type,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Total Amount,Total Currency,Method,Source,Destination,Cost Basis,Cost Basis Currency,Bitcoin Price Amount,Bitcoin Price Currency,Transaction ID,Recurring,Tag
2025-01-01 12:02:34,NRYAUMBZ,Interest Payout,,,0.00001636,BTC,,,0.00001636,BTC,Interest Earned,Cash Balance,Bitcoin Balance,1.53,USD,93255.28,USD,,False,Interest
2025-01-01 23:38:26,IWHMNRVQ,Buy,80.00,USD,0.000845,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,94674.56,USD,,True,
2025-01-02 23:37:39,RLQHSXX7,Buy,80.00,USD,0.00082307,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,97197.08,USD,,True,
2025-01-03 23:37:30,QR2ZDB7W,Buy,80.00,USD,0.00081285,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,98419.14,USD,,True,
2025-01-04 23:38:04,QEXWI2UW,Buy,80.00,USD,0.00081189,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,98535.52,USD,,True,
2025-01-05 23:38:00,IRBONUWR,Buy,80.00,USD,0.00081033,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,98725.21,USD,,True,
2025-01-06 23:37:36,EVG2WFP3,Buy,80.00,USD,0.00078083,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,102455.08,USD,,True,
2025-01-07 23:38:04,FBOILAJH,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-01-07 23:38:04,IBCRCQX4,Buy,80.00,USD,0.0008214,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,97394.69,USD,,True,
2025-01-08 23:37:36,CMG3SJOQ,Buy,80.00,USD,0.00083979,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,95261.91,USD,,True,
2025-01-09 14:27:48,VVHDDHLN,Buy,2475.25,USD,0.02671487,BTC,24.75,USD,2500.00,USD,ACH Bank Transfer,TOTAL CHECKING ··6568,Bitcoin Balance,2500.00,USD,92654.39,USD,,False,
2025-01-09 23:38:38,K7H6CRLG,Buy,80.00,USD,0.00086466,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,92521.92,USD,,True,
2025-01-10 23:37:52,UNGOFBER,Buy,80.00,USD,0.00084105,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,95119.20,USD,,True,
2025-01-11 23:37:51,FGOIDSCK,Buy,80.00,USD,0.00084229,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,94979.16,USD,,True,
2025-01-12 23:37:39,LEUD2IAG,Buy,80.00,USD,0.0008449,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,94685.76,USD,,True,
2025-01-13 16:24:30,IRDQGXGT,Send,0.04007823,BTC,,,,,0.04007823,BTC,On Chain,Bitcoin Balance,bc1q5ykdd0tk0ahh5ppufn7wyurktvnh6rfe6g0wvc,3781.53,USD,91629.47,USD,c6f6be993a42c5db49c887ec90185d0226cbd06bc2d52769965b872c55a514a7,False,
2025-01-13 23:37:33,VT637YPK,Buy,80.00,USD,0.00084516,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,94656.63,USD,,True,
2025-01-14 23:38:20,SHBNNSRU,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-01-14 23:38:20,4LDX3YIE,Buy,80.00,USD,0.0008265,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96793.71,USD,,True,
2025-01-15 23:38:06,7ZYCWOX4,Buy,80.00,USD,0.00079619,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,100478.53,USD,,True,
2025-01-16 23:38:14,CWSNC42L,Buy,80.00,USD,0.00079865,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,100169.04,USD,,True,
2025-01-17 23:38:09,HZC4XY5J,Buy,80.00,USD,0.0007643,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,104670.94,USD,,True,
2025-01-18 23:37:38,3FU7XM5F,Buy,80.00,USD,0.0007633,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,104808.07,USD,,True,
2025-01-19 23:38:10,TDZLUHDB,Buy,80.00,USD,0.00079567,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,100544.20,USD,,True,
2025-01-20 23:37:42,D4VIEM2K,Buy,80.00,USD,0.0007735,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,103425.99,USD,,True,
2025-01-21 23:37:38,TZN2TNUN,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-01-21 23:37:38,LOO4Y2XT,Buy,80.00,USD,0.00075385,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,106121.91,USD,,True,
2025-01-22 23:37:30,D4N2JUZRDQ,Buy,80.00,USD,0.00076794,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,104174.81,USD,,True,
2025-01-23 23:38:26,UZE4JR7JYE,Buy,80.00,USD,0.00076515,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,104554.66,USD,,True,
2025-01-24 23:37:50,CBBKH5UH3Q,Buy,80.00,USD,0.00076208,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,104975.86,USD,,True,
2025-01-25 23:37:52,GL5LU23OUE,Buy,80.00,USD,0.00076063,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,105175.97,USD,,True,
2025-01-26 23:37:39,HU7A3P5EKM,Buy,80.00,USD,0.0007755,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,103159.25,USD,,True,
2025-01-27 23:38:20,QMDDAACOUA,Buy,80.00,USD,0.00078281,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,102195.94,USD,,True,
2025-01-28 23:38:15,J5KIIMNKXY,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-01-28 23:38:15,MHDCYC4KTE,Buy,80.00,USD,0.0007904,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,101214.57,USD,,True,
2025-01-29 21:23:07,57CNRHKUJ4,Send,0.01172841,BTC,,,0.00000282,BTC,0.01173123,BTC,On Chain,Bitcoin Balance,bc1qf8c5ydll6c3n8ss6s9xw45735590lp462pws0q,1200.00,USD,104340.42,USD,69bf73662c88daed4fbcd455693ea52a899266cee50ba24fdf6ce026bbffba23,False,
2025-01-29 23:37:57,5E4K7ARGXI,Buy,80.00,USD,0.00076691,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,104314.72,USD,,True,
2025-01-30 23:38:07,B5VBSMGAKQ,Buy,80.00,USD,0.00075922,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,105371.30,USD,,True,
2025-01-31 23:38:03,OGO7QOOHZU,Buy,80.00,USD,0.00078097,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,102436.71,USD,,True,
2025-02-01 16:30:06,F6IQW72WFE,Interest Payout,,,0.0000077,BTC,,,0.0000077,BTC,Interest Earned,Cash Balance,Bitcoin Balance,0.79,USD,102078.70,USD,,False,Interest
2025-02-01 23:38:13,QUB3LHYE7I,Buy,80.00,USD,0.00079129,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,101100.73,USD,,True,
2025-02-02 23:37:59,CA4QZKCWTA,Buy,80.00,USD,0.00081824,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,97770.83,USD,,True,
2025-02-03 12:23:18,LKGAU2QGFQ,Buy,2376.24,USD,0.02479525,BTC,23.76,USD,2400.00,USD,ACH Bank Transfer,TOTAL CHECKING ··6568,Bitcoin Balance,2400.00,USD,95834.48,USD,,False,
2025-02-03 23:38:10,XPQJLK4TRU,Buy,80.00,USD,0.00078569,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,101821.33,USD,,True,
2025-02-04 23:37:36,7QBHGEOHI4,Cash Deposit,,,560.00,USD,,,560.00,USD,Cash Deposit,TOTAL CHECKING ··6568,Cash Balance,,,,,,False,
2025-02-04 23:37:36,NSS5MN3VSE,Buy,80.00,USD,0.0008152,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,98135.43,USD,,True,
2025-02-05 19:59:42,TVAQZLGEDE,Send,0.03029567,BTC,,,,,0.03029567,BTC,On Chain,Bitcoin Balance,bc1q5ykdd0tk0ahh5ppufn7wyurktvnh6rfe6g0wvc,2960.79,USD,97381.89,USD,557de81fe131ec1b204638edcd1e4af81d0aa58ab3481e81973e0d332daea8c2,False,
2025-02-05 23:37:58,XVIBTPYZIM,Buy,80.00,USD,0.00082615,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96834.72,USD,,True,
2025-02-06 23:37:51,PVRP4ZPD6Q,Buy,80.00,USD,0.00082629,BTC,0.00,,80.00,USD,Cash Balance,Cash Balance,Bitcoin Balance,80.00,USD,96818.31,USD,,True,
