Transaction_ID,Customer_Age,Gender,Annual_Income,Credit_Score,Purchase_Category,BNPL_Provider,Purchase_Amount,Repayment_Status
6cbfd4e5-8e91-4a7b-8a14-e3dfa86a3359,56,Male,32293,353,Beauty,Sezzle,249,Defaulted
863e8aa6-847e-4ae0-b96b-65241f3450a2,46,Male,72774,354,Groceries,Affirm,188,Paid On Time
a24efee2-16f2-42dc-a0e7-6df4960df0b8,32,Male,82207,630,Travel,Sezzle,1610,Paid On Time
bbad847a-a92f-4766-ba3f-98b9b199b4cf,60,Male,92498,470,Fashion,Sezzle,120,Paid On Time
3f1b1928-09ca-4d06-8ec3-4efd3468d0ec,25,Male,32060,502,Travel,Klarna,1849,Paid On Time
f99db9dc-9e5c-40d1-918a-ecd3469e8c17,38,Female,94833,779,Travel,Klarna,1112,Paid On Time
085eae6d-ec9e-4ffd-9d8e-f7629c6db760,56,Female,89772,403,Travel,Klarna,418,Paid On Time
1d9eb495-215e-415e-8b2d-411be80398ef,36,Male,82341,731,Travel,Klarna,2117,Paid On Time
71a12b8c-b969-432d-9470-4eb4cb89a066,40,Female,80517,669,Home & Furniture,Sezzle,286,Paid On Time
f8fd5853-7121-4ee4-aec8-8559b8802bf4,28,Female,108929,359,Beauty,Klarna,244,Defaulted
861b5462-14eb-4392-8765-baba4df192b2,28,Non-Binary,99953,638,Electronics,Affirm,489,Paid On Time
83b75c0c-4e94-4966-8e89-c70dc5de1f69,41,Male,45213,663,Electronics,Afterpay,1084,Paid On Time
02cecbc5-032c-4a79-8fdd-537862b3483d,53,Female,63974,516,Beauty,Afterpay,36,Paid On Time
41a9b89d-8c94-4342-867c-b9651bb0c645,57,Male,57412,626,Fashion,Affirm,224,Paid On Time
1a4a25d8-d1e1-44f8-9038-43d176d0ff83,41,Female,83989,443,Travel,Afterpay,352,Paid On Time
7120f925-d671-424c-9d66-2484d247fd5b,20,Male,91119,710,Electronics,Sezzle,447,Paid On Time
d45789e6-106a-49a8-86b3-3867c51b9ced,39,Male,20461,844,Fashion,Afterpay,175,Paid On Time
c2bb4ac4-18ff-4d0a-99f1-8bc745c29b4e,19,Female,80365,405,Fashion,Sezzle,96,Paid On Time
cfc41e5a-ace1-4f42-bf87-369e32c48397,41,Female,58976,506,Fashion,Afterpay,261,Late Payment
2c47b230-edbd-4a20-9dc0-e992806ed663,61,Female,58199,560,Beauty,Sezzle,41,Paid On Time
27080a62-5ef1-418a-af72-0673b1010b34,47,Male,40384,734,Home & Furniture,Affirm,193,Paid On Time
5ee20607-3aba-406e-8429-034b8fc9b894,55,Male,105191,626,Beauty,Klarna,123,Paid On Time
f195439b-acd9-4553-bce4-f209073738ad,19,Female,70522,441,Groceries,Sezzle,222,Paid On Time
2b5929cb-1214-485f-8b40-3a71d2bf9fee,38,Female,51481,587,Electronics,Klarna,1923,Paid On Time
0f46da60-6e1e-4f6e-8aad-e5f35aa96285,50,Female,55193,718,Home & Furniture,Affirm,262,Paid On Time
0416f06c-8c50-4b99-a979-493441b210f6,29,Female,89011,567,Travel,Klarna,739,Paid On Time
87bdb3e8-3371-4171-9907-5e5271489650,39,Male,106070,335,Beauty,Afterpay,152,Paid On Time
03496e43-78c9-443f-9007-5c0fffebefa1,61,Male,114239,407,Travel,Affirm,2378,Paid On Time
0d803eb9-fe1b-41de-84ce-d5256006ff95,42,Male,72064,763,Groceries,Affirm,39,Paid On Time
4c4b1522-ee82-41bb-bbe3-0e66b6e90e15,44,Female,85273,837,Electronics,Afterpay,1587,Paid On Time
ef50fdc3-2791-40d5-aebb-3df2acd435ea,59,Female,38961,776,Electronics,Klarna,998,Paid On Time
dd163284-6b86-444a-ae20-a1feb09face3,45,Male,112964,791,Groceries,Sezzle,252,Paid On Time
c6b67770-6732-43ba-9aaf-8c7e9b3beba1,33,Male,47838,651,Groceries,Affirm,38,Paid On Time
2fe82cd5-d58d-45aa-8615-6c3e7ad08901,32,Male,55602,598,Travel,Sezzle,2960,Paid On Time
ffef6e42-7b4c-46c3-b25e-fb8cac49eeb8,64,Male,42660,669,Home & Furniture,Klarna,291,Paid On Time
729ac805-21ea-44aa-88af-891a7a6ddea4,61,Female,52055,378,Travel,Sezzle,439,Paid On Time
1e843f02-bf93-4861-a01d-9319ed3f6e8e,20,Male,63147,714,Electronics,Sezzle,273,Paid On Time
f90b22ac-debf-41b8-95ce-cd8bd620d09d,54,Female,34784,782,Home & Furniture,Afterpay,120,Late Payment
e2d7840f-dbd4-4689-9148-b3e1ba2c8a09,24,Female,25328,706,Electronics,Affirm,708,Paid On Time
2c786947-feff-4378-b987-9d2e7d668df2,38,Male,28583,839,Fashion,Affirm,98,Paid On Time
05fa8c97-c961-4d69-b789-d1a220da8a49,26,Male,84132,743,Electronics,Sezzle,861,Paid On Time
f3461c96-068a-44dd-b841-6150f0b9c21f,56,Female,112642,609,Travel,Afterpay,1003,Paid On Time
dd731a7e-2271-4395-b059-8764661ad917,35,Male,79163,454,Travel,Affirm,2521,Paid On Time
a9318233-804a-451b-9c1f-309452dae16e,21,Female,74734,535,Fashion,Afterpay,59,Paid On Time
dd5c42c2-ab1f-4704-a327-f48fedcd1032,42,Female,70267,495,Electronics,Affirm,582,Defaulted
c4b1f7ba-78f5-4977-b576-beacb8807a9a,31,Male,75385,761,Travel,Afterpay,552,Paid On Time
b6b35356-568e-42b7-bc58-cd80f5e9c686,26,Female,53122,501,Electronics,Affirm,534,Paid On Time
c082ac99-a68a-4a09-bd6a-2fc077e16898,43,Female,96879,703,Groceries,Afterpay,218,Paid On Time
a68882b7-97af-476e-8412-a2037ba359ef,19,Male,63570,481,Groceries,Sezzle,86,Paid On Time
7d04fba2-d74f-4807-8d59-450fe3a315f6,37,Non-Binary,23510,770,Electronics,Affirm,771,Paid On Time
e82a47f3-fd15-4bc4-8793-8b5a5288d0d3,45,Male,90754,831,Groceries,Affirm,133,Paid On Time
27b999f7-d103-43de-bace-5b2473d22931,64,Female,69054,659,Beauty,Afterpay,72,Paid On Time
832fa4c7-81c7-4b07-81c3-1adfba6a6c34,24,Female,59610,486,Fashion,Affirm,279,Paid On Time
a6b7b6f2-ec3b-4de3-90b0-d834377be8e8,61,Female,96338,494,Travel,Klarna,2558,Late Payment
76a2a922-e5e9-4f44-96a0-df0792564c42,25,Male,37218,793,Home & Furniture,Klarna,116,Paid On Time
f0e0e75a-ec9a-47fb-a4a4-5cefb65eefb3,64,Male,69169,588,Electronics,Sezzle,1859,Late Payment
dcaf6d3a-d716-4ef7-bd5f-08c347cba669,52,Male,43156,476,Beauty,Sezzle,118,Paid On Time
164258e4-a0d0-4b43-90ea-99d4582a2bd7,31,Female,56048,664,Fashion,Klarna,190,Paid On Time
67e2991f-7bc5-4ed2-b1cd-e698691518f4,34,Male,102079,448,Beauty,Afterpay,143,Paid On Time
941dcd46-5710-44bd-89b0-8877e17277d8,53,Female,24170,580,Fashion,Klarna,69,Paid On Time
20955e7b-cccc-400f-afe1-0a7de561bd49,57,Male,81131,443,Fashion,Affirm,250,Paid On Time
d557fc2b-bb1e-4b64-8166-965ed972c5eb,21,Male,62669,681,Beauty,Klarna,151,Defaulted
7f62b5c6-8bff-47a7-95f8-b2a42e91a8c9,19,Male,53443,424,Beauty,Affirm,158,Late Payment
6353d56d-b14e-4b20-b672-f72563668a0a,23,Female,52843,763,Groceries,Affirm,200,Paid On Time
4617630f-269b-4247-96cc-f1ba4716ce79,59,Female,76971,620,Travel,Sezzle,770,Paid On Time
49705e1a-61d5-45c1-b45a-240c137bc09a,21,Male,56154,314,Electronics,Sezzle,517,Paid On Time
c814c53d-7f52-4b75-a4b8-300d97f32474,46,Female,95987,360,Home & Furniture,Klarna,205,Late Payment
e284df20-e279-4218-8bd3-0d75838ac00f,35,Male,69474,845,Travel,Klarna,1567,Paid On Time
7e9d7119-e130-4469-9789-f4a680082a10,43,Female,33031,320,Travel,Affirm,1997,Paid On Time
ec0b59ec-e320-4e66-ae01-6196f3102941,61,Female,92042,443,Beauty,Klarna,273,Paid On Time
86a07373-87b9-49fe-b32d-1717def6e763,51,Male,43214,445,Fashion,Afterpay,170,Late Payment
44e5f488-8375-4832-9b50-364ed54f7752,27,Male,98071,822,Fashion,Affirm,96,Paid On Time
