Sample,δ13C,δ18O mineral,Δ47 Ghosh,Δ47 ARF,Acid digest T (°C),Temperature,Acid correction factor,Reference
2018TR60-1-R1,-5.65 ,-12.45 ,/,0.633 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2018TR60-1-R2,-5.65 ,-12.47 ,/,0.633 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2018TR60-1-R3,-5.65 ,-12.47 ,/,0.618 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2018TR77-R1,-7.48 ,-10.32 ,/,0.628 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2018TR77-R2,-7.48 ,-10.32 ,/,0.648 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2018TR77-R3,-7.48 ,-10.32 ,/,0.638 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR01-R1,-4.90 ,-10.55 ,/,0.600 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR01-R2,-4.91 ,-10.53 ,/,0.599 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR01-R3,-4.90 ,-10.54 ,/,0.594 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR131-R1,-5.25 ,-10.94 ,/,0.614 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR131-R2,-5.26 ,-10.95 ,/,0.621 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR131-R3,-5.26 ,-10.92 ,/,0.612 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR131-R4,-5.25 ,-10.92 ,/,0.595 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR132-R1,-5.18 ,-10.94 ,/,0.612 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR132-R2,-5.17 ,-10.94 ,/,0.616 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR134-R1,-4.74 ,-13.34 ,/,0.629 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR134-R2,-4.72 ,-13.32 ,/,0.640 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR134-R3,-4.73 ,-13.34 ,/,0.623 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR135-R1,-3.37 ,-10.65 ,/,0.598 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR135-R2,-3.38 ,-10.58 ,/,0.594 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR135-R3,-3.38 ,-10.69 ,/,0.593 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR136-R1,-8.45 ,-12.21 ,/,0.670 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR136-R2,-8.44 ,-12.87 ,/,0.670 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR136-R3,-8.44 ,-12.94 ,/,0.642 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2019TR136-R4,-8.42 ,-12.90 ,/,0.654 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR05-R1,-5.02 ,-10.75 ,/,0.593 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR05-R2,-5.02 ,-10.76 ,/,0.612 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR05-R3,-5.01 ,-10.76 ,/,0.591 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR102-R1,-7.49 ,-12.74 ,/,0.659 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR102-R2,-7.49 ,-13.19 ,/,0.643 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR102-R3,-7.50 ,-13.21 ,/,0.635 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR104-R1,-6.65 ,-12.78 ,/,0.646 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR104-R2,-6.67 ,-12.74 ,/,0.642 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR104-R3,-6.67 ,-12.71 ,/,0.658 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR104-R4,-6.62 ,-12.78 ,/,0.622 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR95-R1,-7.50 ,-14.44 ,/,0.646 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR95-R2,-7.51 ,-14.42 ,/,0.665 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR95-R3,-7.50 ,-14.40 ,/,0.639 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR97-R1,-7.10 ,-13.57 ,/,0.636 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR97-R2,-7.09 ,-13.53 ,/,0.668 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR97-R3,-7.09 ,-13.52 ,/,0.642 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR97-R4,-7.09 ,-13.53 ,/,0.648 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR99-R1,-6.14 ,-12.75 ,/,0.648 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
2020TR99-R2,-6.14 ,-12.74 ,/,0.658 ,90,,0.088,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
