adult,original_language,original_title,popularity,release_date,video,vote_average,vote_count,genre_ids
False,en,The Shawshank Redemption,31.3466,1994-09-23,False,8.715,29596,"[18, 80]"
False,en,The Godfather,29.5916,1972-03-14,False,8.687,22357,"[18, 80]"
False,en,The Godfather Part II,19.1848,1974-12-20,False,8.57,13519,"[18, 80]"
False,en,Schindler's List,16.4677,1993-12-15,False,8.565,17030,"[18, 36, 10752]"
False,en,12 Angry Men,11.8583,1957-04-10,False,8.552,9687,[18]
False,ja,千と千尋の神隠し,16.7527,2001-07-20,False,8.533,17866,"[16, 10751, 14]"
False,en,The Dark Knight,26.2312,2008-07-16,False,8.525,35052,"[28, 80, 53]"
False,hi,दिलवाले दुल्हनिया ले जायेंगे,6.8065,1995-10-20,False,8.515,4544,"[35, 18, 10749]"
False,en,The Green Mile,23.1419,1999-12-10,False,8.504,18766,"[14, 18, 80]"
False,ko,기생충,23.8615,2019-05-30,False,8.495,20013,"[35, 53, 18]"
False,en,The Lord of the Rings: The Return of the King,26.7699,2003-12-17,False,8.492,25921,"[12, 14, 28]"
False,en,Pulp Fiction,21.3781,1994-09-10,False,8.486,29589,"[53, 80, 35]"
False,ja,君の名は。,18.8655,2016-08-26,False,8.478,12242,"[16, 10749, 18]"
False,it,"Il buono, il brutto, il cattivo",11.8534,1966-12-22,False,8.467,9367,[37]
False,en,Interstellar,46.8496,2014-11-05,False,8.466,38706,"[12, 18, 878]"
False,en,Forrest Gump,20.7151,1994-06-23,False,8.462,29149,"[35, 18, 10749]"
False,en,GoodFellas,16.7984,1990-09-12,False,8.451,13946,"[18, 80]"
False,ja,七人の侍,7.3551,1954-04-26,False,8.4,4088,"[28, 18]"
False,ja,火垂るの墓,0.0108,1988-04-16,False,8.443,6308,"[16, 18, 10752]"
False,it,La vita è bella,10.6423,1997-12-20,False,8.44,13745,"[35, 18]"
False,en,Fight Club,25.6196,1999-10-15,False,8.438,31319,"[18, 53]"
False,ja,切腹,4.5383,1962-09-15,False,8.434,1152,"[28, 18, 36]"
False,it,Nuovo Cinema Paradiso,6.7838,1988-11-17,False,8.427,4704,"[18, 10749]"
False,en,The Lord of the Rings: The Fellowship of the Ring,31.7977,2001-12-18,False,8.427,26887,"[12, 14, 28]"
False,pt,Cidade de Deus,10.612,2002-08-30,False,8.425,7961,"[18, 80]"
False,es,Cosas imposibles,4.8998,2021-06-17,False,8.421,419,"[10751, 18]"
False,pt,O Auto da Compadecida,3.7997,2000-09-15,False,8.42,1198,"[35, 18, 14, 10749]"
False,en,Psycho,11.5501,1960-06-22,False,8.42,10749,"[27, 53, 9648]"
False,en,One Flew Over the Cuckoo's Nest,10.4968,1975-11-19,False,8.4,11162,[18]
False,en,The Lord of the Rings: The Two Towers,22.1602,2002-12-18,False,8.412,23333,"[12, 14, 28]"
False,en,Gabriel's Inferno,3.8314,2020-05-29,False,8.402,2440,"[10749, 18]"
False,en,Spider-Man: Into the Spider-Verse,18.8995,2018-12-06,False,8.394,16790,"[16, 28, 12, 878]"
False,en,The Empire Strikes Back,9.4738,1980-05-20,False,8.392,18002,"[12, 28, 878]"
False,en,Once Upon a Time in America,8.8743,1984-05-23,False,8.392,5858,"[18, 80]"
False,ko,소원,3.0022,2013-10-02,False,8.4,815,[18]
False,ja,ハウルの動く城,14.8391,2004-09-09,False,8.4,10768,"[14, 16, 12]"
False,ja,映画 聲の形,7.7724,2016-09-17,False,8.383,4332,"[16, 18, 10749]"
False,en,Se7en,18.3749,1995-09-22,False,8.4,22519,"[80, 9648, 53]"
False,en,Lucy Shimmers and the Prince of Peace,3.7014,2020-10-19,False,8.378,337,"[18, 10751]"
False,en,The Pianist,9.7332,2002-09-17,False,8.378,9861,"[18, 10752]"
False,en,Whiplash,17.7622,2014-10-10,False,8.375,16243,"[18, 10402]"
False,en,Gabriel's Inferno: Part II,1.0674,2020-07-31,False,8.37,1535,"[10749, 18]"
False,en,Inception,30.2769,2010-07-15,False,8.37,38566,"[28, 878, 12]"
False,en,Gabriel's Inferno: Part III,5.4716,2020-11-19,False,8.362,1073,"[10749, 18]"
False,es,Radical,3.7154,2023-10-19,False,8.3,485,[18]
False,en,The Silence of the Lambs,3.6379,1991-02-14,False,8.345,17493,"[80, 53, 18]"
False,en,Rear Window,5.8565,1954-08-01,False,8.345,6973,"[53, 9648]"
False,ja,天国と地獄,8.7266,1963-03-01,False,8.343,1070,"[18, 80]"
False,en,Spider-Man: Across the Spider-Verse,26.8448,2023-05-31,False,8.333,8199,"[16, 28, 12, 878]"
False,en,American History X,9.152,1998-07-01,False,8.328,12267,[18]
False,en,Back to the Future,19.332,1985-07-03,False,8.323,21313,"[12, 35, 878]"
False,zh,罗小黑战记,4.9648,2019-08-27,False,8.32,437,"[16, 14, 28]"
False,ja,もののけ姫,10.6376,1997-07-12,False,8.321,8721,"[12, 14, 16]"
False,ja,生きる,8.2345,1952-10-09,False,8.316,1281,[18]
False,en,The Wild Robot,18.6111,2024-09-12,False,8.313,5672,"[16, 878, 10751, 12, 18]"
False,ja,劇場版 チェンソーマン レゼ篇,43.6327,2025-09-19,False,8.31,642,"[16, 28, 10749, 14]"
False,ja,映画 五等分の花嫁,8.5344,2022-05-20,False,8.305,428,"[16, 35, 10749]"
False,en,Dead Poets Society,14.947,1989-06-02,False,8.3,12229,[18]
False,ja,同級生,6.0773,2016-02-20,False,8.3,424,"[10749, 16]"
False,fr,Léon,15.1477,1994-09-14,False,8.298,15725,"[80, 18, 28]"
False,ja,PERFECT BLUE,7.2949,1998-02-28,False,8.3,3039,"[16, 53]"
False,zh,牯嶺街少年殺人事件,7.928,1991-07-27,False,8.3,368,"[80, 18, 10749]"
False,en,The Great Dictator,3.7115,1940-10-15,False,8.289,3597,"[35, 10752]"
False,es,Dedicada A Mi Ex,0.8952,2019-11-01,False,8.3,513,"[18, 35]"
False,it,C'eravamo tanto amati,0.9997,1974-12-21,False,8.285,628,"[18, 35]"
False,en,Once Upon a Studio,3.0742,2023-09-24,False,8.274,418,"[16, 10751, 14, 35]"
False,en,Modern Times,3.6826,1936-02-05,False,8.283,3965,"[35, 18, 10749]"
