EmployeeID,Age,Department,JobLevel,YearsAtCompany,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,PromotionLast5Years,PerformanceRating,TrainingHoursLastYear,Attrition
EMP0000,42,Sales,3,9,9866,4,1,No,24.5,Yes,4,19,No
EMP0001,36,Sales,3,7,8958,3,3,No,10.0,No,2,13,No
EMP0002,44,Sales,4,16,11716,4,3,No,4.0,No,4,13,No
EMP0003,53,Finance,4,30,17061,5,3,No,7.1,No,3,20,No
EMP0004,35,HR,2,4,5738,2,3,No,8.4,No,2,15,No
EMP0005,35,Sales,1,1,3839,2,3,No,3.1,No,2,18,No
EMP0006,53,IT,4,31,17377,3,3,No,8.9,No,4,18,No
EMP0007,45,Finance,2,5,8463,4,3,No,17.6,No,2,8,No
EMP0008,33,HR,2,8,6956,5,3,No,3.6,No,2,7,No
EMP0009,43,Engineering,2,4,9383,1,3,Yes,8.6,No,3,10,No
EMP0010,33,Finance,2,3,8594,4,3,No,4.5,No,2,13,No
EMP0011,33,Engineering,1,1,5517,2,2,No,8.2,No,3,23,Yes
EMP0012,40,Finance,3,11,10530,4,1,No,8.6,No,3,18,No
EMP0013,22,Finance,1,0,5729,3,2,Yes,4.0,No,3,18,No
EMP0014,22,Sales,1,0,4524,1,3,No,6.1,No,3,15,No
EMP0015,32,IT,2,2,8191,2,3,No,12.5,No,2,13,No
EMP0016,27,HR,2,5,6277,3,3,Yes,11.5,Yes,2,19,Yes
EMP0017,41,Engineering,4,13,14731,5,4,Yes,3.3,No,2,13,No
EMP0018,28,IT,2,4,9583,2,3,Yes,8.1,No,3,19,No
EMP0019,23,Engineering,1,0,4994,3,2,Yes,6.5,Yes,3,20,No
EMP0020,52,Finance,4,25,16061,5,2,No,5.4,No,1,14,No
EMP0021,35,Finance,3,13,11207,3,1,No,5.5,No,3,17,No
EMP0022,38,Sales,2,2,6269,3,2,No,11.3,No,2,14,No
EMP0023,23,IT,1,1,5730,4,2,No,3.9,Yes,3,9,Yes
EMP0024,32,HR,3,6,7609,3,2,No,19.2,No,1,14,No
EMP0025,39,Engineering,4,14,15186,5,4,No,6.1,No,2,15,No
EMP0026,26,IT,2,4,7405,1,3,No,14.5,No,3,9,No
EMP0027,41,HR,3,5,7183,5,3,Yes,14.7,Yes,2,12,No
EMP0028,31,Finance,1,0,4572,2,3,No,2.3,No,3,11,No
EMP0029,35,Operations,2,3,5719,3,3,No,12.7,No,3,12,No
EMP0030,31,Sales,2,5,6652,4,1,No,14.9,No,3,15,No
EMP0031,56,Sales,3,31,12746,3,4,Yes,6.0,No,2,20,No
EMP0032,37,Sales,3,10,9278,3,2,No,5.1,Yes,3,15,No
EMP0033,27,Operations,2,5,6195,5,4,No,33.5,No,2,9,No
EMP0034,46,Sales,4,13,11588,3,3,No,15.9,No,3,14,No
EMP0035,25,Engineering,2,2,8350,3,2,No,3.5,No,3,20,No
EMP0036,40,Engineering,4,11,14664,4,2,No,7.3,No,2,9,No
EMP0037,22,Engineering,1,0,5832,2,3,Yes,3.7,No,2,12,No
EMP0038,24,Finance,2,2,7610,3,2,No,8.0,No,2,19,No
EMP0039,39,IT,3,9,11002,3,3,Yes,10.6,Yes,2,16,No
EMP0040,45,Engineering,2,5,9125,3,2,No,6.3,No,3,8,No
EMP0041,39,Engineering,3,8,12417,1,3,No,16.2,No,2,13,No
EMP0042,36,Operations,1,1,3819,5,3,No,8.0,No,1,12,No
EMP0043,34,Engineering,2,3,8795,4,2,Yes,8.1,No,3,13,No
EMP0044,23,IT,1,0,5578,5,2,No,34.4,No,2,14,No
EMP0045,30,HR,2,3,6340,4,4,No,5.5,No,3,17,No
EMP0046,33,Engineering,3,7,11416,2,3,No,19.3,No,2,15,No
EMP0047,48,IT,3,25,14082,3,3,No,26.1,No,3,14,Yes
EMP0048,41,Engineering,4,18,15838,1,3,No,5.8,Yes,3,21,No
EMP0049,22,Sales,1,0,4627,4,4,Yes,3.5,No,1,22,No
EMP0050,41,Sales,4,18,12049,4,3,No,6.3,No,3,14,No
EMP0051,34,IT,2,8,9472,3,2,No,12.7,No,2,21,No
EMP0052,31,Operations,3,9,8643,5,3,No,17.9,No,3,15,No
EMP0053,44,Engineering,3,7,12107,4,3,No,8.2,No,2,16,No
EMP0054,48,Operations,1,0,4001,4,1,Yes,19.9,No,2,17,No
EMP0055,47,Marketing,3,9,10976,3,3,Yes,2.6,No,3,16,No
EMP0056,29,Engineering,3,5,10745,3,4,Yes,10.5,No,2,14,No
EMP0057,34,Finance,1,1,5921,4,3,No,10.3,No,4,18,No
EMP0058,41,Finance,2,2,8156,4,3,No,1.9,No,3,9,No
EMP0059,47,HR,3,10,8930,4,3,No,9.1,Yes,2,13,No
EMP0060,33,Sales,1,1,5176,5,2,No,20.7,No,3,14,No
EMP0061,36,Sales,2,2,5701,2,2,Yes,8.6,No,2,10,Yes
EMP0062,26,Operations,2,2,7263,2,4,No,9.1,No,1,16,No
EMP0063,26,Operations,1,2,4759,4,2,No,11.0,No,2,16,No
EMP0064,46,Finance,3,13,12814,3,2,No,11.3,No,4,13,No
EMP0065,51,Operations,2,5,7562,3,1,No,2.8,Yes,2,7,No
EMP0066,37,Finance,4,14,14414,5,4,No,6.3,No,3,18,No
EMP0067,48,Operations,2,13,7958,4,3,Yes,15.6,No,4,13,No
EMP0068,41,Sales,3,6,9374,4,2,Yes,13.5,No,3,11,No
EMP0069,31,Engineering,2,9,8609,3,3,No,8.1,No,2,18,No
EMP0070,41,HR,4,14,10855,3,3,No,14.1,Yes,3,14,No
EMP0071,53,Engineering,4,30,18184,5,4,Yes,15.6,Yes,2,20,No
EMP0072,37,Finance,3,12,12464,4,3,Yes,5.3,No,3,14,No
EMP0073,53,IT,2,9,9312,4,3,No,32.6,No,3,10,No
EMP0074,22,Engineering,1,0,6180,3,2,No,4.9,No,2,17,No
EMP0075,46,IT,4,21,16196,2,2,Yes,4.1,No,3,11,No
EMP0076,38,HR,4,16,11158,3,3,No,14.5,No,3,12,No
EMP0077,35,HR,4,10,9833,3,3,Yes,10.2,No,2,11,No
EMP0078,38,Marketing,4,16,13068,4,3,No,4.3,No,4,15,No
EMP0079,22,Engineering,1,0,5477,2,3,Yes,17.0,No,3,14,No
EMP0080,35,Engineering,3,11,11693,3,4,No,4.0,No,3,23,Yes
EMP0081,41,Marketing,2,14,9015,2,3,No,6.2,No,3,15,No
EMP0082,52,IT,5,25,19938,3,1,No,13.3,No,3,26,No
EMP0083,32,Marketing,2,8,8323,5,1,Yes,12.7,No,2,8,No
EMP0084,29,Engineering,2,4,8856,3,2,Yes,6.4,No,3,10,No
EMP0085,32,Sales,3,8,9486,1,4,Yes,21.1,No,3,6,No
EMP0086,47,IT,2,4,8307,4,3,No,1.0,No,2,25,No
EMP0087,41,HR,1,3,3619,4,3,No,5.9,No,3,20,No
EMP0088,32,IT,2,8,8975,3,2,No,11.5,No,3,26,No
EMP0089,43,Marketing,2,2,6734,3,3,No,5.5,No,3,12,No
EMP0090,38,Marketing,2,2,6375,5,3,No,5.5,No,3,12,No
EMP0091,47,Finance,3,25,13374,5,2,No,3.9,No,3,21,No
EMP0092,30,Engineering,1,1,6394,4,3,No,2.0,No,2,15,No
EMP0093,34,Finance,1,0,5697,3,2,No,20.2,No,2,14,No
EMP0094,34,HR,4,11,10585,2,2,No,7.9,No,3,12,No
EMP0095,23,Finance,1,1,6484,3,1,No,19.2,No,2,18,No
EMP0096,40,Operations,1,1,4073,3,4,No,12.1,No,3,13,No
EMP0097,40,Sales,3,10,9816,2,2,No,9.8,No,2,16,No
EMP0098,38,Marketing,1,2,5105,4,3,No,49.9,No,2,11,No
EMP0099,35,Sales,3,6,9710,5,2,No,8.8,No,3,13,No
EMP0100,23,Sales,1,1,4245,5,3,No,7.2,No,2,16,No
EMP0101,33,Finance,3,6,11171,4,1,Yes,6.2,Yes,3,13,No
EMP0102,34,Sales,1,1,4774,4,4,No,13.3,No,2,23,No
EMP0103,29,Marketing,1,0,5609,3,3,Yes,6.9,No,2,11,No
EMP0104,36,Sales,2,2,6604,5,4,Yes,26.0,No,2,11,No
EMP0105,42,Engineering,1,1,6031,3,3,No,10.4,No,3,10,No
EMP0106,56,Sales,1,1,4471,1,2,No,16.3,No,2,21,No
EMP0107,39,Sales,4,14,11923,4,3,No,3.5,Yes,3,9,No
EMP0108,40,Operations,2,2,5247,3,2,Yes,2.8,No,2,13,No
EMP0109,37,Marketing,2,4,7339,3,4,No,8.9,No,3,18,No
EMP0110,22,IT,1,0,5508,3,2,Yes,4.6,No,3,20,No
EMP0111,37,Sales,3,10,9029,3,2,Yes,14.6,No,3,18,No
EMP0112,38,Operations,3,6,8179,2,3,No,7.9,No,3,15,No
EMP0113,60,Finance,2,5,8001,1,2,No,4.1,No,2,14,No
EMP0114,36,Engineering,3,13,12493,3,2,No,4.5,No,2,17,No
EMP0115,41,Finance,1,0,5812,3,3,Yes,10.5,No,4,12,No
EMP0116,37,Finance,2,9,9363,3,2,No,23.6,No,3,10,No
EMP0117,26,HR,1,0,4789,5,2,No,14.5,No,2,13,No
EMP0118,49,Finance,3,16,12454,4,3,No,17.3,No,2,20,No
EMP0119,45,Engineering,3,13,11989,1,2,Yes,3.3,No,4,13,No
EMP0120,45,Engineering,3,9,11985,1,3,No,7.7,No,3,8,No
