product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason
FB000001,Outerwear,Zara,Spring,XL,Red,196.01,0.0,196.01,2025-07-05,37,3.0,False,
FB000002,Tops,Uniqlo,Winter,L,Pink,119.64,0.0,119.64,2025-08-06,2,2.5,False,
FB000003,Accessories,Uniqlo,Winter,,Black,33.8,0.0,33.8,2025-08-06,22,4.3,False,
FB000004,Shoes,Uniqlo,Spring,XL,Black,75.36,0.0,75.36,2025-07-07,48,2.6,False,
FB000005,Tops,Banana Republic,Winter,XL,Black,105.02,0.0,105.02,2025-08-06,10,,False,
FB000006,Accessories,Zara,Fall,,White,35.03,35.4,22.63,2025-08-06,38,2.9,True,Color Mismatch
FB000007,Bottoms,Zara,Spring,S,Gray,53.83,54.5,24.49,2024-10-29,38,2.6,False,
FB000008,Dresses,Mango,Winter,XL,Blue,91.55,22.1,71.32,2025-08-06,47,1.6,False,
FB000009,Outerwear,Uniqlo,Spring,XL,Green,227.73,12.8,198.58,2025-03-24,14,,False,
FB000010,Outerwear,H&M,Fall,XXL,Pink,248.41,10.9,221.33,2025-08-06,37,,False,
FB000011,Tops,Mango,Spring,L,Black,116.84,0.0,116.84,2025-04-25,3,4.4,False,
FB000012,Shoes,Uniqlo,Winter,S,Blue,146.98,0.0,146.98,2025-08-06,2,3.4,False,
FB000013,Bottoms,Ann Taylor,Spring,S,White,37.51,0.0,37.51,2025-01-04,43,,False,
FB000014,Dresses,Uniqlo,Fall,XS,Beige,48.15,0.0,48.15,2025-08-06,39,1.6,False,
FB000015,Tops,Mango,Winter,M,Beige,79.66,0.0,79.66,2025-08-06,7,1.7,False,
FB000016,Accessories,Mango,Winter,,Green,67.57,0.0,67.57,2025-08-06,17,2.4,False,
FB000017,Shoes,Gap,Summer,S,Beige,123.53,0.0,123.53,2025-08-06,14,4.6,False,
FB000018,Tops,Ann Taylor,Winter,L,Navy,102.35,0.0,102.35,2025-08-06,14,3.5,False,
FB000019,Outerwear,Mango,Summer,M,Purple,137.95,58.5,57.25,2025-08-06,16,4.1,False,
FB000020,Outerwear,Banana Republic,Summer,XXL,Gray,142.59,0.0,142.59,2025-08-06,1,3.7,False,
FB000021,Bottoms,Mango,Fall,L,Beige,33.33,21.8,26.06,2025-08-06,42,,False,
FB000022,Accessories,Zara,Spring,,Brown,62.3,0.0,62.3,2024-09-24,10,2.5,False,
FB000023,Accessories,Zara,Winter,,Pink,38.48,0.0,38.48,2025-08-06,46,1.2,False,
FB000024,Dresses,Banana Republic,Summer,XL,Green,91.36,0.0,91.36,2025-08-06,37,1.2,True,Size Issue
FB000025,Tops,Forever21,Fall,XS,Blue,80.47,29.1,57.05,2025-08-06,38,3.6,False,
FB000026,Bottoms,Uniqlo,Spring,M,Red,40.89,34.0,26.99,2025-06-11,16,3.7,False,
