Category,AWB Number,Dispatch Date,Delivered Date,Courier Partner,Tracking Link,Type of Return,Suborder Number Masked
"Cups, Mugs & Saucers",VL0080665306269,2025-03-18,2025-04-03,PocketShip,https://www.valmo.in/track/VL0080665306269,Courier Return (RTO),13271048197797****
"Cups, Mugs & Saucers",VL0080706588063,2025-03-23,2025-04-02,PocketShip,https://www.valmo.in/track/VL0080706588063,Courier Return (RTO),13448578752882****
"Cups, Mugs & Saucers",VL0080699520801,2025-03-22,2025-04-02,PocketShip,https://www.valmo.in/track/VL0080699520801,Courier Return (RTO),13420892214401****
"Cups, Mugs & Saucers",VL0080680001248,2025-03-19,2025-04-02,PocketShip,https://www.valmo.in/track/VL0080680001248,Courier Return (RTO),13319001667961****
"Cups, Mugs & Saucers",VL0080720477659,2025-03-24,2025-04-01,PocketShip,https://www.valmo.in/track/VL0080720477659,Courier Return (RTO),13487867935526****
"Cups, Mugs & Saucers",VL0080639397860,2025-03-15,2025-04-01,PocketShip,https://www.valmo.in/track/VL0080639397860,Courier Return (RTO),13139965872672****
"Cups, Mugs & Saucers",VL0080633113663,2025-03-13,2025-04-01,PocketShip,https://www.valmo.in/track/VL0080633113663,Courier Return (RTO),13088452033754****
"Cups, Mugs & Saucers (Deleted)",VL0080571787325,2025-03-04,2025-04-01,PocketShip,https://www.valmo.in/track/VL0080571787325,Courier Return (RTO),12764317968489****
Jars & Containers,M00824921216,2025-01-16,2025-04-01,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00824921216&searchBy=referenceNumber,Courier Return (RTO),11079588657301****
"Cups, Mugs & Saucers",VL0080665306194,2025-03-18,2025-03-31,PocketShip,https://www.valmo.in/track/VL0080665306194,Courier Return (RTO),13273694750773****
"Cups, Mugs & Saucers",VL0080651172108,2025-03-16,2025-03-31,PocketShip,https://www.valmo.in/track/VL0080651172108,Courier Return (RTO),13203334442706****
"Cups, Mugs & Saucers",VL0080612860438,2025-03-10,2025-03-31,PocketShip,https://www.valmo.in/track/VL0080612860438,Courier Return (RTO),12958346883741****
"Cups, Mugs & Saucers",VL0080619033398,2025-03-11,2025-03-31,PocketShip,https://www.valmo.in/track/VL0080619033398,Courier Return (RTO),12996219883477****
"Cups, Mugs & Saucers",VL0080532648803,2025-02-25,2025-03-31,PocketShip,https://www.valmo.in/track/VL0080532648803,Courier Return (RTO),12525182948350****
"Cups, Mugs & Saucers",M00927603798,2025-03-15,2025-03-29,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00927603798&searchBy=referenceNumber,Courier Return (RTO),13132802156629****
"Cups, Mugs & Saucers",VL0080651172116,2025-03-16,2025-03-29,PocketShip,https://www.valmo.in/track/VL0080651172116,Courier Return (RTO),13159865416739****
"Cups, Mugs & Saucers",VL0080625903042,2025-03-12,2025-03-29,PocketShip,https://www.valmo.in/track/VL0080625903042,Courier Return (RTO),13048013251524****
"Cups, Mugs & Saucers",VL0080577373890,2025-03-05,2025-03-29,PocketShip,https://www.valmo.in/track/VL0080577373890,Courier Return (RTO),12796303540606****
"Cups, Mugs & Saucers",M00911749794,2025-03-03,2025-03-29,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00911749794&searchBy=referenceNumber,Courier Return (RTO),12709361984923****
"Cups, Mugs & Saucers",M00890058890,2025-02-21,2025-03-29,PocketShip,https://meesho.portal.shipsy.io/track/result?refNum=M00890058890&searchBy=referenceNumber,Courier Return (RTO),12366049056843****
"Cups, Mugs & Saucers",VL0080625903045,2025-03-12,2025-03-28,PocketShip,https://www.valmo.in/track/VL0080625903045,Courier Return (RTO),13062983482114****
