customer_id,country,age_range,signup_date
1,France,56-65,2025-04-24
2,France,36-45,2025-02-24
3,Netherlands,46-55,2024-04-12
4,Italy,36-45,2025-03-11
5,Spain,26-35,2025-04-26
6,Spain,46-55,2024-12-14
7,France,46-55,2024-09-27
8,Netherlands,46-55,2024-04-16
9,Spain,46-55,2025-03-07
10,Germany,16-25,2024-03-12
11,France,16-25,2024-07-07
12,Germany,46-55,2025-06-11
13,Netherlands,56-65,2024-01-21
14,Germany,46-55,2025-03-08
15,Netherlands,26-35,2025-04-05
16,Germany,26-35,2025-04-05
17,France,26-35,2025-04-17
18,France,36-45,2025-03-03
19,Germany,56-65,2025-02-14
20,France,26-35,2025-04-20
21,France,56-65,2025-03-31
22,Germany,36-45,2025-03-03
23,France,56-65,2025-02-09
24,Spain,56-65,2024-04-12
25,Italy,36-45,2025-03-24
26,Netherlands,46-55,2024-05-01
27,Italy,16-25,2025-03-11
28,Spain,16-25,2025-04-02
29,Spain,56-65,2025-03-27
30,Germany,26-35,2024-08-02
31,France,46-55,2024-11-26
32,Netherlands,16-25,2024-03-28
33,Italy,56-65,2025-02-26
34,France,56-65,2025-01-07
35,France,26-35,2025-04-28
36,France,26-35,2025-03-12
37,Netherlands,46-55,2025-03-02
38,Spain,26-35,2025-06-03
39,France,36-45,2025-04-05
40,Spain,56-65,2024-04-09
41,Germany,36-45,2025-04-06
42,Spain,46-55,2025-04-19
43,Germany,56-65,2025-04-07
44,Germany,26-35,2024-12-25
45,Italy,46-55,2024-05-31
46,Germany,56-65,2025-04-26
47,Germany,26-35,2025-04-07
48,Germany,56-65,2025-03-22
49,Netherlands,16-25,2025-04-03
50,Spain,26-35,2024-05-10
51,Germany,56-65,2025-02-06
52,France,16-25,2024-05-29
53,Italy,46-55,2025-05-12
54,Italy,26-35,2025-02-13
55,France,26-35,2024-11-04
56,Italy,16-25,2024-09-14
57,France,16-25,2024-12-09
58,Germany,46-55,2025-04-11
59,Germany,16-25,2025-03-09
60,Italy,56-65,2025-02-17
61,Spain,46-55,2024-10-20
62,Spain,56-65,2025-03-30
63,Netherlands,16-25,2025-04-28
64,Spain,16-25,2025-01-20
65,Spain,16-25,2025-05-09
66,Italy,56-65,2024-07-10
67,France,36-45,2025-03-19
68,Italy,46-55,2024-10-03
69,Germany,16-25,2025-05-21
70,Germany,26-35,2025-03-11
71,France,46-55,2024-06-09
72,Spain,36-45,2025-02-20
73,Italy,26-35,2024-11-09
74,France,36-45,2025-06-06
75,Italy,46-55,2025-02-21
76,Germany,56-65,2025-02-17
77,Netherlands,36-45,2024-01-22
78,Netherlands,16-25,2024-09-09
79,Spain,16-25,2024-08-23
80,Netherlands,56-65,2024-12-10
81,Germany,46-55,2025-04-03
82,France,16-25,2024-02-18
83,Germany,56-65,2024-02-28
84,Netherlands,46-55,2024-06-18
85,Italy,56-65,2024-07-06
86,Netherlands,46-55,2025-04-09
87,Italy,46-55,2024-09-27
88,Germany,36-45,2025-04-10
89,France,26-35,2024-07-08
90,Germany,36-45,2025-04-14
91,Netherlands,16-25,2025-04-02
92,Italy,46-55,2025-03-14
93,Italy,26-35,2025-03-21
94,France,16-25,2025-04-04
95,Italy,46-55,2024-06-23
96,Italy,36-45,2025-02-15
97,Germany,26-35,2025-03-21
98,France,26-35,2024-02-20
99,Spain,36-45,2025-03-17
100,Italy,26-35,2025-01-30
101,France,16-25,2024-12-29
102,France,16-25,2024-02-24
103,France,56-65,2025-02-17
104,Netherlands,56-65,2025-03-20
105,Italy,26-35,2024-08-31
106,Germany,36-45,2025-05-04
107,Germany,46-55,2025-04-06
108,France,46-55,2024-11-15
109,France,26-35,2025-04-17
110,Spain,36-45,2024-05-10
111,Spain,46-55,2024-11-02
112,France,26-35,2025-04-13
113,Germany,26-35,2025-02-28
114,Italy,16-25,2024-05-14
115,Germany,56-65,2025-03-24
116,Netherlands,56-65,2025-02-27
117,Germany,56-65,2025-03-27
118,Italy,16-25,2025-02-15
119,Germany,46-55,2024-01-21
120,Germany,46-55,2025-04-26
121,Italy,16-25,2024-11-24
122,Germany,36-45,2025-02-08
123,Italy,26-35,2025-03-19
124,France,36-45,2025-04-15
125,Germany,46-55,2025-05-05
126,Netherlands,26-35,2025-02-01
127,Netherlands,56-65,2025-05-02
128,Netherlands,56-65,2025-03-09
129,France,26-35,2025-03-27
130,Germany,16-25,2025-02-24
131,Germany,46-55,2025-03-28
132,France,46-55,2025-02-26
133,France,36-45,2025-01-07
134,Germany,36-45,2024-06-15
135,France,36-45,2025-01-21
136,Germany,16-25,2024-09-30
137,France,16-25,2025-01-22
138,France,56-65,2024-03-29
139,Germany,16-25,2025-02-26
140,France,16-25,2024-11-11
141,Italy,56-65,2024-01-14
142,Italy,36-45,2024-08-29
143,Netherlands,56-65,2025-05-19
144,Germany,46-55,2025-03-09
145,Italy,16-25,2024-09-21
146,Italy,56-65,2024-12-11
147,Germany,36-45,2025-02-13
148,Netherlands,26-35,2025-03-03
149,Netherlands,26-35,2024-02-22
150,France,46-55,2025-06-06
151,Spain,56-65,2025-04-02
152,France,26-35,2025-02-27
153,France,26-35,2025-05-21
154,France,36-45,2025-01-16
155,Germany,26-35,2025-02-19
156,France,26-35,2025-01-20
157,Italy,56-65,2025-05-11
158,Netherlands,26-35,2025-05-21
159,Spain,26-35,2024-12-05
160,Germany,56-65,2025-02-12
161,Spain,36-45,2025-03-26
162,Germany,36-45,2025-03-05
163,Italy,16-25,2025-03-18
164,Spain,56-65,2024-04-01
165,France,26-35,2025-03-12
166,France,46-55,2025-01-01
167,France,46-55,2025-03-07
168,France,36-45,2025-01-23
169,Germany,36-45,2025-03-19
170,France,36-45,2025-04-12
171,Italy,16-25,2025-01-23
172,Italy,26-35,2025-01-31
173,Germany,26-35,2025-02-04
174,Germany,26-35,2025-05-27
175,Germany,16-25,2025-03-30
176,Germany,26-35,2025-04-28
177,Italy,56-65,2025-03-16
178,Netherlands,46-55,2025-03-03
179,Netherlands,46-55,2024-09-20
180,Germany,56-65,2025-02-13
181,Italy,36-45,2025-06-12
182,France,46-55,2025-03-22
183,Netherlands,46-55,2025-03-06
184,France,46-55,2025-04-11
185,France,16-25,2024-02-04
186,Netherlands,46-55,2025-03-27
187,France,26-35,2025-04-12
188,France,46-55,2025-02-22
189,Germany,46-55,2025-04-19
190,Italy,26-35,2025-03-23
191,Germany,16-25,2025-03-20
192,Spain,46-55,2025-03-03
193,France,16-25,2024-07-24
194,Netherlands,16-25,2025-04-22
195,France,56-65,2025-02-28
196,Italy,16-25,2025-05-16
197,France,56-65,2024-03-21
198,Germany,26-35,2025-03-14
199,Italy,36-45,2025-02-23
200,Italy,26-35,2024-02-19
201,France,36-45,2025-04-14
202,Netherlands,36-45,2025-05-16
203,Italy,46-55,2025-04-18
204,Germany,16-25,2025-05-03
205,Netherlands,26-35,2024-12-25
206,Spain,36-45,2025-04-29
207,Germany,16-25,2025-04-12
208,France,36-45,2025-02-02
209,Netherlands,46-55,2025-01-22
210,Spain,26-35,2024-01-02
211,France,16-25,2025-01-24
212,Spain,46-55,2024-02-23
213,France,26-35,2024-04-15
214,Spain,16-25,2024-09-16
215,Netherlands,56-65,2025-02-03
216,Netherlands,16-25,2024-11-05
217,Italy,56-65,2025-04-10
218,Germany,16-25,2025-03-19
219,Netherlands,46-55,2024-07-09
