product_id,product_name,category,brand,color,size,catalog_price,cost_price,gender
1,Soft Wrap Dress,Dresses,Tiva,Green,S,40.41,20.7,Female
2,Soft Wrap Tee,T-Shirts,Tiva,White,S,78.45,53.76,Female
3,Soft Linen Tee,T-Shirts,Tiva,Green,XL,23.9,14.81,Female
4,Soft Ribbed Tee,T-Shirts,Tiva,White,S,60,34.78,Female
5,Soft Wrap Trousers,Pants,Tiva,Blue,M,36.84,16.46,Female
6,Soft Wrap Shoes,Shoes,Tiva,Green,36,70.86,31.66,Female
7,Soft Linen Dress,Dresses,Tiva,White,M,57.66,24.07,Female
8,Soft Linen Trousers,Pants,Tiva,Green,M,50.91,33.59,Female
9,Soft Linen Shoes,Shoes,Tiva,Red,40,40.5,23.5,Female
10,Soft Ribbed Trousers,Pants,Tiva,Black,L,79.7,48.81,Female
11,Soft Ribbed Shoes,Shoes,Tiva,Green,38,51.09,20.75,Female
12,Soft Ribbed Dress,Dresses,Tiva,Red,XL,44.77,30.93,Female
13,Soft Cotton Shoes,Shoes,Tiva,Green,36,34.25,22.25,Female
14,Soft Cotton Dress,Dresses,Tiva,Black,XS,24.96,11.57,Female
15,Soft Cotton Tee,T-Shirts,Tiva,Blue,S,61.26,27.85,Female
16,Soft Cotton Trousers,Pants,Tiva,Blue,M,40.36,18.36,Female
17,Soft Satin Dress,Dresses,Tiva,Blue,L,51.9,25.5,Female
18,Soft Satin Shoes,Shoes,Tiva,Green,XS,40.99,22.85,Female
19,Soft Silk Dress,Dresses,Tiva,Blue,S,65.26,34.56,Female
20,Soft Crew Dress,Dresses,Tiva,White,XS,45.42,22.14,Female
21,Soft Silk Shoes,Shoes,Tiva,Red,36,43.3,25.27,Female
22,Soft Satin Tee,T-Shirts,Tiva,Black,XS,58.26,25.74,Female
23,Soft Sleeveless Dress,Dresses,Tiva,Red,XL,27.5,13.41,Female
24,Soft High-Waist Dress,Dresses,Tiva,Green,S,42.76,21.8,Female
25,Soft Wrap Set,Sleepwear,Tiva,Red,L,52.94,28.42,Female
26,Soft Crew Shoes,Shoes,Tiva,White,40,57.48,36.53,Female
27,Soft Boxy Dress,Dresses,Tiva,Red,XL,57.35,26.38,Female
28,Soft Sleeveless Shoes,Shoes,Tiva,Red,38,51.18,28.37,Female
29,Soft Linen Set,Sleepwear,Tiva,White,XS,44.27,25.58,Female
30,Soft Satin Trousers,Pants,Tiva,Blue,XS,31.09,12.87,Female
31,Soft Silk Trousers,Pants,Tiva,White,L,69.82,40.65,Female
32,Soft Silk Tee,T-Shirts,Tiva,Blue,XS,54.83,24.74,Female
33,Modern Wrap Dress,Dresses,Tiva,Blue,XL,65.23,27.36,Female
34,Modern Linen Dress,Dresses,Tiva,Green,S,48.34,33.1,Female
35,Modern Ribbed Dress,Dresses,Tiva,White,XL,61.61,42.49,Female
36,Modern Cotton Dress,Dresses,Tiva,Red,L,72.06,46.3,Female
37,Soft Crew Trousers,Pants,Tiva,Red,XS,51.33,25.22,Female
38,Soft Crew Tee,T-Shirts,Tiva,Red,XS,62.8,26.96,Female
39,Soft Sleeveless Trousers,Pants,Tiva,Red,M,29.97,18.14,Female
40,Soft High-Waist Trousers,Pants,Tiva,White,L,53.19,28.3,Female
41,Soft Boxy Trousers,Pants,Tiva,Green,M,37.94,16.57,Female
42,Soft Ribbed Set,Sleepwear,Tiva,Green,L,54.2,29.73,Female
43,Modern Satin Dress,Dresses,Tiva,Blue,L,49.4,20.27,Female
44,Modern Wrap Trousers,Pants,Tiva,Red,XS,64.84,43.62,Female
45,Soft Sleeveless Tee,T-Shirts,Tiva,Red,S,54.16,25.87,Female
46,Soft Cotton Set,Sleepwear,Tiva,Blue,XS,25.15,15.06,Female
47,Soft High-Waist Tee,T-Shirts,Tiva,White,XS,53.73,26.52,Female
48,Soft High-Waist Shoes,Shoes,Tiva,Red,XS,54.38,30.24,Female
49,Soft Boxy Tee,T-Shirts,Tiva,Black,XS,57.35,32.35,Female
50,Modern Wrap Tee,T-Shirts,Tiva,Red,M,61.95,28.22,Female
51,Soft Satin Set,Sleepwear,Tiva,Green,XL,25.38,17.53,Female
52,Modern Linen Tee,T-Shirts,Tiva,White,XL,53.61,33.91,Female
53,Soft Boxy Shoes,Shoes,Tiva,Black,XS,57.17,38.98,Female
54,Modern Silk Dress,Dresses,Tiva,Blue,L,60.33,40.33,Female
55,Modern Ribbed Tee,T-Shirts,Tiva,Red,XS,44.32,25.68,Female
56,Modern Wrap Shoes,Shoes,Tiva,Red,XS,62.92,42.57,Female
57,Modern Crew Dress,Dresses,Tiva,Green,M,52.28,22.3,Female
58,Modern Sleeveless Dress,Dresses,Tiva,Red,XL,35.81,16.43,Female
59,Soft Silk Set,Sleepwear,Tiva,Blue,S,34.58,14.3,Female
60,Modern Cotton Tee,T-Shirts,Tiva,Green,M,81.7,40.65,Female
61,Modern Satin Tee,T-Shirts,Tiva,Green,XL,50.88,26.28,Female
62,Modern Linen Trousers,Pants,Tiva,Green,XL,46.09,22.19,Female
63,Soft Crew Set,Sleepwear,Tiva,Green,XL,58.67,38.05,Female
64,Soft Sleeveless Set,Sleepwear,Tiva,Black,M,13.51,6.85,Female
65,Modern Silk Tee,T-Shirts,Tiva,Green,M,27.45,13.29,Female
66,Modern High-Waist Dress,Dresses,Tiva,Black,S,24.13,13.58,Female
67,Modern Crew Tee,T-Shirts,Tiva,Blue,XS,67.37,29.8,Female
68,Soft High-Waist Set,Sleepwear,Tiva,Blue,M,47.27,30.28,Female
69,Modern Linen Shoes,Shoes,Tiva,White,38,49.98,21.11,Female
70,Modern Boxy Dress,Dresses,Tiva,White,L,66.33,46.17,Female
71,Modern Ribbed Trousers,Pants,Tiva,Red,XL,80.76,51.01,Female
72,Classic Wrap Dress,Dresses,Tiva,Red,M,72.8,33.46,Female
73,Soft Boxy Set,Sleepwear,Tiva,Black,XS,53.25,21.39,Female
74,Modern Wrap Set,Sleepwear,Tiva,Red,XS,40.94,26.39,Female
75,Modern Linen Set,Sleepwear,Tiva,Green,M,52.83,32.33,Female
76,Modern Cotton Trousers,Pants,Tiva,Blue,L,51.7,31.99,Female
77,Classic Linen Dress,Dresses,Tiva,Black,XS,52.38,33.07,Female
78,Modern Ribbed Shoes,Shoes,Tiva,Green,35,59.21,25,Female
79,Modern Satin Trousers,Pants,Tiva,Red,L,63.22,32.09,Female
80,Classic Ribbed Dress,Dresses,Tiva,Black,S,31.86,13.85,Female
81,Modern Ribbed Set,Sleepwear,Tiva,Black,XL,29.63,19.52,Female
82,Classic Cotton Dress,Dresses,Tiva,Green,S,32.21,18.91,Female
83,Modern Sleeveless Tee,T-Shirts,Tiva,Blue,XS,57.8,28.86,Female
84,Modern Cotton Shoes,Shoes,Tiva,Blue,38,31.84,13.34,Female
85,Classic Satin Dress,Dresses,Tiva,Red,XS,37.35,18.42,Female
86,Modern Cotton Set,Sleepwear,Tiva,White,XL,41.26,20.53,Female
87,Classic Silk Dress,Dresses,Tiva,White,M,53.32,33,Female
88,Modern Satin Set,Sleepwear,Tiva,Red,L,29.81,17.63,Female
89,Modern Satin Shoes,Shoes,Tiva,Red,36,45.12,30.06,Female
90,Modern Silk Shoes,Shoes,Tiva,Blue,40,31.67,17.15,Female
91,Modern Silk Set,Sleepwear,Tiva,Green,XS,33.95,14.8,Female
92,Modern Crew Shoes,Shoes,Tiva,Black,XS,40.25,24.71,Female
93,Modern Silk Trousers,Pants,Tiva,Black,M,39.18,24.61,Female
