sale_id,channel,discounted,total_amount,sale_date,customer_id,country
10,E-commerce,0,299.7,2025-05-21,195,France
100,App Mobile,0,681.05,2025-04-21,518,Germany
1000,E-commerce,0,324.5,2025-05-20,439,Germany
1001,E-commerce,0,287.85,2025-04-05,349,Germany
1003,App Mobile,0,430.64,2025-06-06,727,Portugal
1004,App Mobile,0,104.73,2025-04-27,983,Germany
1006,E-commerce,0,249.21,2025-05-05,309,Spain
1007,App Mobile,0,437.52,2025-04-16,53,Italy
1008,App Mobile,0,386.92,2025-05-24,593,France
1011,App Mobile,0,212.87,2025-04-17,161,Spain
1013,App Mobile,0,178.68,2025-04-30,296,France
1014,E-commerce,0,175.37,2025-05-16,578,Germany
1015,App Mobile,0,355.88,2025-05-27,151,Spain
1016,E-commerce,0,288.61,2025-04-22,973,Italy
1017,App Mobile,0,274.38,2025-05-22,613,Netherlands
1018,E-commerce,0,272.08,2025-05-16,462,Italy
1019,E-commerce,1,363.76,2025-05-06,43,Germany
102,App Mobile,0,289.57,2025-06-14,692,France
1020,E-commerce,0,423.57,2025-05-17,120,Germany
1024,App Mobile,0,391.65,2025-04-15,331,Spain
1025,App Mobile,0,89.97,2025-05-29,318,France
1026,E-commerce,0,218.4,2025-05-19,190,Italy
1028,E-commerce,0,288.52,2025-05-25,475,Italy
1029,E-commerce,0,229.7,2025-04-17,554,France
103,E-commerce,0,452.53,2025-06-13,76,Germany
1030,App Mobile,0,261.25,2025-06-16,575,Netherlands
1031,App Mobile,0,281.67,2025-04-06,896,Portugal
1034,App Mobile,0,192.63,2025-05-31,342,Netherlands
1035,E-commerce,0,215.07,2025-05-05,857,Germany
1036,E-commerce,0,199.55,2025-06-13,793,Italy
1038,E-commerce,0,224.2,2025-05-04,203,Italy
1039,App Mobile,0,405.63,2025-06-13,460,Netherlands
104,App Mobile,0,555.25,2025-04-20,373,Spain
1040,App Mobile,1,277.8,2025-05-16,608,France
1042,App Mobile,1,45.5,2025-05-13,822,Germany
1044,App Mobile,0,428.76,2025-04-30,268,Germany
1045,E-commerce,0,288.98,2025-05-14,113,Germany
1047,E-commerce,0,441.52,2025-04-17,161,Spain
1049,App Mobile,0,291.23,2025-04-19,294,Italy
1050,E-commerce,1,376.24,2025-04-06,122,Germany
1052,E-commerce,0,189.24,2025-04-24,563,Netherlands
1053,E-commerce,0,300.19,2025-04-14,620,Netherlands
1054,App Mobile,0,238.03,2025-04-28,493,Germany
1055,App Mobile,0,297.78,2025-05-21,492,Germany
1058,E-commerce,0,339.2,2025-05-26,163,Italy
1059,App Mobile,1,291.47,2025-05-18,640,France
106,E-commerce,0,298.75,2025-04-25,21,France
1060,App Mobile,1,64.19,2025-05-18,648,Germany
1061,App Mobile,0,242.94,2025-04-05,201,France
1062,App Mobile,0,268.2,2025-05-05,100,Italy
1064,E-commerce,0,286.5,2025-04-18,670,Italy
1066,E-commerce,0,415.38,2025-05-14,340,Italy
1067,App Mobile,0,200.77,2025-05-30,176,Germany
1068,E-commerce,0,452.65,2025-05-19,104,Netherlands
1070,App Mobile,0,246.2,2025-04-30,244,Netherlands
1071,App Mobile,0,240.94,2025-06-05,338,Spain
1078,E-commerce,0,332.1,2025-06-16,521,France
1079,App Mobile,0,173.84,2025-06-15,837,Germany
108,E-commerce,0,646.1,2025-05-19,414,Germany
1082,App Mobile,0,298.6,2025-06-04,774,Portugal
1083,E-commerce,0,313.89,2025-05-15,340,Italy
1084,E-commerce,0,495.83,2025-04-28,477,Spain
1085,E-commerce,0,200.04,2025-05-14,51,Germany
1086,E-commerce,0,224.18,2025-04-17,561,France
1087,App Mobile,0,364.9,2025-05-24,628,France
1088,App Mobile,0,340,2025-04-13,385,Germany
1093,App Mobile,0,107.55,2025-05-25,474,France
1095,E-commerce,0,261.45,2025-06-16,109,France
1096,E-commerce,0,218.98,2025-04-05,867,France
1097,App Mobile,0,228.41,2025-06-15,271,Germany
1098,App Mobile,0,354.25,2025-05-27,564,Italy
1099,E-commerce,1,230.63,2025-05-06,81,Germany
11,App Mobile,0,327.88,2025-05-20,187,France
1100,E-commerce,0,262.86,2025-06-17,837,Germany
1102,App Mobile,1,214.7,2025-05-14,624,Spain
1103,E-commerce,0,108.13,2025-05-31,393,France
1106,E-commerce,0,219.78,2025-06-05,35,France
1108,E-commerce,0,194.29,2025-05-27,58,Germany
1109,E-commerce,0,78.69,2025-05-27,359,France
1110,E-commerce,1,390.78,2025-06-06,402,Italy
1111,App Mobile,0,204.48,2025-04-18,687,France
1112,App Mobile,0,229.4,2025-04-25,953,France
1113,App Mobile,0,304.05,2025-04-19,958,Germany
1115,E-commerce,0,501.76,2025-04-19,872,Netherlands
1116,E-commerce,0,318.59,2025-05-21,640,France
1117,E-commerce,0,190.25,2025-06-15,660,Italy
1119,E-commerce,0,147.22,2025-05-19,976,Italy
112,E-commerce,1,445.72,2025-06-06,876,Italy
1122,E-commerce,0,412.92,2025-06-16,609,Italy
1123,E-commerce,0,342.14,2025-05-27,18,France
1124,E-commerce,0,162.23,2025-04-29,314,Germany
1127,E-commerce,0,281.04,2025-05-13,144,Germany
1128,App Mobile,0,96.84,2025-05-31,759,France
1129,App Mobile,0,125.14,2025-05-21,892,Germany
113,App Mobile,0,448.08,2025-05-25,872,Netherlands
1130,E-commerce,0,579.95,2025-05-26,385,Germany
1132,App Mobile,0,267.61,2025-05-20,231,France
1133,E-commerce,0,210.9,2025-04-25,745,Italy
1134,App Mobile,0,324.16,2025-05-28,580,Italy
1135,App Mobile,0,202.84,2025-05-20,946,France
1136,App Mobile,0,111.97,2025-06-14,460,Netherlands
1137,E-commerce,0,380.37,2025-05-17,505,Germany
1138,E-commerce,0,375.32,2025-04-27,958,Germany
1139,App Mobile,0,422.16,2025-04-16,21,France
114,App Mobile,0,280.43,2025-04-25,903,Spain
1143,E-commerce,1,155.13,2025-04-06,472,France
1144,E-commerce,0,141.99,2025-05-20,700,Portugal
1146,E-commerce,0,326.72,2025-05-24,15,Netherlands
1148,App Mobile,1,448.98,2025-05-13,562,Germany
1149,E-commerce,0,441.5,2025-05-30,948,Spain
115,App Mobile,0,169.37,2025-05-04,879,Netherlands
1150,App Mobile,0,607.24,2025-06-05,220,Germany
1152,E-commerce,0,375.47,2025-04-22,157,Italy
1153,App Mobile,1,149.91,2025-05-17,177,Italy
1154,E-commerce,0,323.44,2025-05-05,314,Germany
1155,E-commerce,0,414.54,2025-05-23,843,France
1156,App Mobile,0,434.04,2025-05-21,963,Germany
1158,E-commerce,0,232.32,2025-04-29,764,France
116,App Mobile,0,195.35,2025-04-05,706,France
1160,E-commerce,0,326.35,2025-04-19,264,Netherlands
1161,App Mobile,0,282.2,2025-04-26,152,France
