item_id,sale_id,product_id,quantity,original_price,unit_price,discount_applied,discount_percent,discounted,item_total,sale_date,channel,channel_campaigns
2270,658,403,1,81.8,81.8,0,0.00%,0,81.8,2025-06-16,App Mobile,App Mobile
1170,336,284,1,81.79,81.79,0,0.00%,0,81.79,2025-06-17,E-commerce,Website Banner
2496,1255,71,1,80.76,80.76,0,0.00%,0,80.76,2025-04-16,App Mobile,App Mobile
1273,331,98,1,78.52,78.52,0,0.00%,0,78.52,2025-05-06,App Mobile,App Mobile
1829,1079,98,1,78.52,78.52,0,0.00%,0,78.52,2025-06-15,App Mobile,App Mobile
3221,478,98,1,78.52,78.52,0,0.00%,0,78.52,2025-04-14,App Mobile,App Mobile
2442,1082,257,1,77.9,77.9,0,0.00%,0,77.9,2025-04-06,App Mobile,App Mobile
730,747,413,1,76.15,76.15,0,0.00%,0,76.15,2025-04-21,App Mobile,App Mobile
2917,258,392,1,75.47,75.47,0,0.00%,0,75.47,2025-05-29,E-commerce,Website Banner
3142,1144,392,1,75.47,75.47,0,0.00%,0,75.47,2025-05-20,E-commerce,Website Banner
209,644,224,1,75.4,75.4,0,0.00%,0,75.4,2025-04-04,E-commerce,Website Banner
1138,991,224,1,75.4,75.4,0,0.00%,0,75.4,2025-04-20,App Mobile,App Mobile
1968,338,459,1,75.17,75.17,0,0.00%,0,75.17,2025-04-21,E-commerce,Website Banner
2063,617,459,1,75.17,75.17,0,0.00%,0,75.17,2025-05-18,E-commerce,Website Banner
2211,660,116,1,74.81,74.81,0,0.00%,0,74.81,2025-06-14,App Mobile,App Mobile
3058,863,359,1,74.28,74.28,0,0.00%,0,74.28,2025-04-17,E-commerce,Website Banner
1707,420,320,1,74.26,74.26,0,0.00%,0,74.26,2025-06-16,App Mobile,App Mobile
1831,191,320,1,74.26,74.26,0,0.00%,0,74.26,2025-05-23,App Mobile,App Mobile
2454,1013,420,1,72.58,72.58,0,0.00%,0,72.58,2025-04-30,App Mobile,App Mobile
732,276,358,1,71.86,71.86,0,0.00%,0,71.86,2025-04-06,App Mobile,App Mobile
202,473,398,1,71.15,71.15,0,0.00%,0,71.15,2025-04-30,E-commerce,Website Banner
3189,179,379,1,70.82,70.82,0,0.00%,0,70.82,2025-05-29,App Mobile,App Mobile
3113,482,463,1,70.56,70.56,0,0.00%,0,70.56,2025-05-24,App Mobile,App Mobile
41,581,31,1,69.82,69.82,0,0.00%,0,69.82,2025-05-31,E-commerce,Website Banner
1406,31,31,1,69.82,69.82,0,0.00%,0,69.82,2025-05-20,App Mobile,App Mobile
2490,424,31,1,69.82,69.82,0,0.00%,0,69.82,2025-05-22,App Mobile,App Mobile
929,33,353,1,69.54,69.54,0,0.00%,0,69.54,2025-04-23,E-commerce,Website Banner
22,832,360,1,69.48,69.48,0,0.00%,0,69.48,2025-04-23,E-commerce,Website Banner
