country,product_id,stock_quantity
France,1,61
France,2,24
France,3,81
France,4,70
France,5,30
France,6,92
France,7,96
France,8,84
France,9,84
France,10,97
France,11,3
France,12,12
France,13,31
France,14,62
France,15,11
France,16,1
France,17,39
France,18,47
France,19,11
France,20,73
France,21,69
France,22,30
France,23,42
France,24,85
France,25,67
France,26,31
France,27,1
France,28,58
France,29,68
France,30,51
France,31,69
France,32,89
France,33,24
France,34,71
France,35,71
France,36,56
France,37,71
France,38,60
France,39,64
France,40,73
France,41,12
France,42,60
France,43,16
France,44,30
France,45,82
France,46,48
France,47,27
France,48,13
France,49,1
France,50,69
France,51,23
France,52,18
France,53,99
France,54,62
France,55,11
France,56,93
France,57,69
France,58,80
France,59,53
France,60,5
France,61,56
France,62,44
France,63,87
France,64,90
France,65,45
France,66,59
France,67,13
France,68,11
France,69,15
France,70,63
France,71,3
France,72,63
France,73,72
France,74,27
France,75,99
France,76,53
France,77,43
France,78,83
France,79,71
France,80,23
France,81,57
France,82,24
France,83,81
France,84,87
France,85,96
France,86,71
France,87,49
France,88,94
France,89,89
France,90,91
France,91,62
France,92,33
France,93,35
France,94,98
France,95,69
France,96,50
France,97,3
France,98,24
France,99,54
France,100,74
France,101,98
France,102,80
France,103,18
France,104,97
France,105,10
France,106,17
France,107,97
France,108,72
France,109,20
France,110,90
France,111,17
France,112,44
France,113,44
France,114,42
France,115,14
France,116,50
France,117,37
France,118,16
France,119,82
France,120,81
France,121,21
France,122,43
France,123,42
France,124,57
France,125,32
France,126,71
France,127,97
France,128,3
France,129,53
France,130,95
France,131,44
France,132,74
France,133,56
France,134,87
France,135,3
France,136,10
France,137,1
France,138,99
France,139,23
France,140,5
France,141,18
France,142,88
France,143,24
France,144,99
France,145,51
France,146,86
France,147,60
France,148,72
France,149,61
France,150,5
France,151,32
France,152,24
France,153,52
France,154,38
France,155,45
France,156,22
France,157,1
France,158,80
France,159,68
France,160,95
France,161,37
France,162,75
France,163,51
France,164,54
France,165,71
France,166,66
France,167,15
France,168,37
France,169,37
France,170,53
France,171,3
France,172,39
France,173,71
France,174,84
France,175,1
France,176,2
France,177,10
France,178,36
France,179,71
France,180,3
France,181,12
France,182,79
France,183,81
