Location,Latitude,Longitude,Paleoaltitude (m),Age (Ma),Evidences for Age,AgeMethod(radiometric / astro / magneto / bio / event / inferred),Sample Type,Carbonate Type,Lab,Scale,O17 correct,Reaction T (°C),Acid Fractionation,Calibration,Evidences for temperature,Diagenesis,Reference
Travertine Spring Mounds from Slovakia,48.58N,19.97E,"The southern part of the territory is characterized by vast lowlands, extensions of the
Neogene Pannonian Basin [24]",Quaternary,The travertine samples were dated with the U-Th technique,radiometric ,calcareous sinter,calcite,Isotope Climatology and Environmental Research Centre (ICER), ARF (I-CDES90) (‰),Y,70,/,Anderson et al. (2021),"The clumped isotope paleotemperature data obtained for Slovakian travertine have provided valuable insights into the
past temperature trends of paleospring systems in the region",NA,"Vieira, D.S.C., Pivko, D., Rinyu, L., Palcsu, L., Kiss, G.I., Hu, H.M., Shen, C.C., Kele, S., 2023. Age and Depositional Temperature of Quaternary Travertine Spring Mounds from Slovakia. Minerals 13."
Relu Basin in eastern Tibet，China,29.03N,100.4E,,35~50Ma,"For volcanic tuff and sandstone samples, the U-Pb dating of selected zircons was conducted",radiometric ,paleosol nodule,Carbonate nodule ,"TPESER, ITPCAS",ARF,Y,90,0.088,Kelson et al. (2017),MAT,Diagenesis screening indicates that the analysed paleosol nodule samples are primary in nature,"He, S.L., Ding, L., Xiong, Z.Y., Spicer, R.A., Farnsworth, A., Valdes, P.J., Wang, C., Cai, F.L., Wang, H.Q., Sun, Y., Zeng, D., Xie, J., Yue, Y.H., Zhao, C.Y., Song, P.P., Wua, C., 2022. A distinctive Eocene Asian monsoon and modern biodiversity resulted from the rise of eastern Tibet. Science Bulletin 67, 2245-2258."
Ordos Basin，China,37N,108E,,Lower Cretaceous,"The Ordos Basin：Magnetostratigraphy
suggests that the age of the upper part of the Zhidan
Group (Luohandong and Jingchuan formations) is <129.73 Ma ",radiometric ,paleosol nodule,Carbonate nodule ,"IsoLab, Department of Earth and Space Sciences, University of Washington",ARF-CDES,/,90,/,Anderson et al. (2021),"Under a modern 
monsoon continental climate, a decline in soil water storage is expected 
in the warmest summer months, leading to warm-season biased soil 
carbonate formation (Gallagher and Sheldon, 2016). Therefore, we 
suggest that our Early Cretaceous T(Δ47) results for paleosols from the 
Ordos Basin are summer-biased","Whereas only the Jingchuan Formation T(Δ47) values represent 
original paleoenvironmental temperatures, we suggest that the δ13C 
results of Hefei and Ordos Basin samples reflect the original environmental conditions. ","Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 230."
Hefei Basin，China,31.53N,116.3E,,"Upper Jurassic,Lower Cretaceous","The Hefei Basin：Based on
40Ar–
39Ar dating of diagenetic illite, Wang et al. (2000) reported that
the upper member of the Sanjianpu Formation was deposited from 159.0
±0.5 to 157.0 ±0.3 Ma, and they suggested that the upper Sanjianpu
Formation is Callovian-Oxfordian in age. Therefore, the upper Sanjianpu
Formation is temporally comparable to the Zhiluo Formation in the
Ordos Basin. K–Ar dating of volcanic rocks
indicates that the age of the top part of this formation is 116.2 ±1.8 Ma
(Wang et al., 2002). In addition, the oldest depositional age of the
Heishidu Formation is constrained to be 127.4 ±2.7 Ma according to
the age of the top part of the Maotanchang Formation (Wang et al.,
2017). Therefore, we conclude that the Heishidu Formation is Aptian in
age and contemporaneous with the Jingchuan Formation in the Ordos
Basin.",radiometric ,paleosol nodule,Carbonate nodule ,"IsoLab, Department of Earth and Space Sciences, University of Washington",ARF-CDES,/,90,/,Anderson et al. (2021),"Under a modern 
monsoon continental climate, a decline in soil water storage is expected 
in the warmest summer months, leading to warm-season biased soil 
carbonate formation (Gallagher and Sheldon, 2016). Therefore, we 
suggest that our Early Cretaceous T(Δ48) results for paleosols from the 
Ordos Basin are summer-biased","Whereas only the Jingchuan Formation T(Δ47) values represent 
original paleoenvironmental temperatures, we suggest that the δ13C 
results of Hefei and Ordos Basin samples reflect the original environmental conditions. ","Jin, T.J., Zhang, L.M., Huntington, K.W., Wen, Y.X., Schauer, A.J., Gu, X., Wang, C.S., 2023. Differential paleoelevation changes in North China during the late Mesozoic: Evidence from stable isotopes and clumped isotopes. Global and Planetary Change 230."
"Jianghan Basin,China",21.25N,111.37E,,Early Eocene,"Comprehensive biostratigraphic investigations have constrained the
chronology of the Yangxi Formation.",bio,lake carbonate,calcite,"IGG,CAS",ARF-CDES,/,70,/,"Δ47 = 0.0636±0.0049×106)/ ( T2 − (0.0047±0.0520)，Because our final clumped isotope data are calibrated against the absolute reference frame defined by Dennis et al. (2011), we use their calibration to convert Δ47 into temperature (in Kelvin):","A recent study of modern lacustrine authigenic carbonates indeed shows a robust correlation between authigenic carbonate Δ47 values and mean summer water surface temperatures (Li et al., 2021). Therefore, we interpret the reconstructed Δ47 temperatures from dispersed limestones as mean summer water surface temperatures","Overall, petrographic features and geochemical evidence suggest that 
carbonates for isotopic analysis have undergone little diagenetic alteration and thus original isotopic values have not been significantly 
altered","Chen, Z.L., Ding, Z.L., Sun, J.M., Yang, S.L., Ni, X.J., Wang, X., Wang, Y.L., Zhang, J.Y., He, W., 2023. Freshwater ecosystem collapse and mass mortalities at the Paleocene-Eocene thermal maximum. Global and Planetary Change 227."
"Newark Canyon Formation，North American .Nevada, USA",39.5N,116W,,Early  Cretaceous,"U-Pb zircon geochronology from a water-lain tuff yielded a concordia age of a coherent population of zircons at 103.0 ± 0.7 Ma for the top of the NCF type section""2. ""U-Pb geochronology of detrital zircons measured using laser ablation-inductively coupled plasma mass spectrometry (LA-ICP-MS) yielded maximum depositional age (MDA) estimates for different units of the type section of 113.7 ± 2.3, 112.92 ± 1.0, 98.6 ± 1.9 Ma""3. ""The 113.7 ± 2.3 Ma MDA was from a basal mudstone sample located ∼10 km north of the type section, in the Hildebrand exposure of the NCF""",bio，inferred,"palustrine (i.e., wetland) carbonates ",calcite,,ARF-ICDES,/,90,/,Anderson et al. (2021),"Average warm season water temperatures for wetland and lake carbonates are approximately 41 and 38°C,",suggest that the upper lacustrine samples preserve primary T(∆47) values (Figure 7) and reflect temperature-controlled δ18Oprecip rather than diagenesis,"Fetrow, A.C., Snell, K.E., Di Fiori, R.V., Long, S.P., Bonde, J.W., 2022. How Hot Is Too Hot? Disentangling Mid-Cretaceous Hothouse Paleoclimate From Diagenesis. Paleoceanography and Paleoclimatology 37."
"Nanxiong Basin,China",25.15N,114.34E,,Late Cretaceous,"In the Nanxiong Basin, the age model is established by the geomagnetic polarity sequences, biostratigraphic data, and isotopic geochemical data (δ13C and δ18O). In this study, the specific ages of our samples are interpolated by assuming consistent depositional rate in each magnetozone .",magneto,Micritic Limestone,calcite,Johns Hopkins University,ARF-CDES,Y,90,0,Anderson et al. (2021),"Here, we conclude that our results are summer biased. First, the T(Δ47) values of paleosol carbonates in the NE China during this period were also summer biased (Zhang et al., 2016a). Second, the previous study suggested that a monsoon climate had already emerged in East Asia since Late Cretaceous and led to a majority of precipitation in warm season (Farnsworth et al., 2019).",0/1,"Yin, Y.T., Zhang, L.M., Gu, X., Yin, R.S., Wen, Y.X., Jin, T.J., Wang, C.S., 2023. High terrestrial temperature in the low-latitude Nanxiong Basin during the Cretaceous-Paleogene boundary interval. Palaeogeography Palaeoclimatology Palaeoecology 617."
"The Sihetun area，Western Liaoning, China",41N,120E,,125Ma,"According to the CA-ID-IRMS U-Pb ages (Zhong et al., 2021), the carbonate-nodule-bearing layers and the main fossil-bearing layers (i.e.,the samples) were deposited within 0.25 Ma (Figure 2).",radiometric ,Paleosol carbonate，Lacustrine carbonate,calcite,Johns Hopkins University,ARF,Y,90,0.082/0.088,Petersen et al. (2019); Li et al. (2021)," In this study, we believe that the paleosol 
carbonates in the Sihetun area were formed in spring rather than summer, and their T(Δ47) values represent 
the mean annual temperature.","Although most results of the lacustrine carbonates were altered and excluded in the following discussion, we suggest that the lowest T(Δ47) 
value (i.e., 8.8°C) possibly represents pristine (or synsedimentary) paleoclimatic information (Huntington 
& Lechler, 2015).Therefore, we suggest that these paleosol carbonates are well preserved and that their Δ47 values are unaltered.","Zhang, L., Yin, Y., Wang, C., 2021. High-Altitude and Cold Habitat for the Early Cretaceous Feathered Dinosaurs at Sihetun, Western Liaoning, China. Geophysical Research Letters 48, e2021GL094370."
Markam Basin，SE Tibet ，China,29.45N,98.27E,,38.7Ma,"Nine age samples were collected systematically comprising volcaniclastic rocks, trachyte, tuff and tuffaceous sandstones, from which zircons were selected for dating. All dating work was performed at the State Key Laboratory of Tibetan Plateau Earth System, Environment and Resources (TPESER)",radiometric ,calcite nodule,calcite,TPESER,ARF,/,90,0.088,Kelson et al. (2017); Petersen et al. (2019); Anderson et al. (2021); Meinicke et al. (2021),"MAT， MAAT of 13.16 ± 2.36 ◦C, with a warm 
month mean temperature (WMMT) of 24.45 ± 2.91 ◦C"," we conclude that the nodules in the Markam Basin 
preserve original temperature and oxygen isotope information for 
paleoelevation determination","Zhao, C.Y., Xiong, Z.Y., Farnsworth, A., Spicer, R.A., He, S.L., Wang, C., Zeng, D., Cai, F.L., Wang, H.Q., Tian, X.L., Valdes, P.J., Lamu, C., Xie, J., Yue, Y.H., Ding, L., 2023. The late Eocene rise of SE Tibet formed an Asian 'Mediterranean' climate. Global and Planetary Change 231."
"north Taihang Mountains, China",40N,113E,,160Ma,Age constraints for paleosol carbonate samples in the YH Basin are based on radiometric ages of nearby volcanic and ash beds and stratigraphic correlation(Fig. 2).,radiometric ,paleosol carbonate,calcite,"the University of Washington IsoLab (Seattle, Washington, USA) ",ARF,/,90,0.088,Petersen et al. (2019),summer," only the results from the 
YH Basin are discussed.","Wen, Y.X., Zhang, L.M., Li, Y.L., Huntington, K.W., Jin, T.J., Schauer, A.J., Wang, C.S., 2023. Late Mesozoic elevation history of the north Taihang Mountains, China: Constraints from clumped isotope geochemistry. Geological Society of America Bulletin 135, 1794-1806."
