gameid,title,developers,publishers,genres,supported_languages,release_date
1253,Tomb Raider: Legend,['crystal dynamics'],['Crystal Dynamics'],"['Action', 'Adventure', 'strategy', 'Simulation']","['French', 'Spanish', 'German', 'Italian']",2009-08-11
749026,SANYA,['helpnode'],['Samustai'],"['Adventure', 'Point & Click']",,2024-11-22
747223,Sky Roll!,['Entity3'],['Entity3'],['Platformer'],,2024-11-22
727440,Rogue Flight,,,,,2024-10-25
750229,Infernitos,['AFIL Games'],['AFIL Games'],['Puzzle'],,2024-12-18
747995,Blind - The Unseen Truth,['GOCORE'],['Happy Player'],['Visual Novel'],,2024-12-13
726024,Offroad Masters: Motocross Races,['Revulo Games'],['Revulo Games'],"['Arcade Racing', 'Automobile', 'Sports', 'Motocross']",,2024-10-18
717296,Vampire Hunters,,,,,2024-10-30
749821,Pure Mini Golf,['Gametry'],['Gametry'],"['Sports', 'Golf']",,2024-11-29
750970,The Legend of Cyber Cowboy,['eastasiasoft'],['eastasiasoft'],,,2025-01-01
747494,Westild's Law,['BUG-Studio'],['Ratalaika Games'],"[""Shoot 'em up""]",,2024-12-06
749824,Glitch Hero,['Didactoons'],['Artax Games'],['Action-Adventure'],,2024-11-28
749025,Burst Hero,['YaYa Game'],['Happy Player'],['Roguelite'],,2024-11-22
747236,Penguin's Road,['Penguin Bros.'],['Penguin Bros.'],"['First Person Shooter', 'Third Person Shooter']",,2024-11-29
748280,Genshin Impact,['miHoYo'],['Cognosphere'],"['Action-RPG', 'Role Playing', 'Open World']",,2024-11-20
717134,Backrooms: Partygoers,['Mascot Bro Studio'],['Ratalaika Games'],['Survival Horror'],,2024-10-29
693001,S.T.A.L.K.E.R. 2: Heart of Chornobyl,['GSC Game World'],['GSC Game World'],"['First Person Shooter', 'Survival', 'Open World']",,2024-11-20
747222,Ratopia,,,,,2024-11-20
716026,Cryptmaster,"['Akupara Games', 'Paul Hart', 'Lee Williams']",['Akupara Games'],['Adventure'],,2024-10-03
626678,Kitten Island,['Maria'],['Phoenix Reborn Games'],['Platformer'],,2023-10-20
726851,Hannah,,,,,2024-10-31
374020,House Flipper,['Empyrean'],['PlayWay S.A.'],['Simulation'],"['Japanese', 'French', 'German', 'Russian', 'Chinese (simplified)', 'Polish', 'Portuguese (Brazil)']",2020-02-26
