playerid,nickname
848738,smrnov
848736,RedmptionDenied
1470783,Healtti
848735,jimmyhova
848739,Stallion83
848719,UnawareBoss
2466527,LordMakanaki
848675,Oriole2682
4685528,Lonewolf81083
1358636,ThreeManager6
848662,Remeki
848186,Chris mad man
848556,Tendoman77
848731,Casino83
848728,Dallasthedude
848713,lucas1987
848651,x iTz CaRn4gE x
848697,Franco 4 127hrs
848705,SiegfriedX
848377,pandaman105
848707,Ow Nitram
848721,ChaosSlayerX187
848638,MANIAN 3D
848726,Spawnycher
848727,Sangriaz
848689,otakon62
1886939,DubstepEdgelord
848521,Chronic Killer
848611,o EcLiipzE
848709,Terrin
848711,True Marvellous
848626,romaneconti
848733,Pigimus Prime
848656,Clad master
4472082,SlayingUrchin3
848610,Karashò Rinä
848640,BwF SmokeBudnSF
848695,mechanic arms
848551,ALADIA
848068,Markyshizzle
848650,Bear5 Fan 4Ever
848581,Five1oh
848559,Grobanite
848416,cyberber
1210134,Infamous
848737,Celtic Force
848698,Dwaggienite
4234134,darkling1542
848573,K4rn4ge
848706,chadilacchavez
848722,The Dauntless
4024222,Jamal2807
2193927,Sonderfall
848457,Zizou030
1320187,Riffai
848732,red tanuki
848645,Emerald Axer
845385,CasualExile
2748852,Zalexzy
848703,gomuhimo RSC
847874,lab0kup
848532,Alwindb
4576710,GD BerserkerTTD
1574122,ExoSin
848593,Gensui Akainu
848678,AP 8T8
3614336,TexhnolyzedMech
848476,N0TH THA G0D
848691,Chunkeh Munkeh
848576,Dale Baldwin
848672,Womi
848669,BiLLzuMaNaTi
2111350,nyun21
4305744,CrAk ll
848239,Ilindur
848606,NutriWhip
848475,Bongo
2475605,Thrash Forever
848415,Larvi1
3153142,SweetZachary91
848411,Mtld
848686,GREGO McGEE
848569,BemusedBox
848701,Erathia96
848714,Minioger
848679,TriRock
848696,rayyy Imao
847623,Dyssident
3023832,Johnny Sinister
848591,dabudora360
847773,Inferno118
847539,LordKevin75
847855,SnapDragon
3100828,Narcissist Code
848674,Bk Dragon
848446,LLTC1807
847123,SSSteinMan
848643,Krazie
848477,Fire Hawk D
848715,Goothgone
848567,central perk 08
848504,planting42
848487,JetGodLike
848464,TonySki
847187,Nuwakk
2157267,OnlineKiller J
847830,DynamiteJonez
848232,HoHe69
3024539,winginor
848693,AndCardoso8
4032653,Nesmaster
848501,III Torpedo III
847631,hls bck
847927,EldritchSS
848420,veil1451
848185,flyingmario5404
848687,DeAtHisLaNd
848574,Xenodolf
848535,POROPPI
2066861,Ranga Dang Dang
848131,LCDS Nito
848688,Ex GHOSTface
848595,Vito084
2468526,ScoobyDoobyD0nt
848209,Mattism
848625,Lakeshow
4737763,Jan 0
3874759,HegemonicHater
848629,AGGY AggressoR
3035506,Thulgrum
848040,IrritatedPuppy
847147,Gameboy679
847597,Siguardius
845840,Pavloff Zero
848712,BuoyantMite7
2755616,Z792
848565,TCTF Celia
1160627,EdenWeekes86
843480,kakawate
848599,Kovy88
848664,rockinroosters
848225,igor5618
848234,Goggs25
848490,TJ Richter
2531429,FPSDeath
848653,Dark silence669
2951109,Rolodium
556678,MOJTABA 1416
847548,Evil Genie
847886,SaNcTuSInViCTuS
848725,ArnaldoDK
848032,Hashmap
848204,The Globalizer
848027,MaliceMike2121
2953913,DixonKnifeBR
848667,PhantomSiren
846975,xPut Name Herex
848646,b30118218
1894860,OO111111
847990,ctruman
1366798,Metal Gear VR
848537,jc colding
848729,Gnathostoma
4343730,Gutsy Goddess
848583,MemoryGlitch
1268367,FatalCthulhu666
848525,Spirochaete
1444208,J ROLLER 1979
2413693,Ay AcTiViTiX
1442669,KeeperOfLaw
848683,Oliverio
848592,SECOUTINHO
846000,DJ KOOLAIDE
848615,Gambler6464
848510,failurewarning
3237412,Legohead 1977
848690,Boris1976
848509,Korrupted Kloud
4475098,HoveringDarkane
848710,d4rk antares
848171,OdorlessFurball
847305,JohnnyRiver
848528,Outlawed Torn
3114245,AquaKILLAH KEV
847793,SK4TE HIGH
2351481,X Canadian
848508,x TheWorstGamer
846990,ox BlackJack xo
848586,Epic Louie
847937,IanK1987
2624714,PhantomPlanetAP
846690,LibelluleGino
848460,Sephir0
3222742,Pris
848152,Valioukha
848137,Gerbasgamer
848549,JORAX
3120692,jimmy0brien
843164,DDShadow
4716850,Smiththedude
848668,Claudio 10 Juve
2335708,MarketingPurse0
846913,Ale386
848447,TonTon Perave
848602,acedawg4
848673,wraithrock
1155647,AC Rock3tman
847092,Leebbullough
848226,Evil Gaara PL
4700858,MADVIRUS
1878671,Socci Zocker
843850,MarcusTDAH
3106780,HolyThugRabbit
848627,Sashamorning
2853537,Correcto7
847170,regret
2202264,Weredog51
848596,Conor x420a
845879,eohjay
848016,DARKNE55
848558,Xlain SS
848502,Saint Yates
2940155,PiikaRabbit
848584,CLARION 85
2534148,BloodyCurse
848544,IrishWarrior022
847272,BroknPlaya
848608,DwnTheRbbtHole8
847327,GoldenNoirX
848654,MysticWeirdo
848084,AlbinoKidELITE
2338132,VaiceS
4394094,CheezNCrackerz
847971,liddd
842631,ljwaves
848397,AndreFlash83
848671,Corrupt XBA
848568,Kugare
848452,xTCx
847991,MemoriesOfFinal
848076,Mister Buds
848399,izret102
3757700,Sassy Stan
847949,GD Great Healer
3247988,Vudix
848641,AbleHenry
4088278,Mince lfc
848577,blackboxrory
2590540,AES0P
847473,DoniMong
848723,LUDO97410
848506,InigoMontoya80
848342,Paul Laserbeam
848413,AceStAyWilDiN
848716,HOLYONE22222
848677,SUPER FLY 1988
848666,Hozzy
3135860,GUILE SENSEI 29
2157303,HamsterLV
848676,Totally Krispix
4670031,TuKraZe
848332,nuttywray
848188,UnbeatenDJChris
848647,Rapture639
1829349,Danny Dubs 86
848374,WolfheartSpell
848418,ItsOnoMichio
1426463,JimbotUK
848680,Bond OO7
2296360,tani0
3277613,TangerineGamer
848724,Rand al Thor 19
848062,EarthboundX
4011320,iMaginaryy
2233877,Mephisto4thewin
4314765,Radiant Synergy
848702,Sir Draven
848132,l BlackBrian7 l
2233894,illicitsoc
848582,proxy7
848316,xMagicMunKix
848704,Kimi 452
3616856,Skate 323
848600,Death and Glory
848730,rafaelgrn
848483,Mr Jim PL
848637,LFC NEMESIS
848007,Awoo
848259,Fooga
848301,Chaos Mythology
848630,Jawnie B
848540,Protocol Droid
848105,NBA Kirkland
842031,WizZy PL
848661,Cookie Kenku
848566,Gwillstar
2864766,HUN playmore
3929484,Mental Knight 5
848552,JAV13R XIII
848550,Milo is Horror
848282,heatlight
848256,p MEMI q o0w0o
848323,iori wang qun
846841,Zidane6912
848482,FinalKaos
847155,ChaosAlert
848660,A 2rue LeGacY
847018,playerforty4
848347,TOROKNIC
4652805,Sercanete
848523,Draculzo
4394421,LOST Nr
848233,Bawhawhaw
847673,LV 1 Blue Slime
847088,redraider104
848067,mseweryn
848024,Kah xp
847755,ZeikenX
847757,NUROK HOWLER
847724,ElroyOMJ
848383,DJ DEXTA
4063341,cptn cookie 1
848621,Hydrak1ller
848497,Dasha PL
846309,WAFFLETRAIN7997
847813,Dark Devil Wolf
1645668,II Dish II
848320,anthonyd46
847436,klozone
847792,Goku Black 2698
2105428,Strategyboyz
846233,MakeMeACoffee
3280118,Balarush
848597,MisterNiko 78
2174255,Abyliity
2081101,Candreva21
4585124,B Scrizzle21
848685,Arima Galdua
842164,Oleg150rus
847889,A 0 E Monkey
848213,Dizzy Domes
848507,I Ebon Hawk I
847364,RubensX
848094,JiTeuBey
848396,BigNev44
4401711,MammothPoem1503
848284,dreamweaver1984
848138,Ayase zx
847425,Delta381
847037,sonnyforple
848659,Momie
848280,Yinga Garten
848692,Funkyboy K
848045,LutinAdri
848533,Lucifer KM
848634,montrossity
3614452,Yojimbo Jim
3171272,MA3LSTR0M808
848594,JieXY
4183078,Sir Saiyd
848670,Watty8883
1430460,rekikire
848530,Link1207
847557,WhiterValkyrie
848708,Pteppic42
1337625,MADeyePadEYE
2475553,UselessFATDOG
847885,Karachi King
848055,Wakapeil
3081836,SultryPenguin
2531484,PirateSpirit
848682,weffalump
848655,Hurricane Ham
848524,Marcin99GT
848404,LucaBS1980IT
847948,KongQuest
848293,AnxiousAbe
1486582,Rossco7530
848520,Arenafighter
848264,V Julien X
848658,NO1KEV
848554,LausDomini
848609,Banco Billy
848285,Crigsterz
848471,TXMOOK
848125,WhiteShadow994
1647656,Retartis
847136,Diablo Deus
4127662,LeftwardFaun366
834273,Cold Whistler
848115,FF Tonberry
2076624,Itzz Sh0wt1m3
848605,Mr Rodster
848700,Stealth David
847639,Cruz628
848527,YODA12320
848333,UltimateDespair
836886,GSR CAOR
848218,XbAndy360
847888,Creuil
2478669,Nanjiro Echizen
4012712,Akito Yuri
847837,Dave Bodom
847435,New xDante1986
837690,X1E18X
4498904,FERNANDO KABELO
2033988,ChasIII
848091,TheRealPH
847582,AAC ALIEN
847536,Pkins
847157,Shinnizle
848639,MightyMango
846234,HYBRID HIVE
3803260,Scarovese3367
847841,PentagonDark892
2429298,SGGG893
846775,I KENBUSTER I
847103,dalagar111
848311,SOLO NO1
848310,LEGENDXKILLA250
3614317,FloralDragon X
847845,WasakonX
846836,OniDestiny
2387776,Jerith Geros
2069752,ClockWrkPhantom
845841,IcyThrasher
848102,Bonkekook
848348,Crazy Nikos 78
3212608,FailedSeppuku
848313,Flapjack waldi
848516,CroutonCrusader
847863,Smoggie09
848037,mamaani
847594,Tatersoup19
847951,SPACE ODDITY
848635,License to Kill
2095282,SunLightsStars
847899,No Politics
848391,Good Old Nick
847751,appare13
847221,Link Fox
1358242,DA CH0ZEN ONE
848003,PEENUT14
847759,GtechApocalypse
848334,Reqqu
3144941,aRuuuN x
848336,Sumitshift
848371,SpeleoFool
847932,mfeforever
845680,Sweetyxc
848458,TheMikeSC
2116930,StrayedViper
845028,chrisonek
1347878,The Gauna
847801,JohnnieMonkey
1162185,GRIEVOUS CW
848309,open ended sky
847867,smittykid
848328,stiminal
847645,Noaxis
848255,GrislyDin
3604794,Bazingator
2335766,Slayer Reigning
2038120,Necrophage33
848026,IIX DBO XII
847508,Jinsei Juice
848283,ReD S1X
848534,AceMcCoy73
848587,NeXsim
848433,OG InsomniA
848421,RAD90
847818,Matrarch
2738170,Victor Rose23x
2140362,PalmettoBling
4656191,Abstract048329
848116,illdizzog
848182,LORDOFDOOKIE69
1177003,mozgom
848273,GRZzZly
848498,General Tynstar
1174437,AaronJamesx38
3057032,Sudden Fall
846437,gmurda33
4497775,oONeonDemonOo
2653287,StiffishClown67
848466,IXI FalcoN
848570,QuiCkz Ninja
848571,KoPolt
2864709,mittisan
847017,Darth Hawk CZ
3016251,jiraya00
845512,Vulgar Latin
848351,Ibanez V7
847653,Finnan
3983247,OtakuPaul
4648252,WoD Ghost59
848424,alanp9
847039,Steaksaucepie
2155273,The Seshfather
848281,Mjolnir 69
847190,lI Majora Il
847917,EvilResidentUK
2205176,DAN G 1
847970,Baby Shibs
846320,SuN1Sh1nE
848272,TheIrishBeast
1476426,RadicalSniper99
848681,CoolKidJoe
847662,QueenVeruca
845709,SMSMS01
848517,Dalimbak
848358,Bomber37
848578,Hotdogmcgee
847460,geordiedeviant
848318,Gunstar Red
847959,KMDeacon
848307,keoskey
4687714,Sensei Neo
848572,Jamiereloaded23
