gameid,usd,eur,gbp,jpy,rub,date_acquired
1253,19.99,19.99,15.99,,1772.0,2025-02-22
727440,17.99,17.99,14.99,,1595.0,2025-02-22
747995,4.79,4.79,3.99,,425.0,2025-02-22
727135,17.99,17.99,14.99,,1595.0,2025-02-22
748541,19.99,19.99,16.74,,1772.0,2025-02-22
749026,14.99,14.99,12.49,,1329.0,2025-02-22
747223,0.99,0.99,0.79,,88.0,2025-02-22
726024,3.99,3.99,3.29,,354.0,2025-02-22
749824,11.99,11.99,9.99,,1063.0,2025-02-22
749821,3.99,3.99,3.29,,354.0,2025-02-22
750229,3.49,3.49,2.93,,,2025-02-22
717296,14.99,14.99,12.49,,1329.0,2025-02-22
750970,4.99,4.99,4.19,,442.0,2025-02-22
748280,,,,,,2025-02-22
704802,,,,,,2025-02-22
717134,11.99,11.99,11.99,,1063.0,2025-02-22
747222,19.99,19.99,16.74,,1772.0,2025-02-22
749330,4.99,4.99,4.19,,442.0,2025-02-22
747494,5.99,5.99,5.99,,531.0,2025-02-22
747236,7.99,7.99,6.69,,708.0,2025-02-22
749025,9.99,9.99,8.39,,886.0,2025-02-22
626678,4.99,4.99,4.19,,442.0,2025-02-22
716026,24.99,24.99,20.99,,2215.0,2025-02-22
748795,12.99,12.99,10.74,,1151.0,2025-02-22
722997,19.99,19.99,16.74,,1772.0,2025-02-22
653553,8.49,8.49,7.09,,753.0,2025-02-22
693001,109.99,59.99,49.99,,,2025-02-22
714317,4.99,4.99,4.19,,,2025-02-22
456131,29.99,29.99,29.99,,2658.0,2025-02-22
717371,4.99,4.99,4.19,,442.0,2025-02-22
726851,19.99,19.99,16.74,,1772.0,2025-02-22
374020,21.49,21.49,17.99,,2285.0,2025-02-22
716357,8.99,8.99,7.49,,797.0,2025-02-22
716287,24.99,24.99,20.99,,2215.0,2025-02-22
717252,24.99,24.99,20.99,,2215.0,2025-02-22
703642,4.99,4.99,4.19,,442.0,2025-02-22
689933,4.99,4.99,4.19,,442.0,2025-02-22
708080,4.99,4.99,4.19,,442.0,2025-02-22
715064,39.99,39.99,34.99,,3545.0,2025-02-22
707197,4.99,4.99,4.19,,442.0,2025-02-22
713121,4.99,4.99,4.19,,442.0,2025-02-22
713122,9.99,9.99,8.39,,886.0,2025-02-22
1582,,,,,,2025-02-22
