observation_date,LAUST120000000000003A
1976-01-01,9.3
1977-01-01,8.3
1978-01-01,6.8
1979-01-01,6.0
1980-01-01,6.0
1981-01-01,6.8
1982-01-01,8.5
1983-01-01,8.6
1984-01-01,6.6
1985-01-01,6.1
1986-01-01,5.8
1987-01-01,5.4
1988-01-01,5.2
1989-01-01,5.6
1990-01-01,6.2
1991-01-01,7.7
1992-01-01,8.4
1993-01-01,7.4
1994-01-01,6.5
1995-01-01,5.6
1996-01-01,5.3
1997-01-01,4.9
1998-01-01,4.4
1999-01-01,3.9
2000-01-01,3.7
2001-01-01,4.7
2002-01-01,5.6
2003-01-01,5.3
2004-01-01,4.6
2005-01-01,3.7
2006-01-01,3.3
2007-01-01,4.0
2008-01-01,6.3
2009-01-01,10.2
2010-01-01,11.3
2011-01-01,10.2
2012-01-01,8.7
2013-01-01,7.5
2014-01-01,6.5
2015-01-01,5.5
2016-01-01,4.9
2017-01-01,4.3
2018-01-01,3.6
2019-01-01,3.2
2020-01-01,8.0
2021-01-01,4.7
2022-01-01,3.0
2023-01-01,3.0
2024-01-01,3.4
