customer_id,gender,age,city,signup_date,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,rating_date,delivery_status
C5663,Male,Adult,Peshawar,1/14/2024,O9663,8/23/2023,McDonald's,Burger,Italian,5,1478.27,Cash,38,7/19/2025,238,Active,3,10/14/2024,Cancelled
C2831,Male,Adult,Multan,7/7/2024,O6831,8/23/2023,KFC,Burger,Italian,3,956.04,Wallet,24,11/25/2024,81,Active,2,8/21/2025,Delayed
C2851,Other,Senior,Multan,6/20/2025,O6851,8/23/2023,Pizza Hut,Fries,Italian,2,882.51,Cash,42,5/10/2025,82,Inactive,3,9/19/2024,Delayed
C1694,Female,Senior,Peshawar,9/5/2023,O5694,8/23/2023,Subway,Pizza,Dessert,4,231.3,Card,27,7/24/2025,45,Inactive,2,6/29/2025,Delayed
C4339,Other,Senior,Lahore,12/29/2023,O8339,8/24/2023,KFC,Sandwich,Dessert,1,1156.69,Cash,35,12/21/2024,418,Inactive,3,3/6/2025,Cancelled
C6543,Other,Adult,Karachi,9/28/2023,O10543,8/24/2023,Burger King,Pizza,Fast Food,5,1213.62,Cash,45,10/10/2024,418,Inactive,4,6/1/2025,Delivered
C6423,Male,Adult,Lahore,4/8/2025,O10423,8/24/2023,McDonald's,Pasta,Continental,5,672.91,Wallet,31,5/25/2025,347,Active,1,3/4/2025,Cancelled
C4621,Male,Adult,Peshawar,2/5/2024,O8621,8/24/2023,Pizza Hut,Pizza,Chinese,2,271.74,Cash,14,5/1/2025,429,Active,2,9/30/2024,Delivered
C5146,Other,Senior,Karachi,12/17/2024,O9146,8/24/2023,KFC,Pizza,Dessert,5,596.96,Wallet,1,5/16/2025,24,Active,4,10/27/2024,Delayed
C3579,Male,Adult,Karachi,10/13/2023,O7579,8/24/2023,Pizza Hut,Pizza,Continental,2,1443.25,Cash,15,2/23/2025,270,Inactive,3,10/11/2024,Delayed
C5535,Male,Adult,Lahore,7/30/2025,O9535,8/24/2023,Subway,Sandwich,Continental,2,645.52,Cash,32,4/8/2025,133,Active,4,12/5/2024,Delayed
C3894,Female,Senior,Multan,1/24/2025,O7894,8/24/2023,Burger King,Burger,Fast Food,1,126.53,Wallet,45,9/26/2024,48,Inactive,2,8/20/2025,Cancelled
C4071,Male,Senior,Islamabad,12/27/2024,O8071,8/24/2023,Subway,Pizza,Italian,1,465.75,Card,29,12/26/2024,394,Active,4,4/16/2025,Cancelled
C4231,Female,Senior,Multan,4/11/2025,O8231,8/24/2023,Burger King,Sandwich,Continental,3,796.91,Wallet,39,11/12/2024,5,Inactive,5,2/27/2025,Delivered
C3914,Male,Teenager,Islamabad,11/29/2023,O7914,8/24/2023,KFC,Pizza,Fast Food,4,1140.76,Wallet,23,4/22/2025,492,Inactive,5,4/19/2025,Delayed
C5681,Other,Adult,Islamabad,11/25/2024,O9681,8/25/2023,Subway,Pizza,Continental,1,1285.18,Cash,10,4/9/2025,196,Inactive,2,6/10/2025,Delayed
C4975,Female,Teenager,Karachi,6/20/2025,O8975,8/25/2023,Burger King,Burger,Dessert,1,673.86,Wallet,38,7/7/2025,439,Inactive,2,7/9/2025,Delivered
C2876,Female,Senior,Islamabad,12/30/2024,O6876,8/25/2023,KFC,Burger,Chinese,2,330.93,Cash,45,7/17/2025,455,Active,2,11/28/2024,Cancelled
C6144,Other,Teenager,Peshawar,8/5/2024,O10144,8/25/2023,Subway,Pasta,Fast Food,2,991.17,Wallet,6,4/22/2025,101,Active,2,3/27/2025,Cancelled
C5092,Female,Adult,Lahore,10/5/2023,O9092,8/25/2023,Subway,Pasta,Chinese,1,1485.16,Card,46,4/24/2025,171,Inactive,3,8/5/2025,Delayed
C2747,Female,Adult,Lahore,8/30/2024,O6747,8/25/2023,Subway,Sandwich,Italian,2,802.12,Wallet,22,9/15/2024,32,Inactive,4,6/11/2025,Cancelled
C3406,Female,Teenager,Lahore,2/25/2024,O7406,8/25/2023,Pizza Hut,Sandwich,Italian,1,1394.47,Cash,13,6/16/2025,273,Inactive,2,7/20/2025,Delayed
C2975,Male,Teenager,Multan,9/28/2024,O6975,8/25/2023,Pizza Hut,Pizza,Italian,3,1287.69,Wallet,49,6/5/2025,35,Active,4,11/10/2024,Delivered
C5497,Other,Adult,Lahore,1/26/2025,O9497,8/25/2023,Burger King,Pasta,Continental,5,785.37,Card,49,10/21/2024,463,Active,2,5/19/2025,Delivered
C2748,Other,Teenager,Karachi,7/7/2024,O6748,8/25/2023,Pizza Hut,Fries,Dessert,2,1304.8,Cash,2,12/1/2024,435,Inactive,1,11/29/2024,Cancelled
C1929,Female,Teenager,Peshawar,11/27/2023,O5929,8/26/2023,KFC,Fries,Continental,1,599.7,Wallet,35,6/26/2025,172,Active,4,11/10/2024,Delayed
C5124,Male,Adult,Lahore,5/25/2025,O9124,8/26/2023,McDonald's,Burger,Continental,3,1065.15,Cash,38,12/13/2024,250,Inactive,2,4/18/2025,Cancelled
C6250,Male,Teenager,Lahore,6/29/2024,O10250,8/26/2023,McDonald's,Pasta,Chinese,5,576.33,Card,7,5/3/2025,60,Active,3,6/3/2025,Cancelled
C1351,Female,Adult,Karachi,6/16/2024,O5351,8/26/2023,KFC,Fries,Chinese,3,761.47,Card,3,1/8/2025,240,Inactive,2,11/29/2024,Delivered
C5795,Female,Senior,Islamabad,11/7/2023,O9795,8/26/2023,KFC,Pizza,Italian,5,1267.2,Card,32,11/10/2024,72,Active,5,10/21/2024,Delayed
C5513,Male,Teenager,Islamabad,7/20/2025,O9513,8/26/2023,KFC,Pizza,Continental,3,1044.89,Card,31,9/15/2024,496,Inactive,2,12/27/2024,Delayed
C6362,Female,Senior,Islamabad,11/22/2023,O10362,8/26/2023,Burger King,Pizza,Chinese,4,343.52,Card,34,9/29/2024,164,Active,3,1/25/2025,Delivered
C6340,Male,Senior,Multan,7/7/2025,O10340,8/26/2023,Burger King,Sandwich,Continental,2,209.77,Cash,16,11/20/2024,453,Active,3,9/4/2024,Cancelled
C5444,Other,Teenager,Peshawar,7/2/2025,O9444,8/26/2023,Subway,Pasta,Chinese,3,1052.17,Cash,12,4/21/2025,14,Inactive,3,2/8/2025,Delayed
C1454,Female,Adult,Islamabad,7/1/2025,O5454,8/26/2023,McDonald's,Pizza,Italian,2,1030.25,Wallet,5,6/26/2025,273,Active,1,2/5/2025,Cancelled
C4748,Other,Adult,Peshawar,3/10/2024,O8748,8/26/2023,Subway,Sandwich,Italian,5,909.48,Wallet,3,7/28/2025,224,Inactive,3,5/25/2025,Cancelled
C2827,Male,Teenager,Multan,3/5/2025,O6827,8/26/2023,Pizza Hut,Sandwich,Italian,3,192.88,Wallet,26,6/3/2025,18,Active,3,1/13/2025,Cancelled
C3338,Female,Senior,Lahore,12/4/2023,O7338,8/26/2023,McDonald's,Burger,Chinese,2,1471.81,Wallet,25,12/27/2024,444,Active,3,6/14/2025,Delivered
C1614,Other,Adult,Lahore,12/31/2023,O5614,8/26/2023,Subway,Pizza,Italian,1,956.03,Card,39,4/19/2025,167,Inactive,5,1/4/2025,Delivered
C4382,Male,Senior,Multan,1/20/2025,O8382,8/27/2023,Pizza Hut,Pizza,Dessert,3,222.14,Wallet,4,3/25/2025,148,Inactive,2,1/1/2025,Delayed
C1827,Other,Adult,Lahore,5/24/2024,O5827,8/27/2023,Burger King,Pasta,Italian,2,522,Cash,12,3/30/2025,246,Inactive,3,9/20/2024,Delayed
C5009,Male,Teenager,Islamabad,3/25/2024,O9009,8/27/2023,Pizza Hut,Pizza,Italian,3,795.3,Card,15,6/2/2025,179,Inactive,4,1/13/2025,Delayed
C3152,Other,Teenager,Multan,2/26/2024,O7152,8/27/2023,Subway,Burger,Chinese,3,768.49,Wallet,40,12/23/2024,495,Inactive,5,1/6/2025,Delivered
C4729,Female,Teenager,Multan,7/18/2025,O8729,8/27/2023,KFC,Fries,Chinese,2,198.12,Card,7,1/31/2025,13,Inactive,3,6/27/2025,Cancelled
C5046,Other,Teenager,Islamabad,8/15/2024,O9046,8/27/2023,KFC,Fries,Chinese,1,196.28,Card,22,8/17/2025,378,Inactive,4,3/4/2025,Delivered
C3588,Other,Teenager,Lahore,1/7/2024,O7588,8/27/2023,Subway,Burger,Continental,1,364.91,Card,1,5/6/2025,98,Active,5,8/18/2025,Delayed
C3247,Female,Senior,Multan,11/27/2023,O7247,8/27/2023,McDonald's,Sandwich,Italian,5,275.53,Cash,7,12/6/2024,138,Active,2,6/22/2025,Delivered
C2454,Other,Teenager,Karachi,12/4/2023,O6454,8/27/2023,KFC,Pizza,Italian,1,249.9,Cash,20,3/22/2025,70,Inactive,1,7/20/2025,Delayed
C4046,Other,Adult,Karachi,11/10/2024,O8046,8/27/2023,Subway,Sandwich,Continental,4,1226.08,Cash,32,2/6/2025,372,Active,4,6/18/2025,Delivered
C6194,Female,Adult,Lahore,10/9/2023,O10194,8/28/2023,Subway,Fries,Continental,3,1120.65,Card,46,12/2/2024,453,Active,4,8/19/2025,Cancelled
C5845,Other,Senior,Multan,11/7/2024,O9845,8/28/2023,Subway,Sandwich,Fast Food,3,1056.2,Card,26,10/14/2024,116,Active,5,2/16/2025,Cancelled
C6804,Female,Adult,Peshawar,1/16/2025,O10804,8/28/2023,Burger King,Burger,Continental,3,931.02,Wallet,30,7/10/2025,211,Inactive,3,3/18/2025,Delayed
C1490,Other,Senior,Lahore,12/2/2024,O5490,8/28/2023,Pizza Hut,Pizza,Fast Food,2,1431.45,Wallet,15,5/4/2025,190,Inactive,4,10/8/2024,Cancelled
C4203,Male,Adult,Multan,4/17/2024,O8203,8/28/2023,KFC,Pizza,Italian,5,167.62,Card,13,9/8/2024,388,Active,4,11/7/2024,Delivered
C6818,Male,Adult,Islamabad,10/22/2024,O10818,8/28/2023,Subway,Pasta,Chinese,2,118.82,Card,12,5/10/2025,87,Active,1,9/14/2024,Cancelled
C2583,Female,Adult,Karachi,8/10/2024,O6583,8/29/2023,Pizza Hut,Pasta,Fast Food,1,492.46,Cash,10,1/16/2025,383,Active,1,9/9/2024,Delivered
C1891,Male,Teenager,Multan,11/28/2023,O5891,8/29/2023,Pizza Hut,Pasta,Chinese,5,1275.96,Card,28,11/9/2024,312,Inactive,2,12/29/2024,Delivered
C1972,Male,Teenager,Multan,6/3/2024,O5972,8/29/2023,McDonald's,Sandwich,Chinese,1,1462.99,Wallet,36,3/26/2025,316,Inactive,4,11/30/2024,Cancelled
C5895,Female,Adult,Karachi,2/19/2025,O9895,8/29/2023,McDonald's,Pasta,Chinese,2,1221.24,Cash,13,2/12/2025,286,Active,4,3/15/2025,Cancelled
C5179,Male,Adult,Multan,9/3/2023,O9179,8/29/2023,McDonald's,Pasta,Fast Food,1,1033.71,Card,47,8/30/2024,4,Active,2,12/24/2024,Delivered
C3147,Female,Adult,Islamabad,10/30/2024,O7147,8/30/2023,Burger King,Pizza,Continental,4,299.44,Cash,27,2/6/2025,480,Inactive,3,12/1/2024,Delivered
C3256,Other,Senior,Islamabad,7/6/2024,O7256,8/30/2023,Pizza Hut,Pasta,Dessert,3,1310.72,Wallet,41,8/7/2025,47,Active,3,11/20/2024,Cancelled
C3011,Male,Teenager,Islamabad,7/19/2025,O7011,8/30/2023,KFC,Pizza,Italian,4,343.94,Cash,20,1/27/2025,389,Active,3,11/20/2024,Cancelled
C2727,Other,Senior,Karachi,11/27/2024,O6727,8/30/2023,Subway,Pizza,Continental,1,1416.38,Wallet,27,11/5/2024,25,Inactive,3,6/28/2025,Cancelled
C5922,Other,Adult,Islamabad,8/3/2024,O9922,8/30/2023,Pizza Hut,Fries,Dessert,3,622.55,Cash,32,8/26/2024,92,Active,3,5/15/2025,Delayed
C3797,Other,Teenager,Islamabad,5/8/2024,O7797,8/30/2023,Burger King,Burger,Chinese,3,266.63,Wallet,13,9/14/2024,429,Active,2,5/25/2025,Cancelled
C5286,Other,Adult,Peshawar,3/9/2025,O9286,8/30/2023,KFC,Fries,Continental,4,1052.03,Cash,44,4/16/2025,107,Inactive,4,3/12/2025,Delivered
C3379,Other,Adult,Peshawar,12/19/2023,O7379,8/30/2023,McDonald's,Burger,Italian,3,519.94,Card,30,10/8/2024,195,Active,1,2/8/2025,Delivered
C4465,Female,Adult,Islamabad,1/22/2025,O8465,8/30/2023,Burger King,Pizza,Italian,2,1296.57,Card,16,12/13/2024,31,Inactive,3,3/13/2025,Cancelled
C4554,Other,Teenager,Lahore,6/20/2024,O8554,8/31/2023,Subway,Sandwich,Continental,5,575.25,Card,8,4/15/2025,168,Active,1,5/6/2025,Cancelled
C1842,Female,Teenager,Lahore,4/27/2025,O5842,8/31/2023,Pizza Hut,Pasta,Dessert,3,1487.08,Cash,2,9/17/2024,205,Active,5,9/13/2024,Delivered
C1557,Female,Teenager,Peshawar,1/11/2024,O5557,8/31/2023,Burger King,Pizza,Chinese,1,1071.22,Cash,5,6/15/2025,56,Inactive,5,10/11/2024,Delivered
C6668,Other,Senior,Lahore,10/14/2024,O10668,8/31/2023,Pizza Hut,Burger,Fast Food,2,181.27,Cash,12,8/28/2024,364,Inactive,5,11/20/2024,Cancelled
C6686,Female,Senior,Peshawar,8/11/2024,O10686,8/31/2023,KFC,Burger,Fast Food,1,397.47,Wallet,5,4/12/2025,180,Active,1,6/10/2025,Cancelled
C3239,Female,Senior,Lahore,9/13/2023,O7239,8/31/2023,Pizza Hut,Fries,Chinese,5,1475.86,Card,13,7/13/2025,59,Active,4,2/9/2025,Cancelled
C1207,Other,Teenager,Peshawar,9/23/2023,O5207,8/31/2023,McDonald's,Pizza,Italian,4,1143.99,Wallet,26,9/26/2024,323,Inactive,4,3/24/2025,Delivered
C6466,Other,Senior,Islamabad,2/14/2024,O10466,8/31/2023,KFC,Fries,Chinese,1,1492.84,Wallet,50,3/28/2025,423,Active,1,2/9/2025,Cancelled
C6687,Other,Adult,Islamabad,6/10/2025,O10687,9/1/2023,KFC,Pasta,Italian,3,101.29,Wallet,28,1/17/2025,468,Inactive,3,2/7/2025,Delivered
C3210,Other,Teenager,Karachi,6/5/2025,O7210,9/1/2023,Burger King,Pasta,Fast Food,2,528.24,Cash,24,2/8/2025,149,Inactive,4,8/24/2024,Delayed
C2375,Female,Teenager,Peshawar,11/17/2023,O6375,9/1/2023,McDonald's,Burger,Continental,3,716.53,Card,3,2/20/2025,432,Inactive,1,9/17/2024,Cancelled
C3484,Male,Senior,Peshawar,8/2/2025,O7484,9/1/2023,Subway,Pasta,Fast Food,3,1135.18,Cash,2,10/1/2024,113,Active,2,11/29/2024,Cancelled
C3775,Other,Adult,Multan,12/29/2024,O7775,9/1/2023,Burger King,Fries,Chinese,2,388.86,Cash,31,9/1/2024,39,Inactive,3,10/5/2024,Cancelled
C5566,Other,Teenager,Islamabad,3/25/2024,O9566,9/1/2023,Subway,Pasta,Dessert,5,362.35,Cash,23,2/28/2025,309,Active,5,1/3/2025,Delayed
C3733,Male,Adult,Multan,12/18/2024,O7733,9/1/2023,Burger King,Sandwich,Continental,4,172.76,Wallet,23,5/18/2025,356,Inactive,5,1/25/2025,Delivered
C5134,Male,Senior,Lahore,5/2/2025,O9134,9/2/2023,Burger King,Sandwich,Chinese,3,184.12,Card,41,2/23/2025,491,Inactive,4,2/2/2025,Cancelled
C4670,Other,Adult,Peshawar,8/23/2024,O8670,9/2/2023,Pizza Hut,Fries,Italian,3,124.6,Card,26,5/6/2025,297,Inactive,2,11/28/2024,Cancelled
C2760,Other,Teenager,Lahore,7/26/2025,O6760,9/2/2023,McDonald's,Pizza,Dessert,4,664.08,Cash,20,4/10/2025,354,Inactive,3,4/9/2025,Cancelled
C6071,Female,Senior,Peshawar,1/23/2024,O10071,9/2/2023,Pizza Hut,Pizza,Continental,1,1465.02,Card,45,7/4/2025,420,Active,1,2/20/2025,Delivered
C5186,Female,Adult,Peshawar,10/27/2023,O9186,9/2/2023,Subway,Pizza,Continental,2,158.21,Cash,8,12/27/2024,321,Active,3,2/12/2025,Delayed
C3464,Other,Adult,Peshawar,6/11/2024,O7464,9/2/2023,Pizza Hut,Pizza,Continental,2,949.78,Card,46,4/14/2025,435,Active,1,8/14/2025,Cancelled
C5340,Male,Teenager,Peshawar,5/9/2024,O9340,9/2/2023,McDonald's,Pasta,Continental,1,1047.07,Wallet,50,1/29/2025,328,Inactive,2,9/1/2024,Delayed
C5353,Male,Adult,Islamabad,5/25/2025,O9353,9/2/2023,KFC,Pizza,Dessert,2,1491.88,Cash,44,3/12/2025,330,Active,5,9/7/2024,Delayed
C6843,Other,Senior,Multan,4/10/2025,O10843,9/2/2023,KFC,Pizza,Italian,4,1014.28,Card,41,7/22/2025,0,Active,1,1/23/2025,Delivered
C5132,Male,Teenager,Lahore,9/13/2024,O9132,9/2/2023,Subway,Burger,Fast Food,2,941.02,Wallet,5,7/18/2025,468,Active,1,2/27/2025,Delivered
C2398,Other,Senior,Islamabad,12/29/2023,O6398,9/3/2023,Subway,Pasta,Chinese,1,1187.79,Cash,41,7/5/2025,22,Inactive,2,12/13/2024,Cancelled
C5122,Other,Senior,Multan,3/30/2025,O9122,9/3/2023,McDonald's,Pizza,Chinese,3,1201.49,Cash,37,4/30/2025,293,Active,1,11/30/2024,Delayed
C6532,Female,Senior,Islamabad,3/15/2024,O10532,9/3/2023,Pizza Hut,Pizza,Dessert,4,579.72,Wallet,40,7/14/2025,170,Inactive,3,2/6/2025,Delayed
C1833,Other,Adult,Peshawar,6/6/2025,O5833,9/3/2023,KFC,Burger,Chinese,4,599.35,Cash,3,4/8/2025,322,Inactive,2,1/15/2025,Cancelled
C2040,Male,Senior,Peshawar,2/7/2024,O6040,9/3/2023,Burger King,Pasta,Fast Food,4,1418.27,Wallet,14,5/18/2025,291,Inactive,3,2/10/2025,Cancelled
C2631,Female,Adult,Lahore,11/8/2024,O6631,9/3/2023,Subway,Pasta,Continental,2,1174.62,Card,50,2/11/2025,64,Active,5,3/24/2025,Cancelled
C3877,Other,Teenager,Islamabad,10/22/2024,O7877,9/3/2023,KFC,Fries,Continental,4,213.52,Cash,50,1/22/2025,24,Active,3,12/14/2024,Cancelled
C4158,Male,Senior,Islamabad,4/27/2024,O8158,9/4/2023,KFC,Fries,Chinese,3,566.9,Wallet,22,3/27/2025,387,Active,3,2/22/2025,Cancelled
C3705,Other,Teenager,Lahore,5/15/2024,O7705,9/4/2023,Burger King,Pasta,Italian,3,881.71,Wallet,16,6/25/2025,26,Active,2,11/20/2024,Cancelled
C5223,Other,Adult,Multan,11/1/2023,O9223,9/4/2023,Subway,Fries,Chinese,3,1142.45,Wallet,9,9/8/2024,397,Inactive,1,3/20/2025,Delayed
C4259,Male,Teenager,Islamabad,12/28/2024,O8259,9/4/2023,McDonald's,Fries,Continental,3,734.85,Card,48,9/21/2024,245,Active,4,10/17/2024,Delivered
C4636,Female,Teenager,Lahore,1/27/2024,O8636,9/4/2023,Subway,Pasta,Fast Food,4,1303.08,Wallet,19,7/9/2025,62,Active,1,4/8/2025,Delayed
C3087,Female,Adult,Peshawar,5/5/2025,O7087,9/4/2023,Subway,Pizza,Italian,2,526.39,Wallet,7,6/22/2025,83,Inactive,1,4/4/2025,Delayed
C6268,Male,Teenager,Islamabad,2/11/2024,O10268,9/4/2023,Pizza Hut,Sandwich,Fast Food,3,897.81,Cash,15,8/14/2025,193,Active,5,6/19/2025,Cancelled
C1434,Other,Senior,Multan,3/16/2024,O5434,9/5/2023,Subway,Burger,Chinese,4,949.24,Card,21,6/15/2025,264,Active,2,11/21/2024,Cancelled
C3992,Male,Teenager,Lahore,7/21/2024,O7992,9/5/2023,Subway,Fries,Italian,5,904.16,Card,10,2/20/2025,118,Inactive,4,2/3/2025,Delayed
C4725,Other,Senior,Islamabad,12/10/2023,O8725,9/5/2023,Subway,Pizza,Continental,4,321.23,Wallet,32,3/17/2025,145,Inactive,2,6/6/2025,Delivered
