Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Zhai, Guangtao; Cai, Jianfei; Lin, Weisi; Yang, Xiaokang; Zhang, Wenjun; Etoh, Minoru; ",Cross-dimensional perceptual quality assessment for low bit-rate videos,IEEE Transactions on Multimedia,10,7,1316-1324,2008,IEEE
"Zhai, Guangtao; Zhang, Wenjun; Yang, Xiaokang; Xu, Yi; ",Image quality assessment metrics based on multi-scale edge presentation,"IEEE Workshop on Signal Processing Systems Design and Implementation, 2005.",,,331-336,2005,IEEE
"Zhai, Guangtao; Zhang, Wenjun; Yang, Xiaokang; Lin, Weisi; Xu, Yi; ","Efficient deblocking with coefficient regularization, shape-adaptive filtering, and quantization constraint",IEEE Transactions on Multimedia,10,5,735-745,2008,IEEE
"Zhai, Guangtao; Cai, Jianfei; Lin, Weisi; Yang, Xiaokang; Zhang, Wenjun; ",Three dimensional scalable video adaptation via user-end perceptual quality assessment,IEEE Transactions on Broadcasting,54,3,719-727,2008,IEEE
"Zhai, Guangtao; Zhang, Wenjun; Yang, Xiaokang; Lin, Weisi; Xu, Yi; ",Efficient image deblocking based on postfiltering in shifted windows,IEEE Transactions on Circuits and Systems for Video Technology,18,1,122-126,2008,IEEE
"Xu, Yi; Zhou, Jun; Zhai, Guangtao; ",2D phase-based matching in uncalibrated images,"IEEE Workshop on Signal Processing Systems Design and Implementation, 2005.",,,325-330,2005,IEEE
"Zhai, Guangtao; Zhang, Wenjun; Yang, Xiaokang; Lin, Weisi; Xu, Yi; ",No-reference noticeable blockiness estimation in images,Signal Processing: Image Communication,23,6,417-432,2008,Elsevier
"Zhai, Guangtao; Zhang, Wenjun; Xu, Yi; Lin, Weisi; ",LGPS: Phase based image quality assessment metric,2007 IEEE Workshop on Signal Processing Systems,,,605-609,2007,IEEE
"Zhai, Guangtao; Zhang, Wenjun; Yang, Xiaokang; Yao, Susu; Xu, Yi; ",GES: a new image quality assessment metric based on energy features in Gabor transform domain,2006 IEEE International Symposium on Circuits and Systems (ISCAS),,,4 pp.,2006,IEEE
"Zhai, Guangtao; Lin, Weisi; Cai, Jianfei; Yang, Xiaokang; Zhang, Wenjun; ",Efficient quadtree based block-shift filtering for deblocking and deringing,Journal of Visual Communication and Image Representation,20,8,595-607,2009,Academic Press
"Xu, Jin; Guan, Jinghuo; Wang, Xingdong; Sun, Jun; Zhai, Guangtao; Li, Zhengguo; ",An owe-based algorithm for line scratches restoration in old movies,2007 IEEE International Symposium on Circuits and Systems (ISCAS),,,3431-3434,2007,IEEE
"Zhai, Guangtao; Cai, Jianfei; Lin, Weisi; Yang, Xiaokang; Zhang, Wenjun; ",Image error-concealment via block-based bilateral filtering,2008 IEEE international conference on multimedia and expo,,,621-624,2008,IEEE
"Zhai, Guangtao; Chen, Qian; Yang, Xiaokang; Zhang, Wenjun; ",Scalable visual sensitivity profile estimation,"2008 IEEE International Conference on Acoustics, Speech and Signal Processing",,,873-876,2008,IEEE
"Chen, Qian; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",Application of scalable visual sensitivity profile in image and video coding,2008 IEEE International Symposium on Circuits and Systems (ISCAS),,,268-271,2008,IEEE
"Wu, Xiaolin; Zhai, Guangtao; Yang, Xiaokang; Zhang, Wenjun; ",Adaptive sequential prediction of multidimensional signals with applications to lossless image coding,IEEE Transactions on Image Processing,20,1,36-42,2010,IEEE
"Han, M; Tian, L; Zhai, G; Cui, G; ",Fast reconstruction algorithm based on Hermite interpolation from modulus maxima of wavelet transform,J Syst Simul,17,11,2616-19,2005,
"Zhai, G; Zhang, W; Yang, X; Xu, Y; ",Image quality metric with an integrated bottom-up and top-down HVS approach,"IEE Proceedings-Vision, Image and Signal Processing",153,4,456-460,2006,IET
"Zhang, Mingqiang; Sun, Fengrong; Song, Haohao; Liu, Li; Mei, Liangmo; Zhai, Guangtao; Wang, Changyu; ",Design of the quantitative analysis software system for myocardial contrast echocardiography,Third International Symposium on Multispectral Image Processing and Pattern Recognition,5286,,747-752,2003,SPIE
"Zhai, Guangtao; Cai, Jianfei; Lin, Weisi; Yang, Xiaokang; Zhang, Wenjun; ",Image deringing using quadtree based block-shift filtering,2008 IEEE International Symposium on Circuits and Systems (ISCAS),,,708-711,2008,IEEE
"Zhai, Guangtao; Wu, Xiaolin; Yang, Xiaokang; Lin, Weisi; Zhang, Wenjun; ",A psychovisual quality metric in free-energy principle,IEEE Transactions on Image Processing,21,1,41-52,2011,IEEE
"Wang, Tao; Zhai, Guangtao; ",JPEG2000 image postprocessing with novel trilateral deringing filter,Optical Engineering,47,2,027005-027005-6,2008,Society of Photo-Optical Instrumentation Engineers
"Zhai, Guangtao; Zhang, Wenjun; Xu, Yi; Lin, Weisi; ",Shifted window based filtering for alleviating blocking artifacts,2007 IEEE Workshop on Signal Processing Systems,,,289-294,2007,IEEE
"Sun, F; Zhai, G; Li, Y; ",Fast Algorithm of Signal Reconstruction from Modulus Maxima of the Wavelet Transform,MINIMICRO SYSTEMS-SHENYANG-,26,12,2147,2005,GAI-KAN BIAJIBU
"Zhai, Guangtao; Zhang, Wenjun; Yang, Xiaokang; ",Grayscale image contrast enhancement based on multi-scale edge representation,MIPPR 2005: Image Analysis Techniques,6044,,307-314,2005,SPIE
"Zhai, Guangtao; Wu, Xiaolin; Yang, Xiaokang; Zhang, Wenjun; ",MDL context modeling of images with application to denoising,2009 16th IEEE International Conference on Image Processing (ICIP),,,3845-3848,2009,IEEE
"Guo, Kai; Yang, Xiaokang; Zhang, Rui; Zhai, Guangtao; Yu, Songyu; ",Face super-resolution using 8-connected Markov Random Fields with embedded prior,2008 19th International Conference on Pattern Recognition,,,1-4,2008,IEEE
"Zhai, Guangtao; Yang, Xiaokang; Lin, Weisi; Zhang, Wenjun; ",Simultaneous deblocking and error concealment for decoded visual signal,Proceedings of 2010 IEEE International Symposium on Circuits and Systems,,,2626-2629,2010,IEEE
"Zhai, Guangtao; Yang, Xiaokang; Lin, Weisi; Zhang, Wenjun; ",Bayesian error concealment with DCT pyramid for images,IEEE Transactions on Circuits and Systems for Video Technology,20,9,1224-1232,2010,IEEE
"Zhai, Guangtao; Yang, Xiaokang; Lin, Weisi; Zhang, Wenjun; Xu, Yi; ",Bayesian error concealment with DCT pyramid,"2010 IEEE International Conference on Acoustics, Speech and Signal Processing",,,1366-1369,2010,IEEE
"Zhai, Guangtao; Yang, Xiaokang; ",Image reconstruction from random samples with parametric and nonparametric modeling,2011 Visual Communications and Image Processing (VCIP),,,1-4,2011,IEEE
"Wu, Xiaolin; Zhai, Guangtao; ",On sparse representations of color images,2011 18th IEEE International Conference on Image Processing,,,1229-1232,2011,IEEE
"Zhai, Guangtao; Zhang, Wenjun; Yang, Xiaokang; Lin, Weisi; Xu, Yi; ",A Unified Framework for Removing Blocking Artifacts,2007 IEEE International Conference on Multimedia and Expo,,,1623-1626,2007,IEEE
"Zhai, G; Yang, X; ",Image Reconstruction from Random Samples with Multiscale Hybrid Parametric and Nonparametric Modeling,IEEE Transactions on Circuits and Systems for Video Technology,22,11,1554-1563,2012,IEEE
"Zhai, Guangtao; Zhang, Yang; Zheng, Xiaoshi; ",Singularity-preserving image interpolation using wavelet transform extrema extrapolation,Third International Symposium on Multispectral Image Processing and Pattern Recognition,5286,,392-395,2003,SPIE
"Tang, Chongwu; Yang, Xiaokang; Chen, Li; Zhai, Guangtao; ",A fast video stabilization algorithm based on block matching and edge completion,2011 IEEE 13th International Workshop on Multimedia Signal Processing,,,1-5,2011,IEEE
"Zhai, Guangtao; Zhang, Wenjun; Yang, Xiaokang; ",Image deblocking based on multi-scale edge representation,MIPPR 2005: SAR and Multispectral Image Processing,6043,,103-108,2005,SPIE
"Yao, Chen; Yang, Xiaokang; Zhai, Guangtao; Xue, Gengjian; Lu, Xiaofeng; ",Error concealment using block-based scale-invariant features,2010 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),,,1-4,2010,IEEE
