return_id,order_id,customer_id,return_date,product_id,return_reason,refund_amount_ngn,refund_method,processing_time_days,return_status,restocking_fee_ngn
RET0000000,ORD7712767,CUST726777,2024-01-19,PRD87085,late_delivery,124407.43,bank_transfer,7,approved,0.0
RET0000001,ORD6474212,CUST447076,2024-03-26,PRD84276,changed_mind,195071.65,bank_transfer,10,approved,0.0
RET0000002,ORD4097385,CUST865931,2024-09-12,PRD14165,defective_product,169538.24,original_payment,8,approved,0.0
RET0000003,ORD4649345,CUST660548,2024-04-30,PRD22016,changed_mind,68639.06,bank_transfer,12,approved,0.0
RET0000004,ORD6580141,CUST697693,2024-04-22,PRD29872,damaged_product,141516.76,original_payment,7,approved,0.0
RET0000005,ORD6017673,CUST719340,2024-08-07,PRD26612,damaged_product,30790.87,bank_transfer,7,approved,0.0
RET0000006,ORD7954863,CUST508917,2024-02-21,PRD36116,changed_mind,173054.5,store_credit,11,approved,102.96
RET0000007,ORD7005248,CUST824313,2024-04-24,PRD22540,defective_product,94912.33,original_payment,7,rejected,0.0
RET0000008,ORD8626950,CUST660213,2024-03-02,PRD91059,changed_mind,155102.79,store_credit,4,approved,0.0
RET0000009,ORD2245789,CUST888694,2024-07-08,PRD99924,defective_product,134817.53,original_payment,1,approved,0.0
RET0000010,ORD1724554,CUST735711,2024-03-05,PRD41931,wrong_size,78392.12,original_payment,11,approved,0.0
RET0000011,ORD2320657,CUST894292,2024-08-21,PRD26970,wrong_item_delivered,127485.67,bank_transfer,12,pending,0.0
RET0000012,ORD6371921,CUST726189,2024-02-02,PRD54712,changed_mind,156471.18,original_payment,5,approved,0.0
RET0000013,ORD3208900,CUST211424,2024-03-13,PRD52484,not_as_described,112361.25,bank_transfer,9,approved,0.0
RET0000014,ORD8746483,CUST670630,2024-03-17,PRD59356,poor_quality,82622.07,original_payment,7,approved,0.0
RET0000015,ORD5875692,CUST400731,2024-10-09,PRD38459,late_delivery,174022.17,original_payment,3,approved,0.0
RET0000016,ORD6123932,CUST896609,2024-01-11,PRD38673,late_delivery,119361.49,store_credit,5,approved,0.0
RET0000017,ORD7249057,CUST450914,2024-06-18,PRD28977,poor_quality,134467.94,original_payment,7,approved,30.18
RET0000018,ORD2431900,CUST954712,2024-09-02,PRD64234,wrong_size,28820.66,original_payment,11,approved,0.0
RET0000019,ORD7550674,CUST592430,2024-04-03,PRD20245,poor_quality,123130.68,original_payment,13,approved,0.0
RET0000020,ORD5851141,CUST908215,2024-07-18,PRD23281,defective_product,120610.27,store_credit,1,approved,2353.76
RET0000021,ORD7263391,CUST925863,2024-05-28,PRD29590,wrong_item_delivered,69664.35,original_payment,13,pending,0.0
RET0000022,ORD1931602,CUST912075,2024-06-09,PRD57004,damaged_product,180481.22,original_payment,11,approved,4162.01
RET0000023,ORD6320446,CUST851628,2024-07-24,PRD82450,not_as_described,6337.15,original_payment,14,approved,0.0
RET0000024,ORD1798350,CUST833767,2024-05-23,PRD65141,wrong_item_delivered,112886.77,original_payment,6,approved,0.0
RET0000025,ORD6418105,CUST318419,2024-07-20,PRD41885,defective_product,151979.22,original_payment,4,pending,0.0
RET0000026,ORD2024829,CUST161336,2024-01-05,PRD35929,defective_product,82040.94,original_payment,3,approved,0.0
RET0000027,ORD1475010,CUST454460,2024-01-05,PRD90267,changed_mind,190802.01,original_payment,11,approved,0.0
RET0000028,ORD3692433,CUST921822,2024-08-31,PRD78369,late_delivery,180235.53,original_payment,12,approved,737.03
RET0000029,ORD2170054,CUST943764,2024-08-07,PRD10992,poor_quality,167068.45,original_payment,8,approved,1446.0
RET0000030,ORD3960256,CUST948407,2024-02-02,PRD60487,poor_quality,80194.83,original_payment,1,approved,0.0
RET0000031,ORD2070858,CUST533833,2024-04-15,PRD80259,poor_quality,71857.29,original_payment,4,pending,0.0
