Year,Birth Population (10k),Gaokao Candidate Population (10k),Gaokao Applicants (10k),Gaokao Rate,Regular HE Enrollment (10k),College Rate,Undergraduate Enrollment,Undergraduate Rate,,,,,,,,,,,,,
1975,2130,,,,,,,,,,,,,,,,,,,,
1976,2001,,,,,,,,,,,,,,,,,,,,
1977,1810,,570,,,,,,,,,,,,,,,,,,
1978,1825,,610,,,,,,,,,,,,,,,,,,
1979,1732,,468,,,,,,,,,,,,,,,,,,
1980,1786,,333,,,,,,,,,,,,,,,,,,
1981,2064,,259,,,,,,,,,,,,,,,,,,
1982,2241,,187,,,,,,,,,,,,,,,,,,
1983,2047,,164,,,,,,,,,,,,,,,,,,
1984,2087,,164,,,,,,,,,,,,,,,,,,
1985,2196,,176,,62,,,,,,,,,,,,,,,,
1986,2374,,191,,64,,,,,,,,,,,,,,,,
1987,2508,,213,,66,,,,,,,,,,,,,,,,
1988,2445,,240,,67,,,,,,,,,,,,,,,,
1989,2396,,266,,60,,,,,,,,,,,,,,,,
1990,2374,,283,,61,,,,,,,,,,,,,,,,
1991,2250,,298,,63,,,,,,,,,,,,,,,,
1992,2113,,303,,65,,,,,,,,,,,,,,,,
1993,2120,2130,286,0.1342723,66,0.230769231,,,,,,,,,,,,,,,
1994,2098,2001,251,0.125437281,67,0.266932271,,,,,,,,,,,,,,,
1995,2052,1810,253,0.139779006,68,0.268774704,,,,,,,,,,,,,,,
1996,2057,1825,241,0.132054795,72,0.298755187,,,,,,,,,,,,,,,
1997,2028,1732,278,0.160508083,75,0.269784173,,,,,,,,,,,,,,,
1998,1934,1786,320,0.179171333,108,0.3375,,,,,,,,,,,,,,,
1999,1827,2064,288,0.139534884,159,0.552083333,108,0.375,,,,,,,,,,,,,
2000,1765,2241,375,0.167336011,221,0.589333333,130,0.346666667,,,,,,,,,,,,,
2001,1696,2047,410,0.200293112,268,0.653658537,150,0.365853659,,,,,,,,,,,,,
2002,1641,2087,527,0.252515573,320,0.607210626,170,0.322580645,,,,,,,,,,,,,
2003,1594,2196,613,0.279143898,382,0.623164763,190,0.30995106,,,,,,,,,,,,,
2004,1588,2374,729,0.307076664,447,0.613168724,215,0.294924554,,,,,,,,,,,,,
2005,1612,2508,867,0.34569378,504,0.581314879,240,0.276816609,,,,,,,,,,,,,
2006,1581,2445,950,0.388548057,546,0.574736842,260,0.273684211,,,,,,,,,,,,,
2007,1591,2396,1010,0.421535893,567,0.561386139,270,0.267326733,,,,,,,,,,,,,
2008,1604,2374,1050,0.442291491,607,0.578095238,290,0.276190476,,,,,,,,,,,,,
2009,1587,2250,1020,0.453333333,629,0.616666667,300,0.294117647,,,,,,,,,,,,,
2010,1588,2113,957,0.452910554,661,0.690700104,320,0.334378265,,,,,,,,,,,,,
2011,1600,2120,933,0.44009434,681,0.729903537,330,0.353697749,,,,,,,,,,,,,
2012,1635,2098,915,0.436129647,689,0.753005464,340,0.371584699,,,,,,,,,,,,,
2013,1640,2052,912,0.444444444,699,0.766447368,350,0.38377193,,,,,,,,,,,,,
2014,1687,2057,939,0.456490034,721,0.767838126,360,0.383386581,,,,,,,,,,,,,
2015,1655,2028,942,0.464497041,738,0.78343949,370,0.392781316,,,,,,,,,,,,,
2016,1786,1934,940,0.486039297,748,0.795744681,380,0.404255319,,,,,,,,,,,,,
2017,1765,1827,940,0.514504652,761,0.809574468,390,0.414893617,,,,,,,,,,,,,
2018,1523,1765,975,0.552407932,791,0.811282051,405,0.415384615,,,,,,,,,,,,,
2019,1465,1696,1031,0.607900943,914,0.886517944,430,0.417070805,,,,,,,,,,,,,
2020,1202,1641,1071,0.652650823,967,0.902894491,450,0.420168067,,,,,,,,,,,,,
2021,1062,1594,1078,0.676286073,1001,0.928571429,465,0.43135436,,,,,,,,,,,,,
2022,956,1588,1193,0.751259446,1029,0.862531433,475,0.398155909,,,,,,,,,,,,,
2023,902,1612,1291,0.800868486,1042,0.807126259,485,0.375677769,,,,,,,,,,,,,
2024,954,1581,1342,0.848829855,1069,0.79657228,500,0.372578241,,,,,,,,,,,,,
