下单数量,购买时间,昨日销售数量,过去七天平均销售数量,过去30天平均销售数量,昨日退回数量,过去七天平均退回数量,过去30天平均退回数量,昨日返利金额,过去七天平均返利金额,过去30天平均返利金额,昨日折扣金额,过去七天平均折扣金额,过去30天平均折扣金额,过去七天平均特批数量,过去30天平均特批数量,过去七天平均特批价格,一周的第几天,距离五一多少日,距离十一多少日,距离双11多少日,距离内购会多少日,距离春节多少日,距离奥运会多少日,距离世界杯多少日,过去7天客户价变动次数,过去7天价格里使用的固定折扣点值
21790,2018-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,22,131,172,103,97,1157,22,,
13319,2018-05-24,21790.0,21790.0,21790.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13556.0,13556.0,1272004.0,4,23,130,171,102,98,1156,21,,
8761,2018-05-25,13319.0,17554.0,17554.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10836.0,10836.0,1131443.0,5,24,129,170,101,99,1155,20,,
13553,2018-05-26,8761.0,14623.0,14623.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8824.0,8824.0,962322.0,6,25,128,169,100,100,1154,19,,
17330,2018-05-27,13553.0,14356.0,14356.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8376.0,8376.0,815226.0,7,26,127,168,99,101,1153,18,,
6262,2018-05-28,17330.0,14951.0,14951.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7928.0,7928.0,738070.0,1,27,126,167,98,102,1152,17,,
9209,2018-05-29,6262.0,13502.0,13502.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7311.0,7311.0,702615.0,2,28,125,166,97,103,1151,16,,
7583,2018-05-30,9209.0,12889.0,12889.0,17.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7061.0,7061.0,764857.0,3,29,124,165,96,104,1150,15,888.0,3.398000000000001
7616,2018-05-31,7583.0,10860.0,12226.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5732.0,6710.0,674601.0,4,30,123,164,95,105,1149,14,784.0,0.9550000000000004
8184,2018-06-01,7616.0,10045.0,11714.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5163.0,6424.0,590359.0,5,31,122,163,94,106,1148,13,754.0,1.0350000000000004
