country,country_type,eu_member,eurozone_member,year,quarter_num,quarter,price_index,quarterly_change_pct,yearly_change_pct,price_change_since_2015_pct,data_quality
Austria,Individual,Yes,Yes,2022,4,2022-Q4,166.32,-4.2,5.7,66.32,Complete
Austria,Individual,Yes,Yes,2023,1,2023-Q1,164.35,-1.2,-0.2,64.35,Complete
Austria,Individual,Yes,Yes,2023,2,2023-Q2,164.68,0.2,-2.8,64.68,Complete
Austria,Individual,Yes,Yes,2023,3,2023-Q3,164.29,-0.2,-5.4,64.29,Complete
Austria,Individual,Yes,Yes,2023,4,2023-Q4,161.4,-1.8,-3.0,61.4,Complete
Austria,Individual,Yes,Yes,2024,1,2024-Q1,159.54,-1.2,-2.9,59.54,Complete
Austria,Individual,Yes,Yes,2024,2,2024-Q2,164.34,3.0,-0.2,64.34,Complete
Austria,Individual,Yes,Yes,2024,3,2024-Q3,165.13,0.5,0.5,65.13,Complete
Austria,Individual,Yes,Yes,2024,4,2024-Q4,163.23,-1.2,1.1,63.23,Complete
Austria,Individual,Yes,Yes,2025,1,2025-Q1,165.17,1.2,3.5,65.17,Complete
Austria,Individual,Yes,Yes,2025,2,2025-Q2,166.95,1.1,1.6,66.95,Complete
Austria,Individual,Yes,Yes,2025,3,2025-Q3,169.64,1.6,2.7,69.64,Complete
Belgium,Individual,Yes,Yes,2022,4,2022-Q4,134.55,-0.3,4.6,34.55,Complete
Belgium,Individual,Yes,Yes,2023,1,2023-Q1,135.04,0.4,3.9,35.04,Complete
Belgium,Individual,Yes,Yes,2023,2,2023-Q2,134.55,-0.4,1.8,34.55,Complete
Belgium,Individual,Yes,Yes,2023,3,2023-Q3,136.31,1.3,1.0,36.31,Complete
Belgium,Individual,Yes,Yes,2023,4,2023-Q4,138.28,1.4,2.8,38.28,Complete
Belgium,Individual,Yes,Yes,2024,1,2024-Q1,139.36,0.8,3.2,39.36,Complete
Belgium,Individual,Yes,Yes,2024,2,2024-Q2,138.96,-0.3,3.3,38.96,Complete
Belgium,Individual,Yes,Yes,2024,3,2024-Q3,141.16,1.6,3.6,41.16,Complete
Belgium,Individual,Yes,Yes,2024,4,2024-Q4,142.18,0.7,2.8,42.18,Complete
Belgium,Individual,Yes,Yes,2025,1,2025-Q1,143.08,0.6,2.7,43.08,Complete
Belgium,Individual,Yes,Yes,2025,2,2025-Q2,142.94,-0.1,2.9,42.94,Complete
Belgium,Individual,Yes,Yes,2025,3,2025-Q3,146.39,2.4,3.7,46.39,Complete
Bulgaria,Individual,Yes,No,2022,4,2022-Q4,175.14,0.4,13.4,75.14,Complete
Bulgaria,Individual,Yes,No,2023,1,2023-Q1,177.93,1.6,9.5,77.93,Complete
Bulgaria,Individual,Yes,No,2023,2,2023-Q2,185.5,4.3,10.7,85.5,Complete
Bulgaria,Individual,Yes,No,2023,3,2023-Q3,190.48,2.7,9.2,90.48,Complete
Bulgaria,Individual,Yes,No,2023,4,2023-Q4,192.78,1.2,10.1,92.78,Complete
Bulgaria,Individual,Yes,No,2024,1,2024-Q1,206.42,7.1,16.0,106.42,Complete
Bulgaria,Individual,Yes,No,2024,2,2024-Q2,213.53,3.4,15.1,113.53,Complete
Bulgaria,Individual,Yes,No,2024,3,2024-Q3,221.91,3.9,16.5,121.91,Complete
Bulgaria,Individual,Yes,No,2024,4,2024-Q4,228.0,2.7,18.3,128.0,Complete
Bulgaria,Individual,Yes,No,2025,1,2025-Q1,237.55,4.2,15.1,137.55,Complete
Bulgaria,Individual,Yes,No,2025,2,2025-Q2,246.65,3.8,15.5,146.65,Complete
Bulgaria,Individual,Yes,No,2025,3,2025-Q3,256.01,3.8,15.4,156.01,Complete
Croatia,Individual,Yes,Yes,2022,4,2022-Q4,170.11,4.7,17.3,70.11,Complete
Croatia,Individual,Yes,Yes,2023,1,2023-Q1,173.56,2.0,14.0,73.56,Complete
Croatia,Individual,Yes,Yes,2023,2,2023-Q2,179.63,3.5,13.7,79.63,Complete
