From,To,Distance,Duration
cheng-du-DC,an-shan-shi,2506,1639
dong-guan-DC,an-shan-shi,2785,1683
guang-zhou-DC,an-shan-shi,2774,1687
nei-lu-CDC,an-shan-shi,666,549
nan-jing-DC,an-shan-shi,1564,1068
qing-dao-DC,an-shan-shi,1162,893
gang-kou-CDC,an-shan-shi,2632,1636
shang-hai-DC,an-shan-shi,1716,1185
shen-zhen-DC,an-shan-shi,2803,1696
tian-jin-DC,an-shan-shi,654,530
xi-an-DC,an-shan-shi,1735,1189
chang-sha-DC,an-shan-shi,2116,1376
zheng-zhou-DC,an-shan-shi,1332,948
hang-zhou-DC,an-shan-shi,1837,1217
wu-han-DC,an-shan-shi,1785,1169
da-lian-DC,an-shan-shi,296,242
ha-er-bin-DC,an-shan-shi,668,500
bei-jing-DC,an-shan-shi,671,532
ning-bo-DC,an-shan-shi,1885,1221
chong-qing-DC,an-shan-shi,2416,1585
cheng-du-DC,bao-ding-shi,1712,1209
dong-guan-DC,bao-ding-shi,2030,1298
guang-zhou-DC,bao-ding-shi,2026,1297
nei-lu-CDC,bao-ding-shi,153,152
nan-jing-DC,bao-ding-shi,980,718
qing-dao-DC,bao-ding-shi,634,505
gang-kou-CDC,bao-ding-shi,1952,1255
shang-hai-DC,bao-ding-shi,1189,900
shen-zhen-DC,bao-ding-shi,2058,1300
tian-jin-DC,bao-ding-shi,194,187
xi-an-DC,bao-ding-shi,942,753
chang-sha-DC,bao-ding-shi,1343,959
zheng-zhou-DC,bao-ding-shi,539,406
hang-zhou-DC,bao-ding-shi,1259,909
wu-han-DC,bao-ding-shi,1023,758
da-lian-DC,bao-ding-shi,976,790
ha-er-bin-DC,bao-ding-shi,1378,982
bei-jing-DC,bao-ding-shi,159,167
ning-bo-DC,bao-ding-shi,1358,934
chong-qing-DC,bao-ding-shi,1623,1164
cheng-du-DC,bao-tou-shi,1609,1163
dong-guan-DC,bao-tou-shi,2539,1643
guang-zhou-DC,bao-tou-shi,2528,1631
nei-lu-CDC,bao-tou-shi,722,604
nan-jing-DC,bao-tou-shi,1671,1133
qing-dao-DC,bao-tou-shi,1318,987
gang-kou-CDC,bao-tou-shi,2643,1661
shang-hai-DC,bao-tou-shi,1873,1288
shen-zhen-DC,bao-tou-shi,2604,1692
tian-jin-DC,bao-tou-shi,796,654
xi-an-DC,bao-tou-shi,835,651
chang-sha-DC,bao-tou-shi,1861,1295
zheng-zhou-DC,bao-tou-shi,1081,859
hang-zhou-DC,bao-tou-shi,1950,1303
wu-han-DC,bao-tou-shi,1674,1140
da-lian-DC,bao-tou-shi,1506,1078
ha-er-bin-DC,bao-tou-shi,1859,1236
bei-jing-DC,bao-tou-shi,662,491
ning-bo-DC,bao-tou-shi,2042,1325
chong-qing-DC,bao-tou-shi,1536,1125
nei-lu-CDC,bei-jing-DC,57,110
gang-kou-CDC,bei-jing-DC,2071,1332
cheng-du-DC,bei-jing-shi,1873,1301
dong-guan-DC,bei-jing-shi,2160,1347
guang-zhou-DC,bei-jing-shi,2149,1350
nei-lu-CDC,bei-jing-shi,57,110
nan-jing-DC,bei-jing-shi,1054,782
qing-dao-DC,bei-jing-shi,660,554
gang-kou-CDC,bei-jing-shi,2071,1332
shang-hai-DC,bei-jing-shi,1215,917
shen-zhen-DC,bei-jing-shi,2178,1352
tian-jin-DC,bei-jing-shi,131,163
xi-an-DC,bei-jing-shi,1102,853
chang-sha-DC,bei-jing-shi,1490,1042
zheng-zhou-DC,bei-jing-shi,699,539
hang-zhou-DC,bei-jing-shi,1336,946
wu-han-DC,bei-jing-shi,1160,847
da-lian-DC,bei-jing-shi,842,703
ha-er-bin-DC,bei-jing-shi,1244,913
bei-jing-DC,bei-jing-shi,0,0
ning-bo-DC,bei-jing-shi,1383,951
chong-qing-DC,bei-jing-shi,1783,1245
cheng-du-DC,bo-zhou-shi,1461,1047
dong-guan-DC,bo-zhou-shi,1468,990
guang-zhou-DC,bo-zhou-shi,1456,996
nei-lu-CDC,bo-zhou-shi,735,563
nan-jing-DC,bo-zhou-shi,424,311
qing-dao-DC,bo-zhou-shi,635,501
gang-kou-CDC,bo-zhou-shi,1331,947
shang-hai-DC,bo-zhou-shi,700,537
shen-zhen-DC,bo-zhou-shi,1485,1002
tian-jin-DC,bo-zhou-shi,689,574
xi-an-DC,bo-zhou-shi,738,589
chang-sha-DC,bo-zhou-shi,851,643
zheng-zhou-DC,bo-zhou-shi,280,228
hang-zhou-DC,bo-zhou-shi,703,540
wu-han-DC,bo-zhou-shi,503,414
da-lian-DC,bo-zhou-shi,1496,1103
ha-er-bin-DC,bo-zhou-shi,1898,1285
bei-jing-DC,bo-zhou-shi,757,594
ning-bo-DC,bo-zhou-shi,853,597
chong-qing-DC,bo-zhou-shi,1274,945
cheng-du-DC,cang-zhou-shi,1768,1246
dong-guan-DC,cang-zhou-shi,2037,1282
guang-zhou-DC,cang-zhou-shi,2026,1291
nei-lu-CDC,cang-zhou-shi,172,147
nan-jing-DC,cang-zhou-shi,874,645
qing-dao-DC,cang-zhou-shi,486,404
gang-kou-CDC,cang-zhou-shi,1898,1228
shang-hai-DC,cang-zhou-shi,1041,816
shen-zhen-DC,cang-zhou-shi,2054,1296
tian-jin-DC,cang-zhou-shi,120,124
xi-an-DC,cang-zhou-shi,997,789
chang-sha-DC,cang-zhou-shi,1367,967
zheng-zhou-DC,cang-zhou-shi,594,448
hang-zhou-DC,cang-zhou-shi,1162,852
wu-han-DC,cang-zhou-shi,1037,750
da-lian-DC,cang-zhou-shi,926,765
ha-er-bin-DC,cang-zhou-shi,1328,951
bei-jing-DC,cang-zhou-shi,200,168
ning-bo-DC,cang-zhou-shi,1209,854
chong-qing-DC,cang-zhou-shi,1722,1187
cheng-du-DC,chang-chun-shi,2823,1785
dong-guan-DC,chang-chun-shi,3103,1845
guang-zhou-DC,chang-chun-shi,3092,1853
nei-lu-CDC,chang-chun-shi,984,771
nan-jing-DC,chang-chun-shi,1882,1235
qing-dao-DC,chang-chun-shi,1479,1053
gang-kou-CDC,chang-chun-shi,2950,1803
shang-hai-DC,chang-chun-shi,2034,1342
shen-zhen-DC,chang-chun-shi,3120,1859
tian-jin-DC,chang-chun-shi,971,748
xi-an-DC,chang-chun-shi,2053,1353
chang-sha-DC,chang-chun-shi,2433,1533
zheng-zhou-DC,chang-chun-shi,1650,1100
hang-zhou-DC,chang-chun-shi,2155,1379
wu-han-DC,chang-chun-shi,2103,1331
da-lian-DC,chang-chun-shi,693,488
