Location,Longitude,Latitude,city_area,builtup_area,resident_pop,gdp
he-ze,115.469381,35.246531,1415,99.6,850.03,2400.96
ji-ning,116.587245,35.415393,1648,193.8,829.92,4013.12
zhu-hai,113.553986,22.224979,1701,123.64,163.41,2025.4
liao-cheng,115.980367,36.456013,1710,98.7,597.06,2663.62
de-zhou,116.307428,37.453968,1752,148.9,574.23,2750.94
zhong-shan,113.382391,22.521113,1784,138.89,320.96,3010
shen-zhen,114.085947,22.547,1997,900,1137.87,17502.8
wei-fang,119.107078,36.70925,2006,178,927.72,5170.53
ri-zhao,119.461208,35.428588,2043,100.8,288,1670.8
shan-tou,116.708463,23.37102,2064,253.6,555.21,1868
tai-an,117.129063,36.194968,2087,130.7,560.08,3158.39
dong-guan,113.746262,23.046237,2465,932.05,825.41,6275
wei-hai,122.116394,37.509691,2606,192.6,280.53,3001.57
lin-yi,118.326443,35.065282,2657,213,1031.16,3763.17
yan-tai,121.391382,37.539297,2722,324,701.41,6446.08
zi-bo,118.047649,36.814939,2989,267,464.2,4130.24
qing-dao,120.382665,36.066938,3231,566.4,909.7,9300.07
ji-nan,117.120098,36.6512,3257,393,713.2,6100.23
dong-ying,118.66471,37.434564,3294,118.7,211.06,3450.64
zhen-jiang,119.452753,32.204402,3840,137.5,317.65,3502.48
fo-shan,113.122717,23.028762,3868,158.05,743.06,8003.9
jia-xing,120.750865,30.762653,3915,115.78,458.5,3517.81
chang-zhou,119.946973,31.772752,4372,250.31,470.14,5273.15
wu-xi,120.301663,31.574729,4627,329.43,651.1,8518.26
jie-yang,116.355733,23.543778,5240,129,605.89,1890
hu-zhou,120.102398,30.867198,5820,102.9,295,2084.26
wu-hu,118.376451,31.326319,6026,165,365.45,2457.32
shang-hai,121.473658,31.230378,6341,1563,2415.27,24964.99
nan-jing,118.796623,32.059352,6587,755,823.59,9720.77
yang-zhou,119.421003,32.393159,6591,140,448.36,4016.84
tai-yuan,112.549717,37.87046,6988,340,431.87,2735.34
nan-chang,115.857963,28.683016,7402,307.3,530.29,4000.01
guang-zhou,113.264385,23.129112,7434,1237.25,1350.11,18100.4
zheng-zhou,113.665412,34.757975,7446,437.6,957,7311.52
lian-yun-gang,119.178821,34.600018,7615,206,447.37,2160.64
gui-yang,106.630153,26.647661,8034,299,462.18,2891.16
xin-xiang,113.883991,35.302616,8249,114.79,572,1975.03
shao-xing,120.582112,29.997117,8279,199.4,496.8,4465.97
bo-zhou,115.782939,33.869338,8374,56,504.69,942.61
wu-han,114.305215,30.592935,8494,566.13,1060.77,10905.6
su-qian,118.275162,33.963008,8524,84.7,485.38,2126.19
an-shan,122.995632,41.110626,9252,170.9,361.15,2337
jiang-men,113.094942,22.590431,9541,150,451.95,2240
fu-yang,115.819729,32.896969,9775,122,790.15,1267.45
ning-bo,121.6216,29.859515,9816,321.91,782.5,8003.61
huai-an,119.021265,33.597506,10030,155,487.2,2745.09
xi-an,108.939621,34.343147,10106,500.59,870.56,5810.03
xian-yang,108.705117,34.333439,10246,90.12,497.24,2155.91
nan-tong,120.864608,32.016212,10549,204.72,730,6148.4
shang-qiu,115.650497,34.437054,10704,63,727,1812.16
jin-hua,119.649506,29.089524,10942,80.2,545.4,3402.34
hui-zhou,114.412599,23.079404,11200,238.89,475.55,3140
quan-zhou,118.675847,24.87435,11245,206.5,847.5,6137.71
he-fei,117.227308,31.82057,11445,416,778.95,5660.27
tian-jin,117.201538,39.085294,11760,885.43,1546.95,16538.19
fu-zhou,119.296389,26.074268,11763,260.05,746.5,5618.08
xu-zhou,117.184811,34.261792,11765,255.2,866.9,5319.88
chang-sha,112.938888,28.228272,11820,312.3,743.18,8510.13
zhou-kou,114.649653,33.620357,11959,68.13,881,2089.7
han-dan,114.490686,36.612273,12000,127.03,943.3,3145.43
wen-zhou,120.672111,28.000575,12065,238.4,911.7,4618.08
cheng-du,104.066143,30.573095,12119,615.71,1465.75,10801.16
xing-tai,114.508851,37.0682,12486,90.12,729.44,1764.73
zhan-jiang,110.364977,21.274898,12490,108.95,724.14,2380
zhang-zhou,117.661801,24.510897,12874,65.65,498,2767.35
shen-yang,123.465009,41.677287,12948,465,828.9,7272.31
da-lian,121.618622,38.91459,13237,395.5,698.55,7731.64
lan-zhou,103.834249,36.06081,13300,305.3,369.31,2095.99
chu-zhou,118.316264,32.303627,13398,84,401.71,1305.7
cang-zhou,116.857461,38.310582,13419,41,744.3,3320.63
ning-de,119.527082,26.659241,13452,29.81,286,1487.36
tang-shan,118.175393,39.635113,13472,249,780.12,6103.06
yun-cheng,111.003957,35.022778,14106,83,527.53,1174.01
lu-an,116.507676,31.752889,14990,74,474.12,1016.49
luo-yang,112.434468,34.663041,15200,209.37,674,3469.03
heng-yang,112.607693,26.900358,15310,113.53,733.75,2601.57
shi-jia-zhuang,114.514793,38.042225,15848,278.05,1070.16,5440.59
bei-jing,116.407387,39.904179,16410,1401.01,2170.5,22968.6
hang-zhou,120.209947,30.245853,16596,506.09,901.8,10050.21
yan-cheng,120.139998,33.377631,16931,142.37,722.85,4212.5
hu-he-hao-te,111.748426,40.842723,17200,260,305.96,3090.52
xin-yang,114.075031,32.123274,18000,89,640,1879.67
jiu-jiang,115.992811,29.712034,18823,105.63,482.58,1902.68
xiang-yang,112.144146,32.042426,19724,164.04,561.4,3382.12
mian-yang,104.741722,31.46402,20248,125,477.19,1700.33
lin-fen,111.517973,36.08415,20275,72.4,443.57,1161.11
chang-chun,125.323628,43.817001,20594,506.33,753.84,5530.03
kun-ming,102.833722,24.881539,21013,456.12,860,5773.79
nan-ning,108.36637,22.817746,22099,287,695,3410.08
bao-ding,115.464804,38.874062,22100,185.7,1155.24,3300.56
shang-rao,117.971185,28.44442,22791,77.36,671.51,1650.81
nan-yang,112.540918,32.999082,26509,149.45,1002,2866.82
bao-tou,109.840405,40.658168,27700,195.79,282.93,3721.93
ji-lin,126.549728,43.838146,27711,185,426.24,2394.19
zhang-jia-kou,114.884091,40.811901,36860,86,442.17,1363.54
gan-zhou,114.940278,25.85097,39380,141.4,854.71,1973.87
cheng-de,117.939152,40.976204,39519,116.97,353.01,1358.73
chong-qing,106.550464,29.563761,82137,1329.45,3016.55,15719.72
nei-lu-CDC-suo-zai-cheng-shi,116.704441,39.523927,6419,137,546.4,2881.07
gang-kou-CDC-suo-zai-cheng-shi,118.110221,24.490474,1912,405.56,532.7,7066.4
jin-kou-xu-ni,124,24.490474,,,,
da-qing,125.11272,46.590734,21205,316,278.16,2568.3
ha-er-bin,126.535319,45.803131,53068,445.75,492.61,5490.1
shang-dou,113.665412,41.677287,,,,
