Name,Capacity,Processing_fee,Opening_fee
cheng-du-DC,2000,0.0067,25
dong-guan-DC,1300,0.007,25
guang-zhou-DC,2500,0.0075,25
nei-lu-CDC,10000,0.0065,0
nan-jing-DC,2500,0.007,25
qing-dao-DC,1000,0.007,25
gang-kou-CDC,8000,0.0075,0
shang-hai-DC,3500,0.0072,25
shen-zhen-DC,1800,0.0075,25
tian-jin-DC,3000,0.0068,25
xi-an-DC,1200,0.0065,25
chang-sha-DC,1200,0.00635,25
zheng-zhou-DC,1450,0.007,25
hang-zhou-DC,1500,0.0072,25
wu-han-DC,800,0.0069,25
da-lian-DC,1140,0.007,25
ha-er-bin-DC,1050,0.0075,25
bei-jing-DC,1200,0.0073,25
ning-bo-DC,2500,0.0075,25
chong-qing-DC,2200,0.0068,25
