formatted_log_date,scene_name,推荐vt,推荐人均vt
2025-12-28,大盘,2163983.833333,23.885822
2025-12-28,FM-金刚位,45227.666667,14.785115
2025-12-28,1.x-Banner,0,0
2025-12-28,视频推荐,1703072.9,27.717481
2025-12-28,FM-一键起播,155878.633333,4.219436
2025-12-28,FM-精选推荐,259804.633333,16.912162
2025-12-29,FM-金刚位,49036.216667,18.338151
2025-12-29,视频推荐,1129239.216667,25.118765
2025-12-29,FM-一键起播,213948.516667,7.700145
2025-12-29,大盘,1548462.333333,22.963997
2025-12-29,FM-精选推荐,156238.166667,16.729646
2025-12-29,1.x-Banner,0.216667,0.216667
2025-12-30,大盘,1610701.266667,23.018568
2025-12-30,FM-精选推荐,164900.316667,16.892063
2025-12-30,FM-一键起播,203644.533333,7.229641
2025-12-30,视频推荐,1192486.85,25.294562
2025-12-30,1.x-Banner,0,0
2025-12-30,FM-金刚位,49669.566667,17.957182
2025-12-31,视频推荐,1968917.916667,28.827073
2025-12-31,FM-金刚位,68249.083333,17.773199
2025-12-31,FM-精选推荐,276912.383333,17.811307
2025-12-31,FM-一键起播,254792.15,6.153657
2025-12-31,大盘,2568872.483333,25.516489
2025-12-31,1.x-Banner,0.95,0.95
2026-01-01,FM-一键起播,182286.2,4.065803
2026-01-01,FM-金刚位,58283.9,15.480452
2026-01-01,1.x-Banner,0.116667,0.116667
2026-01-01,视频推荐,2187977.133333,31.134945
2026-01-01,FM-精选推荐,345893.733333,18.048199
2026-01-01,大盘,2774441.083333,26.446421
2026-01-02,1.x-Banner,0,0
2026-01-02,视频推荐,1996990.8,30.373408
2026-01-02,FM-一键起播,171757.333333,4.154548
2026-01-02,FM-精选推荐,308270.5,18.030678
2026-01-02,大盘,2523980.55,25.835838
2026-01-02,FM-金刚位,46961.916667,14.166491
2026-01-03,FM-精选推荐,276814.65,18.137508
2026-01-03,大盘,2371519.5,25.285959
2026-01-03,视频推荐,1867822.266667,29.651267
2026-01-03,FM-金刚位,51345.783333,16.752295
2026-01-03,FM-一键起播,175536.8,4.475924
2026-01-04,FM-一键起播,218936.683333,7.323767
2026-01-04,FM-精选推荐,175475.066667,17.596778
2026-01-04,FM-金刚位,47983.616667,17.161522
2026-01-04,大盘,1643058.716667,23.073427
2026-01-04,视频推荐,1200663.35,25.506412
2026-01-05,FM-金刚位,49423.033333,18.29805
2026-01-05,视频推荐,1191599.5,25.64841
2026-01-05,1.x-Banner,0.5,0.166667
2026-01-05,FM-精选推荐,161770.8,16.579973
2026-01-05,FM-一键起播,222551.9,7.822562
2026-01-05,大盘,1625345.733333,23.324184
2026-01-06,大盘,1660906.783333,23.44622
2026-01-06,FM-一键起播,229332.166667,7.917015
2026-01-06,1.x-Banner,0,0
2026-01-06,FM-精选推荐,174476.266667,17.038698
2026-01-06,视频推荐,1208488.366667,25.577015
2026-01-06,FM-金刚位,48609.983333,17.25594
2026-01-07,FM-一键起播,225334.616667,7.650131
2026-01-07,视频推荐,1224092.733333,25.38137
2026-01-07,大盘,1675601.183333,23.212595
2026-01-07,1.x-Banner,0.416667,0.208333
2026-01-07,FM-金刚位,50428.716667,17.825633
2026-01-07,FM-精选推荐,175744.7,16.921308
2026-01-08,视频推荐,1228679.05,25.383309
2026-01-08,FM-金刚位,51492.5,18.18238
2026-01-08,FM-一键起播,216512.116667,7.30596
2026-01-08,1.x-Banner,21.283333,21.283333
2026-01-08,大盘,1671625.883333,23.094497
2026-01-08,FM-精选推荐,174920.933333,16.853351
2026-01-09,FM-一键起播,228268.25,6.45482
2026-01-09,1.x-Banner,0.1,0.1
2026-01-09,FM-精选推荐,236357.383333,17.443349
2026-01-09,视频推荐,1605628.35,27.093725
2026-01-09,FM-金刚位,59084,18.423449
2026-01-09,大盘,2129338.083333,24.311953
2026-01-10,视频推荐,1910375.016667,28.889486
2026-01-10,1.x-Banner,3.3,1.1
2026-01-10,FM-金刚位,48899.966667,14.782336
2026-01-10,FM-一键起播,183937.2,4.557639
2026-01-10,FM-精选推荐,293425.2,17.312243
2026-01-10,大盘,2436640.683333,24.991699
2026-01-11,大盘,2222789.583333,24.149469
2026-01-11,FM-金刚位,48353.3,16.021637
2026-01-11,1.x-Banner,0,0
2026-01-11,FM-一键起播,159470.6,4.192513
2026-01-11,FM-精选推荐,271681.116667,17.258361
2026-01-11,视频推荐,1743284.566667,27.993329
2026-01-12,视频推荐,1209807.3,25.851688
2026-01-12,1.x-Banner,0.233333,0.233333
2026-01-12,FM-精选推荐,166679,16.807401
2026-01-12,FM-一键起播,222672.85,7.586034
2026-01-12,FM-金刚位,51603.2,19.576328
2026-01-12,大盘,1650762.583333,23.43668
2026-01-13,视频推荐,1218173.333333,25.594565
2026-01-13,FM-一键起播,217037.65,7.571257
2026-01-13,FM-金刚位,54427.883333,19.620722
2026-01-13,大盘,1660650.766667,23.40692
2026-01-13,FM-精选推荐,171011.9,16.820291
2026-01-14,FM-金刚位,48086.866667,18.030321
2026-01-14,视频推荐,1231532.716667,25.529285
2026-01-14,FM-一键起播,226462.416667,7.767
2026-01-14,FM-精选推荐,170316.983333,16.621156
2026-01-14,大盘,1676398.983333,23.241356
2026-01-15,FM-精选推荐,174117.433333,16.732408
2026-01-15,FM-一键起播,226304.866667,7.676556
2026-01-15,FM-金刚位,47610.3,17.885162
2026-01-15,视频推荐,1233629.416667,25.681352
2026-01-15,大盘,1681662.016667,23.347986
2026-01-16,FM-精选推荐,239839.066667,17.408657
2026-01-16,FM-金刚位,57490.033333,18.216107
2026-01-16,视频推荐,1657913.766667,27.60613
2026-01-16,FM-一键起播,238668.75,6.702296
2026-01-16,1.x-Banner,0,0
2026-01-16,大盘,2193911.616667,24.788281
2026-01-17,视频推荐,1915887.516667,29.017607
2026-01-17,FM-一键起播,182464.333333,4.445687
2026-01-17,FM-金刚位,50663.116667,15.665775
2026-01-17,FM-精选推荐,309785.616667,17.700012
2026-01-17,大盘,2458800.583333,25.082891
2026-01-18,FM-金刚位,45162.083333,14.969202
2026-01-18,FM-一键起播,171054.366667,4.547383
2026-01-18,大盘,2203914.033333,24.272448
2026-01-18,视频推荐,1720638.783333,27.954684
2026-01-18,FM-精选推荐,267058.8,17.220712
2026-01-19,FM-一键起播,216169.4,7.260585
2026-01-19,FM-精选推荐,187418.433333,17.856177
2026-01-19,1.x-Banner,0.283333,0.141667
2026-01-19,视频推荐,1286570.533333,26.627148
2026-01-19,FM-金刚位,45451.1,18.187715
2026-01-19,大盘,1735609.75,24.032592
2026-01-20,FM-金刚位,41097.6,16.321525
2026-01-20,1.x-Banner,0.016667,0.016667
2026-01-20,FM-一键起播,216241.15,7.398678
2026-01-20,FM-精选推荐,182143.083333,16.926223
2026-01-20,视频推荐,1296001.55,26.601017
2026-01-20,大盘,1735483.4,24.010894
2026-01-21,大盘,1815723.15,23.93203
2026-01-21,视频推荐,1353138.566667,26.521208
2026-01-21,FM-一键起播,219570.833333,7.191499
2026-01-21,FM-金刚位,44494.816667,16.695991
2026-01-21,FM-精选推荐,198518.933333,17.423112
2026-01-22,视频推荐,1372495.883333,26.681491
2026-01-22,大盘,1850937.266667,24.12399
2026-01-22,FM-一键起播,232290.266667,7.450693
2026-01-22,FM-金刚位,49004.5,17.558044
2026-01-22,FM-精选推荐,197146.616667,17.104513
2026-01-23,大盘,2312404.566667,25.225039
2026-01-23,FM-金刚位,54445.15,17.444777
2026-01-23,FM-精选推荐,251700.25,17.298986
2026-01-23,FM-一键起播,248210.166667,6.700596
2026-01-23,视频推荐,1758049,28.481499
2026-01-24,FM-精选推荐,304931.15,17.849977
2026-01-24,FM-一键起播,194207.9,4.737702
2026-01-24,FM-金刚位,48333.483333,15.047784
2026-01-24,视频推荐,1826193.8,29.065634
2026-01-24,大盘,2373666.35,24.930851
2026-01-24,1.x-Banner,0.016667,0.016667
2026-01-25,视频推荐,1626839.766667,28.000684
2026-01-25,FM-金刚位,42820.816667,14.982791
2026-01-25,FM-精选推荐,266451.333333,17.145057
2026-01-25,大盘,2108936.666667,23.942064
2026-01-25,FM-一键起播,172824.75,4.585914
2026-01-26,FM-一键起播,232694.55,7.449325
2026-01-26,大盘,1794327.35,24.177747
2026-01-26,FM-精选推荐,201540.516667,17.648031
2026-01-26,FM-金刚位,44277.583333,16.88695
2026-01-26,视频推荐,1315814.7,26.941885
