formatted_log_date,DAU,次留率,7留率,30留率
2025-12-28,14,0.071429,0,
2025-12-29,64,0.171875,0.03125,
2025-12-30,57,0.157895,0,
2025-12-31,59,0.118644,0.084746,
2026-01-01,29,0.413793,0.137931,
2026-01-02,46,0.369565,0.130435,
2026-01-03,19,0.210526,0.210526,
2026-01-04,77,0.155844,0.064935,
2026-01-05,86,0.22093,0.104651,
2026-01-06,122,0.213115,0.04918,
2026-01-07,120,0.2,0.058333,
2026-01-08,122,0.221311,0.065574,
2026-01-09,327,0.198777,0.107034,
2026-01-10,664,0.228916,0.171687,
2026-01-11,640,0.1875,0.126563,
2026-01-12,550,0.250909,0.123636,
2026-01-13,518,0.287645,0.131274,
2026-01-14,508,0.275591,0.161417,
2026-01-15,392,0.260204,0.117347,
2026-01-16,131,0.21374,0.053435,
2026-01-17,105,0.209524,0.133333,
2026-01-18,98,0.142857,0.122449,
2026-01-19,109,0.165138,0.027523,
2026-01-20,100,0.22,,
2026-01-21,147,0.156463,,
2026-01-22,174,0.247126,,
2026-01-23,196,0.214286,,
2026-01-24,192,0.244792,,
2026-01-25,170,0.123529,,
2026-01-26,160,,,
