formatted_log_date,DAU,次留率,7留率,30留率
2025-12-28,9547,0.094689,0.056248,
2025-12-29,5624,0.163407,0.086238,
2025-12-30,6545,0.190374,0.099465,
2025-12-31,11332,0.197141,0.065567,
2026-01-01,13349,0.188853,0.045397,
2026-01-02,10367,0.155686,0.065689,
2026-01-03,8407,0.087665,0.097181,
2026-01-04,5491,0.152249,0.07576,
2026-01-05,5279,0.148134,0.073878,
2026-01-06,5424,0.138827,0.076327,
2026-01-07,5493,0.133078,0.074458,
2026-01-08,5725,0.142009,0.067598,
2026-01-09,7052,0.144498,0.090754,
2026-01-10,9763,0.159787,0.115231,
2026-01-11,8268,0.085389,0.112724,
2026-01-12,5217,0.143952,0.072839,
2026-01-13,5154,0.144354,0.071789,
2026-01-14,5147,0.141442,0.078104,
2026-01-15,5192,0.147342,0.07396,
2026-01-16,6922,0.145334,0.089281,
2026-01-17,9688,0.148431,0.10931,
2026-01-18,7787,0.091434,0.10158,
2026-01-19,5143,0.135718,0.070192,
2026-01-20,5305,0.133459,,
2026-01-21,5596,0.156719,,
2026-01-22,5605,0.157003,,
2026-01-23,6985,0.140873,,
2026-01-24,9527,0.146111,,
2026-01-25,7948,0.087821,,
2026-01-26,5511,,,
