Employee_ID,MBTI,Dimension_EI,Dimension_SN,Dimension_TF,Dimension_JP,Department,Role,Seniority,Tenure_Years,AI_Tool_Usage_Daily_Hours,AI_Tool_Preference,Tool_Adoption_Score,Meeting_Hours_Weekly,Focus_Time_Hours_Weekly,Collaboration_Intensity,Context_Switching_Index,Project_Completion_Rate,Process_Adherence_Score,Innovation_Output_Score,Stakeholder_Satisfaction_Score,Weekly_Report_Submission_Offset,Overtime_Hours_Weekly,Learning_Hours_Monthly,Rework_Rate_Percent
EMP1000,ISTP,Introvert,Sensing,Thinking,Perceiving,Product,PM,Lead,8.2,4.1,Search/Research,52.2,20.4,17.1,56.2,6.0,99.7,53.6,51.8,64.8,1.7,7.2,6.3,6.4
EMP1001,INFP,Introvert,Intuitive,Feeling,Perceiving,Sales,Account Manager,Mid,4.7,2.9,LLM Chatbot,70.7,17.4,14.4,68.0,6.3,33.9,34.3,47.8,63.9,-1.7,0.5,8.2,8.2
EMP1002,ESTJ,Extravert,Sensing,Thinking,Judging,R&D,Data,Mid,3.9,4.3,LLM Chatbot,47.8,14.1,18.4,64.0,2.2,93.8,83.0,35.7,68.7,8.0,5.6,8.2,5.6
EMP1003,INTJ,Introvert,Intuitive,Thinking,Judging,Product,Design,Junior,1.9,3.7,Visualization,80.4,10.9,23.2,36.6,2.2,85.8,59.5,71.3,50.7,3.1,6.5,10.2,1.0
EMP1004,INTP,Introvert,Intuitive,Thinking,Perceiving,HR,Recruiter,Mid,3.9,3.0,LLM Chatbot,72.3,14.1,13.2,73.8,6.9,89.1,59.9,95.0,61.8,8.7,1.0,9.0,11.1
EMP1005,INTJ,Introvert,Intuitive,Thinking,Judging,R&D,Frontend,Senior,7.7,3.6,Automation Script,67.4,2.3,30.3,38.3,3.2,79.3,62.6,77.4,69.6,3.9,3.4,7.7,7.3
EMP1006,INFP,Introvert,Intuitive,Feeling,Perceiving,R&D,Data,Senior,5.8,5.5,LLM Chatbot,83.9,7.6,23.7,66.3,5.3,98.2,37.9,68.1,73.0,3.8,10.2,11.5,6.5
EMP1007,ENTP,Extravert,Intuitive,Thinking,Perceiving,HR,L&D,Junior,0.5,2.5,Automation Script,88.6,19.5,13.2,72.9,7.3,75.9,58.7,67.8,63.3,5.0,8.3,9.6,12.7
EMP1008,ESFP,Extravert,Sensing,Feeling,Perceiving,Operations,Supply Ops,Junior,1.7,1.9,Automation Script,55.0,7.5,25.0,70.1,8.7,66.7,62.8,60.6,72.3,-0.8,5.8,9.0,6.3
EMP1009,ISFJ,Introvert,Sensing,Feeling,Judging,Product,Design,Junior,0.5,3.2,Automation Script,55.5,12.0,25.4,61.7,0.7,91.1,79.1,33.3,79.3,4.8,0.3,8.9,6.8
EMP1010,INFJ,Introvert,Intuitive,Feeling,Judging,Marketing,Growth,Senior,7.9,2.4,Code Assistant,66.3,12.4,19.9,74.2,3.7,95.2,83.6,68.4,71.3,8.0,2.9,8.7,5.2
EMP1011,ESTJ,Extravert,Sensing,Thinking,Judging,HR,L&D,Lead,13.8,1.9,Visualization,28.6,19.4,11.1,73.8,2.2,80.4,85.4,23.5,64.9,7.1,2.8,4.2,5.4
EMP1012,ISTP,Introvert,Sensing,Thinking,Perceiving,HR,Recruiter,Mid,2.3,1.2,Search/Research,49.5,14.2,18.8,41.7,3.5,82.0,57.6,54.9,76.4,0.1,9.1,8.3,4.9
EMP1013,ESTP,Extravert,Sensing,Thinking,Perceiving,R&D,Backend,Junior,1.2,4.2,Automation Script,45.0,11.9,18.5,87.7,6.7,73.9,64.2,53.8,68.3,1.8,7.1,8.1,8.4
EMP1014,ISTP,Introvert,Sensing,Thinking,Perceiving,R&D,Backend,Mid,2.8,4.2,Automation Script,69.1,8.0,23.9,54.1,4.7,73.6,48.6,58.7,56.4,-1.1,3.4,7.3,9.0
EMP1015,ESFP,Extravert,Sensing,Feeling,Perceiving,Product,PM,Senior,5.2,3.5,Code Assistant,69.2,15.4,20.9,71.2,8.5,85.5,45.9,53.3,72.1,-6.0,0.8,6.6,10.9
EMP1016,ENFJ,Extravert,Intuitive,Feeling,Judging,Marketing,Brand,Junior,1.2,2.9,Visualization,72.8,8.8,20.6,84.2,6.0,85.5,55.0,65.0,83.3,5.5,5.1,5.0,1.5
EMP1017,ESFP,Extravert,Sensing,Feeling,Perceiving,HR,Recruiter,Lead,9.1,1.6,LLM Chatbot,44.0,24.0,6.0,71.5,5.2,90.8,84.0,47.3,72.2,-1.2,9.5,4.7,6.7
EMP1018,INFJ,Introvert,Intuitive,Feeling,Judging,HR,HRBP,Senior,7.9,2.8,Code Assistant,36.8,21.3,15.9,62.9,0.0,93.8,77.9,59.7,81.1,5.1,2.5,5.9,8.9
EMP1019,INTJ,Introvert,Intuitive,Thinking,Judging,Sales,AE,Mid,4.2,2.8,Search/Research,72.0,22.3,18.6,59.0,3.4,84.9,59.3,65.3,75.8,4.2,3.6,9.5,7.7
EMP1020,ENTJ,Extravert,Intuitive,Thinking,Judging,Marketing,Brand,Mid,3.3,3.3,Search/Research,57.2,12.8,10.1,89.8,5.0,95.7,67.5,59.0,69.3,2.8,0.5,8.5,5.7
EMP1021,ISTP,Introvert,Sensing,Thinking,Perceiving,Marketing,Content,Senior,5.3,2.7,LLM Chatbot,54.5,11.6,18.1,69.4,7.1,79.2,54.0,60.6,71.3,-1.0,9.7,7.2,7.6
EMP1022,ENFP,Extravert,Intuitive,Feeling,Perceiving,HR,Recruiter,Senior,6.4,1.7,LLM Chatbot,64.9,16.8,12.7,88.7,10.0,57.5,53.1,81.5,70.5,0.0,4.6,4.1,12.9
EMP1023,INFP,Introvert,Intuitive,Feeling,Perceiving,R&D,Backend,Junior,1.7,3.6,Code Assistant,68.9,8.2,20.5,70.9,3.9,71.1,54.3,83.0,72.0,0.9,3.8,14.6,13.4
EMP1024,ISTJ,Introvert,Sensing,Thinking,Judging,R&D,Frontend,Lead,11.0,4.0,Automation Script,45.4,15.9,17.3,48.0,0.4,77.9,85.0,46.8,64.2,7.6,11.1,6.3,4.8
EMP1025,INFJ,Introvert,Intuitive,Feeling,Judging,Product,PM,Mid,4.6,3.0,LLM Chatbot,72.5,9.3,27.2,78.8,3.2,96.5,67.5,69.1,79.9,7.1,1.5,14.4,6.6
EMP1026,ESFJ,Extravert,Sensing,Feeling,Judging,Operations,Finance Ops,Mid,3.5,1.5,LLM Chatbot,39.6,19.1,10.5,72.9,2.3,80.2,95.0,27.0,82.5,2.5,1.7,8.8,3.8
