開倉日期,平倉日期,金屬名稱,方向,開倉部位(金額),獲利或虧損,開倉價格,平倉價格,備註
2001-10-08,2001-10-22,Silver,多 (Long),77844.0,-8003.47,4.650000095,4.1850000855000005,日內停損
2002-01-10,2002-09-09,Silver,多 (Long),70086.0,-3036.44,4.690000057,4.53000021,策略調倉
2001-10-08,2002-12-09,Gold,多 (Long),122133.0,12275.48,292.0,325.7000122,策略調倉
2002-12-09,2003-01-09,Copper,多 (Long),99897.0,110.09,0.740499973,0.74849999,策略調倉
2003-01-09,2003-04-10,Gold,多 (Long),104951.0,-6828.05,353.2999878,327.0,策略調倉
2003-05-12,2003-08-11,Gold,多 (Long),101563.0,747.52,351.6000061,359.6000061,策略調倉
2002-09-09,2004-04-02,Platinum,多 (Long),71748.0,53758.38,544.5,913.0,策略調倉
2004-04-02,2004-04-14,Silver,多 (Long),102727.0,-9865.2,8.145999908,7.331399917200001,日內停損
2004-07-20,2004-09-17,Silver,多 (Long),87609.0,-4831.0,6.635000229,6.258999825,策略調倉
2004-09-17,2004-10-18,Platinum,多 (Long),115062.0,776.0,840.5,843.0,策略調倉
2004-10-18,2005-01-20,Silver,多 (Long),116170.0,-9910.85,6.967999935,6.543000221,策略調倉
2005-01-20,2005-02-18,Platinum,多 (Long),141371.0,-1353.89,866.4000244,860.0999756,策略調倉
2005-02-18,2005-06-23,Silver,多 (Long),135198.0,-2048.39,7.413000107,7.269999981,策略調倉
2005-06-23,2005-07-26,Gold,多 (Long),330484.0,-9589.41,438.2999878,423.3999939,策略調倉
2005-07-26,2005-08-24,Platinum,多 (Long),217521.0,-213.42,895.5,898.0,策略調倉
2005-08-24,2005-09-23,Gold,多 (Long),355685.0,20983.62,439.7000122,467.2000122,策略調倉
2005-09-23,2006-05-17,Silver,多 (Long),209473.0,169449.85,7.230000019,13.44999981,策略調倉
2006-05-17,2006-05-19,Palladium,多 (Long),158443.0,-17817.78,372.3999939,335.15999451000005,日內停損
2006-06-16,2007-09-18,Palladium,多 (Long),92763.0,10408.77,302.0499878,331.7000122,策略調倉
2007-09-18,2008-10-15,Silver,多 (Long),333281.0,73630.09,13.02000046,11.718000414,日內停損
2003-08-11,2009-01-09,Copper,多 (Long),100475.0,68479.73,0.799000025,1.460000038,策略調倉
2009-10-09,2010-02-23,Silver,多 (Long),192213.0,-21155.43,17.66500092,15.898500828000001,日內停損
2010-03-04,2010-04-05,Platinum,多 (Long),349731.0,18328.21,1581.699951,1703.800049,策略調倉
2010-04-05,2010-08-03,Silver,多 (Long),267201.0,5017.23,18.10400009,18.40699959,策略調倉
2009-01-09,2010-10-01,Gold,多 (Long),136449.0,118834.52,855.9000244,1309.0,策略調倉
2010-10-01,2010-11-01,Copper,多 (Long),336419.0,7101.15,3.67750001,3.769500017,策略調倉
2010-11-01,2011-09-30,Silver,多 (Long),450187.0,134306.25,24.86499977,29.89999962,策略調倉
2010-08-03,2011-09-30,Palladium,多 (Long),255545.0,10413.48,506.4500122,614.0499878,策略調倉
2011-10-31,2011-11-30,Silver,多 (Long),148754.0,-14526.83,34.27000046,31.89500046,策略調倉
