loc,latitude,longitude,start_date,end_date,num_records
27.724963_-80.445282,27.724963,-80.445282,2025-10-01 00:00:00+00:00,2025-10-22 00:00:00+00:00,8
29.3156056_-82.0797694,29.3156056,-82.0797694,2022-11-08 00:00:00+00:00,2022-12-22 00:00:00+00:00,24
37.9476778_-84.3673104,37.9476778,-84.3673104,2023-05-24 00:00:00+00:00,2023-09-20 00:00:00+00:00,72
37.9477361_-84.3678361,37.9477361,-84.3678361,2021-05-20 00:00:00+00:00,2021-08-25 00:00:00+00:00,32
37.9484137_-84.3672857,37.9484137,-84.3672857,2023-08-01 00:00:00+00:00,2023-10-20 00:00:00+00:00,24
38.9003394_-92.1908801,38.9003394,-92.1908801,2024-09-05 00:00:00+00:00,2024-10-10 00:00:00+00:00,8
38.9005212_-92.1906246,38.9005212,-92.1906246,2025-06-26 00:00:00+00:00,2025-07-03 00:00:00+00:00,4
38.9009254_-92.1910397,38.9009254,-92.1910397,2025-06-26 00:00:00+00:00,2025-10-06 00:00:00+00:00,52
38.9012259_-92.1907119,38.9012259,-92.1907119,2024-06-12 00:00:00+00:00,2024-10-10 00:00:00+00:00,48
38.9092269_-92.2827852,38.9092269,-92.2827852,2021-04-28 00:00:00+00:00,2021-09-22 00:00:00+00:00,84
39.00719_-76.94084,39.00719,-76.94084,2023-06-19 00:00:00+00:00,2024-09-10 00:00:00+00:00,68
39.3887703_-87.3777301,39.3887703,-87.3777301,2024-06-14 00:00:00+00:00,2024-06-21 00:00:00+00:00,4
39.3887776_-87.3777925,39.3887776,-87.3777925,2025-05-13 00:00:00+00:00,2025-07-25 00:00:00+00:00,24
39.388784_-87.383481,39.388784,-87.383481,2023-08-21 00:00:00+00:00,2023-09-11 00:00:00+00:00,8
39.388793_-87.377599,39.388793,-87.377599,2021-05-12 00:00:00+00:00,2021-07-07 00:00:00+00:00,30
39.3889129_-87.3833948,39.3889129,-87.3833948,2025-08-28 00:00:00+00:00,2025-10-22 00:00:00+00:00,24
40.1768_-75.5477,40.1768,-75.5477,2023-05-18 00:00:00+00:00,2024-05-29 00:00:00+00:00,132
40.2563167_-75.9662333,40.2563167,-75.9662333,2022-05-17 00:00:00+00:00,2022-08-23 00:00:00+00:00,48
40.30808_-75.6508,40.30808,-75.6508,2021-05-12 00:00:00+00:00,2021-08-25 00:00:00+00:00,100
40.30808_-75.65084,40.30808,-75.65084,2021-06-17 00:00:00+00:00,2024-08-02 00:00:00+00:00,248
40.4402054_-86.9325154,40.4402054,-86.9325154,2024-08-27 00:00:00+00:00,2024-10-29 00:00:00+00:00,20
40.440343_-86.9306128,40.440343,-86.9306128,2024-06-10 00:00:00+00:00,2024-07-02 00:00:00+00:00,12
40.440344_-86.9312789,40.440344,-86.9312789,2024-05-14 00:00:00+00:00,2024-09-24 00:00:00+00:00,40
40.4404303_-86.9312858,40.4404303,-86.9312858,2023-06-30 00:00:00+00:00,2023-09-11 00:00:00+00:00,24
40.4407794_-86.9332701,40.4407794,-86.9332701,2023-07-06 00:00:00+00:00,2023-09-25 00:00:00+00:00,24
40.46924_-74.34246,40.46924,-74.34246,2024-09-20 00:00:00+00:00,2025-06-06 00:00:00+00:00,24
40.46924_-74.42455,40.46924,-74.42455,2021-05-11 00:00:00+00:00,2023-09-13 00:00:00+00:00,224
40.5529_-75.5142,40.5529,-75.5142,2025-06-13 00:00:00+00:00,2025-10-04 00:00:00+00:00,60
40.81174_-77.86519,40.81174,-77.86519,2021-05-24 00:00:00+00:00,2021-08-30 00:00:00+00:00,28
40.81174_-77.8652,40.81174,-77.8652,2022-05-31 00:00:00+00:00,2022-09-19 00:00:00+00:00,80
41.3776_-71.8273,41.3776,-71.8273,2021-06-09 00:00:00+00:00,2021-09-17 00:00:00+00:00,21
41.7621_-72.742,41.7621,-72.742,2021-06-02 00:00:00+00:00,2021-07-23 00:00:00+00:00,15
41.79543_-72.2284,41.79543,-72.2284,2025-06-19 00:00:00+00:00,2025-09-09 00:00:00+00:00,84
41.79543_-72.22842,41.79543,-72.22842,2021-06-10 00:00:00+00:00,2024-08-28 00:00:00+00:00,196
43.024482_-89.5345703,43.024482,-89.5345703,2024-05-29 00:00:00+00:00,2024-08-14 00:00:00+00:00,28
43.0244877_-89.5345866,43.0244877,-89.5345866,2024-09-05 00:00:00+00:00,2024-10-23 00:00:00+00:00,16
43.0244911_-89.5345894,43.0244911,-89.5345894,2025-06-04 00:00:00+00:00,2025-08-20 00:00:00+00:00,28
43.024661_-89.5350327,43.024661,-89.5350327,2025-06-18 00:00:00+00:00,2025-08-20 00:00:00+00:00,48
43.0247022_-89.5347737,43.0247022,-89.5347737,2023-06-06 00:00:00+00:00,2023-08-28 00:00:00+00:00,28
43.0247339_-89.5349717,43.0247339,-89.5349717,2021-05-19 00:00:00+00:00,2021-08-25 00:00:00+00:00,64
43.0247771_-89.5350844,43.0247771,-89.5350844,2024-05-29 00:00:00+00:00,2024-08-14 00:00:00+00:00,28
43.0248625_-89.5354539,43.0248625,-89.5354539,2023-06-21 00:00:00+00:00,2023-08-30 00:00:00+00:00,24
43.1116157_-88.322087,43.1116157,-88.322087,2021-05-19 00:00:00+00:00,2021-08-13 00:00:00+00:00,28
43.315499_-73.55732,43.315499,-73.55732,2022-08-03 00:00:00+00:00,2022-10-09 00:00:00+00:00,20
43.3329_-73.5359,43.3329,-73.5359,2021-06-17 00:00:00+00:00,2021-09-24 00:00:00+00:00,45
43.3407417_-73.6468532,43.3407417,-73.6468532,2025-08-08 00:00:00+00:00,2025-10-11 00:00:00+00:00,28
43.350888_-73.42911,43.350888,-73.42911,2024-05-25 00:00:00+00:00,2024-08-24 00:00:00+00:00,40
43.350894_-73.4291,43.350894,-73.4291,2023-06-11 00:00:00+00:00,2023-09-10 00:00:00+00:00,55
43.478941_-73.370538,43.478941,-73.370538,2025-06-14 00:00:00+00:00,2025-09-05 00:00:00+00:00,40
43.4789446_-73.3697296,43.4789446,-73.3697296,2025-06-12 00:00:00+00:00,2025-09-26 00:00:00+00:00,45
43.478993_-73.3698911,43.478993,-73.3698911,2025-05-31 00:00:00+00:00,2025-09-05 00:00:00+00:00,36
43.479011_-73.370119,43.479011,-73.370119,2025-06-14 00:00:00+00:00,2025-09-07 00:00:00+00:00,24
43.491207_-73.19883,43.491207,-73.19883,2024-09-21 00:00:00+00:00,2024-11-06 00:00:00+00:00,20
