token_symbol,contract_address,network,holders_count,total_supply,market_cap_usd,source_url
GOOGLon,"0x091fc7778e6932d4009b087b191d1ee3bac5729a, 0xbA47214eDd2bb43099611b208f75E4b42FDcfEDc","BSC, Ethereum",1209,119076.626845,47035833.0,"https://bscscan.com/token/0x091fc7778e6932d4009b087b191d1ee3bac5729a, https://etherscan.io/token/0xba47214edd2bb43099611b208f75e4b42fdcfedc"
SPYon,0xfedc5f4a6c38211c1338aa411018dfaf26612c08,Ethereum,784,38276.95,27415443.0,https://etherscan.io/token/0xfedc5f4a6c38211c1338aa411018dfaf26612c08
TSLAon,0x2494b603319d4d9f9715c9f4496d9e0364b59d93,BSC,2214,26423.598065,17981001.0,https://bscscan.com/token/0x2494b603319d4d9f9715c9f4496d9e0364b59d93
AVGOon,0x0ed2e3180edf393e6bf8db124bd15ddd54de150a,BSC,131,23558.781902,7527030.82,https://bscscan.com/token/0x0ed2e3180edf393e6bf8db124bd15ddd54de150a
METAon,"0xd7df5863a3e742f0c767768cdfcb63f09e0422f6, 0x59644165402b611b350645555B50Afb581C71EB2","BSC, Ethereum",237,9291.845652,6445775.0,"https://bscscan.com/token/0xd7df5863a3e742f0c767768cdfcb63f09e0422f6, https://etherscan.io/token/0x59644165402b611b350645555B50Afb581C71EB2"
NVDAon,"0xa9ee28c80f960b889dfbd1902055218cba016f75, 0x2D1F7226Bd1F780AF6B9A49DCC0aE00E8Df4bDEE","BSC, Ethereum",2825,30764.673068809425,5733304.47,"https://bscscan.com/token/0xa9ee28c80f960b889dfbd1902055218cba016f75, https://etherscan.io/token/0x2D1F7226Bd1F780AF6B9A49DCC0aE00E8Df4bDEE"
AMZNon,"0x4553cfe1c09f37f38b12dc509f676964e392f8fc, 0xbb8774FB97436d23d74C1b882E8E9A69322cFD31","BSC, Ethereum",535,18156.7403043168,4984984.0,"https://bscscan.com/token/0x4553cfe1c09f37f38b12dc509f676964e392f8fc, https://etherscan.io/token/0xbb8774FB97436d23d74C1b882E8E9A69322cFD31"
INTCon,0xFdA09936DbD717368De0835bA441d9E62069d36f,Ethereum,1031,102185.0,4510623.0,"https://etherscan.io/token/0xFdA09936DbD717368De0835bA441d9E62069d36f, https://bscscan.com/token/0xa528caaa2f96090e379d43f90834c75df54d6e74, https://solscan.io/token/cJpUMp5R7rZ6fGeLHbHhrRuJzK9mkyKDjZqNpT3ondo"
AAPLon,"0x390a684ef9cade28a7ad0dfa61ab1eb3842618c4, 0x390a684ef9cade28a7ad0dfa61ab1eb3842618c4, 0x14c3abf95cb9c93a8b82c1cdcb76d72cb87b2d4c, 123mYEnRLM2LLYsJW3K6oyYh8uP1fngj732iG638ondo","BSC, Ethereum, BSC, Solana",2036,12589.22,3265266.0,"https://bscscan.com/token/0x390a684ef9cade28a7ad0dfa61ab1eb3842618c4, https://app.rwa.xyz/assets/AAPLon, https://bscscan.com/token/0x390a684ef9cade28a7ad0dfa61ab1eb3842618c4, https://etherscan.io/token/0x14c3abf95cb9c93a8b82c1cdcb76d72cb87b2d4c, https://solscan.io/token/123mYEnRLM2LLYsJW3K6oyYh8uP1fngj732iG638ondo"
PFEon,0x06954faa913fA14c28Eb1b2e459594F22f33f3dE,Ethereum,122,120992.0,3208182.0,"https://coinmarketcap.com/currencies/pfizer-tokenized-stock-ondo/, https://etherscan.io/token/0x06954faa913fA14c28Eb1b2e459594F22f33f3dE"
MSFTon,0x6bfe75d1ad432050ea973c3a3dcd88f02e2444c3,BSC,324,1160.428347,2972690.0,"https://bscscan.com/token/0x6bfe75d1ad432050ea973c3a3dcd88f02e2444c3, https://bscscan.com/token/0x6bfe75d1ad432050ea973c3a3dcd88f02e2444c3, https://coinmarketcap.com/currencies/microsoft-tokenized-stock-ondo/"
BABAon,0xd5964f3fcee8d649995ab88f04b8982539c282d2,BSC,260,6710.001471,2708369.0,https://bscscan.com/token/0xd5964f3fcee8d649995ab88f04b8982539c282d2
JPMon,0x317bF42b43A394860718266Dec445DCC9FD9dA49,BSC,59,230.45596,2455962.0,https://bscscan.com/token/0x317bF42b43A394860718266Dec445DCC9FD9dA49
TMon,0xaB02fc332e9278eBCbbC6B4a8038050c01D15F69,Ethereum,45,10227.80208952229,2324584.0,https://etherscan.io/token/0xaB02fc332e9278eBCbbC6B4a8038050c01D15F69
QQQon,0x0cde6936d305d5b34667fc46425e852efd73559a,BSC,797,3490.891049,2172800.41,https://bscscan.com/token/0x0cde6936d305d5b34667fc46425e852efd73559a
AMDon,0x0c1f3412a44ff99e40bf14e06e5ea321ae7b3938,Ethereum,869,8118.805415876833,2099441.89,"https://etherscan.io/token/0x0c1f3412a44ff99e40bf14e06e5ea321ae7b3938, https://bscscan.com/token/0x9f16e46c73b43bdb70861247d537bee4ea18f639"
COINon,"0xf8589b526fdd65f7f301c605a6e04f0f1b4b3620, 0xf042cfa86cf1d598a75bdb55c3507a1f39f9493b","BSC, Ethereum",222,8691.905836,1990560.0,"https://bscscan.com/token/0xf8589b526fdd65f7f301c605a6e04f0f1b4b3620, https://etherscan.io/token/0xf042cfa86cf1d598a75bdb55c3507a1f39f9493b"
SBUXon,0xf15FbC1349ab99ABAd63db3f9A510BF413bE3BeF,Ethereum,36,19715.236316654937,1935248.0,https://etherscan.io/token/0xf15FbC1349ab99ABAd63db3f9A510BF413bE3BeF
CSCOon,0x980a1001ee94e54142b231f44c7ca7c9df71fbe1,Ethereum,80,24915.049503705774,1868379.56,https://etherscan.io/token/0x980a1001ee94e54142b231f44c7ca7c9df71fbe1
BAon,0x57270D35A840BC5C094da6FBeCA033FB71eA6Ab0,Ethereum,74,5805.7792,1461604.0,https://etherscan.io/token/0x57270D35A840BC5C094da6FBeCA033FB71eA6Ab0
GEon,0xD904bCf89B7CedF5c89f9Df7e829191D695F847E,Ethereum,24,4485.678981,1316457.0,https://etherscan.io/token/0xD904bCf89B7CedF5c89f9Df7e829191D695F847E
NKEon,0xd8e26fcc879b30cb0a0b543925a2b3500f074d81,Ethereum,108,19835.739254,1296265.0,https://etherscan.io/token/0xd8e26fcc879b30cb0a0b543925a2b3500f074d81
NFLXon,"0x7048F5227B032326cC8DBC53cF3FdDD947a2c757, 0x032dec3372f25c41ea8054b4987a7c4832cdb338","BSC, Ethereum",217,1506.0,1295842.0,"https://bscscan.com/token/0x7048F5227b032326cC8DBC53cF3FdDD947a2c757, https://etherscan.io/token/0x032dec3372f25c41ea8054b4987a7c4832cdb338"
PYPLon,0x4EFD92F372898B57F292De69fCe377dd7D912bDd,"Ethereum, BSC",89,21540.0,1218858.0,"https://etherscan.io/token/0x4EFD92F372898B57F292De69fCe377dd7D912bDd, https://bscscan.com/token/0x374d03a6c0d5bd4be0a5117ebe1b49d52ac8a53f"
ORCLon,0x03E4bd1Ea53f1da84513da0319D1f03dD1BBCf93,BSC,208,2774.531603,1001890.0,https://bscscan.com/token/0x03E4bd1Ea53f1da84513da0319D1f03dD1BBCf93
MSTRon,0x7313ea16493b2f55054df0131a3a14b043ec8992,BSC,297,6041.187846,983022.09,https://bscscan.com/token/0x7313ea16493b2f55054df0131a3a14b043ec8992
DISon,"0xeee9eee593cb8f7946260b4066cba7907f40acfa, 0xc3D93B45249E8E06cfeB01d25A96337E8893265d","BSC, Ethereum",78,8678.63,973811.0,"https://bscscan.com/token/0xeee9eee593cb8f7946260b4066cba7907f40acfa, https://etherscan.io/token/0xc3D93B45249E8E06cfeB01d25A96337E8893265d"
UBERon,0x5Bcd8195E3Ef58f677aeF9eBC276B5087c027050,Ethereum,53,10427.307668044043,857020.42,https://etherscan.io/token/0x5Bcd8195E3Ef58f677aeF9eBC276B5087c027050
ADBEon,0x7042a8fFc7c7049684BfBc2fcb41b72380755a43,Ethereum,243,2799.866021478502,843963.61,https://etherscan.io/token/0x7042a8fFc7c7049684BfBc2fcb41b72380755a43
CRMon,0xd04a2bb053277721a8321d7441eed5b42fdf7250,BSC,29,48.153865,819214.0,https://bscscan.com/token/0xd04a2bb053277721a8321d7441eed5b42fdf7250
GLDon,0xfa9a1e901085e269f6d428f79cd5252d8b919344,BSC,342,1386.82626,635166.0,"https://bscscan.com/token/0xfa9a1e901085e269f6d428f79cd5252d8b919344,https://solscan.io/token/hWfiw4mcxT8rnNFkk6fsCQSxoxgZ9yVhB6tyeVcondo"
SHOPon,0x908266C1192628371Cff7AD2F5Eba4dE061a0ac5,Ethereum,34,3538.3286620152,486590.96,https://etherscan.io/token/0x908266C1192628371Cff7AD2F5Eba4dE061a0ac5
BIDUon,0x467e59ce5d5fe01686d4a80dd1e1dae13549aa6c,BSC,57,2342.35291,376439.54,https://bscscan.com/token/0x467e59ce5d5fe01686d4a80dd1e1dae13549aa6c
MARAon,0xd226d8170ee38793430c7dec6903df4b818bb74c,BSC,68,17517.132273,183754.72,https://bscscan.com/token/0xd226d8170ee38793430c7dec6903df4b818bb74c
HOODon,0x19601179a60f55ff6636f5d1a8b6671053bd60a8,BSC,98,1667.032985,177422.0,https://bscscan.com/token/0x19601179a60f55ff6636f5d1a8b6671053bd60a8
GSon,0x0d4f9b25f81163fb4840ba4f434672543823000c,BSC,30,49.799497,45803.09,https://bscscan.com/token/0x0d4f9b25f81163fb4840ba4f434672543823000c
VZon,0xa3b089c886e6d721f49def8e050f3b9d4362560b,BSC,6,857.874797,33903.0,https://bscscan.com/token/0xa3b089c886e6d721f49def8e050f3b9d4362560b
Ton,0x4255279af47cf10efb9a5c8839f90170f4ef759f,BSC,9,426.335292,10114.15,https://bscscan.com/token/0x4255279af47cf10efb9a5c8839f90170f4ef759f
RIOTon,0xc4a88a72b848255fd24da3c1ad6755d980535fb1,BSC,53,477.313997,8243.21,https://bscscan.com/token/0xc4a88a72b848255fd24da3c1ad6755d980535fb1
ABBVon,0x7c7378143a9c8839e0502e2178f058f46c6ea504,Ethereum,3,0.7925,173.91,https://etherscan.io/token/0x7c7378143a9c8839e0502e2178f058f46c6ea504
