token_symbol,contract_address,network,holders_count,total_supply,market_cap_usd,source_url,is_subagent_success,fail_reason
"NVDAon","0xa9ee28c80f960b889dfbd1902055218cba016f75","BSC","2173","22590.220099","4220079","https://bscscan.com/token/0xa9ee28c80f960b889dfbd1902055218cba016f75","true","success"
"AAPLon","0x390a684ef9cade28a7ad0dfa61ab1eb3842618c4","BSC","963","3054","757519","https://bscscan.com/token/0x390a684ef9cade28a7ad0dfa61ab1eb3842618c4","true","success"
"TSLAon","0x2494b603319d4d9f9715c9f4496d9e0364b59d93","BSC","2214","26423.598065","11796815.36","https://bscscan.com/token/0x2494b603319d4d9f9715c9f4496d9e0364b59d93","true","success"
"COINon","0xf8589b526fdd65f7f301c605a6e04f0f1b4b3620","BSC","222","8691.905836","1877799.34","https://bscscan.com/token/0xf8589b526fdd65f7f301c605a6e04f0f1b4b3620","true","success"
"MSFTon","0x6bfe75d1ad432050ea973c3a3dcd88f02e2444c3","BSC","324","1160.4283","540697","https://bscscan.com/token/0x6bfe75d1ad432050ea973c3a3dcd88f02e2444c3","true","success"
"AMZNon","0x4553cfe1c09f37f38b12dc509f676964e392f8fc","BSC","289","2743.042744","4984984","https://bscscan.com/token/0x4553cfe1c09f37f38b12dc509f676964e392f8fc","true","success"
"METAon","0xd7df5863a3e742f0c767768cdfcb63f09e0422f6","BSC","237","493.633221","6445775","https://bscscan.com/token/0xd7df5863a3e742f0c767768cdfcb63f09e0422f6","true","success"
"DISon","0xeee9eee593cb8f7946260b4066cba7907f40acfa","BSC","46","99.908234","11087","https://bscscan.com/token/0xeee9eee593cb8f7946260b4066cba7907f40acfa","true","success"
"GOOGLon","0x091fc7778e6932d4009b087b191d1ee3bac5729a","BSC","1209","119076.626845","39027364.45","https://bscscan.com/token/0x091fc7778e6932d4009b087b191d1ee3bac5729a","true","success"
"MSTRon","0x7313ea16493b2f55054df0131a3a14b043ec8992","BSC","297","6041.187846","983022.09","https://bscscan.com/token/0x7313ea16493b2f55054df0131a3a14b043ec8992","true","success"
"SPYon","0xfedc5f4a6c38211c1338aa411018dfaf26612c08","Ethereum","784","38276.95","27415443","https://etherscan.io/token/0xfedc5f4a6c38211c1338aa411018dfaf26612c08","true","success"
"NFLXon","0x7048F5227B032326cC8DBC53cF3FdDD947a2c757","BSC","217","1506","1295842","https://bscscan.com/token/0x7048F5227b032326cC8DBC53cF3FdDD947a2c757","true","success"
"GLDon","0xfa9a1e901085e269f6d428f79cd5252d8b919344","BSC","342","1386.82626","635166","https://bscscan.com/token/0xfa9a1e901085e269f6d428f79cd5252d8b919344,https://solscan.io/token/hWfiw4mcxT8rnNFkk6fsCQSxoxgZ9yVhB6tyeVcondo","true","success"
"QQQon","0x0cde6936d305d5b34667fc46425e852efd73559a","BSC","797","3490.891049","2172800.41","https://bscscan.com/token/0x0cde6936d305d5b34667fc46425e852efd73559a","true","success"
"MARAon","0xd226d8170ee38793430c7dec6903df4b818bb74c","BSC","68","17517.132273","183754.72","https://bscscan.com/token/0xd226d8170ee38793430c7dec6903df4b818bb74c","true","success"
"GSon","0x0d4f9b25f81163fb4840ba4f434672543823000c","BSC","30","49.799497","45803.09","https://bscscan.com/token/0x0d4f9b25f81163fb4840ba4f434672543823000c","true","success"
"HOODon","0x19601179a60f55ff6636f5d1a8b6671053bd60a8","BSC","98","1667.032985","177422","https://bscscan.com/token/0x19601179a60f55ff6636f5d1a8b6671053bd60a8","true","success"
"RIOTon","0xc4a88a72b848255fd24da3c1ad6755d980535fb1","BSC","53","477.313997","8243.21","https://bscscan.com/token/0xc4a88a72b848255fd24da3c1ad6755d980535fb1","true","success"
"JPMon","0x317bF42b43A394860718266Dec445DCC9FD9dA49","BSC","59","230.45596","2455962","https://bscscan.com/token/0x317bF42b43A394860718266Dec445DCC9FD9dA49","true","success"
"TMon","0xaB02fc332e9278eBCbbC6B4a8038050c01D15F69","Ethereum","45","10227.80208952229","2324584","https://etherscan.io/token/0xaB02fc332e9278eBCbbC6B4a8038050c01D15F69","true","success"
