token_symbol,contract_address,network,holders_count,total_supply,market_cap_usd,source_url,is_subagent_success,fail_reason
"SBUXon","0xf15FbC1349ab99ABAd63db3f9A510BF413bE3BeF","Ethereum","36","19715.236316654937","1935248","https://etherscan.io/token/0xf15FbC1349ab99ABAd63db3f9A510BF413bE3BeF","true","success"
"ORCLon","0x03E4bd1Ea53f1da84513da0319D1f03dD1BBCf93","BSC","208","2774.531603","1001890","https://bscscan.com/token/0x03E4bd1Ea53f1da84513da0319D1f03dD1BBCf93","true","success"
"INTCon","0xFdA09936DbD717368De0835bA441d9E62069d36f","Ethereum","1031","102185","4510623","https://etherscan.io/token/0xFdA09936DbD717368De0835bA441d9E62069d36f, https://bscscan.com/token/0xa528caaa2f96090e379d43f90834c75df54d6e74, https://solscan.io/token/cJpUMp5R7rZ6fGeLHbHhrRuJzK9mkyKDjZqNpT3ondo","true","success"
"NKEon","0xd8e26fcc879b30cb0a0b543925a2b3500f074d81","Ethereum","108","19835.739254","1296265","https://etherscan.io/token/0xd8e26fcc879b30cb0a0b543925a2b3500f074d81","true","success"
"AMDon","0x0c1f3412a44ff99e40bf14e06e5ea321ae7b3938","Ethereum","869","8118.805415876833","2099441.89","https://etherscan.io/token/0x0c1f3412a44ff99e40bf14e06e5ea321ae7b3938, https://bscscan.com/token/0x9f16e46c73b43bdb70861247d537bee4ea18f639","true","success"
"BAon","0x57270D35A840BC5C094da6FBeCA033FB71eA6Ab0","Ethereum","74","5805.7792","1461604","https://etherscan.io/token/0x57270D35A840BC5C094da6FBeCA033FB71eA6Ab0","true","success"
"ADBEon","0x7042a8fFc7c7049684BfBc2fcb41b72380755a43","Ethereum","243","2799.866021478502","843963.61","https://etherscan.io/token/0x7042a8fFc7c7049684BfBc2fcb41b72380755a43","true","success"
"PYPLon","0x4EFD92F372898B57F292De69fCe377dd7D912bDd","Ethereum, BSC","89","21540","1218858","https://etherscan.io/token/0x4EFD92F372898B57F292De69fCe377dd7D912bDd, https://bscscan.com/token/0x374d03a6c0d5bd4be0a5117ebe1b49d52ac8a53f","true","success"
"PFEon","0x06954faa913fA14c28Eb1b2e459594F22f33f3dE","Ethereum","122","120992","3208182","https://coinmarketcap.com/currencies/pfizer-tokenized-stock-ondo/, https://etherscan.io/token/0x06954faa913fA14c28Eb1b2e459594F22f33f3dE","true","success"
"AVGOon","0x0ed2e3180edf393e6bf8db124bd15ddd54de150a","BSC","131","23558.781902","7527030.82","https://bscscan.com/token/0x0ed2e3180edf393e6bf8db124bd15ddd54de150a","true","success"
"GEon","0xD904bCf89B7CedF5c89f9Df7e829191D695F847E","Ethereum","24","4485.678981","1316457","https://etherscan.io/token/0xD904bCf89B7CedF5c89f9Df7e829191D695F847E","true","success"
"Ton","0x4255279af47cf10efb9a5c8839f90170f4ef759f","BSC","9","426.335292","10114.15","https://bscscan.com/token/0x4255279af47cf10efb9a5c8839f90170f4ef759f","true","success"
"ABBVon","0x7c7378143a9c8839e0502e2178f058f46c6ea504","Ethereum","3","0.7925","173.91","https://etherscan.io/token/0x7c7378143a9c8839e0502e2178f058f46c6ea504","true","success"
"VZon","0xa3b089c886e6d721f49def8e050f3b9d4362560b","BSC","6","857.874797","33903","https://bscscan.com/token/0xa3b089c886e6d721f49def8e050f3b9d4362560b","true","success"
"CRMon","0xd04a2bb053277721a8321d7441eed5b42fdf7250","BSC","29","48.153865","819214","https://bscscan.com/token/0xd04a2bb053277721a8321d7441eed5b42fdf7250","true","success"
"CSCOon","0x980a1001ee94e54142b231f44c7ca7c9df71fbe1","Ethereum","80","24915.049503705774","1868379.56","https://etherscan.io/token/0x980a1001ee94e54142b231f44c7ca7c9df71fbe1","true","success"
"UBERon","0x5Bcd8195E3Ef58f677aeF9eBC276B5087c027050","Ethereum","53","10427.307668044043","857020.42","https://etherscan.io/token/0x5Bcd8195E3Ef58f677aeF9eBC276B5087c027050","true","success"
"BIDUon","0x467e59ce5d5fe01686d4a80dd1e1dae13549aa6c","BSC","57","2342.35291","376439.54","https://bscscan.com/token/0x467e59ce5d5fe01686d4a80dd1e1dae13549aa6c","true","success"
"BABAon","0xd5964f3fcee8d649995ab88f04b8982539c282d2","BSC","260","6710.001471","2708369","https://bscscan.com/token/0xd5964f3fcee8d649995ab88f04b8982539c282d2","true","success"
"NFLXon","0x032dec3372f25c41ea8054b4987a7c4832cdb338","Ethereum","144","1191.3665929687204","1295840","https://etherscan.io/token/0x032dec3372f25c41ea8054b4987a7c4832cdb338","true","success"
"DISon","0xc3D93B45249E8E06cfeB01d25A96337E8893265d","Ethereum","78","8678.63","973811","https://etherscan.io/token/0xc3D93B45249E8E06cfeB01d25A96337E8893265d","true","success"
"GOOGLon","0xbA47214eDd2bb43099611b208f75E4b42FDcfEDc","Ethereum","618","24386.63","47035833","https://etherscan.io/token/0xba47214edd2bb43099611b208f75e4b42fdcfedc","true","success"
"SHOPon","0x908266C1192628371Cff7AD2F5Eba4dE061a0ac5","Ethereum","34","3538.3286620152","486590.96","https://etherscan.io/token/0x908266C1192628371Cff7AD2F5Eba4dE061a0ac5","true","success"
"AAPLon","0x390a684ef9cade28a7ad0dfa61ab1eb3842618c4, 0x14c3abf95cb9c93a8b82c1cdcb76d72cb87b2d4c, 123mYEnRLM2LLYsJW3K6oyYh8uP1fngj732iG638ondo","Ethereum, BSC, Solana","2036","12589.22","3265266","https://app.rwa.xyz/assets/AAPLon, https://bscscan.com/token/0x390a684ef9cade28a7ad0dfa61ab1eb3842618c4, https://etherscan.io/token/0x14c3abf95cb9c93a8b82c1cdcb76d72cb87b2d4c, https://solscan.io/token/123mYEnRLM2LLYsJW3K6oyYh8uP1fngj732iG638ondo","true","success"
"AMZNon","0xbb8774FB97436d23d74C1b882E8E9A69322cFD31","Ethereum","535","18156.7403043168","4330927.26","https://etherscan.io/token/0xbb8774FB97436d23d74C1b882E8E9A69322cFD31","true","success"
"METAon","0x59644165402b611b350645555B50Afb581C71EB2","Ethereum","178","9291.845652","6111525.64","https://etherscan.io/token/0x59644165402b611b350645555B50Afb581C71EB2","true","success"
"NVDAon","0x2D1F7226Bd1F780AF6B9A49DCC0aE00E8Df4bDEE","Ethereum","2825","30764.673068809425","5733304.47","https://etherscan.io/token/0x2D1F7226Bd1F780AF6B9A49DCC0aE00E8Df4bDEE","true","success"
"COINon","0xf042cfa86cf1d598a75bdb55c3507a1f39f9493b","Ethereum","209","8268","1990560","https://etherscan.io/token/0xf042cfa86cf1d598a75bdb55c3507a1f39f9493b","true","success"
"MSFTon","0x6bfe75d1ad432050ea973c3a3dcd88f02e2444c3","BSC","324","1160.428347","2972690","https://bscscan.com/token/0x6bfe75d1ad432050ea973c3a3dcd88f02e2444c3, https://coinmarketcap.com/currencies/microsoft-tokenized-stock-ondo/","true","success"
"TSLAon","0x2494b603319d4d9f9715c9f4496d9e0364b59d93","BSC","2214","26423.598065","17981001","https://bscscan.com/token/0x2494b603319d4d9f9715c9f4496d9e0364b59d93","true","success"
