Year,Month,Revenue,Transactions,YearMonth
2009,12,686654.16,1512,2009-12
2010,1,557319.062,1011,2010-01
2010,2,506371.066,1104,2010-02
2010,3,699608.991,1524,2010-03
2010,4,594609.192,1329,2010-04
2010,5,599985.79,1377,2010-05
2010,6,639066.58,1497,2010-06
2010,7,591636.74,1381,2010-07
2010,8,604242.65,1293,2010-08
2010,9,831615.001,1689,2010-09
2010,10,1036680.0,2133,2010-10
2010,11,1172336.042,2587,2010-11
2010,12,884591.89,1400,2010-12
2011,1,569445.04,987,2011-01
2011,2,447137.35,997,2011-02
2011,3,595500.76,1321,2011-03
2011,4,469200.361,1149,2011-04
2011,5,678594.56,1555,2011-05
2011,6,661213.69,1393,2011-06
2011,7,600091.011,1331,2011-07
2011,8,645343.9,1280,2011-08
2011,9,952838.382,1755,2011-09
2011,10,1039318.79,1929,2011-10
2011,11,1161817.3800000001,2657,2011-11
2011,12,518210.79,778,2011-12
