Year,Month,Category,Series,Monthly Sales
2023,1,轿车,朗逸,26917
2023,1,轿车,轩逸,23507
2023,1,轿车,速腾,20454
2023,1,轿车,海豚,17582
2023,1,轿车,宏光MINIEV,16416
2023,1,轿车,宝马5系,14879
2023,1,轿车,雅阁,14594
2023,1,轿车,凯美瑞,14396
2023,1,轿车,宝来,13143
2023,1,轿车,奔驰E级,12665
2023,1,轿车,Model 3,12659
2023,1,轿车,卡罗拉,12444
2023,1,轿车,奥迪A6L,12098
2023,1,轿车,汉,11718
2023,1,轿车,秦PLUS,11590
2023,1,轿车,逸动,10519
2023,1,轿车,迈腾,10221
2023,1,轿车,新帝豪,10100
2023,1,轿车,帕萨特,9861
2023,1,轿车,威朗,9846
2023,1,轿车,长安UNI-V,9758
2023,1,轿车,雷凌,9619
2023,1,轿车,星瑞,8713
2023,1,轿车,凌渡,8272
2023,1,轿车,伊兰特,8139
2023,1,轿车,宝马3系,7759
2023,1,轿车,科鲁泽,6815
2023,1,轿车,红旗E-QM5,6703
2023,1,轿车,思域,6645
2023,1,轿车,海豹,6618
2023,1,轿车,荣威i5,6501
2023,1,轿车,桑塔纳,6170
2023,1,轿车,飞度,6160
2023,1,轿车,深蓝SL03,6137
2023,1,轿车,YARiS L 致炫,5808
2023,1,轿车,蔚来ET5,5795
2023,1,轿车,奔驰C级,5574
2023,1,轿车,奕炫,5424
2023,1,轿车,高尔夫,5142
2023,1,轿车,AION S,5091
2023,1,轿车,缤瑞,5062
2023,1,轿车,MG5,5022
2023,1,轿车,奥迪A4L,4943
2023,1,轿车,凯迪拉克CT5,4915
2023,1,轿车,君威,4899
2023,1,轿车,驱逐舰05,4856
2023,1,轿车,长安Lumin,4711
2023,1,轿车,奔奔E-Star,4683
2023,1,轿车,型格,4645
2023,1,轿车,天籁,4501
2023,1,轿车,亚洲龙,4457
2023,1,轿车,领克03,3987
2023,1,轿车,艾瑞泽5,3674
2023,1,轿车,宝马i3,3624
2023,1,轿车,艾瑞泽8,3203
2023,1,轿车,极氪001,3116
2023,1,轿车,英朗,3046
2023,1,轿车,英仕派,3002
2023,1,轿车,锐程PLUS,2945
2023,1,轿车,蒙迪欧,2944
2023,1,轿车,影豹,2893
2023,1,轿车,红旗H5,2765
2023,1,轿车,QQ冰淇淋,2736
2023,1,轿车,奥迪A3,2607
2023,1,轿车,秦新能源,2595
2023,1,轿车,奔驰A级,2552
2023,1,轿车,红旗H5经典,2416
2023,1,轿车,思皓A5,2402
2023,1,轿车,威驰,2258
2023,1,轿车,悦翔,2253
2023,1,轿车,轩度,2244
2023,1,轿车,科莱威CLEVER,2210
2023,1,轿车,马自达3 昂克赛拉,2206
2023,1,轿车,大众Polo,2135
