"是否SAAS","平台","账号","销售类别","销售方式","收入年度","入账年度","入账期间","订单年度","订单期间","产品线","内部交易币别","内部税率","税额原币","税额本币","预计收入期数","收入数量","收款收入金额","收入期数","收入原币","收入汇率","收入本币","前期累计收入","截止本期收入","未确认收入金额","财务代码","财务名称","销售公司代码","销售公司名称","客户代码","客户名称","Cart订单","Cart主订单","Cart支付号"
1,Dlocal,dlocal@wondershare.com,收入,直销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,1.2831530000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.08.02",万兴全球有限公司,"1853243582404628551",DL1698372584805380098,R-30039-6c770fb1-b58b-4ca1-a012-ceb2b1417cd4
1,checkout,checkout@wondershare.com-2,收入,直销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.08.02",万兴全球有限公司,"1852329263651360966",CO1689102795071172704,pay_r7tt65mje77epoan2npenhxnlu
1,OceanPayment,"213638",收入,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318252172677297",Q241028113851323618600,"241028113851323618600"
1,OceanPayment,"213638",收入,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318321852649843",Q241027025553299259374,"241027025553299259374"
1,OceanPayment,"213638",收入,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318515050680817",Q241029224029709389828,"241029224029709389828"
1,OceanPayment,"213638",费用,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318548315705394",Q240926090037717363802,"240926090037717363802"
1,OceanPayment,"213638",费用,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318464559648955",Q240926090037717363802,"240926090037717363802"
1,OceanPayment,"213638",费用,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318526631153882",Q241028113851323618600,"241028113851323618600"
1,Adyen,Wondershare-HK,收入,直销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0004190000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.08.02",万兴全球有限公司,"1845241368520167767",AD1691530284381114437,RH8PDGBS7K4RJMD3
1,OceanPayment,"213638",收入,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318254508904489",Q241025012310314610470,"241025012310314610470"
1,OceanPayment,"213638",收入,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318282568798613",Q241001014235384363831,"241001014235384363831"
1,OceanPayment,"213638",收入,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318329226236138",Q241001014235384363831,"241001014235384363831"
1,OceanPayment,"213638",费用,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318381327880330",Q241001014235384363831,"241001014235384363831"
1,OceanPayment,"213638",费用,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318266651414857",Q241025012310314610470,"241025012310314610470"
1,OceanPayment,"213638",费用,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318254508904876",Q241025012310314610470,"241025012310314610470"
1,OceanPayment,"213638",费用,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318505332478118",Q241027025553299259374,"241027025553299259374"
1,OceanPayment,"213638",费用,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318532238938117",Q241027025553299259374,"241027025553299259374"
1,OceanPayment,"213638",费用,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318475464839200",Q241028113851323618600,"241028113851323618600"
1,OceanPayment,"213638",费用,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318410847391978",Q241001014235384363831,"241001014235384363831"
1,OceanPayment,"213638",费用,经销,202512,2024,10,2024,10,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.07.01",炜博科技有限公司,"1853318511313555633",Q241001014235384363831,"241001014235384363831"
1,Adyen,Wondershare-HK,收入,直销,202512,2024,11,2024,11,FaceMod,"",0.0000000000,0.0000000000,0.0000000000,24,1.0000000000,0.0000000000,1.0000000000,0.0000000000,7.0288000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"001.000369",Wondershare AI产品线 软件,"100.15",杭州格像科技有限公司,"100.08.02",万兴全球有限公司,"1856837828667773308",AD1703122468955758630,T4MCRN9ZTKJ2C8F3
