brand_name,founded_year,founder,country
Amazon,1994,Jeff Bezos,USA
Alibaba,1999,Jack Ma,China
Shopify,2006,Tobias Lütke,Canada
PDD Holdings,2015,Colin Huang,China
MercadoLibre,1999,Marcos Galperin,Argentina
Carvana,2012,Ernie Garcia,USA
Meituan,2010,Wang Xing,China
Sea Limited,2009,Forrest Li,Singapore
JD.com,1998,Richard Liu,China
eBay,1995,Pierre Omidyar,USA
Copart,1982,Willis Johnson,USA
Coupang,2010,Bom Kim,USA
JD Health,2013,Richard Liu (via JD.com),China
Wayfair,2002,Niraj Shah and Steve Conine,USA
Alibaba Health Information Technology,1999,Jack Ma (via Alibaba),Hong Kong
Chewy,2011,Ryan Cohen,USA
Rakuten,1997,Hiroshi Mikitani,Japan
Ozon,1998,Alexander Egorov,USA
Instacart,2012,Apoorva Mehta,USA
Allegro.eu,1999,Arjan Bakker,Poland
Vipshop,2008,Eric Shen and Hong Xiaobo,China
Zalando,2008,Robert Gentz and David Schneider,Germany
Nykaa,2012,Falguni Nayar,India
Monotaro,2000,Kinya Seto,Japan
ZOZO,1998,Yusaku Maezawa,Japan
Global-e,2013,"Amir Schlachet, Shahar Tamari, Nir Debbi",Israel
Etsy,2005,Rob Kalin,USA
GoTo,2015,Nadiem Makarim,Indonesia
Mercari,2013,Shintaro Yamada,Japan
Ocado,2000,"Jonathan Faiman, Jason Gissing, Tim Steiner",UK
Revolve,2003,Michael Mente and Mike Karanikolas,USA
Cimpress,1995,Robert Keane,Ireland
The RealReal,2011,Julie Wainwright,USA
momo.com Inc.,2004,Chun-Tang Ho,Taiwan
Jumia,2012,Jeremy Hodara and Sacha Poignonnec,Germany
Lightspeed POS,2005,Dax DaSilva,Canada
IndiaMART,1999,Dinesh Agarwal,India
Redcare Pharmacy,2001,Marc van Gelder,Netherlands
About You,2014,"Tarek Müller, Benjamin Shure, Hannes Wiese",Germany
Liquidity Services,1999,William P. Angrick III,USA
Bukalapak.com,2010,Achmad Zaky,Indonesia
Newegg,2001,Fred Chang,USA
THG (The Hut Group),2004,Matthew Moulding,UK
CEWE,1961,Hubertus Binder,Germany
Uxin Limited,2011,Dai Kun,China
ThredUp,2009,James Reinhart,USA
Groupon,2008,Andrew Mason,USA
BHG Group AB,2006,Adam Schatz,Sweden
Dingdong Maicai,2017,Liang Changlin,China
VTEX,1999,Geraldo Thomaz Jr. and Mariano Gomide de Faria,UK
Infibeam Avenues,2007,Vishal Mehta,India
Auction Technology Group,2014,John-Paul Savant,UK
Wirtualna Polska (WP Holding),1995,"Jacek Świderski, Maciej Kossowski, Michał Brański",Poland
ASOS,2000,Nick Robertson and Quentin Griffiths,UK
Boohoo Group,2006,Mahmud Kamani and Carol Kane,UK
BigCommerce,2009,Eddie Machaalani and Mitchell Harper,USA
Westwing Group,2011,Delia Lachance and Stefan Smalla,Germany
Rent the Runway,2009,Jennifer Hyman and Jennifer Fleiss,USA
1stdibs.com,2001,Michael Bruno,USA
Verkkokauppa.com,1992,Samuli Seppälä,Finland
Vente-Unique.com,2006,Sacha Vigna,France
Americanas,1929,Max Landesmann,Brazil
Baozun,2007,Vincent Wenbin Qiu,China
The Original BARK Company,2011,"Matt Meeker, Henrik Werdelin, Carly Strife",USA
Webuy Global,2018,"Bin Xue, Gin Loo, Ilay Yulish",Singapore
Jeffs' Brands,2021,Viki Hakmon,Israel
