year,ranking_system,rank,university_name,country,overall_score,academic_reputation,employer_reputation,faculty_student_ratio,citations_per_faculty,international_faculty_score,international_students_score
2025,QS World University Rankings,1,University 0001,India,103.34,101.42,100.51,96.73,101.73,96.56,103.73
2025,QS World University Rankings,2,University 0002,USA,98.99,102.03,97.56,92.04,94.75,104.72,94.98
2025,QS World University Rankings,3,University 0003,Canada,101.38,103.89,98.44,107.0,94.86,105.45,107.5
2025,QS World University Rankings,4,University 0004,France,99.67,99.91,102.68,102.38,99.03,95.54,99.54
2025,QS World University Rankings,5,University 0005,Italy,98.99,96.75,98.35,106.32,92.58,93.99,93.16
2025,QS World University Rankings,6,University 0006,UK,95.18,93.71,97.07,93.11,94.37,98.25,93.97
2025,QS World University Rankings,7,University 0007,China,98.71,99.94,100.59,94.86,96.81,101.05,97.86
2025,QS World University Rankings,8,University 0008,Netherlands,102.82,103.06,105.17,110.11,106.48,96.56,100.14
2025,QS World University Rankings,9,University 0009,Italy,96.77,93.21,96.14,99.32,100.0,101.51,97.23
2025,QS World University Rankings,10,University 0010,Singapore,100.6,100.23,103.51,100.38,93.34,98.41,98.15
2025,QS World University Rankings,11,University 0011,Netherlands,97.84,95.42,98.08,103.73,97.03,92.38,102.03
2025,QS World University Rankings,12,University 0012,Italy,98.5,102.37,100.59,103.3,107.28,92.07,103.76
2025,QS World University Rankings,13,University 0013,Switzerland,99.09,98.08,103.19,103.68,101.91,99.04,98.72
2025,QS World University Rankings,14,University 0014,Canada,95.88,95.16,97.08,99.53,102.31,99.53,88.98
2025,QS World University Rankings,15,University 0015,Netherlands,97.19,94.32,100.95,95.65,98.92,92.79,101.56
2025,QS World University Rankings,16,University 0016,Canada,94.57,96.16,90.16,90.16,96.07,89.95,98.52
2025,QS World University Rankings,17,University 0017,Singapore,102.17,102.05,99.33,102.61,111.86,103.9,103.99
2025,QS World University Rankings,18,University 0018,Germany,99.59,101.79,103.74,94.29,102.89,103.9,100.29
2025,QS World University Rankings,19,University 0019,Italy,100.97,104.19,102.63,106.78,103.7,107.96,101.22
2025,QS World University Rankings,20,University 0020,Sweden,97.97,99.94,97.1,92.13,94.6,99.24,104.14
2025,QS World University Rankings,21,University 0021,Switzerland,99.01,101.71,97.22,94.01,107.26,104.06,97.59
2025,QS World University Rankings,22,University 0022,Netherlands,100.68,96.89,105.61,93.17,104.13,94.68,98.73
2025,QS World University Rankings,23,University 0023,Singapore,96.57,93.56,98.38,96.73,100.35,97.6,100.35
2025,QS World University Rankings,24,University 0024,UK,98.4,97.18,94.87,105.09,104.96,92.89,96.57
2025,QS World University Rankings,25,University 0025,China,98.44,102.84,102.29,91.27,88.47,93.92,98.98
2025,QS World University Rankings,26,University 0026,Switzerland,95.89,91.5,98.83,103.03,97.96,92.91,98.3
2025,QS World University Rankings,27,University 0027,France,100.82,97.29,95.26,97.18,96.07,102.35,95.9
2025,QS World University Rankings,28,University 0028,Sweden,101.46,104.64,103.09,105.63,95.22,98.76,97.91
2025,QS World University Rankings,29,University 0029,UK,97.21,96.1,99.15,89.37,92.44,100.74,103.33
2025,QS World University Rankings,30,University 0030,France,99.18,96.6,102.61,93.52,105.73,100.31,96.24
2025,QS World University Rankings,31,University 0031,Spain,103.38,108.24,101.86,106.26,95.83,97.68,105.25
2025,QS World University Rankings,32,University 0032,India,99.2,97.3,102.24,99.88,98.35,104.73,93.0
2025,QS World University Rankings,33,University 0033,Switzerland,94.86,90.45,95.89,96.18,97.42,97.87,91.26
2025,QS World University Rankings,34,University 0034,China,99.91,96.07,94.54,103.63,97.33,97.97,105.18
2025,QS World University Rankings,35,University 0035,China,100.07,99.39,96.23,101.94,98.53,101.92,105.73
2025,QS World University Rankings,36,University 0036,Germany,97.91,95.89,102.7,92.55,103.47,92.8,104.37
2025,QS World University Rankings,37,University 0037,Switzerland,97.34,99.51,99.6,93.57,104.97,94.15,94.2
2025,QS World University Rankings,38,University 0038,South Korea,98.56,95.17,93.19,91.31,107.53,92.84,98.68
2025,QS World University Rankings,39,University 0039,Italy,97.91,102.0,94.74,101.09,92.64,91.08,91.83
2025,QS World University Rankings,40,University 0040,China,97.69,98.08,102.39,102.86,99.88,96.27,102.38
2025,QS World University Rankings,41,University 0041,India,97.31,97.03,95.39,96.74,90.69,95.93,93.94
2025,QS World University Rankings,42,University 0042,USA,98.89,101.64,95.24,98.51,90.96,94.86,104.98
2025,QS World University Rankings,43,University 0043,South Korea,99.64,96.5,104.54,103.62,98.02,100.5,101.7
2025,QS World University Rankings,44,University 0044,Canada,97.6,94.26,95.72,104.85,97.33,99.81,100.97
2025,QS World University Rankings,45,University 0045,Japan,94.67,94.34,99.46,91.39,96.88,93.85,88.53
2025,QS World University Rankings,46,University 0046,Sweden,98.91,96.29,102.61,98.87,92.13,102.19,103.22
2025,QS World University Rankings,47,University 0047,UK,96.43,95.59,102.06,94.72,103.28,99.58,90.45
2025,QS World University Rankings,48,University 0048,Sweden,96.52,96.24,93.83,95.72,105.1,92.03,98.45
