Date,Ticker,Sector,Industry,Role,Close,Volume,Daily_Turnover,Log_Returns,Volatility_20d,RSI_14,SMA_50,SMA_200
2020-10-15,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.9267,267224000,3721550932.6096,-0.0089,0.3765,67.3471,12.726,8.9561
2020-10-16,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.7687,242392000,3337423106.9183,-0.0114,0.3677,62.2981,12.7755,8.9951
2020-10-19,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.4559,298068000,4010780365.0017,-0.023,0.3734,54.1464,12.8214,9.033
2020-10-20,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.6032,229212000,3118020822.2351,0.0109,0.3737,51.8412,12.8709,9.0715
2020-10-21,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.4828,219596000,2960777431.942,-0.0089,0.3374,48.5798,12.9243,9.109
2020-10-22,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.3196,290480000,3869076053.4668,-0.0122,0.3393,55.3901,12.9626,9.1457
2020-10-23,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.5481,233484000,3163273151.8593,0.017,0.3132,48.9206,13.0055,9.1832
2020-10-26,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.1005,336896000,4413516043.9453,-0.0336,0.336,39.2758,13.037,9.2183
2020-10-27,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.3552,250520000,3345753975.029,0.0193,0.3391,39.8823,13.0582,9.2537
2020-10-28,NVDA,Semiconductors,GPU Designer,AI Training Hardware,12.5879,376520000,4739585755.6534,-0.0592,0.3892,32.427,13.0656,9.2859
2020-10-29,NVDA,Semiconductors,GPU Designer,AI Training Hardware,12.9836,320080000,4155804011.1542,0.031,0.4069,40.199,13.0833,9.3203
2020-10-30,NVDA,Semiconductors,GPU Designer,AI Training Hardware,12.4952,416820000,5208232634.0675,-0.0383,0.4031,27.7105,13.0912,9.3518
2020-11-02,NVDA,Semiconductors,GPU Designer,AI Training Hardware,12.5418,299652000,3758164458.0688,0.0037,0.3666,28.1741,13.0893,9.3835
2020-11-03,NVDA,Semiconductors,GPU Designer,AI Training Hardware,12.9792,272900000,3542011546.9933,0.0343,0.3896,36.8995,13.0953,9.4175
2020-11-04,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.7515,410228000,5641252351.326,0.0578,0.4408,48.1521,13.1162,9.4551
2020-11-05,NVDA,Semiconductors,GPU Designer,AI Training Hardware,14.1161,319028000,4503437030.8342,0.0262,0.4496,53.5113,13.1439,9.4942
2020-11-06,NVDA,Semiconductors,GPU Designer,AI Training Hardware,14.5169,383348000,5565015465.4541,0.028,0.4586,60.5356,13.1826,9.5357
2020-11-09,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.5885,582976000,7921775505.0049,-0.0661,0.5046,49.8736,13.1923,9.5737
2020-11-10,NVDA,Semiconductors,GPU Designer,AI Training Hardware,12.7304,644068000,8199261749.1684,-0.0652,0.5516,44.2598,13.1803,9.6065
2020-11-11,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.3764,404744000,5414025359.0088,0.0495,0.5844,50.4038,13.1723,9.6428
2020-11-12,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.415,365812000,4907385409.3208,0.0029,0.5842,49.0281,13.1545,9.6793
2020-11-13,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.2558,346312000,4590641043.8614,-0.0119,0.5843,51.1837,13.1601,9.7162
2020-11-16,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.4734,413776000,5574956189.7278,0.0163,0.5822,50.9057,13.1779,9.7536
2020-11-17,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.3807,312028000,4175139405.9944,-0.0069,0.5812,56.7799,13.208,9.7898
2020-11-18,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.3871,510924000,6839809795.6123,0.0005,0.5804,53.6969,13.2223,9.8255
2020-11-19,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.3986,565936000,7582750416.8854,0.0009,0.5787,59.0702,13.2448,9.8609
2020-11-20,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.0472,341088000,4450240820.5261,-0.0266,0.5827,54.7817,13.2632,9.8948
2020-11-23,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.0993,361356000,4733504242.0464,0.004,0.5707,51.2258,13.2685,9.9276
2020-11-24,NVDA,Semiconductors,GPU Designer,AI Training Hardware,12.9176,346500000,4475947627.5444,-0.014,0.568,40.3239,13.2678,9.9588
2020-11-25,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.1937,259916000,3429264097.5227,0.0212,0.5305,39.073,13.2822,9.9909
2020-11-27,NVDA,Semiconductors,GPU Designer,AI Training Hardware,13.2202,167276000,2211414767.54,0.002,0.5196,33.1432,13.2981,10.0233
