Date,Index_Name,Country,Open,High,Low,Close,Volume,Daily_Change_Percent
2020-01-01,S&P 500,USA,15607.06,16277.38,15427.47,16057.78,36788921,2.89
2020-01-01,NASDAQ Composite,USA,7083.79,7343.64,6461.54,6641.87,22249687,-6.24
2020-01-01,Dow Jones,USA,26384.65,26601.25,25659.5,25941.06,4344769,-1.68
2020-01-01,FTSE 100,UK,8091.17,8182.45,7617.15,7774.58,44250411,-3.91
2020-01-01,Nikkei 225,Japan,1899.43,2044.17,1885.43,1924.21,22498555,1.3
2020-01-01,Hang Seng,Hong Kong,15288.11,15523.66,15184.28,15244.18,3428388,-0.29
2020-01-01,DAX,Germany,24694.25,24713.76,24080.11,24364.77,4385357,-1.33
2020-01-01,CAC 40,France,32527.5,32556.8,32126.84,32332.11,12392366,-0.6
2020-01-01,SSE Composite,China,27647.28,28007.23,27595.27,27757.27,2870928,0.4
2020-01-01,KSE 100,Pakistan,11092.42,11348.45,10936.4,11254.94,23335235,1.47
2020-01-02,S&P 500,USA,8209.32,8911.45,7927.47,8678.91,19048957,5.72
2020-01-02,NASDAQ Composite,USA,37139.7,37464.93,36968.56,37366.97,23373627,0.61
2020-01-02,Dow Jones,USA,2763.86,2880.47,2507.79,2589.19,3630708,-6.32
2020-01-02,FTSE 100,UK,23883.3,24530.66,23800.5,24348.55,23857742,1.95
2020-01-02,Nikkei 225,Japan,7445.41,7572.43,6842.58,6961.05,24717335,-6.51
2020-01-02,Hang Seng,Hong Kong,1549.11,1762.52,1010.9,1247.96,20009001,-19.44
2020-01-02,DAX,Germany,14980.16,15239.09,14409.04,14596.03,12910049,-2.56
2020-01-02,CAC 40,France,4720.99,4921.65,4392.04,4591.81,40070421,-2.74
2020-01-02,SSE Composite,China,35601.3,35637.18,35359.54,35573.51,47321408,-0.08
2020-01-02,KSE 100,Pakistan,29147.45,29224.27,28871.31,28883.44,33374990,-0.91
2020-01-03,S&P 500,USA,17674.1,17706.47,17190.09,17199.52,29433648,-2.69
2020-01-03,NASDAQ Composite,USA,13259.88,13540.72,13185.1,13268.45,18750764,0.06
2020-01-03,Dow Jones,USA,22053.8,22336.66,21577.2,21756.86,32288562,-1.35
2020-01-03,FTSE 100,UK,7287.63,7959.76,7097.61,7717.33,15643995,5.9
2020-01-03,Nikkei 225,Japan,32343.21,32610.98,31867.98,32029.78,46377017,-0.97
2020-01-03,Hang Seng,Hong Kong,5761.43,6033.48,5536.09,5617.73,31344474,-2.49
2020-01-03,DAX,Germany,17657.2,18233.44,17655.12,17975.22,47159303,1.8
