msisdn,outgoing_calls,incoming_calls,unique_outgoing_numbers,unique_incoming_numbers,total_unique_numbers,unknown_province_calls,in_province_calls,out_province_calls,in_province_numbers,out_province_numbers,unknown_province_numbers,call_duration_max,call_duration_min,call_duration_mean,call_duration_std,call_duration_sum,total_call_duration_outgoing,total_call_duration_incoming,start_time_0,start_time_1,start_time_2,start_time_3,call_duration_0,call_duration_1,call_duration_2,call_duration_3,start_time_hour_0,start_time_hour_1,start_time_hour_2,start_time_hour_3,start_time_hour_4,start_time_hour_5,start_time_hour_6,start_time_hour_7,start_time_hour_8,start_time_hour_9,start_time_hour_10,start_time_hour_11,start_time_hour_12,start_time_hour_13,start_time_hour_14,start_time_hour_15,start_time_hour_16,start_time_hour_17,start_time_hour_18,start_time_hour_19,start_time_hour_20,start_time_hour_21,start_time_hour_22,start_time_hour_23,phone2_type_0,phone2_type_1,phone2_type_2,phone2_type_3,phone2_type_4,phone2_type_5,phone2_type_6,phone2_type_7,phone2_type_8,phone2_type_9,phone2_type_10,phone2_type_11,phone2_type_12,phone2_type_14,phone2_type_15,phone2_type_16,phone2_type_17,phone2_type_18,phone2_type_19,phone2_type_20,call_duration_0s_10s,call_duration_10s_20s,call_duration_20s_30s,call_duration_30s_40s,call_duration_40s_50s,call_duration_50s_60s,call_duration_60s_70s,call_duration_70s_80s,call_duration_80s_90s,call_duration_90s_100s,call_duration_100s_110s,call_duration_110s_120s,call_duration_2min_2.5min,call_duration_2.5min_3min,call_duration_3min_3.5min,call_duration_3.5min_4min,call_duration_4min_4.5min,call_duration_4.5min_5min,call_duration_5min_6min,call_duration_6min_7min,call_duration_7min_8min,call_duration_8min_9min,call_duration_9min_10min,call_duration_10min_15min,call_duration_15min_20min,call_duration_20min_25min,call_duration_25min_30min,call_duration_30min_35min,call_duration_35min_40min,call_duration_40min_45min,call_duration_45min_50min,call_duration_50min_55min,call_duration_55min_60min,call_duration_1h_1.5h,call_duration_1.5h_2h,call_duration_2h_2.5h,call_duration_2.5h_max,long_type1_0,long_type1_1,long_type1_2,long_type1_3,cfee_sum,lfee_sum,total_unique_numbers_1500,only_out_no_in,active_days_2024-08,city_changes_2024-08,province_changes_2024-08,is_sa,total_calls,sociality,phone1_type,outgoing_div_total,unique_out_div_outgoing,unique_out_div_unique_total,is_key_home_area_code,is_key_visit_area_code,is_called_home_code,is_called_code,early_morning_0_avg,early_morning_0_max,early_morning_0_min,early_morning_1_avg,early_morning_1_max,early_morning_1_min,morning_0_avg,morning_0_max,morning_0_min,morning_1_avg,morning_1_max,morning_1_min,forenoon_0_avg,forenoon_0_max,forenoon_0_min,forenoon_1_avg,forenoon_1_max,forenoon_1_min,noon_0_avg,noon_0_max,noon_0_min,noon_1_avg,noon_1_max,noon_1_min,afternoon_0_avg,afternoon_0_max,afternoon_0_min,afternoon_1_avg,afternoon_1_max,afternoon_1_min,dusk_0_avg,dusk_0_max,dusk_0_min,dusk_1_avg,dusk_1_max,dusk_1_min,evening_0_avg,evening_0_max,evening_0_min,evening_1_avg,evening_1_max,evening_1_min,start_6_to_10_0_avg,start_6_to_10_0_max,start_6_to_10_0_min,start_6_to_10_1_avg,start_6_to_10_1_max,start_6_to_10_1_min,start_10_to_14_0_avg,start_10_to_14_0_max,start_10_to_14_0_min,start_10_to_14_1_avg,start_10_to_14_1_max,start_10_to_14_1_min,start_14_to_18_0_avg,start_14_to_18_0_max,start_14_to_18_0_min,start_14_to_18_1_avg,start_14_to_18_1_max,start_14_to_18_1_min,start_18_to_22_0_avg,start_18_to_22_0_max,start_18_to_22_0_min,start_18_to_22_1_avg,start_18_to_22_1_max,start_18_to_22_1_min,start_22_to_6_0_avg,start_22_to_6_0_max,start_22_to_6_0_min,start_22_to_6_1_avg,start_22_to_6_1_max,start_22_to_6_1_min,time_interval_avg,time_interval_max,time_interval_min,early_morning_avg,early_morning_max,early_morning_min,morning_avg,morning_max,morning_min,forenoon_avg,forenoon_max,forenoon_min,noon_avg,noon_max,noon_min,afternoon_avg,afternoon_max,afternoon_min,dusk_avg,dusk_max,dusk_min,evening_avg,evening_max,evening_min,start_6_to_10_avg,start_6_to_10_max,start_6_to_10_min,start_10_to_14_avg,start_10_to_14_max,start_10_to_14_min,start_14_to_18_avg,start_14_to_18_max,start_14_to_18_min,start_18_to_22_avg,start_18_to_22_max,start_18_to_22_min,start_22_to_6_avg,start_22_to_6_max,start_22_to_6_min,start_early_morning,start_morning,start_forenoon,start_noon,start_afternoon,start_dusk,start_evening,start_6_to_10,start_10_to_14,start_14_to_18,start_18_to_22,start_22_to_6,open_days,open_to_start_days,open_days_ratio,incoming_calls_ratio,out_province_numbers_ratio,total_call_duration_incoming_ratio,unique_outgoing_numbers_ratio,start_early_morning_ratio,start_morning_ratio,start_forenoon_ratio,start_noon_ratio,start_afternoon_ratio,start_dusk_ratio,start_evening_ratio,unique_phone2_loc_city_count,unique_phone1_loc_city_count,phone2_to_phone1_ratio,total_cfee,total_lfee,total_fee,cfee_proportion,lfee_proportion,roam_type_0,roam_type_1,roam_type_4,roam_type_5,roam_type_6,roam_type_7,roam_type_8,roam_type_0_proportion,roam_type_1_proportion,roam_type_4_proportion,roam_type_5_proportion,roam_type_6_proportion,roam_type_7_proportion,roam_type_8_proportion,weekday_count,weekend_count,weekday_days,weekend_days,avg_weekday_activity,avg_weekend_activity
1009342,211,125,70,47,88,0,336,0,88,0,0,3203,1,149,334,50338,33402,16936,9,80,141,106,58,89,18,171,3,1,1,1,1,2,0,0,0,23,27,30,39,38,9,8,20,27,36,27,17,10,13,3,0,1,190,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,18,25,33,41,20,28,12,20,18,11,8,2,22,22,6,7,8,4,5,6,0,6,2,4,3,0,1,0,1,1,1,1,0,0,0,0,0,336,0,0,0,0,0,0,0,10,1,1,0.0,336,1.6188370295498935,2,0.628,0.332,0.598,1,0,0,0,236.842,359.183,134.933,0.0,0.0,0.0,194.75,366.767,22.733,0.0,0.0,0.0,208.332,815.867,1.9,0.0,0.0,0.0,21.128,64.133,2.5,0.0,0.0,0.0,32.876,108.517,0.667,0.0,0.0,0.0,53.249,332.55,0.183,0.0,0.0,0.0,55.923,305.35,0.883,0.0,0.0,0.0,228.385,815.867,2.333,0.0,0.0,0.0,63.509,753.05,0.667,0.0,0.0,0.0,39.957,182.533,1.117,0.0,0.0,0.0,50.957,332.55,0.183,0.0,0.0,0.0,137.962,296.083,27.967,0.0,0.0,0.0,62.641,815.867,0.183,180.064,359.183,29.883,194.75,366.767,22.733,151.923,815.867,0.3,44.333,717.033,1.35,28.408,177.0,0.467,45.135,332.55,0.183,50.327,305.35,0.883,222.933,815.867,0.3,48.271,753.05,0.467,45.98,248.833,0.733,38.027,332.55,0.183,99.799,296.083,4.283,7,2,50,69,55,83,70,23,134,64,90,16,2348,2348,0.088,0.093,0.059,0.092,0.092,0.154,0.083,0.082,0.092,0.104,0.084,0.097,1,1,1.0,0,0,0,0.0,0.0,336,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,30.0,5.0,2.0,61.2,15.0
1009370,26,36,10,18,21,0,0,62,0,21,0,1800,7,117,282,7295,3727,3568,0,28,27,7,19,15,5,23,0,0,0,0,0,0,4,3,6,3,9,3,0,6,4,6,3,8,4,3,0,0,0,0,1,0,57,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,5,14,5,6,5,4,4,3,2,0,2,2,2,1,1,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,57,0,0,0,0,1,0,1,1,0.0,62,1.0916859602433595,2,0.419,0.385,0.357,0,0,1,0,0.0,0.0,0.0,104.361,183.333,29.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.961,698.683,0.3,0.0,0.0,0.0,56.708,717.033,1.35,0.0,0.0,0.0,25.855,177.0,0.467,0.0,0.0,0.0,42.025,321.017,0.45,0.0,0.0,0.0,46.129,163.433,0.917,0.0,0.0,0.0,218.389,698.683,0.3,0.0,0.0,0.0,38.908,717.033,0.467,0.0,0.0,0.0,47.987,248.833,0.733,0.0,0.0,0.0,28.578,321.017,0.45,0.0,0.0,0.0,87.078,161.1,4.283,338.552,1845.7,0.883,0.0,0.0,0.0,456.764,870.567,7.55,417.187,1363.55,0.883,819.65,1229.183,117.7,259.226,1845.7,2.35,235.623,1545.817,2.183,73.744,157.883,30.0,395.642,1322.7,0.883,447.854,1363.55,2.35,273.67,1845.7,2.183,137.262,485.95,19.233,0.0,0.0,0.0,0,7,18,3,16,15,3,16,18,21,7,0,2032,2032,0.089,0.087,0.197,0.088,0.085,0.071,0.054,0.083,0.093,0.093,0.084,0.097,1,1,1.0,0,0,0,0.0,0.0,0,0,0,0,0,0,62,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,11.0,5.0,2.0,10.2,5.5
1009378,12,11,7,7,12,0,23,0,12,0,0,1531,5,184,360,4249,1173,3076,0,15,2,6,7,5,3,8,0,0,0,0,0,0,0,3,3,5,2,2,0,1,0,0,0,1,2,2,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,1,0.0,23,0.8999188646940766,2,0.522,0.583,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,574.167,870.567,57.883,0.0,0.0,0.0,394.174,1322.7,0.883,0.0,0.0,0.0,819.65,1229.183,117.7,0.0,0.0,0.0,335.698,1845.7,37.95,0.0,0.0,0.0,172.22,485.95,19.233,0.0,0.0,0.0,33.35,33.35,33.35,0.0,0.0,0.0,442.726,1322.7,0.883,0.0,0.0,0.0,504.265,1229.183,2.45,0.0,0.0,0.0,268.813,1845.7,25.917,0.0,0.0,0.0,154.59,485.95,19.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.004,3786.333,3.2,0.0,0.0,0.0,1767.858,2202.433,1333.283,1173.173,3786.333,7.617,120.75,146.033,95.467,183.183,183.183,183.183,401.989,609.417,244.917,290.996,660.5,3.2,1502.845,3786.333,10.883,132.737,231.383,7.617,351.633,351.633,351.633,336.386,660.5,3.2,0.0,0.0,0.0,0,3,10,2,1,3,4,11,5,1,6,0,902,902,0.094,0.085,0.059,0.077,0.087,0.071,0.083,0.09,0.093,0.087,0.089,0.09,1,1,1.0,0,0,0,0.0,0.0,23,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,5.0,2.0,3.6,2.5
1009390,151,70,34,28,43,0,160,61,37,22,0,2271,1,207,373,45776,28801,16975,2,61,100,58,33,48,9,131,2,0,0,0,0,0,0,3,12,17,20,9,16,11,17,8,17,31,10,13,17,13,5,0,0,0,200,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,9,13,20,16,18,14,20,10,6,9,10,5,8,3,8,5,5,6,6,7,2,1,1,7,3,3,2,2,2,0,0,0,0,0,0,0,0,95,16,110,0,6270,0,0,0,7,2,2,0.0,221,1.398850843270789,2,0.683,0.225,0.548,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.712,822.217,7.55,0.0,0.0,0.0,443.077,1363.55,12.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.905,407.883,2.35,0.0,0.0,0.0,409.984,1545.817,2.183,0.0,0.0,0.0,93.942,157.883,30.0,0.0,0.0,0.0,359.02,835.283,7.55,0.0,0.0,0.0,367.267,1363.55,2.35,0.0,0.0,0.0,283.383,1545.817,2.183,0.0,0.0,0.0,93.942,157.883,30.0,0.0,0.0,0.0,0.0,0.0,0.0,104.489,1487.2,0.233,71.608,139.283,3.933,668.342,716.25,620.433,189.053,1487.2,0.483,90.38,990.417,0.617,82.72,924.867,0.85,51.145,375.95,0.233,80.965,603.217,3.55,307.428,1487.2,0.767,96.229,990.417,0.483,51.652,375.95,0.233,76.487,603.217,2.967,64.003,138.6,7.883,2,3,49,25,36,58,48,32,56,73,53,5,1027,1027,0.094,0.079,0.197,0.092,0.101,0.114,0.083,0.082,0.081,0.097,0.084,0.097,5,2,2.5,6270,0,6270,1.0,0.0,129,92,0,0,0,0,0,0.583710407239819,0.416289592760181,0.0,0.0,0.0,0.0,0.0,162.0,59.0,5.0,2.0,32.4,29.5
1009393,18,19,8,8,12,0,31,6,12,1,0,198,6,64,54,2378,1152,1226,0,5,23,9,12,13,1,11,0,0,0,0,0,0,0,0,1,0,1,3,6,1,6,5,2,3,0,3,2,3,0,1,6,0,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,8,4,2,3,8,1,0,1,2,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,6,0,0,0,0,0,0,1,1,0.0,37,0.8883334292301903,2,0.486,0.444,0.5,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.617,1534.383,231.383,0.0,0.0,0.0,120.75,146.033,95.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.917,244.917,244.917,0.0,0.0,0.0,230.828,660.5,3.2,0.0,0.0,0.0,1303.694,1534.383,948.067,0.0,0.0,0.0,157.628,231.383,95.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.35,660.5,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.894,3222.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1028.575,1164.5,892.65,658.35,2265.433,2.917,582.823,3222.2,0.6,45.763,152.233,2.267,894.453,3171.967,112.017,892.65,892.65,892.65,742.709,2265.433,2.917,414.992,3222.2,0.6,961.154,3171.967,112.017,627.65,627.65,627.65,0,0,2,9,12,5,9,1,11,16,8,1,2052,2052,0.089,0.085,0.056,0.092,0.087,0.071,0.122,0.114,0.079,0.091,0.089,0.087,2,1,2.0,0,0,0,0.0,0.0,37,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,4.0,2.0,5.0,8.5
1009413,3,3,2,2,4,6,0,0,0,0,4,176,23,91,65,547,375,172,0,2,4,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,10,0,0,0,0,1,1,1.0,6,0.5774645866076561,2,0.5,0.667,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767.858,2202.433,1333.283,0.0,0.0,0.0,1264.878,3786.333,7.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.183,183.183,183.183,0.0,0.0,0.0,480.525,609.417,351.633,0.0,0.0,0.0,471.5,471.5,471.5,0.0,0.0,0.0,1588.195,3786.333,10.883,0.0,0.0,0.0,95.4,183.183,7.617,0.0,0.0,0.0,351.633,351.633,351.633,0.0,0.0,0.0,540.458,609.417,471.5,0.0,0.0,0.0,0.0,0.0,0.0,3222.403,10379.183,1.083,0.0,0.0,0.0,0.0,0.0,0.0,2714.017,2714.017,2714.017,0.0,0.0,0.0,3349.5,10379.183,1.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909.761,3014.183,1.083,5191.366,10379.183,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,4,0,0,0,4,2,0,0,871,871,0.094,0.132,0.059,0.125,0.084,0.071,0.122,0.129,0.093,0.078,0.128,0.133,1,1,1.0,10,0,10,1.0,0.0,0,0,6,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.5,3.0
1009424,52,23,4,3,4,0,75,0,4,0,0,112,5,34,25,2575,1713,862,0,9,38,28,31,23,11,10,0,0,0,0,0,0,1,1,1,0,3,3,33,0,0,0,1,4,9,6,0,2,11,0,0,0,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,19,12,6,10,7,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,1,1,0.0,75,0.3530960522848105,2,0.693,0.077,0.571,0,0,0,0,3.933,3.933,3.933,0.0,0.0,0.0,716.25,716.25,716.25,0.0,0.0,0.0,141.254,677.6,0.767,0.0,0.0,0.0,177.64,990.417,2.05,0.0,0.0,0.0,160.645,924.867,7.133,0.0,0.0,0.0,88.329,375.95,0.233,0.0,0.0,0.0,95.068,337.067,5.417,0.0,0.0,0.0,278.554,716.25,0.767,0.0,0.0,0.0,158.344,990.417,1.633,0.0,0.0,0.0,89.808,375.95,0.233,0.0,0.0,0.0,90.895,337.067,5.417,0.0,0.0,0.0,138.6,138.6,138.6,0.0,0.0,0.0,278.495,1440.8,0.417,0.0,0.0,0.0,591.525,726.817,456.233,422.946,704.0,62.733,312.43,1440.8,0.45,0.0,0.0,0.0,173.051,463.067,1.733,230.318,627.95,0.417,415.261,726.817,62.733,330.634,1440.8,0.45,226.793,325.25,18.5,183.943,570.567,0.417,230.706,627.95,1.567,0,2,4,36,0,14,19,3,39,5,17,11,1813,1813,0.087,0.08,0.059,0.09,0.074,0.071,0.083,0.114,0.092,0.087,0.084,0.078,1,1,1.0,0,0,0,0.0,0.0,75,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,27.0,5.0,2.0,9.6,13.5
1009437,47,31,6,6,7,0,78,0,7,0,0,2845,4,58,320,4567,1004,3563,2,15,34,27,35,12,25,6,0,0,0,0,0,2,0,0,0,4,4,7,14,3,5,2,2,8,11,10,3,1,1,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,13,7,4,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,2,1,0.0,78,0.4841887940451483,2,0.603,0.128,0.5,0,0,0,0,0.0,0.0,0.0,139.283,139.283,139.283,0.0,0.0,0.0,620.433,620.433,620.433,0.0,0.0,0.0,204.985,1487.2,0.483,0.0,0.0,0.0,46.75,178.333,0.617,0.0,0.0,0.0,43.758,181.65,0.85,0.0,0.0,0.0,35.209,243.933,0.417,0.0,0.0,0.0,71.564,603.217,3.55,0.0,0.0,0.0,319.586,1487.2,1.9,0.0,0.0,0.0,66.06,856.917,0.483,0.0,0.0,0.0,37.85,243.933,0.417,0.0,0.0,0.0,66.053,603.217,2.967,0.0,0.0,0.0,45.354,90.967,7.883,267.686,1439.8,0.6,0.0,0.0,0.0,631.366,708.683,554.05,556.177,1070.7,0.6,415.128,1439.8,3.367,191.077,1003.55,3.85,130.716,363.867,0.95,121.333,416.15,5.5,403.496,989.45,0.6,455.199,1439.8,3.367,122.3,321.983,3.85,122.593,416.15,0.95,150.4,210.733,90.067,0,2,8,21,10,21,16,4,28,17,25,2,231,231,0.13,0.087,0.059,0.088,0.08,0.071,0.083,0.09,0.078,0.091,0.074,0.076,1,2,0.5,0,0,0,0.0,0.0,0,0,0,0,0,0,78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,22.0,5.0,2.0,11.2,11.0
1009443,41,45,10,11,13,0,86,0,13,0,0,1065,4,85,156,7386,2851,4535,6,19,43,18,30,20,7,29,5,0,0,0,0,1,4,0,4,3,3,5,10,6,8,8,4,7,3,4,2,1,2,6,0,0,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,16,14,8,4,8,3,4,2,4,1,2,3,2,1,0,2,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64,22,0,0,0,0,0,0,1,2,1,0.0,86,0.8794339358404516,2,0.477,0.244,0.476,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.5,1164.5,1164.5,0.0,0.0,0.0,822.208,2265.433,13.517,0.0,0.0,0.0,1033.85,3222.2,53.35,0.0,0.0,0.0,22.822,43.683,2.267,0.0,0.0,0.0,396.094,627.65,218.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.667,2265.433,13.517,0.0,0.0,0.0,654.715,3222.2,2.267,0.0,0.0,0.0,280.316,342.183,218.45,0.0,0.0,0.0,627.65,627.65,627.65,0.0,0.0,0.0,246.749,2689.933,0.85,63.753,292.6,0.85,335.584,901.15,8.017,158.665,685.9,1.1,204.503,1051.7,4.817,332.339,2689.933,1.283,203.098,1304.483,2.483,300.233,1804.667,1.467,236.02,901.15,8.017,392.543,2689.933,1.1,137.371,1304.483,1.283,275.276,1545.183,39.833,248.612,1804.667,1.467,5,5,10,15,22,14,15,11,24,27,10,8,1068,1068,0.094,0.078,0.059,0.088,0.085,0.154,0.072,0.09,0.084,0.088,0.084,0.076,1,2,0.5,0,0,0,0.0,0.0,0,0,0,0,0,0,86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,18.0,5.0,2.0,13.6,9.0
1009473,66,60,26,25,43,0,122,4,40,3,0,784,2,95,149,12017,5703,6314,0,34,59,33,33,34,17,42,0,0,0,0,0,0,0,2,7,7,10,8,7,7,8,19,8,10,10,11,3,7,2,0,0,0,102,0,0,7,1,0,0,16,0,0,0,0,0,0,0,0,0,0,17,13,20,7,17,10,2,5,1,1,3,1,8,5,1,4,1,2,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,1,2,1,0.0,126,1.4179552393704389,2,0.524,0.394,0.51,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.65,892.65,892.65,0.0,0.0,0.0,2.917,2.917,2.917,0.0,0.0,0.0,206.967,1093.533,0.6,0.0,0.0,0.0,80.175,152.233,8.117,0.0,0.0,0.0,1641.992,3171.967,112.017,0.0,0.0,0.0,892.65,892.65,892.65,0.0,0.0,0.0,2.917,2.917,2.917,0.0,0.0,0.0,175.269,1093.533,0.6,0.0,0.0,0.0,1641.992,3171.967,112.017,0.0,0.0,0.0,0.0,0.0,0.0,163.863,1319.633,0.317,0.0,0.0,0.0,412.859,824.2,1.517,344.007,1319.633,0.35,160.336,826.783,1.0,123.681,1131.033,0.317,100.39,387.333,2.817,90.445,371.633,0.383,407.896,1043.933,0.35,203.037,1319.633,1.0,100.323,1131.033,0.317,84.343,387.333,0.383,215.266,371.633,58.9,0,2,24,15,34,28,23,16,32,45,31,2,2318,2318,0.088,0.079,0.091,0.074,0.101,0.071,0.083,0.066,0.084,0.097,0.085,0.078,7,2,3.5,0,0,0,0.0,0.0,67,0,0,0,0,0,59,0.5317460317460317,0.0,0.0,0.0,0.0,0.0,0.46825396825396826,108.0,18.0,5.0,2.0,21.6,9.0
