,id,symbol,name,market_cap_rank,market_cap_usd,fdv_usd,price_usd,high_24h_usd,low_24h_usd,volume_24h,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,currency,snapshot_date,data_source
0,bitcoin,btc,Bitcoin,1,1781437601821,1781437601821,89165.0,90895.0,89062.0,26938787058,126080.0,-29.27861,2025-10-06 18:57:42.558000+00:00,67.81,131394.99937,2013-07-06 00:00:00+00:00,2026-01-24 17:05:21.698000+00:00,USD,2026-01-24,CoinGecko API
1,ethereum,eth,Ethereum,2,356614269575,356614269575,2954.68,3005.15,2931.47,12925718357,4946.05,-40.26177,2025-08-24 19:21:03.333000+00:00,0.432979,682307.88451,2015-10-20 00:00:00+00:00,2026-01-24 17:05:21.470000+00:00,USD,2026-01-24,CoinGecko API
2,tether,usdt,Tether,3,186619534964,192078229285,0.998478,0.99896,0.99845,49548841835,1.32,-24.53606,2018-07-24 00:00:00+00:00,0.572521,74.39708,2015-03-02 00:00:00+00:00,2026-01-24 17:05:18.959000+00:00,USD,2026-01-24,CoinGecko API
3,binancecoin,bnb,BNB,4,120872914743,120872914743,886.29,901.42,885.33,886178986,1369.99,-35.30679,2025-10-13 08:41:24.131000+00:00,0.0398177,2225773.27432,2017-10-19 00:00:00+00:00,2026-01-24 17:05:22.161000+00:00,USD,2026-01-24,CoinGecko API
4,ripple,xrp,XRP,5,116370745153,191204519658,1.91,1.96,1.91,1578926894,3.65,-47.56341,2025-07-18 03:40:53.808000+00:00,0.00268621,71079.78779,2014-05-22 00:00:00+00:00,2026-01-24 17:05:18.593000+00:00,USD,2026-01-24,CoinGecko API
5,usd-coin,usdc,USDC,6,72526538646,72535572668,0.999638,0.999775,0.999504,6732676215,1.17,-14.75284,2019-05-08 00:40:28.300000+00:00,0.877647,13.90674,2023-03-11 08:02:13.981000+00:00,2026-01-24 17:05:18.755000+00:00,USD,2026-01-24,CoinGecko API
6,solana,sol,Solana,7,71766952180,78499447321,126.83,129.56,126.58,2596681920,293.31,-56.76026,2025-01-19 11:15:27.957000+00:00,0.500801,25224.88798,2020-05-11 19:35:23.449000+00:00,2026-01-24 17:05:18.441000+00:00,USD,2026-01-24,CoinGecko API
7,tron,trx,TRON,8,27995108937,27995572366,0.295519,0.300101,0.29361,562374115,0.431288,-31.47999,2024-12-04 00:10:40.323000+00:00,0.00180434,16278.20889,2017-11-12 00:00:00+00:00,2026-01-24 17:05:18.467000+00:00,USD,2026-01-24,CoinGecko API
8,staked-ether,steth,Lido Staked Ether,9,27677720758,27677720758,2954.18,3000.78,2930.39,11908922,4932.89,-40.1216,2025-08-24 19:21:31.902000+00:00,482.9,511.6714,2020-12-22 04:08:21.854000+00:00,2026-01-24 17:05:18.054000+00:00,USD,2026-01-24,CoinGecko API
9,dogecoin,doge,Dogecoin,10,20832524796,20841910648,0.123726,0.127172,0.123071,537322970,0.731578,-83.08774,2021-05-08 05:08:23.458000+00:00,8.69e-05,142271.71793,2015-05-06 00:00:00+00:00,2026-01-24 17:05:18.263000+00:00,USD,2026-01-24,CoinGecko API
10,figure-heloc,figr_heloc,Figure Heloc,11,14838169549,14838169549,1.006,1.044,1.006,9706381,1.37,-26.537,2025-10-28 06:05:38.345000+00:00,0.155357,547.64001,2025-10-31 14:27:24.456000+00:00,2026-01-24 17:05:17.927000+00:00,USD,2026-01-24,CoinGecko API
11,cardano,ada,Cardano,12,13171105137,16117310977,0.358127,0.368286,0.356838,258908849,3.09,-88.39855,2021-09-02 06:00:10.474000+00:00,0.01925275,1760.1321,2020-03-13 02:22:55.044000+00:00,2026-01-24 17:05:28.755000+00:00,USD,2026-01-24,CoinGecko API
12,wrapped-steth,wsteth,Wrapped stETH,13,12374031061,12374031061,3621.92,3680.12,3591.18,20484382,7256.02,-50.09551,2022-05-13 15:09:54.509000+00:00,558.54,548.31158,2022-05-13 01:36:45.053000+00:00,2026-01-24 17:05:18.048000+00:00,USD,2026-01-24,CoinGecko API
13,bitcoin-cash,bch,Bitcoin Cash,14,11858188341,11858201320,593.28,597.94,586.75,224755307,3785.82,-84.3288,2017-12-20 00:00:00+00:00,76.93,671.15078,2018-12-16 00:00:00+00:00,2026-01-24 17:05:18.383000+00:00,USD,2026-01-24,CoinGecko API
14,whitebit,wbt,WhiteBIT Coin,15,11623125154,17411370721,54.35,55.43,54.34,38430760,64.11,-15.13824,2025-12-10 20:16:13.582000+00:00,3.06,1676.83547,2023-02-13 19:01:21.899000+00:00,2026-01-24 17:05:18.092000+00:00,USD,2026-01-24,CoinGecko API
15,wrapped-bitcoin,wbtc,Wrapped Bitcoin,16,11125762281,11125762281,89042.0,90798.0,88756.0,94622058,125932.0,-29.32046,2025-10-06 18:55:19.650000+00:00,3139.17,2735.39986,2019-04-02 00:00:00+00:00,2026-01-24 17:05:18.437000+00:00,USD,2026-01-24,CoinGecko API
16,wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,17,10829090645,10829090645,3218.38,3273.09,3193.0,3624346,5330.78,-39.62582,2025-08-24 19:27:46.809000+00:00,1501.6,114.33223,2025-04-09 03:57:40.245000+00:00,2026-01-24 17:05:18.030000+00:00,USD,2026-01-24,CoinGecko API
17,wrapped-eeth,weeth,Wrapped eETH,18,9713262930,9713262930,3212.73,3262.06,3185.55,5542144,5296.78,-39.38792,2025-08-24 19:25:19.771000+00:00,1505.24,113.28819,2025-04-09 03:45:31.391000+00:00,2026-01-24 17:05:18.083000+00:00,USD,2026-01-24,CoinGecko API
18,monero,xmr,Monero,19,9434800377,9434800377,511.73,528.46,500.44,101141121,797.73,-35.85217,2026-01-14 19:34:07.049000+00:00,0.216177,236618.21697,2015-01-14 00:00:00+00:00,2026-01-24 17:05:18.058000+00:00,USD,2026-01-24,CoinGecko API
19,usds,usds,USDS,20,9397426123,9397426123,0.999371,0.999687,0.998366,5234514,1.057,-5.48099,2024-10-29 05:40:51.197000+00:00,0.948265,5.38935,2024-10-03 13:19:28.826000+00:00,2026-01-24 17:05:18.247000+00:00,USD,2026-01-24,CoinGecko API
20,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),21,8969876417,8969876417,0.99833,0.999214,0.997788,841586145,1.05,-4.95125,2024-08-05 14:21:42.527000+00:00,0.942186,5.92123,2024-12-05 22:30:39.827000+00:00,2026-01-24 17:05:18.776000+00:00,USD,2026-01-24,CoinGecko API
21,chainlink,link,Chainlink,22,8611916974,12162007249,12.16,12.43,12.13,212074639,52.7,-76.92535,2021-05-10 00:13:57.214000+00:00,0.148183,8105.7605,2017-11-29 00:00:00+00:00,2026-01-24 17:05:18.556000+00:00,USD,2026-01-24,CoinGecko API
