dt,device_id,ctx_adn_app_id,ctx_adn_ad_type,ctx_adn_budget_slot_id,ctx_adn_req_hour,ctx_adn_package_name,ctx_adn_os,ctx_adn_osv,ctx_adn_make,ctx_adn_model,ctx_adn_is_fill
20250210,MIC08f5b9535b1836bd7afUVznCd,1026,LOADING,1529029460426,08,com.ireadercity.zhwll,ios,ios-14,apple,"iPhone8,2",0
20250210,MIF0896841ad043be9f9CJgpQUTe,1032,LOADING,1529029460330,08,com.baidu.videoiphone,ios,ios-13,Apple,"iPhone8,2",0
20250210,MIC0aaad130516477cd9aBdVIdQY,1033,LOADING,1529029460490,08,com.hunantv.imgotv,ios,ios-15,apple,"iPhone8,2",0
20250210,MAO01b9cb2b8ffd26d5bH_rvu02n,1044,LOADING,1529027363162,08,com.luna.music,Android,Android-13,samsung,三星 W23 Flip,0
20250210,MIC0eb096ffbc0541194_GCwBllX,1026,LOADING,1529029460426,08,com.baidu.videoiphone,ios,ios-12,apple,"iPhone8,2",0
20250210,MIF08dd8eb1367eecf5fvs9Btf05,1032,LOADING,1529029460330,08,com.baidu.netdisk,ios,ios-14,Apple,"iPhone8,2",0
20250210,MAO0a84d076221bd512caS_Kq3uG,1044,LOADING,1529027363162,08,com.wandroid.wmfdj.sbniuya,Android,Android-10,HONOR,荣耀畅玩 20,0
20250210,MAO01ed9f0bf376928ff0fp_a2iw,1036,LOADING,1529027363258,08,com.shuqi.controller,android,android-13,vivo,S9e,0
20250210,MAO0772d6685c01f9cb3x0rxg6dr,1053,LOADING,1572010590362,08,com.xzy.donglijb,android,android-10,honor,荣耀畅玩 20,0
20250210,MAO02cf68d52c471c5f6LsgPQ39V,1045,LOADING,1529027363162,08,com.lingan.seeyou,Android,none,VIVO,S9e,0
20250210,MAO03c6bb85ab8570942H2Qv5aVk,1003,INCENTIVE,1572010590362,08,com.tap.tap,android,android-13,vivo,S9e,0
20250210,MAO0b7c5b70f6100945e-g73Th4a,1036,LOADING,1529027363258,08,com.xunlei.downloadprovider,android,android-13,vivo,S9e,0
20250210,MAO053e1fc83094bc5b9rKJdjRVn,1045,LOADING,1529027363162,08,com.snda.lantern.wifilocating,android,android-10,HONOR,荣耀畅玩 20,0
20250210,MAO0e2abb5ce6becfd86vcjQc3e9,1053,LOADING,1572010590362,08,com.xzy.donglijb,android,android-10,honor,荣耀畅玩 20,0
20250210,MAO0b61d5ae8c342c025gM5qFWC9,1045,LOADING,1529027363162,08,com.kmxs.reader,android,android-10,HONOR,荣耀畅玩 20,0
20250210,MAO04db8db6f6f51b3e0pB6jMHSh,1045,LOADING,1529027363162,08,com.okcam.ookcam,ANDROID,ANDROID-10,HUAWEI,荣耀畅玩 20,0
20250210,MAO09021b1a161e8e921pB0FN-eR,1029,INCENTIVE,1572010590330,08,com.happyelements.AndroidAnimal.ad,android,android-10,HONOR,荣耀畅玩 20,0
20250210,MAO09eb055ff1756abc9r6hfGY1Y,1039,LOADING,1529027363162,08,com.lofter.android,android,android-13,vivo,S9e,0
20250210,MAO00fb4d35b899630beBSRV0bFX,1044,LOADING,1529027363162,08,com.lf.camera.peachair,Android,Android-10,HONOR,荣耀畅玩 20,0
20250210,MAO03af087b2cbc4fb2cTWxiK_pF,1044,LOADING,1529027363162,08,com.zj.weather.yaoguang,Android,Android-10,HONOR,荣耀畅玩 20,0
20250210,MAO06475f92cd5f564e4G12h7Fb5,1041,LOADING,1529027363322,08,com.xhey.xcamera,android,android-13,vivo,S9e,0
20250210,MAO0f62bb0a4229a3fa5SxFf8SuP,1044,LOADING,1529027363162,08,com.ys.callshow.sound.wave,Android,Android-10,HONOR,荣耀畅玩 20,0
20250210,MAO05ebadf291af9f7046NsVuUIt,1045,LOADING,1529027363162,08,com.kmxs.reader,android,android-10,HONOR,荣耀畅玩 20,0
20250210,MAO094d185806e7a0bc3_9i4u7mA,1045,LOADING,1529027363162,08,com.kmxs.reader,android,android-10,HONOR,荣耀畅玩 20,0
20250210,MAO0fd8c4d7208ebd4804juDi5Gp,1045,LOADING,1529027363162,08,com.chaozh.iReader.dj,android,android-10,HONOR,荣耀畅玩 20,0
20250210,MAO07d4a932fe37c8ce4U_von_rO,1025,LOADING,1529027363162,08,com.baidu.netdisk,android,android-10,HONOR,荣耀畅玩 20,0
20250210,MAO00b5d7a2cd08ab9b0JAeQ6w3k,1044,LOADING,1529027363162,08,com.zj.weather.yaoguang,Android,Android-10,HONOR,荣耀畅玩 20,0
20250210,MAO04851a6ad61efad23J1pq0Hma,1026,LOADING,1529027363322,08,com.okcam.ookcam,android,android-11,vivo,S9e,0
20250210,MAO063bba8c21d16e053KWlEAt5X,1045,LOADING,1529027363162,08,io.dcloud.H576E6CC7,Android,Android-10,HONOR,荣耀畅玩 20,0
20250210,MAO0d60bcead75d61152Wlp3Yuo1,1045,LOADING,1529027363162,08,com.kmxs.reader,ANDROID,ANDROID-10,HUAWEI,荣耀畅玩 20,0
20250210,MAO0d7f9de25c9b628602tPB-WMv,1044,LOADING,1529027363162,08,com.luna.music,Android,Android-10,HONOR,荣耀畅玩 20,0
20250210,MAO0e5d4e1e020e8248fkwUvki-P,1045,LOADING,1529027363162,08,com.jooan.qiaoanzhilian,Android,Android-10,HONOR,荣耀畅玩 20,0
20250210,MAO0a3c2dc4e3e027a86-PzSUwUG,1029,INCENTIVE,1572010590330,08,com.happyelements.AndroidAnimal.ad,android,android-10,HONOR,荣耀畅玩 20,0
20250210,MAO09389f406552a25def3Ic-PUQ,1026,LOADING,1529027363322,08,cn.youth.news,android,android-11,vivo,S9e,0
20250210,MAO016eb614254ba7395eIYfdNCq,1041,LOADING,1529027363322,08,com.chaozh.iReader.dj,android,android-11,vivo,S9e,0
