股票代码,股票名称,触发日期,5日涨幅,第6天涨跌幅,第7-10天涨跌幅
300308.SZ,中际旭创,2020-02-10,31.30%,-0.02%,4.72%
300308.SZ,中际旭创,2021-07-30,23.93%,3.12%,-2.18%
300308.SZ,中际旭创,2021-08-02,30.87%,-3.68%,-4.52%
300308.SZ,中际旭创,2023-03-22,34.51%,13.12%,25.68%
300308.SZ,中际旭创,2023-03-23,53.23%,4.46%,10.00%
300308.SZ,中际旭创,2023-03-24,50.91%,7.29%,12.77%
300308.SZ,中际旭创,2023-03-27,56.45%,-3.98%,19.99%
300308.SZ,中际旭创,2023-03-28,46.10%,3.23%,24.70%
300308.SZ,中际旭创,2023-03-29,25.68%,-0.99%,20.61%
300308.SZ,中际旭创,2023-04-04,24.70%,-0.15%,2.19%
300308.SZ,中际旭创,2023-04-06,20.61%,5.22%,-3.39%
300308.SZ,中际旭创,2023-04-07,28.18%,-0.45%,-5.66%
300308.SZ,中际旭创,2023-04-20,25.14%,-3.47%,-3.10%
300308.SZ,中际旭创,2023-04-24,32.05%,-5.29%,-0.25%
300308.SZ,中际旭创,2023-05-18,30.70%,-1.33%,-1.72%
300308.SZ,中际旭创,2023-05-19,23.37%,-3.91%,-2.24%
300308.SZ,中际旭创,2023-05-30,25.00%,-1.38%,-1.55%
300308.SZ,中际旭创,2023-05-31,22.62%,0.50%,0.57%
300308.SZ,中际旭创,2023-06-15,26.30%,14.99%,9.80%
300308.SZ,中际旭创,2023-06-16,34.55%,3.23%,-5.03%
300308.SZ,中际旭创,2023-06-19,31.70%,6.24%,-11.27%
300308.SZ,中际旭创,2023-06-20,39.86%,-5.94%,-12.94%
300308.SZ,中际旭创,2023-06-21,23.43%,-7.44%,-7.79%
300308.SZ,中际旭创,2024-02-06,23.40%,-0.22%,20.08%
300308.SZ,中际旭创,2024-02-07,21.22%,1.92%,23.99%
300308.SZ,中际旭创,2024-02-19,38.73%,4.66%,-2.21%
300308.SZ,中际旭创,2024-02-20,42.41%,-5.98%,1.53%
300308.SZ,中际旭创,2024-02-21,20.08%,3.03%,-0.10%
300308.SZ,中际旭创,2024-02-22,23.99%,-4.39%,0.42%
300308.SZ,中际旭创,2024-06-18,23.44%,-0.62%,-8.18%
300308.SZ,中际旭创,2024-06-19,22.47%,-0.89%,-4.11%
300308.SZ,中际旭创,2024-09-27,22.57%,15.91%,19.49%
300308.SZ,中际旭创,2024-09-30,42.20%,20.00%,4.61%
300308.SZ,中际旭创,2024-10-08,52.12%,-10.46%,-15.08%
300308.SZ,中际旭创,2024-10-09,36.40%,-2.22%,-10.64%
300308.SZ,中际旭创,2024-10-10,25.47%,-1.89%,-7.50%
300502.SZ,新易盛,2020-01-22,28.85%,-5.42%,4.60%
300502.SZ,新易盛,2020-01-23,22.16%,-9.95%,21.36%
300502.SZ,新易盛,2020-02-07,21.36%,-1.73%,-6.12%
300502.SZ,新易盛,2020-02-10,32.43%,-0.11%,5.08%
300502.SZ,新易盛,2020-02-11,23.95%,0.52%,7.88%
300502.SZ,新易盛,2020-02-25,20.30%,-10.00%,-11.80%
300502.SZ,新易盛,2020-07-14,25.84%,-10.00%,-11.83%
300502.SZ,新易盛,2020-11-09,25.76%,-6.13%,-16.78%
300502.SZ,新易盛,2021-07-12,26.13%,2.71%,3.92%
300502.SZ,新易盛,2021-07-13,30.14%,-1.36%,-0.51%
300502.SZ,新易盛,2021-07-14,24.44%,0.38%,-1.00%
300502.SZ,新易盛,2021-07-15,21.67%,-4.88%,0.89%
300502.SZ,新易盛,2021-07-28,20.49%,0.05%,3.67%
300502.SZ,新易盛,2021-08-02,20.99%,-3.13%,-13.81%
300502.SZ,新易盛,2021-11-25,20.27%,-3.20%,-6.92%
300502.SZ,新易盛,2022-11-01,21.04%,0.34%,2.16%
300502.SZ,新易盛,2023-02-09,22.42%,1.44%,-1.63%
300502.SZ,新易盛,2023-02-10,23.00%,3.88%,-4.99%
300502.SZ,新易盛,2023-02-13,23.79%,-4.03%,-7.27%
300502.SZ,新易盛,2023-03-22,23.50%,5.16%,22.29%
300502.SZ,新易盛,2023-03-23,31.80%,0.87%,16.94%
300502.SZ,新易盛,2023-03-24,25.32%,9.92%,23.41%
300502.SZ,新易盛,2023-03-27,35.42%,-1.09%,34.72%
300502.SZ,新易盛,2023-03-28,32.99%,6.04%,44.40%
300502.SZ,新易盛,2023-03-29,22.29%,0.55%,45.42%
300502.SZ,新易盛,2023-03-31,23.41%,20.00%,48.14%
300502.SZ,新易盛,2023-04-03,34.72%,6.01%,23.85%
300502.SZ,新易盛,2023-04-04,44.40%,6.79%,15.06%
300502.SZ,新易盛,2023-04-06,45.42%,6.54%,1.47%
300502.SZ,新易盛,2023-04-07,54.08%,2.35%,3.53%
300502.SZ,新易盛,2023-04-10,48.14%,0.32%,-2.81%
300502.SZ,新易盛,2023-04-11,23.85%,-1.51%,10.85%
300502.SZ,新易盛,2023-04-20,23.50%,-8.32%,-23.70%
300502.SZ,新易盛,2023-05-18,21.12%,-10.10%,-7.05%
300502.SZ,新易盛,2023-05-30,21.07%,10.64%,4.18%
300502.SZ,新易盛,2023-05-31,31.76%,-3.12%,-4.60%
300502.SZ,新易盛,2023-06-19,28.74%,2.17%,-27.20%
300502.SZ,新易盛,2023-06-20,30.34%,-11.95%,-24.25%
300502.SZ,新易盛,2023-11-07,26.23%,4.14%,11.23%
300502.SZ,新易盛,2023-11-08,34.45%,0.39%,3.49%
300502.SZ,新易盛,2023-11-09,37.76%,2.87%,0.14%
300502.SZ,新易盛,2023-11-10,33.13%,1.53%,9.93%
300502.SZ,新易盛,2023-11-13,31.02%,1.87%,9.23%
300502.SZ,新易盛,2024-02-06,20.49%,1.74%,14.90%
300502.SZ,新易盛,2024-02-07,24.29%,4.17%,13.97%
300502.SZ,新易盛,2024-02-08,20.74%,20.00%,9.22%
300502.SZ,新易盛,2024-02-19,44.79%,-4.37%,-7.83%
300502.SZ,新易盛,2024-02-20,36.01%,-5.52%,1.16%
300502.SZ,新易盛,2024-04-26,21.80%,4.18%,-0.20%
300502.SZ,新易盛,2024-04-29,34.00%,-0.92%,-3.56%
300502.SZ,新易盛,2024-04-30,25.29%,-0.73%,-3.09%
300502.SZ,新易盛,2024-06-17,21.26%,4.26%,0.55%
300502.SZ,新易盛,2024-06-18,25.57%,-0.23%,-8.18%
300502.SZ,新易盛,2024-06-19,25.26%,-1.59%,-5.50%
300502.SZ,新易盛,2024-09-30,36.45%,20.00%,14.28%
300502.SZ,新易盛,2024-10-08,48.11%,-4.78%,-9.02%
300502.SZ,新易盛,2024-10-09,41.90%,-3.49%,-10.13%
300502.SZ,新易盛,2024-10-10,30.32%,0.47%,-6.25%
300502.SZ,新易盛,2024-10-11,28.14%,3.16%,2.06%
