price_int,request_count
0.0,34273
1.0,32446
2.0,31966
3.0,31482
4.0,30476
5.0,49354
6.0,31890
7.0,37856
8.0,57916
9.0,39818
10.0,53436
11.0,27933
12.0,61552
13.0,35692
14.0,62161
15.0,34790
16.0,38154
17.0,30042
18.0,40848
19.0,22552
20.0,42072
21.0,39648
22.0,60708
23.0,31721
24.0,21766
25.0,61334
26.0,33263
27.0,20753
28.0,19386
29.0,18817
30.0,27293
31.0,55354
32.0,22920
33.0,48836
34.0,19289
35.0,37986
36.0,25661
37.0,22683
38.0,19267
39.0,15412
40.0,62016
41.0,36383
42.0,33917
43.0,21944
44.0,21760
45.0,19198
46.0,20469
47.0,15474
48.0,12789
49.0,12132
50.0,18769
51.0,14524
52.0,25760
53.0,15985
54.0,13967
55.0,10626
56.0,11276
57.0,10226
58.0,9192
59.0,9189
60.0,27165
61.0,24289
62.0,20570
63.0,16366
64.0,11202
65.0,22615
66.0,21025
67.0,18312
68.0,14935
69.0,10443
70.0,13378
71.0,12576
72.0,11235
73.0,10286
74.0,8261
75.0,7318
76.0,7107
77.0,7057
78.0,6825
79.0,7036
80.0,20728
81.0,18541
82.0,15406
83.0,11700
84.0,7746
85.0,9931
86.0,9132
87.0,7886
88.0,7181
89.0,5628
90.0,16507
91.0,14863
92.0,12075
93.0,9502
94.0,6610
95.0,4765
96.0,4310
97.0,4454
98.0,4650
99.0,4315
100.0,16208
101.0,14378
102.0,11999
103.0,9098
104.0,5920
105.0,4311
106.0,4107
107.0,3919
108.0,3620
109.0,3527
110.0,5144
111.0,4706
112.0,4496
113.0,3833
114.0,3373
115.0,3708
116.0,3370
117.0,3195
118.0,3039
119.0,3066
120.0,14311
121.0,13045
122.0,10778
123.0,7982
124.0,4745
125.0,3570
126.0,3282
127.0,3178
128.0,3169
129.0,3035
130.0,5567
131.0,5288
132.0,4411
133.0,3895
134.0,3057
135.0,3478
136.0,3054
137.0,3071
138.0,2883
139.0,2521
140.0,3144
141.0,2971
142.0,2649
143.0,2493
144.0,2417
145.0,2352
146.0,2211
147.0,2276
148.0,2249
149.0,2228
150.0,4450
151.0,4032
152.0,3729
153.0,2827
154.0,2342
155.0,2040
156.0,1936
157.0,1913
158.0,2004
159.0,1891
160.0,2776
161.0,2721
162.0,2451
163.0,2225
164.0,1991
165.0,2103
166.0,2112
167.0,2048
168.0,1863
169.0,1873
170.0,3019
171.0,2694
172.0,2506
173.0,2015
174.0,1605
175.0,1419
176.0,1352
177.0,1446
178.0,1394
179.0,1261
180.0,2495
181.0,2265
182.0,2082
183.0,1822
184.0,1424
185.0,1339
186.0,1198
187.0,1167
188.0,1229
189.0,1150
190.0,1314
191.0,1251
192.0,1256
193.0,1163
194.0,1142
195.0,1172
196.0,1136
197.0,1091
198.0,1061
199.0,1043
200.0,2466
201.0,2277
202.0,2214
203.0,2090
204.0,1910
205.0,1765
206.0,1698
207.0,1471
208.0,1312
209.0,1208
210.0,1003
211.0,1027
212.0,1083
213.0,1159
214.0,1116
215.0,1260
216.0,1264
217.0,1374
218.0,1112
219.0,827
220.0,1349
221.0,1161
222.0,1168
223.0,1117
224.0,1078
225.0,1031
226.0,956
227.0,892
228.0,937
229.0,784
230.0,819
231.0,776
232.0,781
233.0,703
234.0,767
235.0,747
236.0,736
237.0,703
238.0,729
239.0,698
240.0,652
241.0,737
242.0,740
243.0,670
244.0,669
245.0,684
246.0,636
247.0,581
248.0,717
249.0,661
250.0,1410
251.0,1279
252.0,1342
253.0,1315
254.0,1232
255.0,1225
256.0,1168
257.0,1261
258.0,1332
259.0,1155
260.0,943
261.0,822
262.0,688
263.0,589
264.0,575
265.0,506
266.0,560
267.0,503
268.0,565
269.0,512
270.0,849
271.0,923
272.0,793
273.0,759
274.0,653
275.0,623
276.0,569
277.0,579
278.0,542
279.0,455
280.0,439
281.0,416
282.0,397
283.0,412
284.0,412
285.0,386
286.0,390
287.0,343
288.0,349
289.0,366
290.0,426
291.0,358
292.0,363
293.0,370
294.0,395
295.0,367
296.0,372
297.0,381
298.0,333
299.0,341
300.0,480
301.0,458
302.0,520
303.0,484
304.0,443
305.0,425
306.0,419
307.0,428
308.0,435
309.0,408
310.0,1048
311.0,1028
312.0,864
313.0,767
314.0,790
315.0,625
316.0,616
317.0,450
318.0,438
319.0,341
320.0,376
321.0,373
322.0,378
323.0,365
324.0,356
325.0,332
326.0,314
327.0,287
328.0,344
329.0,301
330.0,486
331.0,471
332.0,403
333.0,431
334.0,400
335.0,359
336.0,415
337.0,359
338.0,354
339.0,264
340.0,255
341.0,237
342.0,284
343.0,262
344.0,260
345.0,258
346.0,227
347.0,249
348.0,255
349.0,275
350.0,251
351.0,243
352.0,256
353.0,252
354.0,239
355.0,201
356.0,260
357.0,201
358.0,225
359.0,189
360.0,247
361.0,195
362.0,222
363.0,219
364.0,245
365.0,239
366.0,268
367.0,214
368.0,174
369.0,203
370.0,210
371.0,215
372.0,207
373.0,206
374.0,233
375.0,201
376.0,223
377.0,206
378.0,145
379.0,183
380.0,165
381.0,187
382.0,188
383.0,223
384.0,242
385.0,234
386.0,210
387.0,227
388.0,166
389.0,184
390.0,188
391.0,190
392.0,217
393.0,177
394.0,139
395.0,158
396.0,120
397.0,120
398.0,143
399.0,166
400.0,239
401.0,281
402.0,241
403.0,253
404.0,204
405.0,241
406.0,220
407.0,245
408.0,227
409.0,255
410.0,194
411.0,168
412.0,204
413.0,179
414.0,177
415.0,161
416.0,166
417.0,156
418.0,157
419.0,141
420.0,136
421.0,118
422.0,122
423.0,142
424.0,123
425.0,146
426.0,125
427.0,147
428.0,129
429.0,94
430.0,132
431.0,134
432.0,111
433.0,125
434.0,134
435.0,141
436.0,131
437.0,95
438.0,110
439.0,105
440.0,107
441.0,114
442.0,141
443.0,132
444.0,107
445.0,122
446.0,116
447.0,105
448.0,105
449.0,123
450.0,101
451.0,101
452.0,131
453.0,100
454.0,104
455.0,86
456.0,98
457.0,88
458.0,106
459.0,119
460.0,103
461.0,90
462.0,117
463.0,110
464.0,113
465.0,110
466.0,129
467.0,118
468.0,100
469.0,107
470.0,79
471.0,89
472.0,117
473.0,113
474.0,98
475.0,123
476.0,113
477.0,93
478.0,87
479.0,103
480.0,72
481.0,115
482.0,96
483.0,92
484.0,86
485.0,108
486.0,68
487.0,82
488.0,74
489.0,75
490.0,109
491.0,71
492.0,77
493.0,81
494.0,92
495.0,78
496.0,71
497.0,78
498.0,91
499.0,80
500.0,207
501.0,212
502.0,189
503.0,197
504.0,171
505.0,179
506.0,171
507.0,167
508.0,159
509.0,177
510.0,145
511.0,141
512.0,153
513.0,119
514.0,124
515.0,135
516.0,118
517.0,100
518.0,107
519.0,85
520.0,80
521.0,82
522.0,87
523.0,79
524.0,76
525.0,47
526.0,85
527.0,70
528.0,82
529.0,52
530.0,86
531.0,64
532.0,48
533.0,78
534.0,91
535.0,65
536.0,90
537.0,48
538.0,82
539.0,63
540.0,72
541.0,62
542.0,85
543.0,56
544.0,64
545.0,61
546.0,66
547.0,62
548.0,61
549.0,74
550.0,64
551.0,60
552.0,55
553.0,62
554.0,61
555.0,63
556.0,73
557.0,56
558.0,62
559.0,58
560.0,71
561.0,77
562.0,66
563.0,84
564.0,72
565.0,70
566.0,96
567.0,73
568.0,65
569.0,53
570.0,49
571.0,71
572.0,70
573.0,57
574.0,43
575.0,50
576.0,58
577.0,54
578.0,70
579.0,53
580.0,41
581.0,41
582.0,76
