pos_bucket,days,1d up 0.00%,1d down -0.00%,1d up 0.15%,1d down -0.15%,1d up 0.50%,1d down -0.50%,1d up  0.80%,1d down -0.80%,1d up 1.0%,1d down  -1.0%,1d up 1.2%,1d down -1.2%,1d up 1.5%,1d down -1.5%,3d up 0.00%,3d down -0.00%,3d up 0.15%,3d down -0.15%,3d up 0.50%,3d down -0.50%,3d up  0.80%,3d down -0.80%,3d up 1.0%,3d down -1.0%,3d up  1.2%,3d down -1.2%,3d up  1.5%,3d down -1.5%,5d up 0.00%,5d down -0.00%,5d up  0.15%,5d down -0.15%,5d up 0.50%,5d down -0.50%,5d up 0.80%,5d down -0.80%,5d up 1.0%,5d down -1.0%,5d up 1.2%,5d down -1.2%,5d up 1.5%,5d down -1.5%
<= -10,49,39,61,33,57,18,49,14,37,14,35,12,33,12,33,35,65,33,65,33,61,24,55,20,55,20,47,16,47,33,67,29,67,27,63,24,57,22,57,22,57,20,55
"(-10,-7]",108,39,61,32,56,22,45,14,40,9,36,8,32,6,29,36,64,34,63,30,56,26,50,22,47,20,45,19,40,41,59,38,56,31,55,27,52,24,50,21,48,17,44
"(-7,-3]",493,43,57,36,49,24,35,16,27,13,22,9,18,7,13,47,53,45,49,34,42,27,35,23,33,18,29,13,24,48,52,46,48,37,40,33,35,30,34,26,31,20,28
"(-3,0]",1020,51,49,42,38,27,25,17,16,14,13,10,10,7,7,56,44,51,39,41,32,31,25,25,22,22,19,16,15,56,44,52,40,45,31,37,26,34,24,31,21,24,19
"(0,4]",1924,56,44,46,34,27,20,18,14,13,11,9,9,5,6,59,41,54,36,42,27,33,22,27,19,22,17,16,13,61,39,58,36,49,28,39,24,34,21,29,18,23,15
"(4,7]",857,61,39,51,31,32,17,20,12,15,9,11,7,7,5,64,36,59,33,50,25,38,19,32,17,27,14,19,11,67,33,62,31,54,24,46,19,42,18,36,16,29,13
"(7,10]",331,63,37,54,28,37,18,26,11,21,8,15,6,9,5,69,31,63,27,54,20,46,14,40,12,33,11,24,8,68,32,67,30,57,23,49,21,44,20,40,18,34,15
>= 10,124,61,39,52,31,40,16,25,13,19,8,17,6,13,5,67,33,61,27,50,20,42,20,36,15,33,15,29,12,60,40,56,35,49,25,40,20,35,17,31,16,28,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,width ,credit,breakeven P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
