产品名称,年份,厂家,规格,终端类型,销售额
氘丁苯那嗪片,2023,梯瓦制药,6mg,乡镇卫生,20000
氘丁苯那嗪片,2024,梯瓦制药,6mg,乡镇卫生,40000
氘丁苯那嗪片,2025,梯瓦制药,6mg,乡镇卫生,20000
氘丁苯那嗪片,2021,梯瓦制药,6mg,县级公立,103189
氘丁苯那嗪片,2022,梯瓦制药,6mg,县级公立,140000
氘丁苯那嗪片,2023,梯瓦制药,6mg,县级公立,760000
氘丁苯那嗪片,2024,梯瓦制药,6mg,县级公立,1420000
氘丁苯那嗪片,2025,梯瓦制药,6mg,县级公立,760000
氘丁苯那嗪片,2022,梯瓦制药,9mg,县级公立,70000
氘丁苯那嗪片,2021,梯瓦制药,12mg,县级公立,701691
氘丁苯那嗪片,2022,梯瓦制药,12mg,县级公立,490000
氘丁苯那嗪片,2023,梯瓦制药,12mg,县级公立,10000
氘丁苯那嗪片,2021,梯瓦制药,6mg,城市公立,7462535
氘丁苯那嗪片,2022,梯瓦制药,6mg,城市公立,18040000
氘丁苯那嗪片,2023,梯瓦制药,6mg,城市公立,35080000
氘丁苯那嗪片,2024,梯瓦制药,6mg,城市公立,31590000
氘丁苯那嗪片,2025,梯瓦制药,6mg,城市公立,9590000
氘丁苯那嗪片,2021,梯瓦制药,9mg,城市公立,534949
氘丁苯那嗪片,2022,梯瓦制药,9mg,城市公立,2020000
氘丁苯那嗪片,2023,梯瓦制药,9mg,城市公立,1030000
氘丁苯那嗪片,2024,梯瓦制药,9mg,城市公立,1940000
氘丁苯那嗪片,2025,梯瓦制药,9mg,城市公立,1130000
氘丁苯那嗪片,2021,梯瓦制药,12mg,城市公立,2315381
氘丁苯那嗪片,2022,梯瓦制药,12mg,城市公立,7320000
氘丁苯那嗪片,2023,梯瓦制药,12mg,城市公立,10030000
氘丁苯那嗪片,2024,梯瓦制药,12mg,城市公立,14220000
氘丁苯那嗪片,2025,梯瓦制药,12mg,城市公立,11030000
丙硫氧嘧啶片,2013,上海朝晖药业,50mg,乡镇卫生,69507
丙硫氧嘧啶片,2013,广东华南药业集团,50mg,乡镇卫生,173271
丙硫氧嘧啶片,2013,广州康和药业,50mg,乡镇卫生,28734
丙硫氧嘧啶片,2013,深圳中联制药,50mg,乡镇卫生,1516
丙硫氧嘧啶片,2013,湖南迪诺制药,50mg,乡镇卫生,52195
丙硫氧嘧啶片,2013,精华制药集团,50mg,乡镇卫生,15374
丙硫氧嘧啶片,2013,苏州东瑞制药,50mg,乡镇卫生,435
丙硫氧嘧啶片,2014,上海朝晖药业,50mg,乡镇卫生,135654
丙硫氧嘧啶片,2014,上药信谊药厂,50mg,乡镇卫生,7842
丙硫氧嘧啶片,2014,广东华南药业集团,50mg,乡镇卫生,45992
丙硫氧嘧啶片,2014,广州康和药业,50mg,乡镇卫生,188710
丙硫氧嘧啶片,2014,深圳中联制药,50mg,乡镇卫生,1061
丙硫氧嘧啶片,2014,湖南迪诺制药,50mg,乡镇卫生,21597
丙硫氧嘧啶片,2014,精华制药集团,50mg,乡镇卫生,42880
丙硫氧嘧啶片,2014,苏州东瑞制药,50mg,乡镇卫生,4735
丙硫氧嘧啶片,2015,Hemony,50mg,乡镇卫生,1223
丙硫氧嘧啶片,2015,上海朝晖药业,50mg,乡镇卫生,182364
丙硫氧嘧啶片,2015,广东华南药业集团,50mg,乡镇卫生,20589
丙硫氧嘧啶片,2015,广州康和药业,50mg,乡镇卫生,171740
丙硫氧嘧啶片,2015,湖南迪诺制药,50mg,乡镇卫生,12768
丙硫氧嘧啶片,2015,精华制药集团,50mg,乡镇卫生,48844
丙硫氧嘧啶片,2015,苏州东瑞制药,50mg,乡镇卫生,5443
丙硫氧嘧啶片,2016,Hemony,50mg,乡镇卫生,9898
丙硫氧嘧啶片,2016,上海朝晖药业,50mg,乡镇卫生,390865
丙硫氧嘧啶片,2016,广东华南药业集团,50mg,乡镇卫生,34977
丙硫氧嘧啶片,2016,广州康和药业,50mg,乡镇卫生,195983
丙硫氧嘧啶片,2016,湖南迪诺制药,50mg,乡镇卫生,2242
丙硫氧嘧啶片,2016,精华制药集团,50mg,乡镇卫生,156270
丙硫氧嘧啶片,2016,苏州东瑞制药,50mg,乡镇卫生,4194
丙硫氧嘧啶片,2017,Hemony,50mg,乡镇卫生,3841
丙硫氧嘧啶片,2017,上海朝晖药业,50mg,乡镇卫生,281879
丙硫氧嘧啶片,2017,广东华南药业集团,50mg,乡镇卫生,34352
丙硫氧嘧啶片,2017,广州康和药业,50mg,乡镇卫生,191931
丙硫氧嘧啶片,2017,湖南迪诺制药,50mg,乡镇卫生,2350
丙硫氧嘧啶片,2017,精华制药集团,50mg,乡镇卫生,141349
丙硫氧嘧啶片,2017,苏州东瑞制药,50mg,乡镇卫生,5899
丙硫氧嘧啶片,2018,Hemony,50mg,乡镇卫生,5511
丙硫氧嘧啶片,2018,上海朝晖药业,50mg,乡镇卫生,403627
丙硫氧嘧啶片,2018,广东华南药业集团,50mg,乡镇卫生,32070
丙硫氧嘧啶片,2018,广州康和药业,50mg,乡镇卫生,177959
丙硫氧嘧啶片,2018,湖南迪诺制药,50mg,乡镇卫生,630
丙硫氧嘧啶片,2018,精华制药集团,50mg,乡镇卫生,147596
丙硫氧嘧啶片,2018,苏州东瑞制药,50mg,乡镇卫生,7671
丙硫氧嘧啶片,2019,Hemony,50mg,乡镇卫生,8932
丙硫氧嘧啶片,2019,上海朝晖药业,50mg,乡镇卫生,215627
丙硫氧嘧啶片,2019,广东华南药业集团,50mg,乡镇卫生,2679
丙硫氧嘧啶片,2019,广州康和药业,50mg,乡镇卫生,213431
丙硫氧嘧啶片,2019,精华制药集团,50mg,乡镇卫生,164876
丙硫氧嘧啶片,2019,苏州东瑞制药,50mg,乡镇卫生,11499
丙硫氧嘧啶片,2020,Hemony,50mg,乡镇卫生,15374
丙硫氧嘧啶片,2020,上海朝晖药业,50mg,乡镇卫生,251418
丙硫氧嘧啶片,2020,广州康和药业,50mg,乡镇卫生,228940
丙硫氧嘧啶片,2020,精华制药集团,50mg,乡镇卫生,84306
丙硫氧嘧啶片,2021,Hemony,50mg,乡镇卫生,43897
丙硫氧嘧啶片,2021,上海朝晖药业,50mg,乡镇卫生,304554
丙硫氧嘧啶片,2021,广州康和药业,50mg,乡镇卫生,373000
丙硫氧嘧啶片,2021,精华制药集团,50mg,乡镇卫生,88288
丙硫氧嘧啶片,2022,上海朝晖药业,50mg,乡镇卫生,350000
丙硫氧嘧啶片,2022,广州康和药业,50mg,乡镇卫生,240000
丙硫氧嘧啶片,2022,德国海默尼药业,50mg,乡镇卫生,70000
丙硫氧嘧啶片,2023,上海朝晖药业,50mg,乡镇卫生,410000
丙硫氧嘧啶片,2023,广州康和药业,50mg,乡镇卫生,580000
